FIPS,Structure_Type,Count
18103.0,Education,11
18103.0,Law Enforcement,5
18103.0,Medical & Emergency,12
18105.0,Education,38
18105.0,Law Enforcement,6
18105.0,Medical & Emergency,19
18107.0,Education,16
18107.0,Law Enforcement,2
18107.0,Medical & Emergency,14
18109.0,Education,25
18109.0,Law Enforcement,7
18109.0,Medical & Emergency,20
18111.0,Education,7
18111.0,Law Enforcement,3
18111.0,Medical & Emergency,8
18113.0,Education,22
18113.0,Law Enforcement,7
18113.0,Medical & Emergency,13
18115.0,Education,2
18115.0,Law Enforcement,2
18115.0,Medical & Emergency,2
18117.0,Education,10
18117.0,Law Enforcement,5
18117.0,Medical & Emergency,10
18119.0,Education,7
18119.0,Law Enforcement,2
18119.0,Medical & Emergency,9
18121.0,Education,12
18121.0,Law Enforcement,5
18121.0,Medical & Emergency,10
18123.0,Education,7
18123.0,Law Enforcement,4
18123.0,Medical & Emergency,10
18125.0,Education,4
18125.0,Law Enforcement,3
18125.0,Medical & Emergency,7
18127.0,Education,65
18127.0,Law Enforcement,10
18127.0,Medical & Emergency,33
18129.0,Education,12
18129.0,Law Enforcement,6
18129.0,Medical & Emergency,12
18131.0,Education,5
18131.0,Law Enforcement,2
18131.0,Medical & Emergency,7
18133.0,Education,18
18133.0,Law Enforcement,8
18133.0,Medical & Emergency,15
18135.0,Education,13
18135.0,Law Enforcement,7
18135.0,Medical & Emergency,12
18137.0,Education,16
18137.0,Law Enforcement,9
18137.0,Medical & Emergency,17
18139.0,Education,9
18139.0,Law Enforcement,3
18139.0,Medical & Emergency,13
18141.0,Education,106
18141.0,Law Enforcement,12
18141.0,Medical & Emergency,46
18143.0,Education,9
18143.0,Law Enforcement,3
18143.0,Medical & Emergency,8
18145.0,Education,17
18145.0,Law Enforcement,2
18145.0,Medical & Emergency,12
18147.0,Education,12
18147.0,Law Enforcement,4
18147.0,Medical & Emergency,12
18149.0,Education,9
18149.0,Law Enforcement,3
18149.0,Medical & Emergency,13
18151.0,Education,12
18151.0,Law Enforcement,4
18151.0,Medical & Emergency,12
18153.0,Education,11
18153.0,Law Enforcement,4
18153.0,Medical & Emergency,17
18155.0,Education,5
18155.0,Law Enforcement,2
18155.0,Medical & Emergency,6
18157.0,Education,43
18157.0,Law Enforcement,7
18157.0,Medical & Emergency,28
18159.0,Education,5
18159.0,Law Enforcement,5
18159.0,Medical & Emergency,8
18161.0,Education,4
18161.0,Law Enforcement,2
18161.0,Medical & Emergency,3
18163.0,Education,59
18163.0,Law Enforcement,6
18163.0,Medical & Emergency,31
18165.0,Education,7
18165.0,Law Enforcement,3
18165.0,Medical & Emergency,9
18167.0,Education,37
18167.0,Law Enforcement,6
18167.0,Medical & Emergency,31
18169.0,Education,16
18169.0,Law Enforcement,4
18169.0,Medical & Emergency,15
18171.0,Education,4
18171.0,Law Enforcement,2
18171.0,Medical & Emergency,8
18173.0,Education,19
18173.0,Law Enforcement,5
18173.0,Medical & Emergency,15
18175.0,Education,12
18175.0,Law Enforcement,2
18175.0,Medical & Emergency,11
18177.0,Education,39
18177.0,Law Enforcement,8
18177.0,Medical & Emergency,20
18179.0,Education,12
18179.0,Law Enforcement,3
18179.0,Medical & Emergency,10
18181.0,Education,12
18181.0,Law Enforcement,5
18181.0,Medical & Emergency,13
18183.0,Education,12
18183.0,Law Enforcement,4
18183.0,Medical & Emergency,11
19001.0,Education,4
19001.0,Law Enforcement,3
19001.0,Medical & Emergency,6
19003.0,Education,2
19003.0,Law Enforcement,1
19003.0,Medical & Emergency,4
19005.0,Education,11
19005.0,Law Enforcement,3
19005.0,Medical & Emergency,12
19007.0,Education,8
19007.0,Law Enforcement,2
19007.0,Medical & Emergency,9
19009.0,Education,3
19009.0,Law Enforcement,2
19009.0,Medical & Emergency,5
19011.0,Education,14
19011.0,Law Enforcement,5
19011.0,Medical & Emergency,20
19013.0,Education,48
19013.0,Law Enforcement,7
19013.0,Medical & Emergency,20
19015.0,Education,17
19015.0,Law Enforcement,4
19015.0,Medical & Emergency,8
19017.0,Education,21
19017.0,Law Enforcement,4
19017.0,Medical & Emergency,13
19019.0,Education,22
19019.0,Law Enforcement,3
19019.0,Medical & Emergency,16
19021.0,Education,13
19021.0,Law Enforcement,4
19021.0,Medical & Emergency,11
19023.0,Education,10
19023.0,Law Enforcement,4
19023.0,Medical & Emergency,16
19025.0,Education,5
19025.0,Law Enforcement,6
19025.0,Medical & Emergency,12
19027.0,Education,13
19027.0,Law Enforcement,4
19027.0,Medical & Emergency,22
19029.0,Education,10
19029.0,Law Enforcement,3
19029.0,Medical & Emergency,10
19031.0,Education,12
19031.0,Law Enforcement,6
19031.0,Medical & Emergency,14
19033.0,Education,19
19033.0,Law Enforcement,6
19033.0,Medical & Emergency,14
19035.0,Education,9
19035.0,Law Enforcement,5
19035.0,Medical & Emergency,10
19037.0,Education,8
19037.0,Law Enforcement,3
19037.0,Medical & Emergency,12
19039.0,Education,7
19039.0,Law Enforcement,3
19039.0,Medical & Emergency,4
19041.0,Education,9
19041.0,Law Enforcement,3
19041.0,Medical & Emergency,8
19043.0,Education,10
19043.0,Law Enforcement,6
19043.0,Medical & Emergency,24
19045.0,Education,22
19045.0,Law Enforcement,4
19045.0,Medical & Emergency,24
19047.0,Education,13
19047.0,Law Enforcement,3
19047.0,Medical & Emergency,12
19049.0,Education,39
19049.0,Law Enforcement,5
19049.0,Medical & Emergency,22
19051.0,Education,4
19051.0,Law Enforcement,1
19051.0,Medical & Emergency,5
19053.0,Education,8
19053.0,Law Enforcement,3
19053.0,Medical & Emergency,11
19055.0,Education,11
19055.0,Law Enforcement,2
19055.0,Medical & Emergency,14
19057.0,Education,18
19057.0,Law Enforcement,4
19057.0,Medical & Emergency,10
19059.0,Education,10
19059.0,Law Enforcement,4
19059.0,Medical & Emergency,9
19061.0,Education,49
19061.0,Law Enforcement,5
19061.0,Medical & Emergency,27
19063.0,Education,7
19063.0,Law Enforcement,3
19063.0,Medical & Emergency,9
19065.0,Education,17
19065.0,Law Enforcement,7
19065.0,Medical & Emergency,21
19067.0,Education,10
19067.0,Law Enforcement,3
19067.0,Medical & Emergency,13
19069.0,Education,8
19069.0,Law Enforcement,3
19069.0,Medical & Emergency,8
19071.0,Education,6
19071.0,Law Enforcement,1
19071.0,Medical & Emergency,8
19073.0,Education,6
19073.0,Law Enforcement,2
19073.0,Medical & Emergency,7
19075.0,Education,10
19075.0,Law Enforcement,2
19075.0,Medical & Emergency,10
19077.0,Education,8
19077.0,Law Enforcement,2
19077.0,Medical & Emergency,11
19079.0,Education,11
19079.0,Law Enforcement,3
19079.0,Medical & Emergency,10
19081.0,Education,6
19081.0,Law Enforcement,4
19081.0,Medical & Emergency,12
19083.0,Education,13
19083.0,Law Enforcement,4
19083.0,Medical & Emergency,17
19085.0,Education,9
19085.0,Law Enforcement,3
19085.0,Medical & Emergency,11
19087.0,Education,14
19087.0,Law Enforcement,5
19087.0,Medical & Emergency,9
19089.0,Education,6
19089.0,Law Enforcement,1
19089.0,Medical & Emergency,6
19091.0,Education,7
19091.0,Law Enforcement,3
19091.0,Medical & Emergency,10
19093.0,Education,5
19093.0,Law Enforcement,1
19093.0,Medical & Emergency,7
19095.0,Education,10
19095.0,Law Enforcement,3
19095.0,Medical & Emergency,10
19097.0,Education,12
19097.0,Law Enforcement,4
19097.0,Medical & Emergency,15
19099.0,Education,22
19099.0,Law Enforcement,4
19099.0,Medical & Emergency,12
19101.0,Education,7
19101.0,Law Enforcement,2
19101.0,Medical & Emergency,7
19103.0,Education,50
19103.0,Law Enforcement,7
19103.0,Medical & Emergency,20
19105.0,Education,13
19105.0,Law Enforcement,4
19105.0,Medical & Emergency,14
19107.0,Education,5
19107.0,Law Enforcement,3
19107.0,Medical & Emergency,10
19109.0,Education,10
19109.0,Law Enforcement,2
19109.0,Medical & Emergency,20
19111.0,Education,16
19111.0,Law Enforcement,5
19111.0,Medical & Emergency,15
19113.0,Education,91
19113.0,Law Enforcement,12
19113.0,Medical & Emergency,40
19115.0,Education,7
19115.0,Law Enforcement,2
19115.0,Medical & Emergency,10
19117.0,Education,4
19117.0,Law Enforcement,2
19117.0,Medical & Emergency,8
19119.0,Education,12
19119.0,Law Enforcement,1
19119.0,Medical & Emergency,11
19121.0,Education,10
19121.0,Law Enforcement,3
19121.0,Medical & Emergency,6
19123.0,Education,9
19123.0,Law Enforcement,1
19123.0,Medical & Emergency,6
19125.0,Education,19
19125.0,Law Enforcement,3
19125.0,Medical & Emergency,12
19127.0,Education,18
19127.0,Law Enforcement,2
19127.0,Medical & Emergency,16
19129.0,Education,8
19129.0,Law Enforcement,2
19129.0,Medical & Emergency,12
19131.0,Education,7
19131.0,Law Enforcement,3
19131.0,Medical & Emergency,8
19133.0,Education,7
19133.0,Law Enforcement,2
19133.0,Medical & Emergency,10
19135.0,Education,3
19135.0,Law Enforcement,2
19135.0,Medical & Emergency,3
19137.0,Education,9
19137.0,Law Enforcement,3
19137.0,Medical & Emergency,8
19139.0,Education,16
19139.0,Law Enforcement,5
19139.0,Medical & Emergency,11
19141.0,Education,12
19141.0,Law Enforcement,2
19141.0,Medical & Emergency,11
19143.0,Education,3
19143.0,Law Enforcement,1
19143.0,Medical & Emergency,9
19145.0,Education,11
19145.0,Law Enforcement,5
19145.0,Medical & Emergency,12
19147.0,Education,9
19147.0,Law Enforcement,3
19147.0,Medical & Emergency,11
19149.0,Education,18
19149.0,Law Enforcement,5
19149.0,Medical & Emergency,14
19151.0,Education,6
19151.0,Law Enforcement,3
19151.0,Medical & Emergency,12
19153.0,Education,144
19153.0,Law Enforcement,19
19153.0,Medical & Emergency,43
19155.0,Education,41
19155.0,Law Enforcement,5
19155.0,Medical & Emergency,21
19157.0,Education,10
19157.0,Law Enforcement,2
19157.0,Medical & Emergency,10
19159.0,Education,4
19159.0,Law Enforcement,1
19159.0,Medical & Emergency,6
19161.0,Education,8
19161.0,Law Enforcement,3
19161.0,Medical & Emergency,14
19163.0,Education,62
19163.0,Law Enforcement,11
19163.0,Medical & Emergency,35
19165.0,Education,9
19165.0,Law Enforcement,1
19165.0,Medical & Emergency,12
19167.0,Education,27
19167.0,Law Enforcement,5
19167.0,Medical & Emergency,20
19169.0,Education,32
19169.0,Law Enforcement,6
19169.0,Medical & Emergency,23
19171.0,Education,11
19171.0,Law Enforcement,4
19171.0,Medical & Emergency,13
19173.0,Education,6
19173.0,Law Enforcement,2
19173.0,Medical & Emergency,9
19175.0,Education,8
19175.0,Law Enforcement,2
19175.0,Medical & Emergency,4
19177.0,Education,4
19177.0,Law Enforcement,1
19177.0,Medical & Emergency,9
19179.0,Education,18
19179.0,Law Enforcement,4
19179.0,Medical & Emergency,8
19181.0,Education,22
19181.0,Law Enforcement,4
19181.0,Medical & Emergency,10
19183.0,Education,15
19183.0,Law Enforcement,1
19183.0,Medical & Emergency,10
19185.0,Education,5
19185.0,Law Enforcement,1
19185.0,Medical & Emergency,8
19187.0,Education,16
19187.0,Law Enforcement,7
19187.0,Medical & Emergency,17
19189.0,Education,13
19189.0,Law Enforcement,2
19189.0,Medical & Emergency,10
19191.0,Education,18
19191.0,Law Enforcement,3
19191.0,Medical & Emergency,11
19193.0,Education,45
19193.0,Law Enforcement,5
19193.0,Medical & Emergency,30
19195.0,Education,4
19195.0,Law Enforcement,3
19195.0,Medical & Emergency,8
19197.0,Education,8
19197.0,Law Enforcement,5
19197.0,Medical & Emergency,11
20001.0,Education,13
20001.0,Law Enforcement,7
20001.0,Medical & Emergency,13
20003.0,Education,9
20003.0,Law Enforcement,6
20003.0,Medical & Emergency,12
20005.0,Education,12
20005.0,Law Enforcement,3
20005.0,Medical & Emergency,10
20007.0,Education,4
20007.0,Law Enforcement,4
20007.0,Medical & Emergency,15
20009.0,Education,19
20009.0,Law Enforcement,6
20009.0,Medical & Emergency,17
20011.0,Education,9
20011.0,Law Enforcement,3
20011.0,Medical & Emergency,12
20013.0,Education,8
20013.0,Law Enforcement,7
20013.0,Medical & Emergency,11
20015.0,Education,46
20015.0,Law Enforcement,11
20015.0,Medical & Emergency,20
20017.0,Education,2
20017.0,Law Enforcement,2
20017.0,Medical & Emergency,7
20019.0,Education,5
20019.0,Law Enforcement,3
20019.0,Medical & Emergency,12
20021.0,Education,17
20021.0,Law Enforcement,5
20021.0,Medical & Emergency,11
20023.0,Education,4
20023.0,Law Enforcement,3
20023.0,Medical & Emergency,5
20025.0,Education,4
20025.0,Law Enforcement,2
20025.0,Medical & Emergency,6
20027.0,Education,5
20027.0,Law Enforcement,3
20027.0,Medical & Emergency,17
20029.0,Education,9
20029.0,Law Enforcement,3
20029.0,Medical & Emergency,12
20031.0,Education,11
20031.0,Law Enforcement,6
20031.0,Medical & Emergency,9
20033.0,Education,3
20033.0,Law Enforcement,2
20033.0,Medical & Emergency,5
20035.0,Education,28
20035.0,Law Enforcement,7
20035.0,Medical & Emergency,9
20037.0,Education,20
20037.0,Law Enforcement,11
20037.0,Medical & Emergency,25
20039.0,Education,2
20039.0,Law Enforcement,2
20039.0,Medical & Emergency,6
20041.0,Education,20
20041.0,Law Enforcement,5
20041.0,Medical & Emergency,25
20043.0,Education,9
20043.0,Law Enforcement,5
20043.0,Medical & Emergency,7
20045.0,Education,43
20045.0,Law Enforcement,9
20045.0,Medical & Emergency,20
20047.0,Education,3
20047.0,Law Enforcement,2
20047.0,Medical & Emergency,6
20049.0,Education,3
20049.0,Law Enforcement,3
20049.0,Medical & Emergency,7
20051.0,Education,15
20051.0,Law Enforcement,7
20051.0,Medical & Emergency,14
20053.0,Education,6
20053.0,Law Enforcement,7
20053.0,Medical & Emergency,7
20055.0,Education,26
20055.0,Law Enforcement,6
20055.0,Medical & Emergency,14
20057.0,Education,17
20057.0,Law Enforcement,5
20057.0,Medical & Emergency,11
20059.0,Education,19
20059.0,Law Enforcement,7
20059.0,Medical & Emergency,17
20061.0,Education,17
20061.0,Law Enforcement,5
20061.0,Medical & Emergency,19
20063.0,Education,6
20063.0,Law Enforcement,2
20063.0,Medical & Emergency,7
20065.0,Education,2
20065.0,Law Enforcement,3
20065.0,Medical & Emergency,7
20067.0,Education,4
20067.0,Law Enforcement,3
20067.0,Medical & Emergency,4
20069.0,Education,8
20069.0,Law Enforcement,2
20069.0,Medical & Emergency,7
20071.0,Education,2
20071.0,Law Enforcement,1
20071.0,Medical & Emergency,2
20073.0,Education,6
20073.0,Law Enforcement,1
20073.0,Medical & Emergency,12
20075.0,Education,2
20075.0,Law Enforcement,1
20075.0,Medical & Emergency,7
20077.0,Education,5
20077.0,Law Enforcement,5
20077.0,Medical & Emergency,5
20079.0,Education,22
20079.0,Law Enforcement,9
20079.0,Medical & Emergency,13
20081.0,Education,5
20081.0,Law Enforcement,1
20081.0,Medical & Emergency,6
20083.0,Education,2
20083.0,Law Enforcement,2
20083.0,Medical & Emergency,4
20085.0,Education,8
20085.0,Law Enforcement,5
20085.0,Medical & Emergency,12
20087.0,Education,18
20087.0,Law Enforcement,8
20087.0,Medical & Emergency,17
20089.0,Education,2
20089.0,Law Enforcement,1
20089.0,Medical & Emergency,8
20091.0,Education,202
20091.0,Law Enforcement,22
20091.0,Medical & Emergency,72
20093.0,Education,5
20093.0,Law Enforcement,1
20093.0,Medical & Emergency,4
20095.0,Education,8
20095.0,Law Enforcement,5
20095.0,Medical & Emergency,8
20097.0,Education,6
20097.0,Law Enforcement,2
20097.0,Medical & Emergency,5
20099.0,Education,19
20099.0,Law Enforcement,6
20099.0,Medical & Emergency,13
20101.0,Education,4
20101.0,Law Enforcement,1
20101.0,Medical & Emergency,8
20103.0,Education,30
20103.0,Law Enforcement,9
20103.0,Medical & Emergency,23
20105.0,Education,3
20105.0,Law Enforcement,2
20105.0,Medical & Emergency,10
20107.0,Education,8
20107.0,Law Enforcement,6
20107.0,Medical & Emergency,13
20109.0,Education,6
20109.0,Law Enforcement,4
20109.0,Medical & Emergency,4
20111.0,Education,21
20111.0,Law Enforcement,4
20111.0,Medical & Emergency,11
20113.0,Education,22
20113.0,Law Enforcement,9
20113.0,Medical & Emergency,22
20115.0,Education,11
20115.0,Law Enforcement,8
20115.0,Medical & Emergency,16
20117.0,Education,9
20117.0,Law Enforcement,5
20117.0,Medical & Emergency,18
20119.0,Education,5
20119.0,Law Enforcement,2
20119.0,Medical & Emergency,5
20121.0,Education,21
20121.0,Law Enforcement,5
20121.0,Medical & Emergency,8
20123.0,Education,7
20123.0,Law Enforcement,4
20123.0,Medical & Emergency,13
20125.0,Education,18
20125.0,Law Enforcement,5
20125.0,Medical & Emergency,14
20127.0,Education,3
20127.0,Law Enforcement,2
20127.0,Medical & Emergency,8
20129.0,Education,6
20129.0,Law Enforcement,3
20129.0,Medical & Emergency,6
20131.0,Education,9
20131.0,Law Enforcement,4
20131.0,Medical & Emergency,12
20133.0,Education,13
20133.0,Law Enforcement,4
20133.0,Medical & Emergency,10
20135.0,Education,6
20135.0,Law Enforcement,2
20135.0,Medical & Emergency,10
20137.0,Education,6
20137.0,Law Enforcement,3
20137.0,Medical & Emergency,7
20139.0,Education,15
20139.0,Law Enforcement,9
20139.0,Medical & Emergency,13
20141.0,Education,5
20141.0,Law Enforcement,2
20141.0,Medical & Emergency,8
20143.0,Education,6
20143.0,Law Enforcement,4
20143.0,Medical & Emergency,12
20145.0,Education,7
20145.0,Law Enforcement,4
20145.0,Medical & Emergency,7
20147.0,Education,6
20147.0,Law Enforcement,1
20147.0,Medical & Emergency,8
20149.0,Education,14
20149.0,Law Enforcement,7
20149.0,Medical & Emergency,17
20151.0,Education,7
20151.0,Law Enforcement,4
20151.0,Medical & Emergency,10
20153.0,Education,2
20153.0,Law Enforcement,2
20153.0,Medical & Emergency,5
20155.0,Education,38
20155.0,Law Enforcement,10
20155.0,Medical & Emergency,26
20157.0,Education,5
20157.0,Law Enforcement,3
20157.0,Medical & Emergency,14
20159.0,Education,13
20159.0,Law Enforcement,9
20159.0,Medical & Emergency,9
20161.0,Education,23
20161.0,Law Enforcement,4
20161.0,Medical & Emergency,26
20163.0,Education,7
20163.0,Law Enforcement,5
20163.0,Medical & Emergency,9
20165.0,Education,5
20165.0,Law Enforcement,2
20165.0,Medical & Emergency,12
20167.0,Education,5
20167.0,Law Enforcement,4
20167.0,Medical & Emergency,12
20169.0,Education,24
20169.0,Law Enforcement,7
20169.0,Medical & Emergency,20
20171.0,Education,3
20171.0,Law Enforcement,3
20171.0,Medical & Emergency,4
20173.0,Education,203
20173.0,Law Enforcement,28
20173.0,Medical & Emergency,72
20175.0,Education,16
20175.0,Law Enforcement,3
20175.0,Medical & Emergency,6
20177.0,Education,74
20177.0,Law Enforcement,18
20177.0,Medical & Emergency,28
20179.0,Education,3
20179.0,Law Enforcement,3
20179.0,Medical & Emergency,9
20181.0,Education,4
20181.0,Law Enforcement,2
20181.0,Medical & Emergency,5
20183.0,Education,4
20183.0,Law Enforcement,3
20183.0,Medical & Emergency,7
20185.0,Education,6
20185.0,Law Enforcement,6
20185.0,Medical & Emergency,10
20187.0,Education,2
20187.0,Law Enforcement,1
20187.0,Medical & Emergency,4
20189.0,Education,6
20189.0,Law Enforcement,2
20189.0,Medical & Emergency,4
20191.0,Education,26
20191.0,Law Enforcement,8
20191.0,Medical & Emergency,18
20193.0,Education,8
20193.0,Law Enforcement,4
20193.0,Medical & Emergency,8
20195.0,Education,2
20195.0,Law Enforcement,3
20195.0,Medical & Emergency,5
20197.0,Education,9
20197.0,Law Enforcement,5
20197.0,Medical & Emergency,12
20199.0,Education,4
20199.0,Law Enforcement,1
20199.0,Medical & Emergency,5
20201.0,Education,8
20201.0,Law Enforcement,1
20201.0,Medical & Emergency,16
20203.0,Education,2
20203.0,Law Enforcement,1
20203.0,Medical & Emergency,1
20205.0,Education,8
20205.0,Law Enforcement,4
20205.0,Medical & Emergency,19
20207.0,Education,2
20207.0,Law Enforcement,2
20207.0,Medical & Emergency,6
20209.0,Education,79
20209.0,Law Enforcement,10
20209.0,Medical & Emergency,26
21001.0,Education,5
21001.0,Law Enforcement,4
21001.0,Medical & Emergency,6
21003.0,Education,7
21003.0,Law Enforcement,2
21003.0,Medical & Emergency,13
21005.0,Education,8
21005.0,Law Enforcement,2
21005.0,Medical & Emergency,8
21007.0,Education,3
21007.0,Law Enforcement,1
21007.0,Medical & Emergency,9
21009.0,Education,21
21009.0,Law Enforcement,4
21009.0,Medical & Emergency,16
21011.0,Education,5
21011.0,Law Enforcement,2
21011.0,Medical & Emergency,6
21013.0,Education,19
21013.0,Law Enforcement,5
21013.0,Medical & Emergency,17
21015.0,Education,41
21015.0,Law Enforcement,4
21015.0,Medical & Emergency,20
21017.0,Education,9
21017.0,Law Enforcement,2
21017.0,Medical & Emergency,11
21019.0,Education,24
21019.0,Law Enforcement,7
21019.0,Medical & Emergency,12
21021.0,Education,17
21021.0,Law Enforcement,5
21021.0,Medical & Emergency,13
21023.0,Education,4
21023.0,Law Enforcement,3
21023.0,Medical & Emergency,4
21025.0,Education,12
21025.0,Law Enforcement,2
21025.0,Medical & Emergency,7
21027.0,Education,13
21027.0,Law Enforcement,4
21027.0,Medical & Emergency,9
21029.0,Education,28
21029.0,Law Enforcement,6
21029.0,Medical & Emergency,14
21031.0,Education,6
21031.0,Law Enforcement,2
21031.0,Medical & Emergency,8
21033.0,Education,5
21033.0,Law Enforcement,2
21033.0,Medical & Emergency,5
21035.0,Education,11
21035.0,Law Enforcement,2
21035.0,Medical & Emergency,16
21037.0,Education,39
21037.0,Law Enforcement,12
21037.0,Medical & Emergency,17
21039.0,Education,3
21039.0,Law Enforcement,2
21039.0,Medical & Emergency,7
21041.0,Education,8
21041.0,Law Enforcement,2
21041.0,Medical & Emergency,8
21043.0,Education,13
21043.0,Law Enforcement,3
21043.0,Medical & Emergency,7
21045.0,Education,11
21045.0,Law Enforcement,2
21045.0,Medical & Emergency,8
21047.0,Education,24
21047.0,Law Enforcement,5
21047.0,Medical & Emergency,24
21049.0,Education,14
21049.0,Law Enforcement,2
21049.0,Medical & Emergency,6
21051.0,Education,12
21051.0,Law Enforcement,3
21051.0,Medical & Emergency,12
21053.0,Education,5
21053.0,Law Enforcement,2
21053.0,Medical & Emergency,3
21055.0,Education,3
21055.0,Law Enforcement,2
21055.0,Medical & Emergency,8
21057.0,Education,3
21057.0,Law Enforcement,2
21057.0,Medical & Emergency,3
21059.0,Education,39
21059.0,Law Enforcement,2
21059.0,Medical & Emergency,21
21061.0,Education,5
21061.0,Law Enforcement,1
21061.0,Medical & Emergency,9
21063.0,Education,4
21063.0,Law Enforcement,2
21063.0,Medical & Emergency,3
21065.0,Education,4
21065.0,Law Enforcement,3
21065.0,Medical & Emergency,7
21067.0,Education,99
21067.0,Law Enforcement,9
21067.0,Medical & Emergency,38
21069.0,Education,6
21069.0,Law Enforcement,2
21069.0,Medical & Emergency,8
21071.0,Education,17
21071.0,Law Enforcement,4
21071.0,Medical & Emergency,27
21073.0,Education,20
21073.0,Law Enforcement,4
21073.0,Medical & Emergency,10
21075.0,Education,6
21075.0,Law Enforcement,4
21075.0,Medical & Emergency,3
21077.0,Education,4
21077.0,Law Enforcement,2
21077.0,Medical & Emergency,3
21079.0,Education,6
21079.0,Law Enforcement,2
21079.0,Medical & Emergency,12
21081.0,Education,9
21081.0,Law Enforcement,4
21081.0,Medical & Emergency,6
21083.0,Education,21
21083.0,Law Enforcement,3
21083.0,Medical & Emergency,19
21085.0,Education,8
21085.0,Law Enforcement,3
21085.0,Medical & Emergency,11
21087.0,Education,6
21087.0,Law Enforcement,2
21087.0,Medical & Emergency,6
21089.0,Education,17
21089.0,Law Enforcement,8
21089.0,Medical & Emergency,16
21091.0,Education,5
21091.0,Law Enforcement,3
21091.0,Medical & Emergency,6
21093.0,Education,34
21093.0,Law Enforcement,6
21093.0,Medical & Emergency,28
21095.0,Education,15
21095.0,Law Enforcement,8
21095.0,Medical & Emergency,19
21097.0,Education,10
21097.0,Law Enforcement,2
21097.0,Medical & Emergency,11
21099.0,Education,8
21099.0,Law Enforcement,3
21099.0,Medical & Emergency,11
21101.0,Education,14
21101.0,Law Enforcement,3
21101.0,Medical & Emergency,16
21103.0,Education,6
21103.0,Law Enforcement,6
21103.0,Medical & Emergency,9
21105.0,Education,2
21105.0,Law Enforcement,3
21105.0,Medical & Emergency,4
21107.0,Education,20
21107.0,Law Enforcement,4
21107.0,Medical & Emergency,19
21109.0,Education,7
21109.0,Law Enforcement,1
21109.0,Medical & Emergency,6
21111.0,Education,242
21111.0,Law Enforcement,23
21111.0,Medical & Emergency,78
21113.0,Education,20
21113.0,Law Enforcement,3
21113.0,Medical & Emergency,14
21115.0,Education,15
21115.0,Law Enforcement,3
21115.0,Medical & Emergency,16
21117.0,Education,60
21117.0,Law Enforcement,13
21117.0,Medical & Emergency,26
21119.0,Education,10
21119.0,Law Enforcement,2
21119.0,Medical & Emergency,10
21121.0,Education,17
21121.0,Law Enforcement,2
21121.0,Medical & Emergency,14
21123.0,Education,5
21123.0,Law Enforcement,2
21123.0,Medical & Emergency,5
21125.0,Education,24
21125.0,Law Enforcement,3
21125.0,Medical & Emergency,19
21127.0,Education,7
21127.0,Law Enforcement,2
21127.0,Medical & Emergency,7
21129.0,Education,3
21129.0,Law Enforcement,3
21129.0,Medical & Emergency,5
21131.0,Education,5
21131.0,Law Enforcement,2
21131.0,Medical & Emergency,8
21133.0,Education,14
21133.0,Law Enforcement,4
21133.0,Medical & Emergency,11
21135.0,Education,7
21135.0,Law Enforcement,2
21135.0,Medical & Emergency,8
21137.0,Education,11
21137.0,Law Enforcement,4
21137.0,Medical & Emergency,14
21139.0,Education,5
21139.0,Law Enforcement,1
21139.0,Medical & Emergency,10
21141.0,Education,10
21141.0,Law Enforcement,5
21141.0,Medical & Emergency,9
21143.0,Education,4
21143.0,Law Enforcement,4
21143.0,Medical & Emergency,5
21145.0,Education,27
21145.0,Law Enforcement,3
21145.0,Medical & Emergency,21
21147.0,Education,6
21147.0,Law Enforcement,2
21147.0,Medical & Emergency,10
21149.0,Education,5
21149.0,Law Enforcement,1
21149.0,Medical & Emergency,7
21151.0,Education,28
21151.0,Law Enforcement,4
21151.0,Medical & Emergency,17
21153.0,Education,3
21153.0,Law Enforcement,2
21153.0,Medical & Emergency,5
21155.0,Education,9
21155.0,Law Enforcement,2
21155.0,Medical & Emergency,8
21157.0,Education,11
21157.0,Law Enforcement,3
21157.0,Medical & Emergency,18
21159.0,Education,6
21159.0,Law Enforcement,2
21159.0,Medical & Emergency,6
21161.0,Education,7
21161.0,Law Enforcement,2
21161.0,Medical & Emergency,12
21163.0,Education,10
21163.0,Law Enforcement,2
21163.0,Medical & Emergency,9
21165.0,Education,5
21165.0,Law Enforcement,1
21165.0,Medical & Emergency,5
21167.0,Education,7
21167.0,Law Enforcement,3
21167.0,Medical & Emergency,11
21169.0,Education,3
21169.0,Law Enforcement,2
21169.0,Medical & Emergency,3
21171.0,Education,7
21171.0,Law Enforcement,3
21171.0,Medical & Emergency,8
21173.0,Education,14
21173.0,Law Enforcement,2
21173.0,Medical & Emergency,8
21175.0,Education,10
21175.0,Law Enforcement,3
21175.0,Medical & Emergency,10
21177.0,Education,12
21177.0,Law Enforcement,4
21177.0,Medical & Emergency,9
21179.0,Education,20
21179.0,Law Enforcement,4
21179.0,Medical & Emergency,14
21181.0,Education,2
21181.0,Law Enforcement,2
21181.0,Medical & Emergency,2
21183.0,Education,10
21183.0,Law Enforcement,3
21183.0,Medical & Emergency,11
21185.0,Education,21
21185.0,Law Enforcement,7
21185.0,Medical & Emergency,11
21187.0,Education,4
21187.0,Law Enforcement,2
21187.0,Medical & Emergency,6
21189.0,Education,2
21189.0,Law Enforcement,1
21189.0,Medical & Emergency,3
21191.0,Education,4
21191.0,Law Enforcement,2
21191.0,Medical & Emergency,4
