Geographic Area,Householder living alone—65 years and over,Lvng alone
"Cook County, Minnesota",13.70%,13.7
"Cooke County, Texas",11.10%,11.1
"Cooper County, Missouri",13.70%,13.7
"Coos County, New Hampshire",17.40%,17.4
"Coos County, Oregon",18%,18
"Coosa County, Alabama",13.50%,13.5
"Copiah County, Mississippi",12.30%,12.3
"Copper River Census Area, Alaska",12.40%,12.4
"Corozal Municipio, Puerto Rico",14.60%,14.6
"Corson County, South Dakota",8.30%,8.3
"Cortland County, New York",12%,12
"Coryell County, Texas",9.20%,9.2
"Coshocton County, Ohio",12.90%,12.9
"Costilla County, Colorado",16.50%,16.5
"Cottle County, Texas",25.40%,25.4
"Cotton County, Oklahoma",17.60%,17.6
"Cottonwood County, Minnesota",15.70%,15.7
"Covington city, Virginia",16.80%,16.8
"Covington County, Alabama",16.60%,16.6
"Covington County, Mississippi",9.50%,9.5
"Coweta County, Georgia",8.30%,8.3
"Cowley County, Kansas",15.80%,15.8
"Cowlitz County, Washington",13.70%,13.7
"Craig County, Oklahoma",15.10%,15.1
"Craig County, Virginia",10.90%,10.9
"Craighead County, Arkansas",10.20%,10.2
"Crane County, Texas",6.90%,6.9
"Craven County, North Carolina",14.30%,14.3
"Crawford County, Arkansas",11.20%,11.2
"Crawford County, Georgia",13.60%,13.6
"Crawford County, Illinois",13.50%,13.5
"Crawford County, Indiana",11.60%,11.6
"Crawford County, Iowa",12.70%,12.7
"Crawford County, Kansas",12.60%,12.6
"Crawford County, Michigan",15.30%,15.3
"Crawford County, Missouri",14.90%,14.9
"Crawford County, Ohio",14.90%,14.9
"Crawford County, Pennsylvania",13.90%,13.9
"Crawford County, Wisconsin",15.10%,15.1
"Creek County, Oklahoma",11.90%,11.9
"Crenshaw County, Alabama",14.10%,14.1
"Crisp County, Georgia",15.60%,15.6
"Crittenden County, Arkansas",9.80%,9.8
"Crittenden County, Kentucky",18.50%,18.5
"Crockett County, Tennessee",10.20%,10.2
"Crockett County, Texas",7.50%,7.5
"Crook County, Oregon",12.90%,12.9
"Crook County, Wyoming",12.80%,12.8
"Crosby County, Texas",8.40%,8.4
"Cross County, Arkansas",12.90%,12.9
"Crow Wing County, Minnesota",13.80%,13.8
"Crowley County, Colorado",21.10%,21.1
"Culberson County, Texas",31.80%,31.8
"Culebra Municipio, Puerto Rico",24.80%,24.8
"Cullman County, Alabama",12.60%,12.6
"Culpeper County, Virginia",8.30%,8.3
"Cumberland County, Illinois",16.50%,16.5
"Cumberland County, Kentucky",18.70%,18.7
"Cumberland County, Maine",13.20%,13.2
"Cumberland County, New Jersey",12.80%,12.8
"Cumberland County, North Carolina",10.20%,10.2
"Cumberland County, Pennsylvania",12.90%,12.9
"Cumberland County, Tennessee",15.50%,15.5
"Cumberland County, Virginia",12.10%,12.1
"Cuming County, Nebraska",15.40%,15.4
"Currituck County, North Carolina",9.90%,9.9
"Curry County, New Mexico",12.10%,12.1
"Curry County, Oregon",17.20%,17.2
"Custer County, Colorado",12.70%,12.7
"Custer County, Idaho",13.40%,13.4
"Custer County, Montana",15.20%,15.2
"Custer County, Nebraska",15%,15
"Custer County, Oklahoma",8.80%,8.8
"Custer County, South Dakota",17.60%,17.6
"Cuyahoga County, Ohio",15.20%,15.2
"Dade County, Georgia",12.60%,12.6
"Dade County, Missouri",15.60%,15.6
"Daggett County, Utah",13.60%,13.6
"Dakota County, Minnesota",10.80%,10.8
"Dakota County, Nebraska",9.70%,9.7
"Dale County, Alabama",13.60%,13.6
"Dallam County, Texas",6.30%,6.3
"Dallas County, Alabama",18.40%,18.4
"Dallas County, Arkansas",22%,22
"Dallas County, Iowa",8.30%,8.3
"Dallas County, Missouri",11.10%,11.1
"Dallas County, Texas",7.90%,7.9
"Dane County, Wisconsin",9.90%,9.9
"Daniels County, Montana",23.50%,23.5
"Danville city, Virginia",18.80%,18.8
"Dare County, North Carolina",14.80%,14.8
"Darke County, Ohio",15.90%,15.9
"Darlington County, South Carolina",14.30%,14.3
"Dauphin County, Pennsylvania",11.70%,11.7
"Davidson County, North Carolina",12.70%,12.7
"Davidson County, Tennessee",10.20%,10.2
"Davie County, North Carolina",14.50%,14.5
"Daviess County, Indiana",11.30%,11.3
"Daviess County, Kentucky",13.30%,13.3
"Daviess County, Missouri",12.60%,12.6
"Davis County, Iowa",11.70%,11.7
"Davis County, Utah",6.40%,6.4
"Davison County, South Dakota",16%,16
"Dawes County, Nebraska",13.30%,13.3
"Dawson County, Georgia",11.10%,11.1
"Dawson County, Montana",16.60%,16.6
"Dawson County, Nebraska",13.30%,13.3
"Dawson County, Texas",13.50%,13.5
"Day County, South Dakota",18.40%,18.4
"De Baca County, New Mexico",27.40%,27.4
"De Soto Parish, Louisiana",12.80%,12.8
"De Witt County, Illinois",14.80%,14.8
"Deaf Smith County, Texas",7.80%,7.8
"Dearborn County, Indiana",12.50%,12.5
"Decatur County, Georgia",12.50%,12.5
"Decatur County, Indiana",10%,10
"Decatur County, Iowa",12.90%,12.9
"Decatur County, Kansas",23.60%,23.6
"Decatur County, Tennessee",15.80%,15.8
"Deer Lodge County, Montana",19.30%,19.3
"Defiance County, Ohio",10.30%,10.3
"DeKalb County, Alabama",12.70%,12.7
"DeKalb County, Georgia",10.20%,10.2
"DeKalb County, Illinois",9%,9
"DeKalb County, Indiana",12.20%,12.2
"DeKalb County, Missouri",18.90%,18.9
"DeKalb County, Tennessee",12.70%,12.7
"Del Norte County, California",13.70%,13.7
"Delaware County, Indiana",12.10%,12.1
"Delaware County, Iowa",11.90%,11.9
"Delaware County, New York",17.50%,17.5
"Delaware County, Ohio",8.80%,8.8
"Delaware County, Oklahoma",16.20%,16.2
"Delaware County, Pennsylvania",12.70%,12.7
"Delta County, Colorado",16.70%,16.7
"Delta County, Michigan",16.20%,16.2
"Delta County, Texas",12.50%,12.5
"Denali Borough, Alaska",19.20%,19.2
"Dent County, Missouri",18.10%,18.1
"Denton County, Texas",6%,6
"Denver County, Colorado",9.80%,9.8
"Des Moines County, Iowa",15.70%,15.7
"Deschutes County, Oregon",10.90%,10.9
"Desha County, Arkansas",18.40%,18.4
"DeSoto County, Florida",13.40%,13.4
"DeSoto County, Mississippi",7.60%,7.6
"Deuel County, Nebraska",15.30%,15.3
"Deuel County, South Dakota",16.30%,16.3
"Dewey County, Oklahoma",12.60%,12.6
"Dewey County, South Dakota",8.80%,8.8
"DeWitt County, Texas",16.50%,16.5
"Dickens County, Texas",16.10%,16.1
"Dickenson County, Virginia",14.80%,14.8
"Dickey County, North Dakota",12%,12
"Dickinson County, Iowa",19.10%,19.1
"Dickinson County, Kansas",15.10%,15.1
"Dickinson County, Michigan",14.70%,14.7
"Dickson County, Tennessee",12%,12
"Dillingham Census Area, Alaska",7.70%,7.7
"Dillon County, South Carolina",11.50%,11.5
"Dimmit County, Texas",12.20%,12.2
"Dinwiddie County, Virginia",11.50%,11.5
"District of Columbia, District of Columbia",10.60%,10.6
"Divide County, North Dakota",12.40%,12.4
"Dixie County, Florida",16%,16
"Dixon County, Nebraska",14.40%,14.4
"Doddridge County, West Virginia",13.80%,13.8
"Dodge County, Georgia",13.70%,13.7
"Dodge County, Minnesota",8.70%,8.7
"Dodge County, Nebraska",14.90%,14.9
"Dodge County, Wisconsin",12.90%,12.9
"Dolores County, Colorado",13.80%,13.8
"Doña Ana County, New Mexico",10.10%,10.1
"Doniphan County, Kansas",13.50%,13.5
"Donley County, Texas",12.80%,12.8
"Dooly County, Georgia",11.40%,11.4
"Door County, Wisconsin",17.80%,17.8
"Dorado Municipio, Puerto Rico",13.60%,13.6
"Dorchester County, Maryland",15.50%,15.5
"Dorchester County, South Carolina",8.60%,8.6
"Dougherty County, Georgia",14.40%,14.4
"Douglas County, Colorado",7%,7
"Douglas County, Georgia",7.50%,7.5
"Douglas County, Illinois",15.40%,15.4
"Douglas County, Kansas",9%,9
"Douglas County, Minnesota",13.20%,13.2
"Douglas County, Missouri",15.80%,15.8
"Douglas County, Nebraska",10.60%,10.6
"Douglas County, Nevada",12.30%,12.3
"Douglas County, Oregon",14.20%,14.2
"Douglas County, South Dakota",13.70%,13.7
"Douglas County, Washington",11.90%,11.9
"Douglas County, Wisconsin",13.80%,13.8
"Drew County, Arkansas",17%,17
"Dubois County, Indiana",12.30%,12.3
"Dubuque County, Iowa",12.60%,12.6
"Duchesne County, Utah",6.90%,6.9
"Dukes County, Massachusetts",17.60%,17.6
"Dundy County, Nebraska",18.90%,18.9
"Dunklin County, Missouri",15.30%,15.3
"Dunn County, North Dakota",15.80%,15.8
"Dunn County, Wisconsin",13.10%,13.1
"DuPage County, Illinois",10.80%,10.8
"Duplin County, North Carolina",12.90%,12.9
"Durham County, North Carolina",9.60%,9.6
"Dutchess County, New York",13.60%,13.6
"Duval County, Florida",10%,10
"Duval County, Texas",16.60%,16.6
"Dyer County, Tennessee",14%,14
"Eagle County, Colorado",7.20%,7.2
"Early County, Georgia",12.80%,12.8
"East Baton Rouge Parish, Louisiana",11.30%,11.3
"East Carroll Parish, Louisiana",15.50%,15.5
"East Feliciana Parish, Louisiana",18.20%,18.2
"Eastland County, Texas",16.90%,16.9
"Eaton County, Michigan",12.40%,12.4
"Eau Claire County, Wisconsin",12%,12
"Echols County, Georgia",8.30%,8.3
"Ector County, Texas",9%,9
"Eddy County, New Mexico",11.40%,11.4
"Eddy County, North Dakota",21.30%,21.3
"Edgar County, Illinois",13.90%,13.9
"Edgecombe County, North Carolina",16.40%,16.4
"Edgefield County, South Carolina",12.90%,12.9
"Edmonson County, Kentucky",13.20%,13.2
"Edmunds County, South Dakota",13%,13
"Edwards County, Illinois",11.70%,11.7
"Edwards County, Kansas",19.40%,19.4
"Edwards County, Texas",35.20%,35.2
"Effingham County, Georgia",5.80%,5.8
"Effingham County, Illinois",12%,12
"El Dorado County, California",12.20%,12.2
"El Paso County, Colorado",8.80%,8.8
"El Paso County, Texas",9%,9
"Elbert County, Colorado",6.80%,6.8
"Elbert County, Georgia",14.30%,14.3
"Elk County, Kansas",18%,18
"Elk County, Pennsylvania",16.30%,16.3
"Elkhart County, Indiana",10.80%,10.8
"Elko County, Nevada",7.30%,7.3
"Elliott County, Kentucky",13%,13
"Ellis County, Kansas",13%,13
"Ellis County, Oklahoma",20.20%,20.2
"Ellis County, Texas",7.20%,7.2
"Ellsworth County, Kansas",18.80%,18.8
"Elmore County, Alabama",10.50%,10.5
"Elmore County, Idaho",11%,11
"Emanuel County, Georgia",13.60%,13.6
"Emery County, Utah",9.60%,9.6
"Emmet County, Iowa",17%,17
"Emmet County, Michigan",12.20%,12.2
"Emmons County, North Dakota",20.50%,20.5
"Emporia city, Virginia",18.10%,18.1
"Erath County, Texas",11.20%,11.2
"Erie County, New York",14.50%,14.5
"Erie County, Ohio",14%,14
"Erie County, Pennsylvania",14.10%,14.1
"Escambia County, Alabama",17.20%,17.2
"Escambia County, Florida",11.70%,11.7
"Esmeralda County, Nevada",11.10%,11.1
"Essex County, Massachusetts",12.60%,12.6
"Essex County, New Jersey",11.20%,11.2
"Essex County, New York",16.10%,16.1
"Essex County, Vermont",19.30%,19.3
"Essex County, Virginia",16.60%,16.6
"Estill County, Kentucky",13%,13
"Etowah County, Alabama",14.90%,14.9
"Eureka County, Nevada",4.60%,4.6
"Evangeline Parish, Louisiana",13.60%,13.6
"Evans County, Georgia",14.30%,14.3
"Fairbanks North Star Borough, Alaska",8.90%,8.9
"Fairfax city, Virginia",8.40%,8.4
"Fairfax County, Virginia",8.70%,8.7
"Fairfield County, Ohio",10.70%,10.7
"Fairfield County, South Carolina",13.60%,13.6
"Fajardo Municipio, Puerto Rico",16.10%,16.1
"Fall River County, South Dakota",18.90%,18.9
"Fallon County, Montana",10.30%,10.3
"Falls Church city, Virginia",11%,11
"Falls County, Texas",19.70%,19.7
"Fannin County, Georgia",14.40%,14.4
"Fannin County, Texas",13.50%,13.5
"Faribault County, Minnesota",15%,15
"Faulk County, South Dakota",21.80%,21.8
"Faulkner County, Arkansas",8.20%,8.2
"Fauquier County, Virginia",10.80%,10.8
"Fayette County, Alabama",16.40%,16.4
"Fayette County, Georgia",10.40%,10.4
"Fayette County, Illinois",15.40%,15.4
"Fayette County, Indiana",14.60%,14.6
"Fayette County, Iowa",17%,17
"Fayette County, Kentucky",10.80%,10.8
"Fayette County, Ohio",13.40%,13.4
"Fayette County, Pennsylvania",15.20%,15.2
"Fayette County, Tennessee",11.50%,11.5
"Fayette County, Texas",15.90%,15.9
"Fayette County, West Virginia",15.60%,15.6
"Fentress County, Tennessee",16.60%,16.6
"Fergus County, Montana",15.60%,15.6
"Ferry County, Washington",22.10%,22.1
"Fillmore County, Minnesota",13.90%,13.9
"Fillmore County, Nebraska",16.10%,16.1
"Finney County, Kansas",9.50%,9.5
"Fisher County, Texas",17.20%,17.2
"Flagler County, Florida",13%,13
"Flathead County, Montana",14.60%,14.6
"Fleming County, Kentucky",15.10%,15.1
"Florence County, South Carolina",12.70%,12.7
"Florence County, Wisconsin",11.90%,11.9
"Florida Municipio, Puerto Rico",11.30%,11.3
"Floyd County, Georgia",12%,12
"Floyd County, Indiana",10.80%,10.8
"Floyd County, Iowa",15.20%,15.2
"Floyd County, Kentucky",12.20%,12.2
"Floyd County, Texas",14.90%,14.9
"Floyd County, Virginia",17.20%,17.2
"Fluvanna County, Virginia",12.20%,12.2
"Foard County, Texas",19%,19
"Fond du Lac County, Wisconsin",12.80%,12.8
"Ford County, Illinois",13.10%,13.1
"Ford County, Kansas",10.50%,10.5
"Forest County, Pennsylvania",22.70%,22.7
"Forest County, Wisconsin",15.10%,15.1
"Forrest County, Mississippi",9.80%,9.8
"Forsyth County, Georgia",6.20%,6.2
"Forsyth County, North Carolina",11.90%,11.9
"Fort Bend County, Texas",5.30%,5.3
"Foster County, North Dakota",14.30%,14.3
"Fountain County, Indiana",13.60%,13.6
"Franklin city, Virginia",13.40%,13.4
"Franklin County, Alabama",13.60%,13.6
"Franklin County, Arkansas",15.70%,15.7
"Franklin County, Florida",16.80%,16.8
"Franklin County, Georgia",9.70%,9.7
"Franklin County, Idaho",6.60%,6.6
"Franklin County, Illinois",17.30%,17.3
"Franklin County, Indiana",14.90%,14.9
"Franklin County, Iowa",12.70%,12.7
"Franklin County, Kansas",9.80%,9.8
"Franklin County, Kentucky",13.80%,13.8
"Franklin County, Maine",14.30%,14.3
"Franklin County, Massachusetts",16.50%,16.5
"Franklin County, Mississippi",14.40%,14.4
"Franklin County, Missouri",12.70%,12.7
"Franklin County, Nebraska",13.10%,13.1
"Franklin County, New York",14.80%,14.8
"Franklin County, North Carolina",10.30%,10.3
"Franklin County, Ohio",9.50%,9.5
"Franklin County, Pennsylvania",12.80%,12.8
"Franklin County, Tennessee",14.20%,14.2
"Franklin County, Texas",12.10%,12.1
"Franklin County, Vermont",12.90%,12.9
"Franklin County, Virginia",15.10%,15.1
"Franklin County, Washington",7.30%,7.3
"Franklin Parish, Louisiana",14.60%,14.6
"Frederick County, Maryland",9.40%,9.4
"Frederick County, Virginia",11.60%,11.6
"Fredericksburg city, Virginia",12.10%,12.1
"Freeborn County, Minnesota",16.20%,16.2
"Freestone County, Texas",15.90%,15.9
"Fremont County, Colorado",14.70%,14.7
"Fremont County, Idaho",9.20%,9.2
"Fremont County, Iowa",11.70%,11.7
"Fremont County, Wyoming",13.60%,13.6
"Fresno County, California",9.50%,9.5
"Frio County, Texas",15%,15
"Frontier County, Nebraska",17.30%,17.3
"Fulton County, Arkansas",19.60%,19.6
"Fulton County, Georgia",9.40%,9.4
"Fulton County, Illinois",13.80%,13.8
"Fulton County, Indiana",13.30%,13.3
"Fulton County, Kentucky",14.60%,14.6
"Fulton County, New York",13.70%,13.7
"Fulton County, Ohio",12.50%,12.5
"Fulton County, Pennsylvania",14.60%,14.6
"Furnas County, Nebraska",18.10%,18.1
"Gadsden County, Florida",14.80%,14.8
"Gage County, Nebraska",17.20%,17.2
"Gaines County, Texas",9.10%,9.1
"Galax city, Virginia",17.90%,17.9
"Gallatin County, Illinois",17.70%,17.7
"Gallatin County, Kentucky",10.20%,10.2
"Gallatin County, Montana",7.50%,7.5
"Gallia County, Ohio",14.80%,14.8
"Galveston County, Texas",9.90%,9.9
"Garden County, Nebraska",21%,21
"Garfield County, Colorado",9%,9
"Garfield County, Montana",12.10%,12.1
"Garfield County, Nebraska",14.10%,14.1
"Garfield County, Oklahoma",12.40%,12.4
"Garfield County, Utah",14.10%,14.1
"Garfield County, Washington",20.60%,20.6
"Garland County, Arkansas",16.30%,16.3
"Garrard County, Kentucky",9.90%,9.9
"Garrett County, Maryland",15.90%,15.9
"Garvin County, Oklahoma",13.90%,13.9
"Garza County, Texas",18.20%,18.2
"Gasconade County, Missouri",13.60%,13.6
"Gaston County, North Carolina",12.50%,12.5
"Gates County, North Carolina",18.20%,18.2
"Geary County, Kansas",6.70%,6.7
"Geauga County, Ohio",11.30%,11.3
"Gem County, Idaho",15.20%,15.2
"Genesee County, Michigan",13.50%,13.5
"Genesee County, New York",14.10%,14.1
"Geneva County, Alabama",14.90%,14.9
"Gentry County, Missouri",16.40%,16.4
"George County, Mississippi",10.60%,10.6
"Georgetown County, South Carolina",16.90%,16.9
"Gibson County, Indiana",11.50%,11.5
"Gibson County, Tennessee",12.30%,12.3
"Gila County, Arizona",20%,20
"Gilchrist County, Florida",10.40%,10.4
"Giles County, Tennessee",15.60%,15.6
"Giles County, Virginia",16.20%,16.2
"Gillespie County, Texas",17.30%,17.3
"Gilliam County, Oregon",24%,24
"Gilmer County, Georgia",13.60%,13.6
"Gilmer County, West Virginia",12.90%,12.9
"Gilpin County, Colorado",8.20%,8.2
"Glacier County, Montana",10.30%,10.3
"Glades County, Florida",13.20%,13.2
"Gladwin County, Michigan",16.20%,16.2
"Glascock County, Georgia",11.20%,11.2
"Glasscock County, Texas",6%,6
"Glenn County, California",10.10%,10.1
"Gloucester County, New Jersey",11.10%,11.1
"Gloucester County, Virginia",10.50%,10.5
"Glynn County, Georgia",12.80%,12.8
"Gogebic County, Michigan",19.50%,19.5
"Golden Valley County, Montana",19.20%,19.2
"Golden Valley County, North Dakota",15.30%,15.3
"Goliad County, Texas",18.90%,18.9
"Gonzales County, Texas",10.70%,10.7
"Goochland County, Virginia",11%,11
"Goodhue County, Minnesota",13.90%,13.9
"Gooding County, Idaho",13%,13
"Gordon County, Georgia",11.10%,11.1
"Goshen County, Wyoming",20.10%,20.1
"Gosper County, Nebraska",10.90%,10.9
"Gove County, Kansas",17.60%,17.6
"Grady County, Georgia",15.20%,15.2
"Grady County, Oklahoma",11.40%,11.4
"Grafton County, New Hampshire",15.10%,15.1
"Graham County, Arizona",9%,9
"Graham County, Kansas",21%,21
"Graham County, North Carolina",13.30%,13.3
"Grainger County, Tennessee",14.20%,14.2
"Grand County, Colorado",13.70%,13.7
"Grand County, Utah",16.10%,16.1
"Grand Forks County, North Dakota",11.90%,11.9
"Grand Isle County, Vermont",10.90%,10.9
"Grand Traverse County, Michigan",14.40%,14.4
"Granite County, Montana",19.10%,19.1
"Grant County, Arkansas",12.50%,12.5
"Grant County, Indiana",13.80%,13.8
"Grant County, Kansas",6.90%,6.9
"Grant County, Kentucky",7.70%,7.7
"Grant County, Minnesota",14.70%,14.7
"Grant County, Nebraska",15.30%,15.3
"Grant County, New Mexico",19.30%,19.3
"Grant County, North Dakota",22%,22
"Grant County, Oklahoma",18.80%,18.8
"Grant County, Oregon",21.70%,21.7
"Grant County, South Dakota",15.90%,15.9
"Grant County, Washington",11.20%,11.2
"Grant County, West Virginia",19%,19
"Grant County, Wisconsin",12.40%,12.4
"Grant Parish, Louisiana",13.20%,13.2
"Granville County, North Carolina",11.10%,11.1
"Gratiot County, Michigan",12.90%,12.9
"Graves County, Kentucky",13.60%,13.6
"Gray County, Kansas",13.30%,13.3
"Gray County, Texas",11.60%,11.6
"Grays Harbor County, Washington",15.40%,15.4
"Grayson County, Kentucky",17%,17
"Grayson County, Texas",12.20%,12.2
"Grayson County, Virginia",15.20%,15.2
"Greater Bridgeport Planning Region, Connecticut",13%,13
"Greeley County, Kansas",12.10%,12.1
"Greeley County, Nebraska",19.10%,19.1
"Green County, Kentucky",13.40%,13.4
"Green County, Wisconsin",14%,14
"Green Lake County, Wisconsin",14.10%,14.1
"Greenbrier County, West Virginia",19.40%,19.4
"Greene County, Alabama",26.90%,26.9
"Greene County, Arkansas",13.20%,13.2
"Greene County, Georgia",15.40%,15.4
"Greene County, Illinois",16.10%,16.1
"Greene County, Indiana",13.80%,13.8
"Greene County, Iowa",19.90%,19.9
"Greene County, Mississippi",13.80%,13.8
"Greene County, Missouri",12.20%,12.2
"Greene County, New York",17.90%,17.9
"Greene County, North Carolina",15.50%,15.5
"Greene County, Ohio",11%,11
"Greene County, Pennsylvania",14.20%,14.2
"Greene County, Tennessee",15.60%,15.6
"Greene County, Virginia",10.20%,10.2
"Greenlee County, Arizona",11.80%,11.8
"Greensville County, Virginia",14.50%,14.5
"Greenup County, Kentucky",16.90%,16.9
"Greenville County, South Carolina",10.50%,10.5
"Greenwood County, Kansas",19.10%,19.1
"Greenwood County, South Carolina",14.50%,14.5
"Greer County, Oklahoma",20.90%,20.9
"Gregg County, Texas",11.60%,11.6
"Gregory County, South Dakota",19%,19
"Grenada County, Mississippi",12.80%,12.8
"Griggs County, North Dakota",20.10%,20.1
"Grimes County, Texas",13.60%,13.6
"Grundy County, Illinois",10.90%,10.9
"Grundy County, Iowa",13.70%,13.7
"Grundy County, Missouri",17.90%,17.9
"Grundy County, Tennessee",11%,11
"Guadalupe County, New Mexico",11.40%,11.4
"Guadalupe County, Texas",8.10%,8.1
"Guánica Municipio, Puerto Rico",17%,17
"Guayama Municipio, Puerto Rico",14.70%,14.7
"Guayanilla Municipio, Puerto Rico",13.50%,13.5
"Guaynabo Municipio, Puerto Rico",17%,17
"Guernsey County, Ohio",14%,14
"Guilford County, North Carolina",11%,11
"Gulf County, Florida",13%,13
"Gunnison County, Colorado",7.60%,7.6
"Gurabo Municipio, Puerto Rico",9.90%,9.9
"Guthrie County, Iowa",12.40%,12.4
"Gwinnett County, Georgia",5.70%,5.7
"Haakon County, South Dakota",19.90%,19.9
"Habersham County, Georgia",13.10%,13.1
"Haines Borough, Alaska",24%,24
"Hale County, Alabama",19.90%,19.9
"Hale County, Texas",12.10%,12.1
"Halifax County, North Carolina",17.20%,17.2
"Halifax County, Virginia",20.70%,20.7
"Hall County, Georgia",9.10%,9.1
"Hall County, Nebraska",12%,12
"Hall County, Texas",14%,14
"Hamblen County, Tennessee",12.60%,12.6
"Hamilton County, Florida",11.50%,11.5
"Hamilton County, Illinois",18.80%,18.8
"Hamilton County, Indiana",7.90%,7.9
"Hamilton County, Iowa",19%,19
"Hamilton County, Kansas",15.60%,15.6
"Hamilton County, Nebraska",11.10%,11.1
"Hamilton County, New York",12.60%,12.6
"Hamilton County, Ohio",12.40%,12.4
"Hamilton County, Tennessee",12.40%,12.4
"Hamilton County, Texas",21.70%,21.7
"Hamlin County, South Dakota",7.50%,7.5
"Hampden County, Massachusetts",13.70%,13.7
"Hampshire County, Massachusetts",13.90%,13.9
"Hampshire County, West Virginia",19.30%,19.3
"Hampton city, Virginia",11.40%,11.4
"Hampton County, South Carolina",15.50%,15.5
"Hancock County, Georgia",21.70%,21.7
"Hancock County, Illinois",17.60%,17.6
"Hancock County, Indiana",11.40%,11.4
"Hancock County, Iowa",13.60%,13.6
"Hancock County, Kentucky",6.40%,6.4
"Hancock County, Maine",17.10%,17.1
"Hancock County, Mississippi",14.60%,14.6
"Hancock County, Ohio",13.30%,13.3
"Hancock County, Tennessee",21%,21
"Hancock County, West Virginia",17.80%,17.8
"Hand County, South Dakota",18.30%,18.3
"Hanover County, Virginia",11.10%,11.1
"Hansford County, Texas",10.20%,10.2
"Hanson County, South Dakota",8.30%,8.3
"Haralson County, Georgia",10.50%,10.5
"Hardee County, Florida",7.50%,7.5
"Hardeman County, Tennessee",13.50%,13.5
"Hardeman County, Texas",15.90%,15.9
"Hardin County, Illinois",15%,15
"Hardin County, Iowa",14.90%,14.9
"Hardin County, Kentucky",11.30%,11.3
"Hardin County, Ohio",12.30%,12.3
"Hardin County, Tennessee",13.90%,13.9
"Hardin County, Texas",12.10%,12.1
"Harding County, New Mexico",29.20%,29.2
"Harding County, South Dakota",7.10%,7.1
"Hardy County, West Virginia",12.10%,12.1
"Harford County, Maryland",10.30%,10.3
"Harlan County, Kentucky",12%,12
"Harlan County, Nebraska",20.60%,20.6
"Harmon County, Oklahoma",12.10%,12.1
"Harnett County, North Carolina",10.30%,10.3
"Harney County, Oregon",14.30%,14.3
"Harper County, Kansas",16.30%,16.3
"Harper County, Oklahoma",17.90%,17.9
"Harris County, Georgia",8.90%,8.9
"Harris County, Texas",7.40%,7.4
"Harrison County, Indiana",13.10%,13.1
"Harrison County, Iowa",11.60%,11.6
"Harrison County, Kentucky",16%,16
"Harrison County, Mississippi",11%,11
"Harrison County, Missouri",14.70%,14.7
"Harrison County, Ohio",16%,16
"Harrison County, Texas",10.40%,10.4
"Harrison County, West Virginia",16%,16
"Harrisonburg city, Virginia",9.40%,9.4
"Hart County, Georgia",14.30%,14.3
"Hart County, Kentucky",14%,14
"Hartley County, Texas",16.20%,16.2
"Harvey County, Kansas",16.50%,16.5
"Haskell County, Kansas",12%,12
"Haskell County, Oklahoma",13.30%,13.3
"Haskell County, Texas",16%,16
"Hatillo Municipio, Puerto Rico",11.60%,11.6
"Hawaii County, Hawaii",13.60%,13.6
"Hawkins County, Tennessee",13.80%,13.8
"Hayes County, Nebraska",15.20%,15.2
"Hays County, Texas",6.60%,6.6
"Haywood County, North Carolina",17.10%,17.1
"Haywood County, Tennessee",13.20%,13.2
"Heard County, Georgia",13.30%,13.3
"Hemphill County, Texas",13.50%,13.5
"Hempstead County, Arkansas",14.60%,14.6
"Henderson County, Illinois",15.80%,15.8
"Henderson County, Kentucky",13.40%,13.4
"Henderson County, North Carolina",15%,15
"Henderson County, Tennessee",13.90%,13.9
"Henderson County, Texas",14.30%,14.3
"Hendricks County, Indiana",8%,8
"Hendry County, Florida",7.40%,7.4
"Hennepin County, Minnesota",11.30%,11.3
"Henrico County, Virginia",12.90%,12.9
"Henry County, Alabama",18.10%,18.1
"Henry County, Georgia",9%,9
"Henry County, Illinois",15.90%,15.9
"Henry County, Indiana",13.80%,13.8
"Henry County, Iowa",15.50%,15.5
"Henry County, Kentucky",11.20%,11.2
"Henry County, Missouri",16.60%,16.6
"Henry County, Ohio",13.10%,13.1
"Henry County, Tennessee",16.30%,16.3
"Henry County, Virginia",18.40%,18.4
"Herkimer County, New York",16.50%,16.5
"Hernando County, Florida",15%,15
"Hertford County, North Carolina",16.40%,16.4
"Hettinger County, North Dakota",23.60%,23.6
"Hickman County, Kentucky",14.60%,14.6
"Hickman County, Tennessee",12.60%,12.6
"Hickory County, Missouri",26.20%,26.2
"Hidalgo County, New Mexico",18.60%,18.6
"Hidalgo County, Texas",7.70%,7.7
"Highland County, Ohio",12.80%,12.8
"Highland County, Virginia",16.90%,16.9
"Highlands County, Florida",19%,19
"Hill County, Montana",12.50%,12.5
"Hill County, Texas",16.20%,16.2
"Hillsborough County, Florida",9.10%,9.1
"Hillsborough County, New Hampshire",10.50%,10.5
"Hillsdale County, Michigan",13.70%,13.7
"Hinds County, Mississippi",11.80%,11.8
"Hinsdale County, Colorado",14.60%,14.6
"Hitchcock County, Nebraska",20.30%,20.3
"Hocking County, Ohio",11.30%,11.3
"Hockley County, Texas",14.40%,14.4
"Hodgeman County, Kansas",22.80%,22.8
"Hoke County, North Carolina",9.50%,9.5
"Holmes County, Florida",17.70%,17.7
"Holmes County, Mississippi",14.90%,14.9
"Holmes County, Ohio",8.30%,8.3
"Holt County, Missouri",20.80%,20.8
