Geographic Area,Percentage Children under 6 years,Child under 6 yrs
"Cook County, Georgia",24.90%,24.9
"Cook County, Illinois",21.90%,21.9
"Cook County, Minnesota",26.80%,26.8
"Cooke County, Texas",21.20%,21.2
"Cooper County, Missouri",35.20%,35.2
"Coos County, New Hampshire",29%,29
"Coos County, Oregon",23.50%,23.5
"Coosa County, Alabama",11.40%,11.4
"Copiah County, Mississippi",18.20%,18.2
"Copper River Census Area, Alaska",23%,23
"Corozal Municipio, Puerto Rico",12%,12
"Corson County, South Dakota",9.30%,9.3
"Cortland County, New York",23.20%,23.2
"Coryell County, Texas",28.90%,28.9
"Coshocton County, Ohio",24.90%,24.9
"Costilla County, Colorado",16.20%,16.2
"Cottle County, Texas",22%,22
"Cotton County, Oklahoma",24.80%,24.8
"Cottonwood County, Minnesota",17.70%,17.7
"Covington city, Virginia",14.90%,14.9
"Covington County, Alabama",19.30%,19.3
"Covington County, Mississippi",14.30%,14.3
"Coweta County, Georgia",17.70%,17.7
"Cowley County, Kansas",18.90%,18.9
"Cowlitz County, Washington",19.60%,19.6
"Craig County, Oklahoma",14.40%,14.4
"Craig County, Virginia",13.70%,13.7
"Craighead County, Arkansas",17.30%,17.3
"Crane County, Texas",9%,9
"Craven County, North Carolina",26.90%,26.9
"Crawford County, Arkansas",21%,21
"Crawford County, Georgia",6.10%,6.1
"Crawford County, Illinois",22.20%,22.2
"Crawford County, Indiana",25.10%,25.1
"Crawford County, Iowa",15.80%,15.8
"Crawford County, Kansas",28.20%,28.2
"Crawford County, Michigan",18.50%,18.5
"Crawford County, Missouri",18.40%,18.4
"Crawford County, Ohio",25.50%,25.5
"Crawford County, Pennsylvania",21.90%,21.9
"Crawford County, Wisconsin",20.80%,20.8
"Creek County, Oklahoma",23.40%,23.4
"Crenshaw County, Alabama",14%,14
"Crisp County, Georgia",15.50%,15.5
"Crittenden County, Arkansas",26.60%,26.6
"Crittenden County, Kentucky",25.30%,25.3
"Crockett County, Tennessee",13.10%,13.1
"Crockett County, Texas",19%,19
"Crook County, Oregon",25.20%,25.2
"Crook County, Wyoming",18.10%,18.1
"Crosby County, Texas",13.60%,13.6
"Cross County, Arkansas",30.50%,30.5
"Crow Wing County, Minnesota",22.40%,22.4
"Crowley County, Colorado",16.30%,16.3
"Culberson County, Texas",6.40%,6.4
"Culebra Municipio, Puerto Rico",0%,0
"Cullman County, Alabama",20.50%,20.5
"Culpeper County, Virginia",16.20%,16.2
"Cumberland County, Illinois",17.40%,17.4
"Cumberland County, Kentucky",45.50%,45.5
"Cumberland County, Maine",24.80%,24.8
"Cumberland County, New Jersey",19.10%,19.1
"Cumberland County, North Carolina",25.20%,25.2
"Cumberland County, Pennsylvania",21.10%,21.1
"Cumberland County, Tennessee",19.40%,19.4
"Cumberland County, Virginia",17.80%,17.8
"Cuming County, Nebraska",16.60%,16.6
"Currituck County, North Carolina",14.40%,14.4
"Curry County, New Mexico",24.90%,24.9
"Curry County, Oregon",38.20%,38.2
"Custer County, Colorado",7.30%,7.3
"Custer County, Idaho",9.90%,9.9
"Custer County, Montana",18%,18
"Custer County, Nebraska",30.90%,30.9
"Custer County, Oklahoma",23.80%,23.8
"Custer County, South Dakota",24.30%,24.3
"Cuyahoga County, Ohio",22%,22
"Dade County, Georgia",23.40%,23.4
"Dade County, Missouri",12%,12
"Daggett County, Utah",5.20%,5.2
"Dakota County, Minnesota",21.80%,21.8
"Dakota County, Nebraska",16.40%,16.4
"Dale County, Alabama",18.80%,18.8
"Dallam County, Texas",1.80%,1.8
"Dallas County, Alabama",18.10%,18.1
"Dallas County, Arkansas",9.30%,9.3
"Dallas County, Iowa",22.10%,22.1
"Dallas County, Missouri",26.60%,26.6
"Dallas County, Texas",20.80%,20.8
"Dane County, Wisconsin",25.10%,25.1
"Daniels County, Montana",29.80%,29.8
"Danville city, Virginia",19.30%,19.3
"Dare County, North Carolina",23.90%,23.9
"Darke County, Ohio",21.60%,21.6
"Darlington County, South Carolina",17.90%,17.9
"Dauphin County, Pennsylvania",23%,23
"Davidson County, North Carolina",23%,23
"Davidson County, Tennessee",28.80%,28.8
"Davie County, North Carolina",18.30%,18.3
"Daviess County, Indiana",25.30%,25.3
"Daviess County, Kentucky",23%,23
"Daviess County, Missouri",17%,17
"Davis County, Iowa",24%,24
"Davis County, Utah",19.20%,19.2
"Davison County, South Dakota",16.80%,16.8
"Dawes County, Nebraska",34.30%,34.3
"Dawson County, Georgia",15%,15
"Dawson County, Montana",36.90%,36.9
"Dawson County, Nebraska",18.90%,18.9
"Dawson County, Texas",21.70%,21.7
"Day County, South Dakota",17.20%,17.2
"De Baca County, New Mexico",0%,0
"De Soto Parish, Louisiana",20.30%,20.3
"De Witt County, Illinois",18.40%,18.4
"Deaf Smith County, Texas",22.20%,22.2
"Dearborn County, Indiana",20.10%,20.1
"Decatur County, Georgia",22.50%,22.5
"Decatur County, Indiana",21.80%,21.8
"Decatur County, Iowa",20.30%,20.3
"Decatur County, Kansas",17.90%,17.9
"Decatur County, Tennessee",16%,16
"Deer Lodge County, Montana",31.40%,31.4
"Defiance County, Ohio",19.30%,19.3
"DeKalb County, Alabama",18.60%,18.6
"DeKalb County, Georgia",24.60%,24.6
"DeKalb County, Illinois",22.20%,22.2
"DeKalb County, Indiana",18.10%,18.1
"DeKalb County, Missouri",19.40%,19.4
"DeKalb County, Tennessee",22.90%,22.9
"Del Norte County, California",11.20%,11.2
"Delaware County, Indiana",25.10%,25.1
"Delaware County, Iowa",22.70%,22.7
"Delaware County, New York",22.20%,22.2
"Delaware County, Ohio",17.40%,17.4
"Delaware County, Oklahoma",19.10%,19.1
"Delaware County, Pennsylvania",21.20%,21.2
"Delta County, Colorado",11.70%,11.7
"Delta County, Michigan",20.60%,20.6
"Delta County, Texas",24.90%,24.9
"Denali Borough, Alaska",19.60%,19.6
"Dent County, Missouri",24.20%,24.2
"Denton County, Texas",20.80%,20.8
"Denver County, Colorado",28.50%,28.5
"Des Moines County, Iowa",19.40%,19.4
"Deschutes County, Oregon",23.90%,23.9
"Desha County, Arkansas",20.60%,20.6
"DeSoto County, Florida",16.60%,16.6
"DeSoto County, Mississippi",18.60%,18.6
"Deuel County, Nebraska",33.30%,33.3
"Deuel County, South Dakota",35.30%,35.3
"Dewey County, Oklahoma",22.30%,22.3
"Dewey County, South Dakota",20.30%,20.3
"DeWitt County, Texas",24.40%,24.4
"Dickens County, Texas",28.80%,28.8
"Dickenson County, Virginia",17.60%,17.6
"Dickey County, North Dakota",19.70%,19.7
"Dickinson County, Iowa",22.40%,22.4
"Dickinson County, Kansas",18.70%,18.7
"Dickinson County, Michigan",23.30%,23.3
"Dickson County, Tennessee",23.60%,23.6
"Dillingham Census Area, Alaska",25.60%,25.6
"Dillon County, South Carolina",24.90%,24.9
"Dimmit County, Texas",13.50%,13.5
"Dinwiddie County, Virginia",25.20%,25.2
"District of Columbia, District of Columbia",30.20%,30.2
"Divide County, North Dakota",35.80%,35.8
"Dixie County, Florida",20%,20
"Dixon County, Nebraska",25.50%,25.5
"Doddridge County, West Virginia",11.80%,11.8
"Dodge County, Georgia",24.40%,24.4
"Dodge County, Minnesota",24.10%,24.1
"Dodge County, Nebraska",16.50%,16.5
"Dodge County, Wisconsin",23.20%,23.2
"Dolores County, Colorado",3.70%,3.7
"Doña Ana County, New Mexico",19.10%,19.1
"Doniphan County, Kansas",16.30%,16.3
"Donley County, Texas",29.40%,29.4
"Dooly County, Georgia",17.80%,17.8
"Door County, Wisconsin",23.70%,23.7
"Dorado Municipio, Puerto Rico",12.70%,12.7
"Dorchester County, Maryland",14.30%,14.3
"Dorchester County, South Carolina",20.70%,20.7
"Dougherty County, Georgia",20.20%,20.2
"Douglas County, Colorado",20.30%,20.3
"Douglas County, Georgia",17.50%,17.5
"Douglas County, Illinois",23.80%,23.8
"Douglas County, Kansas",28.80%,28.8
"Douglas County, Minnesota",27.10%,27.1
"Douglas County, Missouri",29.80%,29.8
"Douglas County, Nebraska",23.40%,23.4
"Douglas County, Nevada",21.90%,21.9
"Douglas County, Oregon",21%,21
"Douglas County, South Dakota",29.30%,29.3
"Douglas County, Washington",15.50%,15.5
"Douglas County, Wisconsin",20.90%,20.9
"Drew County, Arkansas",20.60%,20.6
"Dubois County, Indiana",21.70%,21.7
"Dubuque County, Iowa",21.90%,21.9
"Duchesne County, Utah",19.20%,19.2
"Dukes County, Massachusetts",14.60%,14.6
"Dundy County, Nebraska",42.80%,42.8
"Dunklin County, Missouri",20.70%,20.7
"Dunn County, North Dakota",12.50%,12.5
"Dunn County, Wisconsin",22.70%,22.7
"DuPage County, Illinois",22.40%,22.4
"Duplin County, North Carolina",29.80%,29.8
"Durham County, North Carolina",24.60%,24.6
"Dutchess County, New York",22.90%,22.9
"Duval County, Florida",25.50%,25.5
"Duval County, Texas",15.50%,15.5
"Dyer County, Tennessee",17.10%,17.1
"Eagle County, Colorado",21.20%,21.2
"Early County, Georgia",16.60%,16.6
"East Baton Rouge Parish, Louisiana",23.40%,23.4
"East Carroll Parish, Louisiana",17.80%,17.8
"East Feliciana Parish, Louisiana",14.90%,14.9
"Eastland County, Texas",22.50%,22.5
"Eaton County, Michigan",26.80%,26.8
"Eau Claire County, Wisconsin",21.80%,21.8
"Echols County, Georgia",19.50%,19.5
"Ector County, Texas",23.10%,23.1
"Eddy County, New Mexico",19.50%,19.5
"Eddy County, North Dakota",24.20%,24.2
"Edgar County, Illinois",16.80%,16.8
"Edgecombe County, North Carolina",21.10%,21.1
"Edgefield County, South Carolina",16.80%,16.8
"Edmonson County, Kentucky",12.60%,12.6
"Edmunds County, South Dakota",28.10%,28.1
"Edwards County, Illinois",25.10%,25.1
"Edwards County, Kansas",20.10%,20.1
"Edwards County, Texas",0%,0
"Effingham County, Georgia",16.90%,16.9
"Effingham County, Illinois",23.10%,23.1
"El Dorado County, California",18%,18
"El Paso County, Colorado",22%,22
"El Paso County, Texas",17.70%,17.7
"Elbert County, Colorado",13.40%,13.4
"Elbert County, Georgia",17.80%,17.8
"Elk County, Kansas",14.20%,14.2
"Elk County, Pennsylvania",26.30%,26.3
"Elkhart County, Indiana",21.70%,21.7
"Elko County, Nevada",23.20%,23.2
"Elliott County, Kentucky",34.40%,34.4
"Ellis County, Kansas",17.60%,17.6
"Ellis County, Oklahoma",24.50%,24.5
"Ellis County, Texas",17.50%,17.5
"Ellsworth County, Kansas",26.70%,26.7
"Elmore County, Alabama",19.70%,19.7
"Elmore County, Idaho",33.10%,33.1
"Emanuel County, Georgia",22.90%,22.9
"Emery County, Utah",13.80%,13.8
"Emmet County, Iowa",20.40%,20.4
"Emmet County, Michigan",23.90%,23.9
"Emmons County, North Dakota",29%,29
"Emporia city, Virginia",17.20%,17.2
"Erath County, Texas",22.40%,22.4
"Erie County, New York",22.90%,22.9
"Erie County, Ohio",23.40%,23.4
"Erie County, Pennsylvania",19.10%,19.1
"Escambia County, Alabama",21.70%,21.7
"Escambia County, Florida",25.60%,25.6
"Esmeralda County, Nevada",0%,0
"Essex County, Massachusetts",21.80%,21.8
"Essex County, New Jersey",21.40%,21.4
"Essex County, New York",23.40%,23.4
"Essex County, Vermont",19.10%,19.1
"Essex County, Virginia",24%,24
"Estill County, Kentucky",20.30%,20.3
"Etowah County, Alabama",23.60%,23.6
"Eureka County, Nevada",25.30%,25.3
"Evangeline Parish, Louisiana",21.10%,21.1
"Evans County, Georgia",8.60%,8.6
"Fairbanks North Star Borough, Alaska",30.70%,30.7
"Fairfax city, Virginia",25.50%,25.5
"Fairfax County, Virginia",22.20%,22.2
"Fairfield County, Ohio",20.20%,20.2
"Fairfield County, South Carolina",21.90%,21.9
"Fajardo Municipio, Puerto Rico",15.60%,15.6
"Fall River County, South Dakota",29.50%,29.5
"Fallon County, Montana",19.50%,19.5
"Falls Church city, Virginia",17.10%,17.1
"Falls County, Texas",14.80%,14.8
"Fannin County, Georgia",10.30%,10.3
"Fannin County, Texas",22.30%,22.3
"Faribault County, Minnesota",21.80%,21.8
"Faulk County, South Dakota",16.40%,16.4
"Faulkner County, Arkansas",19.40%,19.4
"Fauquier County, Virginia",16.70%,16.7
"Fayette County, Alabama",27%,27
"Fayette County, Georgia",13.70%,13.7
"Fayette County, Illinois",15.80%,15.8
"Fayette County, Indiana",18%,18
"Fayette County, Iowa",17.60%,17.6
"Fayette County, Kentucky",26%,26
"Fayette County, Ohio",17.10%,17.1
"Fayette County, Pennsylvania",23.40%,23.4
"Fayette County, Tennessee",17.20%,17.2
"Fayette County, Texas",20.60%,20.6
"Fayette County, West Virginia",29.30%,29.3
"Fentress County, Tennessee",23.80%,23.8
"Fergus County, Montana",36%,36
"Ferry County, Washington",26.50%,26.5
"Fillmore County, Minnesota",18.30%,18.3
"Fillmore County, Nebraska",24.20%,24.2
"Finney County, Kansas",22.50%,22.5
"Fisher County, Texas",17.60%,17.6
"Flagler County, Florida",15.40%,15.4
"Flathead County, Montana",22.30%,22.3
"Fleming County, Kentucky",27.40%,27.4
"Florence County, South Carolina",21.90%,21.9
"Florence County, Wisconsin",18.80%,18.8
"Florida Municipio, Puerto Rico",19.20%,19.2
"Floyd County, Georgia",20.70%,20.7
"Floyd County, Indiana",19.80%,19.8
"Floyd County, Iowa",22.90%,22.9
"Floyd County, Kentucky",17%,17
"Floyd County, Texas",19.80%,19.8
"Floyd County, Virginia",19.60%,19.6
"Fluvanna County, Virginia",26.60%,26.6
"Foard County, Texas",52.20%,52.2
"Fond du Lac County, Wisconsin",18.60%,18.6
"Ford County, Illinois",15.10%,15.1
"Ford County, Kansas",19.20%,19.2
"Forest County, Pennsylvania",16.90%,16.9
"Forest County, Wisconsin",17.70%,17.7
"Forrest County, Mississippi",22.40%,22.4
"Forsyth County, Georgia",16.80%,16.8
"Forsyth County, North Carolina",20.30%,20.3
"Fort Bend County, Texas",18.70%,18.7
"Foster County, North Dakota",26.70%,26.7
"Fountain County, Indiana",26.50%,26.5
"Franklin city, Virginia",18.40%,18.4
"Franklin County, Alabama",14.80%,14.8
"Franklin County, Arkansas",10.80%,10.8
"Franklin County, Florida",14.50%,14.5
"Franklin County, Georgia",23.30%,23.3
"Franklin County, Idaho",17.80%,17.8
"Franklin County, Illinois",19%,19
"Franklin County, Indiana",16.30%,16.3
"Franklin County, Iowa",19.10%,19.1
"Franklin County, Kansas",19.70%,19.7
"Franklin County, Kentucky",22.40%,22.4
"Franklin County, Maine",21.30%,21.3
"Franklin County, Massachusetts",21.50%,21.5
"Franklin County, Mississippi",17.40%,17.4
"Franklin County, Missouri",23.50%,23.5
"Franklin County, Nebraska",15%,15
"Franklin County, New York",22.70%,22.7
"Franklin County, North Carolina",23.30%,23.3
"Franklin County, Ohio",25.50%,25.5
"Franklin County, Pennsylvania",19.40%,19.4
"Franklin County, Tennessee",24.90%,24.9
"Franklin County, Texas",20.30%,20.3
"Franklin County, Vermont",22.10%,22.1
"Franklin County, Virginia",13.80%,13.8
"Franklin County, Washington",20.20%,20.2
"Franklin Parish, Louisiana",25.20%,25.2
"Frederick County, Maryland",22.20%,22.2
"Frederick County, Virginia",16.10%,16.1
"Fredericksburg city, Virginia",12.50%,12.5
"Freeborn County, Minnesota",19.60%,19.6
"Freestone County, Texas",15.70%,15.7
"Fremont County, Colorado",21.30%,21.3
"Fremont County, Idaho",16.90%,16.9
"Fremont County, Iowa",14.10%,14.1
"Fremont County, Wyoming",20.20%,20.2
"Fresno County, California",18.20%,18.2
"Frio County, Texas",12.10%,12.1
"Frontier County, Nebraska",15.10%,15.1
"Fulton County, Arkansas",12.60%,12.6
"Fulton County, Georgia",22.60%,22.6
"Fulton County, Illinois",14.80%,14.8
"Fulton County, Indiana",23.20%,23.2
"Fulton County, Kentucky",25.40%,25.4
"Fulton County, New York",21.40%,21.4
"Fulton County, Ohio",20.60%,20.6
"Fulton County, Pennsylvania",21.30%,21.3
"Furnas County, Nebraska",32.20%,32.2
"Gadsden County, Florida",11.80%,11.8
"Gage County, Nebraska",18.40%,18.4
"Gaines County, Texas",24.90%,24.9
"Galax city, Virginia",14.90%,14.9
"Gallatin County, Illinois",17.50%,17.5
"Gallatin County, Kentucky",27.80%,27.8
"Gallatin County, Montana",24.40%,24.4
"Gallia County, Ohio",24.90%,24.9
"Galveston County, Texas",19.40%,19.4
"Garden County, Nebraska",14.10%,14.1
"Garfield County, Colorado",20.70%,20.7
"Garfield County, Montana",32.70%,32.7
"Garfield County, Nebraska",23.50%,23.5
"Garfield County, Oklahoma",17.30%,17.3
"Garfield County, Utah",22.80%,22.8
"Garfield County, Washington",27.60%,27.6
"Garland County, Arkansas",24%,24
"Garrard County, Kentucky",30.40%,30.4
"Garrett County, Maryland",26.60%,26.6
"Garvin County, Oklahoma",16.10%,16.1
"Garza County, Texas",20.60%,20.6
"Gasconade County, Missouri",22.90%,22.9
"Gaston County, North Carolina",21.40%,21.4
"Gates County, North Carolina",17.50%,17.5
"Geary County, Kansas",39.60%,39.6
"Geauga County, Ohio",19.70%,19.7
"Gem County, Idaho",19.10%,19.1
"Genesee County, Michigan",21.40%,21.4
"Genesee County, New York",18.50%,18.5
"Geneva County, Alabama",20%,20
"Gentry County, Missouri",27.40%,27.4
"George County, Mississippi",14.90%,14.9
"Georgetown County, South Carolina",19.30%,19.3
"Gibson County, Indiana",25.90%,25.9
"Gibson County, Tennessee",17.30%,17.3
"Gila County, Arizona",14%,14
"Gilchrist County, Florida",21.70%,21.7
"Giles County, Tennessee",21.10%,21.1
"Giles County, Virginia",16.80%,16.8
"Gillespie County, Texas",12.70%,12.7
"Gilliam County, Oregon",13%,13
"Gilmer County, Georgia",24.30%,24.3
"Gilmer County, West Virginia",18.90%,18.9
"Gilpin County, Colorado",15.80%,15.8
"Glacier County, Montana",22.70%,22.7
"Glades County, Florida",48.30%,48.3
"Gladwin County, Michigan",21.80%,21.8
"Glascock County, Georgia",21.60%,21.6
"Glasscock County, Texas",20.80%,20.8
"Glenn County, California",12.90%,12.9
"Gloucester County, New Jersey",18.70%,18.7
"Gloucester County, Virginia",15.80%,15.8
"Glynn County, Georgia",21.60%,21.6
"Gogebic County, Michigan",24.20%,24.2
"Golden Valley County, Montana",6.10%,6.1
"Golden Valley County, North Dakota",18.20%,18.2
"Goliad County, Texas",20%,20
"Gonzales County, Texas",17.80%,17.8
"Goochland County, Virginia",24.60%,24.6
"Goodhue County, Minnesota",19.40%,19.4
"Gooding County, Idaho",15.20%,15.2
"Gordon County, Georgia",23.20%,23.2
"Goshen County, Wyoming",29.10%,29.1
"Gosper County, Nebraska",15.80%,15.8
"Gove County, Kansas",22.10%,22.1
"Grady County, Georgia",13.80%,13.8
"Grady County, Oklahoma",16.60%,16.6
"Grafton County, New Hampshire",18%,18
"Graham County, Arizona",16.70%,16.7
"Graham County, Kansas",20.50%,20.5
"Graham County, North Carolina",16.40%,16.4
"Grainger County, Tennessee",18.60%,18.6
"Grand County, Colorado",24.30%,24.3
"Grand County, Utah",16.50%,16.5
"Grand Forks County, North Dakota",33.80%,33.8
"Grand Isle County, Vermont",28.80%,28.8
"Grand Traverse County, Michigan",21.80%,21.8
"Granite County, Montana",11.60%,11.6
"Grant County, Arkansas",19.80%,19.8
"Grant County, Indiana",21.60%,21.6
"Grant County, Kansas",16.10%,16.1
"Grant County, Kentucky",21.50%,21.5
"Grant County, Minnesota",23%,23
"Grant County, Nebraska",33.80%,33.8
"Grant County, New Mexico",14.90%,14.9
"Grant County, North Dakota",21%,21
"Grant County, Oklahoma",18.20%,18.2
"Grant County, Oregon",20.10%,20.1
"Grant County, South Dakota",19.50%,19.5
"Grant County, Washington",16.70%,16.7
"Grant County, West Virginia",21.30%,21.3
"Grant County, Wisconsin",25%,25
"Grant Parish, Louisiana",13.50%,13.5
"Granville County, North Carolina",22.30%,22.3
"Gratiot County, Michigan",21.80%,21.8
"Graves County, Kentucky",29.90%,29.9
"Gray County, Kansas",19.60%,19.6
"Gray County, Texas",19.50%,19.5
"Grays Harbor County, Washington",20.30%,20.3
"Grayson County, Kentucky",20%,20
"Grayson County, Texas",21.20%,21.2
"Grayson County, Virginia",16.30%,16.3
"Greater Bridgeport Planning Region, Connecticut",19.60%,19.6
"Greeley County, Kansas",5.90%,5.9
"Greeley County, Nebraska",26.90%,26.9
"Green County, Kentucky",20.90%,20.9
"Green County, Wisconsin",21.70%,21.7
"Green Lake County, Wisconsin",20.20%,20.2
"Greenbrier County, West Virginia",22.60%,22.6
"Greene County, Alabama",44.80%,44.8
"Greene County, Arkansas",25.20%,25.2
"Greene County, Georgia",8.30%,8.3
"Greene County, Illinois",14.10%,14.1
"Greene County, Indiana",21.10%,21.1
"Greene County, Iowa",17.80%,17.8
"Greene County, Mississippi",24.70%,24.7
"Greene County, Missouri",24.30%,24.3
"Greene County, New York",21.90%,21.9
"Greene County, North Carolina",22.20%,22.2
"Greene County, Ohio",21.90%,21.9
"Greene County, Pennsylvania",21.50%,21.5
"Greene County, Tennessee",17.50%,17.5
"Greene County, Virginia",19.50%,19.5
"Greenlee County, Arizona",13.60%,13.6
"Greensville County, Virginia",26.50%,26.5
"Greenup County, Kentucky",16.30%,16.3
"Greenville County, South Carolina",21.90%,21.9
"Greenwood County, Kansas",17.80%,17.8
"Greenwood County, South Carolina",16.20%,16.2
"Greer County, Oklahoma",22.30%,22.3
"Gregg County, Texas",17.80%,17.8
"Gregory County, South Dakota",25.20%,25.2
"Grenada County, Mississippi",32%,32
"Griggs County, North Dakota",22.40%,22.4
"Grimes County, Texas",18.30%,18.3
"Grundy County, Illinois",17.20%,17.2
"Grundy County, Iowa",18%,18
"Grundy County, Missouri",29%,29
"Grundy County, Tennessee",22.50%,22.5
"Guadalupe County, New Mexico",14.90%,14.9
"Guadalupe County, Texas",17.60%,17.6
"Guánica Municipio, Puerto Rico",11.10%,11.1
"Guayama Municipio, Puerto Rico",18.40%,18.4
"Guayanilla Municipio, Puerto Rico",12.80%,12.8
"Guaynabo Municipio, Puerto Rico",17.70%,17.7
"Guernsey County, Ohio",28.20%,28.2
"Guilford County, North Carolina",19.60%,19.6
"Gulf County, Florida",38%,38
"Gunnison County, Colorado",25.50%,25.5
"Gurabo Municipio, Puerto Rico",21.60%,21.6
"Guthrie County, Iowa",22.10%,22.1
"Gwinnett County, Georgia",17.10%,17.1
"Haakon County, South Dakota",23.30%,23.3
"Habersham County, Georgia",17.60%,17.6
"Haines Borough, Alaska",7%,7
"Hale County, Alabama",35.10%,35.1
"Hale County, Texas",17.50%,17.5
"Halifax County, North Carolina",17.20%,17.2
"Halifax County, Virginia",17.70%,17.7
"Hall County, Georgia",18.50%,18.5
"Hall County, Nebraska",22.90%,22.9
"Hall County, Texas",13.10%,13.1
"Hamblen County, Tennessee",24.60%,24.6
"Hamilton County, Florida",12%,12
"Hamilton County, Illinois",18.20%,18.2
"Hamilton County, Indiana",20.90%,20.9
"Hamilton County, Iowa",23.90%,23.9
"Hamilton County, Kansas",11.90%,11.9
"Hamilton County, Nebraska",12.70%,12.7
"Hamilton County, New York",27.20%,27.2
"Hamilton County, Ohio",24.20%,24.2
"Hamilton County, Tennessee",25%,25
"Hamilton County, Texas",10.70%,10.7
"Hamlin County, South Dakota",20.10%,20.1
"Hampden County, Massachusetts",21.10%,21.1
"Hampshire County, Massachusetts",20.80%,20.8
"Hampshire County, West Virginia",23.40%,23.4
"Hampton city, Virginia",24.80%,24.8
"Hampton County, South Carolina",16.20%,16.2
"Hancock County, Georgia",2.10%,2.1
"Hancock County, Illinois",16%,16
"Hancock County, Indiana",21.10%,21.1
"Hancock County, Iowa",24%,24
"Hancock County, Kentucky",25.60%,25.6
"Hancock County, Maine",19.40%,19.4
"Hancock County, Mississippi",12%,12
"Hancock County, Ohio",26.20%,26.2
"Hancock County, Tennessee",24.40%,24.4
"Hancock County, West Virginia",23.20%,23.2
"Hand County, South Dakota",13.70%,13.7
"Hanover County, Virginia",20.30%,20.3
"Hansford County, Texas",13.50%,13.5
"Hanson County, South Dakota",16.90%,16.9
"Haralson County, Georgia",17.30%,17.3
"Hardee County, Florida",16.90%,16.9
"Hardeman County, Tennessee",17.80%,17.8
"Hardeman County, Texas",23%,23
"Hardin County, Illinois",9.20%,9.2
"Hardin County, Iowa",20.10%,20.1
"Hardin County, Kentucky",18%,18
"Hardin County, Ohio",21.40%,21.4
"Hardin County, Tennessee",22.80%,22.8
"Hardin County, Texas",21.70%,21.7
"Harding County, New Mexico",6.90%,6.9
"Harding County, South Dakota",37.50%,37.5
"Hardy County, West Virginia",19%,19
"Harford County, Maryland",22.50%,22.5
"Harlan County, Kentucky",19.90%,19.9
"Harlan County, Nebraska",6.10%,6.1
"Harmon County, Oklahoma",27.30%,27.3
"Harnett County, North Carolina",19.40%,19.4
"Harney County, Oregon",18.80%,18.8
"Harper County, Kansas",18%,18
"Harper County, Oklahoma",20.90%,20.9
"Harris County, Georgia",13.80%,13.8
"Harris County, Texas",21.30%,21.3
"Harrison County, Indiana",26.20%,26.2
"Harrison County, Iowa",19.20%,19.2
"Harrison County, Kentucky",24.60%,24.6
"Harrison County, Mississippi",23.50%,23.5
"Harrison County, Missouri",30.10%,30.1
"Harrison County, Ohio",21.40%,21.4
"Harrison County, Texas",18.10%,18.1
"Harrison County, West Virginia",16.60%,16.6
"Harrisonburg city, Virginia",17.50%,17.5
"Hart County, Georgia",20.60%,20.6
"Hart County, Kentucky",13.50%,13.5
"Hartley County, Texas",18%,18
"Harvey County, Kansas",19.10%,19.1
"Haskell County, Kansas",17.20%,17.2
"Haskell County, Oklahoma",18%,18
"Haskell County, Texas",7.10%,7.1
"Hatillo Municipio, Puerto Rico",15.90%,15.9
"Hawaii County, Hawaii",15.60%,15.6
"Hawkins County, Tennessee",23.20%,23.2
"Hayes County, Nebraska",12.90%,12.9
"Hays County, Texas",19.40%,19.4
"Haywood County, North Carolina",30.80%,30.8
"Haywood County, Tennessee",21.20%,21.2
"Heard County, Georgia",18.20%,18.2
"Hemphill County, Texas",11.10%,11.1
"Hempstead County, Arkansas",13.70%,13.7
"Henderson County, Illinois",28.10%,28.1
"Henderson County, Kentucky",20.40%,20.4
"Henderson County, North Carolina",23.80%,23.8
"Henderson County, Tennessee",21.50%,21.5
"Henderson County, Texas",21.50%,21.5
"Hendricks County, Indiana",19.70%,19.7
"Hendry County, Florida",16.60%,16.6
"Hennepin County, Minnesota",25.10%,25.1
"Henrico County, Virginia",20.40%,20.4
"Henry County, Alabama",10.50%,10.5
"Henry County, Georgia",16.20%,16.2
"Henry County, Illinois",12.30%,12.3
"Henry County, Indiana",21.70%,21.7
"Henry County, Iowa",17.60%,17.6
"Henry County, Kentucky",25.50%,25.5
"Henry County, Missouri",18.90%,18.9
"Henry County, Ohio",18.60%,18.6
"Henry County, Tennessee",18.80%,18.8
"Henry County, Virginia",16.50%,16.5
"Herkimer County, New York",22%,22
"Hernando County, Florida",16.10%,16.1
"Hertford County, North Carolina",17.80%,17.8
"Hettinger County, North Dakota",17.50%,17.5
"Hickman County, Kentucky",24.80%,24.8
"Hickman County, Tennessee",20.80%,20.8
"Hickory County, Missouri",24.70%,24.7
"Hidalgo County, New Mexico",33.10%,33.1
"Hidalgo County, Texas",14.30%,14.3
"Highland County, Ohio",25.10%,25.1
"Highland County, Virginia",26.10%,26.1
"Highlands County, Florida",17.90%,17.9
"Hill County, Montana",24.50%,24.5
"Hill County, Texas",22.20%,22.2
"Hillsborough County, Florida",21.90%,21.9
"Hillsborough County, New Hampshire",21.30%,21.3
"Hillsdale County, Michigan",17.20%,17.2
"Hinds County, Mississippi",20.60%,20.6
"Hinsdale County, Colorado",34.10%,34.1
"Hitchcock County, Nebraska",21.60%,21.6
"Hocking County, Ohio",22.30%,22.3
"Hockley County, Texas",16.80%,16.8
"Hodgeman County, Kansas",11.50%,11.5
