Geographic Area,Percent below poverty level,Povrty lvl
"Cook County, Minnesota",8.60%,8.6
"Cooke County, Texas",13.30%,13.3
"Cooper County, Missouri",13%,13
"Coos County, New Hampshire",11.60%,11.6
"Coos County, Oregon",16.10%,16.1
"Coosa County, Alabama",11.10%,11.1
"Copiah County, Mississippi",23.40%,23.4
"Copper River Census Area, Alaska",11.20%,11.2
"Corozal Municipio, Puerto Rico",46.10%,46.1
"Corson County, South Dakota",43.40%,43.4
"Cortland County, New York",12.90%,12.9
"Coryell County, Texas",10.60%,10.6
"Coshocton County, Ohio",18.90%,18.9
"Costilla County, Colorado",22.50%,22.5
"Cottle County, Texas",24.10%,24.1
"Cotton County, Oklahoma",21.80%,21.8
"Cottonwood County, Minnesota",12.90%,12.9
"Covington city, Virginia",16.90%,16.9
"Covington County, Alabama",18.80%,18.8
"Covington County, Mississippi",23.60%,23.6
"Coweta County, Georgia",8.30%,8.3
"Cowley County, Kansas",14%,14
"Cowlitz County, Washington",12.10%,12.1
"Craig County, Oklahoma",19.30%,19.3
"Craig County, Virginia",10.90%,10.9
"Craighead County, Arkansas",19.10%,19.1
"Crane County, Texas",3.80%,3.8
"Craven County, North Carolina",14%,14
"Crawford County, Arkansas",17.80%,17.8
"Crawford County, Georgia",16.60%,16.6
"Crawford County, Illinois",9.60%,9.6
"Crawford County, Indiana",21.90%,21.9
"Crawford County, Iowa",17%,17
"Crawford County, Kansas",20.90%,20.9
"Crawford County, Michigan",13.80%,13.8
"Crawford County, Missouri",14.70%,14.7
"Crawford County, Ohio",14.10%,14.1
"Crawford County, Pennsylvania",12.70%,12.7
"Crawford County, Wisconsin",12.40%,12.4
"Creek County, Oklahoma",13.60%,13.6
"Crenshaw County, Alabama",14.90%,14.9
"Crisp County, Georgia",23.60%,23.6
"Crittenden County, Arkansas",19.70%,19.7
"Crittenden County, Kentucky",17.90%,17.9
"Crockett County, Tennessee",15.60%,15.6
"Crockett County, Texas",9.30%,9.3
"Crook County, Oregon",7.90%,7.9
"Crook County, Wyoming",6.30%,6.3
"Crosby County, Texas",23.60%,23.6
"Cross County, Arkansas",20.20%,20.2
"Crow Wing County, Minnesota",10.40%,10.4
"Crowley County, Colorado",24.20%,24.2
"Culberson County, Texas",22.20%,22.2
"Culebra Municipio, Puerto Rico",23.50%,23.5
"Cullman County, Alabama",13%,13
"Culpeper County, Virginia",7.30%,7.3
"Cumberland County, Illinois",9.70%,9.7
"Cumberland County, Kentucky",28.30%,28.3
"Cumberland County, Maine",7.20%,7.2
"Cumberland County, New Jersey",15.50%,15.5
"Cumberland County, North Carolina",17.60%,17.6
"Cumberland County, Pennsylvania",7.70%,7.7
"Cumberland County, Tennessee",12.60%,12.6
"Cumberland County, Virginia",7.90%,7.9
"Cuming County, Nebraska",7.70%,7.7
"Currituck County, North Carolina",8.50%,8.5
"Curry County, New Mexico",19.30%,19.3
"Curry County, Oregon",12.40%,12.4
"Custer County, Colorado",7.70%,7.7
"Custer County, Idaho",11.60%,11.6
"Custer County, Montana",11.10%,11.1
"Custer County, Nebraska",11.30%,11.3
"Custer County, Oklahoma",16%,16
"Custer County, South Dakota",8.30%,8.3
"Cuyahoga County, Ohio",16.50%,16.5
"Dade County, Georgia",6.50%,6.5
"Dade County, Missouri",17%,17
"Daggett County, Utah",7.80%,7.8
"Dakota County, Minnesota",5.60%,5.6
"Dakota County, Nebraska",11.20%,11.2
"Dale County, Alabama",17.50%,17.5
"Dallam County, Texas",8.60%,8.6
"Dallas County, Alabama",27.10%,27.1
"Dallas County, Arkansas",11.90%,11.9
"Dallas County, Iowa",5.70%,5.7
"Dallas County, Missouri",20.60%,20.6
"Dallas County, Texas",14%,14
"Dane County, Wisconsin",10.90%,10.9
"Daniels County, Montana",12.20%,12.2
"Danville city, Virginia",25.30%,25.3
"Dare County, North Carolina",6.50%,6.5
"Darke County, Ohio",11%,11
"Darlington County, South Carolina",20.20%,20.2
"Dauphin County, Pennsylvania",12.20%,12.2
"Davidson County, North Carolina",13.90%,13.9
"Davidson County, Tennessee",14.30%,14.3
"Davie County, North Carolina",11.60%,11.6
"Daviess County, Indiana",9.60%,9.6
"Daviess County, Kentucky",14%,14
"Daviess County, Missouri",13.80%,13.8
"Davis County, Iowa",9.40%,9.4
"Davis County, Utah",6%,6
"Davison County, South Dakota",15.20%,15.2
"Dawes County, Nebraska",13%,13
"Dawson County, Georgia",9.60%,9.6
"Dawson County, Montana",7.50%,7.5
"Dawson County, Nebraska",14.20%,14.2
"Dawson County, Texas",24.80%,24.8
"Day County, South Dakota",14.70%,14.7
"De Baca County, New Mexico",16.30%,16.3
"De Soto Parish, Louisiana",20.20%,20.2
"De Witt County, Illinois",10.20%,10.2
"Deaf Smith County, Texas",15.80%,15.8
"Dearborn County, Indiana",8.50%,8.5
"Decatur County, Georgia",24.30%,24.3
"Decatur County, Indiana",9.60%,9.6
"Decatur County, Iowa",14.50%,14.5
"Decatur County, Kansas",12.20%,12.2
"Decatur County, Tennessee",19.20%,19.2
"Deer Lodge County, Montana",22.90%,22.9
"Defiance County, Ohio",10.50%,10.5
"DeKalb County, Alabama",20.20%,20.2
"DeKalb County, Georgia",13.40%,13.4
"DeKalb County, Illinois",15.40%,15.4
"DeKalb County, Indiana",10%,10
"DeKalb County, Missouri",10.30%,10.3
"DeKalb County, Tennessee",20.20%,20.2
"Del Norte County, California",14.30%,14.3
"Delaware County, Indiana",20.60%,20.6
"Delaware County, Iowa",6.60%,6.6
"Delaware County, New York",14.80%,14.8
"Delaware County, Ohio",4.50%,4.5
"Delaware County, Oklahoma",19%,19
"Delaware County, Pennsylvania",9.70%,9.7
"Delta County, Colorado",15%,15
"Delta County, Michigan",13.20%,13.2
"Delta County, Texas",14.10%,14.1
"Denali Borough, Alaska",7.30%,7.3
"Dent County, Missouri",16.80%,16.8
"Denton County, Texas",7.40%,7.4
"Denver County, Colorado",11.70%,11.7
"Des Moines County, Iowa",14.60%,14.6
"Deschutes County, Oregon",9.10%,9.1
"Desha County, Arkansas",27.20%,27.2
"DeSoto County, Florida",26.40%,26.4
"DeSoto County, Mississippi",9.80%,9.8
"Deuel County, Nebraska",7.10%,7.1
"Deuel County, South Dakota",5.80%,5.8
"Dewey County, Oklahoma",14.20%,14.2
"Dewey County, South Dakota",30.90%,30.9
"DeWitt County, Texas",16.50%,16.5
"Dickens County, Texas",12.30%,12.3
"Dickenson County, Virginia",22.50%,22.5
"Dickey County, North Dakota",9.20%,9.2
"Dickinson County, Iowa",6.20%,6.2
"Dickinson County, Kansas",8.80%,8.8
"Dickinson County, Michigan",9.70%,9.7
"Dickson County, Tennessee",10.90%,10.9
"Dillingham Census Area, Alaska",15.90%,15.9
"Dillon County, South Carolina",31.60%,31.6
"Dimmit County, Texas",43.60%,43.6
"Dinwiddie County, Virginia",11%,11
"District of Columbia, District of Columbia",15.10%,15.1
"Divide County, North Dakota",6.60%,6.6
"Dixie County, Florida",16.10%,16.1
"Dixon County, Nebraska",9.40%,9.4
"Doddridge County, West Virginia",14.40%,14.4
"Dodge County, Georgia",22.30%,22.3
"Dodge County, Minnesota",4.90%,4.9
"Dodge County, Nebraska",9.10%,9.1
"Dodge County, Wisconsin",7.60%,7.6
"Dolores County, Colorado",16.70%,16.7
"Doña Ana County, New Mexico",22.80%,22.8
"Doniphan County, Kansas",11.40%,11.4
"Donley County, Texas",11.30%,11.3
"Dooly County, Georgia",21%,21
"Door County, Wisconsin",8.70%,8.7
"Dorado Municipio, Puerto Rico",30.60%,30.6
"Dorchester County, Maryland",15.40%,15.4
"Dorchester County, South Carolina",12.30%,12.3
"Dougherty County, Georgia",26.40%,26.4
"Douglas County, Colorado",3%,3
"Douglas County, Georgia",11.60%,11.6
"Douglas County, Illinois",9.50%,9.5
"Douglas County, Kansas",16.30%,16.3
"Douglas County, Minnesota",8.50%,8.5
"Douglas County, Missouri",19.60%,19.6
"Douglas County, Nebraska",11%,11
"Douglas County, Nevada",7.50%,7.5
"Douglas County, Oregon",14.90%,14.9
"Douglas County, South Dakota",14.50%,14.5
"Douglas County, Washington",7.90%,7.9
"Douglas County, Wisconsin",11.20%,11.2
"Drew County, Arkansas",21.40%,21.4
"Dubois County, Indiana",9.70%,9.7
"Dubuque County, Iowa",10%,10
"Duchesne County, Utah",13.50%,13.5
"Dukes County, Massachusetts",6.70%,6.7
"Dundy County, Nebraska",12.50%,12.5
"Dunklin County, Missouri",22%,22
"Dunn County, North Dakota",6.80%,6.8
"Dunn County, Wisconsin",11%,11
"DuPage County, Illinois",6.30%,6.3
"Duplin County, North Carolina",18.50%,18.5
"Durham County, North Carolina",12.30%,12.3
"Dutchess County, New York",8.60%,8.6
"Duval County, Florida",14.30%,14.3
"Duval County, Texas",21.60%,21.6
"Dyer County, Tennessee",16.30%,16.3
"Eagle County, Colorado",8%,8
"Early County, Georgia",22.20%,22.2
"East Baton Rouge Parish, Louisiana",17.90%,17.9
"East Carroll Parish, Louisiana",40.30%,40.3
"East Feliciana Parish, Louisiana",14.70%,14.7
"Eastland County, Texas",16.20%,16.2
"Eaton County, Michigan",7.60%,7.6
"Eau Claire County, Wisconsin",12.10%,12.1
"Echols County, Georgia",15%,15
"Ector County, Texas",15.80%,15.8
"Eddy County, New Mexico",11.80%,11.8
"Eddy County, North Dakota",12.30%,12.3
"Edgar County, Illinois",11.80%,11.8
"Edgecombe County, North Carolina",22%,22
"Edgefield County, South Carolina",17%,17
"Edmonson County, Kentucky",17%,17
"Edmunds County, South Dakota",7.30%,7.3
"Edwards County, Illinois",14.20%,14.2
"Edwards County, Kansas",13.60%,13.6
"Edwards County, Texas",23.40%,23.4
"Effingham County, Georgia",6.60%,6.6
"Effingham County, Illinois",10.80%,10.8
"El Dorado County, California",8.60%,8.6
"El Paso County, Colorado",9.20%,9.2
"El Paso County, Texas",19.50%,19.5
"Elbert County, Colorado",4.30%,4.3
"Elbert County, Georgia",19%,19
"Elk County, Kansas",14.80%,14.8
"Elk County, Pennsylvania",9%,9
"Elkhart County, Indiana",12%,12
"Elko County, Nevada",10.40%,10.4
"Elliott County, Kentucky",24.70%,24.7
"Ellis County, Kansas",15.30%,15.3
"Ellis County, Oklahoma",14.70%,14.7
"Ellis County, Texas",8.20%,8.2
"Ellsworth County, Kansas",8.70%,8.7
"Elmore County, Alabama",9.60%,9.6
"Elmore County, Idaho",12%,12
"Emanuel County, Georgia",21.40%,21.4
"Emery County, Utah",11.80%,11.8
"Emmet County, Iowa",12.70%,12.7
"Emmet County, Michigan",8.40%,8.4
"Emmons County, North Dakota",6.70%,6.7
"Emporia city, Virginia",17.30%,17.3
"Erath County, Texas",16.50%,16.5
"Erie County, New York",13.80%,13.8
"Erie County, Ohio",11.50%,11.5
"Erie County, Pennsylvania",15.40%,15.4
"Escambia County, Alabama",21.80%,21.8
"Escambia County, Florida",14.90%,14.9
"Esmeralda County, Nevada",16.10%,16.1
"Essex County, Massachusetts",9.70%,9.7
"Essex County, New Jersey",15%,15
"Essex County, New York",10.40%,10.4
"Essex County, Vermont",13.20%,13.2
"Essex County, Virginia",17.10%,17.1
"Estill County, Kentucky",24%,24
"Etowah County, Alabama",15.90%,15.9
"Eureka County, Nevada",17.60%,17.6
"Evangeline Parish, Louisiana",27.80%,27.8
"Evans County, Georgia",21.20%,21.2
"Fairbanks North Star Borough, Alaska",6.90%,6.9
"Fairfax city, Virginia",10%,10
"Fairfax County, Virginia",6%,6
"Fairfield County, Ohio",8.70%,8.7
"Fairfield County, South Carolina",18.70%,18.7
"Fajardo Municipio, Puerto Rico",42.60%,42.6
"Fall River County, South Dakota",19.30%,19.3
"Fallon County, Montana",12.70%,12.7
"Falls Church city, Virginia",2.30%,2.3
"Falls County, Texas",15.80%,15.8
"Fannin County, Georgia",11.80%,11.8
"Fannin County, Texas",12.80%,12.8
"Faribault County, Minnesota",11.40%,11.4
"Faulk County, South Dakota",23.80%,23.8
"Faulkner County, Arkansas",15.50%,15.5
"Fauquier County, Virginia",5.80%,5.8
"Fayette County, Alabama",22.20%,22.2
"Fayette County, Georgia",5.30%,5.3
"Fayette County, Illinois",14.70%,14.7
"Fayette County, Indiana",16.40%,16.4
"Fayette County, Iowa",11.80%,11.8
"Fayette County, Kentucky",14.90%,14.9
"Fayette County, Ohio",15.80%,15.8
"Fayette County, Pennsylvania",16.20%,16.2
"Fayette County, Tennessee",9.70%,9.7
"Fayette County, Texas",10.20%,10.2
"Fayette County, West Virginia",21.50%,21.5
"Fentress County, Tennessee",20.20%,20.2
"Fergus County, Montana",14.80%,14.8
"Ferry County, Washington",15.50%,15.5
"Fillmore County, Minnesota",8.70%,8.7
"Fillmore County, Nebraska",7%,7
"Finney County, Kansas",12.80%,12.8
"Fisher County, Texas",12.20%,12.2
"Flagler County, Florida",9.80%,9.8
"Flathead County, Montana",9.30%,9.3
"Fleming County, Kentucky",21%,21
"Florence County, South Carolina",17.80%,17.8
"Florence County, Wisconsin",9.80%,9.8
"Florida Municipio, Puerto Rico",47.40%,47.4
"Floyd County, Georgia",17.50%,17.5
"Floyd County, Indiana",9.40%,9.4
"Floyd County, Iowa",10.90%,10.9
"Floyd County, Kentucky",29.30%,29.3
"Floyd County, Texas",19%,19
"Floyd County, Virginia",9.40%,9.4
"Fluvanna County, Virginia",6.10%,6.1
"Foard County, Texas",22.10%,22.1
"Fond du Lac County, Wisconsin",8.60%,8.6
"Ford County, Illinois",12.10%,12.1
"Ford County, Kansas",11.90%,11.9
"Forest County, Pennsylvania",19.20%,19.2
"Forest County, Wisconsin",13.90%,13.9
"Forrest County, Mississippi",22.80%,22.8
"Forsyth County, Georgia",4.60%,4.6
"Forsyth County, North Carolina",15.20%,15.2
"Fort Bend County, Texas",6.90%,6.9
"Foster County, North Dakota",8.30%,8.3
"Fountain County, Indiana",12.10%,12.1
"Franklin city, Virginia",18.70%,18.7
"Franklin County, Alabama",16.60%,16.6
"Franklin County, Arkansas",20.20%,20.2
"Franklin County, Florida",21.70%,21.7
"Franklin County, Georgia",18.40%,18.4
"Franklin County, Idaho",9.60%,9.6
"Franklin County, Illinois",17.80%,17.8
"Franklin County, Indiana",7.40%,7.4
"Franklin County, Iowa",13.70%,13.7
"Franklin County, Kansas",8.30%,8.3
"Franklin County, Kentucky",13.30%,13.3
"Franklin County, Maine",12.10%,12.1
"Franklin County, Massachusetts",12%,12
"Franklin County, Mississippi",23.80%,23.8
"Franklin County, Missouri",8.10%,8.1
"Franklin County, Nebraska",14.90%,14.9
"Franklin County, New York",17.90%,17.9
"Franklin County, North Carolina",9.70%,9.7
"Franklin County, Ohio",14.50%,14.5
"Franklin County, Pennsylvania",9%,9
"Franklin County, Tennessee",14.50%,14.5
"Franklin County, Texas",8.60%,8.6
"Franklin County, Vermont",10.40%,10.4
"Franklin County, Virginia",13.30%,13.3
"Franklin County, Washington",13.40%,13.4
"Franklin Parish, Louisiana",26%,26
"Frederick County, Maryland",6.20%,6.2
"Frederick County, Virginia",6.80%,6.8
"Fredericksburg city, Virginia",18%,18
"Freeborn County, Minnesota",9.50%,9.5
"Freestone County, Texas",12.70%,12.7
"Fremont County, Colorado",15%,15
"Fremont County, Idaho",11.40%,11.4
"Fremont County, Iowa",7.50%,7.5
"Fremont County, Wyoming",13.90%,13.9
"Fresno County, California",19.50%,19.5
"Frio County, Texas",20.70%,20.7
"Frontier County, Nebraska",12.40%,12.4
"Fulton County, Arkansas",15.30%,15.3
"Fulton County, Georgia",12.50%,12.5
"Fulton County, Illinois",13.40%,13.4
"Fulton County, Indiana",14.80%,14.8
"Fulton County, Kentucky",27.40%,27.4
"Fulton County, New York",13.90%,13.9
"Fulton County, Ohio",8.50%,8.5
"Fulton County, Pennsylvania",10.70%,10.7
"Furnas County, Nebraska",11.20%,11.2
"Gadsden County, Florida",25.50%,25.5
"Gage County, Nebraska",13.40%,13.4
"Gaines County, Texas",12.70%,12.7
"Galax city, Virginia",22.40%,22.4
"Gallatin County, Illinois",19.20%,19.2
"Gallatin County, Kentucky",16.80%,16.8
"Gallatin County, Montana",10.60%,10.6
"Gallia County, Ohio",17.20%,17.2
"Galveston County, Texas",11%,11
"Garden County, Nebraska",9.60%,9.6
"Garfield County, Colorado",8.10%,8.1
"Garfield County, Montana",9.40%,9.4
"Garfield County, Nebraska",12.20%,12.2
"Garfield County, Oklahoma",14%,14
"Garfield County, Utah",15.90%,15.9
"Garfield County, Washington",11.10%,11.1
"Garland County, Arkansas",16.90%,16.9
"Garrard County, Kentucky",15.70%,15.7
"Garrett County, Maryland",11.10%,11.1
"Garvin County, Oklahoma",14.70%,14.7
"Garza County, Texas",15.40%,15.4
"Gasconade County, Missouri",11.90%,11.9
"Gaston County, North Carolina",12.40%,12.4
"Gates County, North Carolina",14.30%,14.3
"Geary County, Kansas",18.60%,18.6
"Geauga County, Ohio",5.80%,5.8
"Gem County, Idaho",11.80%,11.8
"Genesee County, Michigan",16.20%,16.2
"Genesee County, New York",10.40%,10.4
"Geneva County, Alabama",20.80%,20.8
"Gentry County, Missouri",15.20%,15.2
"George County, Mississippi",20.90%,20.9
"Georgetown County, South Carolina",16%,16
"Gibson County, Indiana",10%,10
"Gibson County, Tennessee",13.90%,13.9
"Gila County, Arizona",19%,19
"Gilchrist County, Florida",12.40%,12.4
"Giles County, Tennessee",13.50%,13.5
"Giles County, Virginia",9.70%,9.7
"Gillespie County, Texas",9.10%,9.1
"Gilliam County, Oregon",12.90%,12.9
"Gilmer County, Georgia",14.80%,14.8
"Gilmer County, West Virginia",11.10%,11.1
"Gilpin County, Colorado",9.30%,9.3
"Glacier County, Montana",29.40%,29.4
"Glades County, Florida",21.90%,21.9
"Gladwin County, Michigan",14.20%,14.2
"Glascock County, Georgia",15.50%,15.5
"Glasscock County, Texas",5.20%,5.2
"Glenn County, California",15.30%,15.3
"Gloucester County, New Jersey",7.50%,7.5
"Gloucester County, Virginia",7.50%,7.5
"Glynn County, Georgia",16.40%,16.4
"Gogebic County, Michigan",14.10%,14.1
"Golden Valley County, Montana",16.10%,16.1
"Golden Valley County, North Dakota",12.60%,12.6
"Goliad County, Texas",10%,10
"Gonzales County, Texas",13.10%,13.1
"Goochland County, Virginia",4.20%,4.2
"Goodhue County, Minnesota",9.10%,9.1
"Gooding County, Idaho",13.30%,13.3
"Gordon County, Georgia",14%,14
"Goshen County, Wyoming",9.30%,9.3
"Gosper County, Nebraska",6.50%,6.5
"Gove County, Kansas",6.40%,6.4
"Grady County, Georgia",19.80%,19.8
"Grady County, Oklahoma",11%,11
"Grafton County, New Hampshire",9.90%,9.9
"Graham County, Arizona",17.70%,17.7
"Graham County, Kansas",9.90%,9.9
"Graham County, North Carolina",11.30%,11.3
"Grainger County, Tennessee",17.60%,17.6
"Grand County, Colorado",8.60%,8.6
"Grand County, Utah",15.70%,15.7
"Grand Forks County, North Dakota",14.20%,14.2
"Grand Isle County, Vermont",7.40%,7.4
"Grand Traverse County, Michigan",10.40%,10.4
"Granite County, Montana",13.10%,13.1
"Grant County, Arkansas",13.50%,13.5
"Grant County, Indiana",19.10%,19.1
"Grant County, Kansas",5.30%,5.3
"Grant County, Kentucky",12.80%,12.8
"Grant County, Minnesota",10.10%,10.1
"Grant County, Nebraska",10.80%,10.8
"Grant County, New Mexico",20.50%,20.5
"Grant County, North Dakota",15.40%,15.4
"Grant County, Oklahoma",13.30%,13.3
"Grant County, Oregon",16.50%,16.5
"Grant County, South Dakota",9.80%,9.8
"Grant County, Washington",14.30%,14.3
"Grant County, West Virginia",11.70%,11.7
"Grant County, Wisconsin",13.80%,13.8
"Grant Parish, Louisiana",15%,15
"Granville County, North Carolina",14.40%,14.4
"Gratiot County, Michigan",14.10%,14.1
"Graves County, Kentucky",19.80%,19.8
"Gray County, Kansas",4.10%,4.1
"Gray County, Texas",17%,17
"Grays Harbor County, Washington",14.90%,14.9
"Grayson County, Kentucky",21.10%,21.1
"Grayson County, Texas",11.40%,11.4
"Grayson County, Virginia",18.70%,18.7
"Greater Bridgeport Planning Region, Connecticut",13.30%,13.3
"Greeley County, Kansas",8.10%,8.1
"Greeley County, Nebraska",12.50%,12.5
"Green County, Kentucky",21.30%,21.3
"Green County, Wisconsin",6.60%,6.6
"Green Lake County, Wisconsin",12.80%,12.8
"Greenbrier County, West Virginia",20%,20
"Greene County, Alabama",32.90%,32.9
"Greene County, Arkansas",17.60%,17.6
"Greene County, Georgia",12.90%,12.9
"Greene County, Illinois",13.70%,13.7
"Greene County, Indiana",14%,14
"Greene County, Iowa",11.50%,11.5
"Greene County, Mississippi",18.40%,18.4
"Greene County, Missouri",14.60%,14.6
"Greene County, New York",10.40%,10.4
"Greene County, North Carolina",22.60%,22.6
"Greene County, Ohio",10.60%,10.6
"Greene County, Pennsylvania",12.90%,12.9
"Greene County, Tennessee",15.60%,15.6
"Greene County, Virginia",11.10%,11.1
"Greenlee County, Arizona",12.80%,12.8
"Greensville County, Virginia",12.90%,12.9
"Greenup County, Kentucky",15.10%,15.1
"Greenville County, South Carolina",10.90%,10.9
"Greenwood County, Kansas",15.30%,15.3
"Greenwood County, South Carolina",17.30%,17.3
"Greer County, Oklahoma",16.60%,16.6
"Gregg County, Texas",16.50%,16.5
"Gregory County, South Dakota",12.80%,12.8
"Grenada County, Mississippi",22.20%,22.2
"Griggs County, North Dakota",6.50%,6.5
"Grimes County, Texas",14.40%,14.4
"Grundy County, Illinois",6%,6
"Grundy County, Iowa",5.90%,5.9
"Grundy County, Missouri",16.50%,16.5
"Grundy County, Tennessee",18.20%,18.2
"Guadalupe County, New Mexico",20.70%,20.7
"Guadalupe County, Texas",8.70%,8.7
"Guánica Municipio, Puerto Rico",66.30%,66.3
"Guayama Municipio, Puerto Rico",48%,48
"Guayanilla Municipio, Puerto Rico",53.40%,53.4
"Guaynabo Municipio, Puerto Rico",25.10%,25.1
"Guernsey County, Ohio",17%,17
"Guilford County, North Carolina",15.10%,15.1
"Gulf County, Florida",12.30%,12.3
"Gunnison County, Colorado",10.80%,10.8
"Gurabo Municipio, Puerto Rico",31.90%,31.9
"Guthrie County, Iowa",10.10%,10.1
"Gwinnett County, Georgia",10.10%,10.1
"Haakon County, South Dakota",10.70%,10.7
"Habersham County, Georgia",13.60%,13.6
"Haines Borough, Alaska",5.80%,5.8
"Hale County, Alabama",25%,25
"Hale County, Texas",18.50%,18.5
"Halifax County, North Carolina",23.90%,23.9
"Halifax County, Virginia",14.70%,14.7
"Hall County, Georgia",13.50%,13.5
"Hall County, Nebraska",12.80%,12.8
"Hall County, Texas",18.60%,18.6
"Hamblen County, Tennessee",17.10%,17.1
"Hamilton County, Florida",26.40%,26.4
"Hamilton County, Illinois",12.90%,12.9
"Hamilton County, Indiana",4.20%,4.2
"Hamilton County, Iowa",7.80%,7.8
"Hamilton County, Kansas",7.90%,7.9
"Hamilton County, Nebraska",5.50%,5.5
"Hamilton County, New York",10.70%,10.7
"Hamilton County, Ohio",14.90%,14.9
"Hamilton County, Tennessee",12.30%,12.3
"Hamilton County, Texas",17.10%,17.1
"Hamlin County, South Dakota",7.40%,7.4
"Hampden County, Massachusetts",15.80%,15.8
"Hampshire County, Massachusetts",10.60%,10.6
"Hampshire County, West Virginia",17.50%,17.5
"Hampton city, Virginia",13.50%,13.5
"Hampton County, South Carolina",20%,20
"Hancock County, Georgia",27.50%,27.5
"Hancock County, Illinois",13.10%,13.1
"Hancock County, Indiana",4.90%,4.9
"Hancock County, Iowa",9.90%,9.9
"Hancock County, Kentucky",15.10%,15.1
"Hancock County, Maine",10.90%,10.9
"Hancock County, Mississippi",13.70%,13.7
"Hancock County, Ohio",10.50%,10.5
"Hancock County, Tennessee",32.30%,32.3
"Hancock County, West Virginia",13.40%,13.4
"Hand County, South Dakota",7.70%,7.7
"Hanover County, Virginia",5.20%,5.2
"Hansford County, Texas",8.40%,8.4
"Hanson County, South Dakota",6%,6
"Haralson County, Georgia",12.50%,12.5
"Hardee County, Florida",28.50%,28.5
"Hardeman County, Tennessee",16.10%,16.1
"Hardeman County, Texas",11.20%,11.2
"Hardin County, Illinois",11.50%,11.5
"Hardin County, Iowa",8.40%,8.4
"Hardin County, Kentucky",11.50%,11.5
"Hardin County, Ohio",18.20%,18.2
"Hardin County, Tennessee",19.40%,19.4
"Hardin County, Texas",13.50%,13.5
"Harding County, New Mexico",14.30%,14.3
"Harding County, South Dakota",6.40%,6.4
"Hardy County, West Virginia",17.30%,17.3
"Harford County, Maryland",7.10%,7.1
"Harlan County, Kentucky",30%,30
"Harlan County, Nebraska",7.30%,7.3
"Harmon County, Oklahoma",17.60%,17.6
"Harnett County, North Carolina",14.40%,14.4
"Harney County, Oregon",12.10%,12.1
"Harper County, Kansas",15.50%,15.5
"Harper County, Oklahoma",14.10%,14.1
"Harris County, Georgia",7.50%,7.5
"Harris County, Texas",15.80%,15.8
"Harrison County, Indiana",7.60%,7.6
"Harrison County, Iowa",7.60%,7.6
"Harrison County, Kentucky",15.80%,15.8
"Harrison County, Mississippi",18.40%,18.4
"Harrison County, Missouri",16.50%,16.5
"Harrison County, Ohio",15.40%,15.4
"Harrison County, Texas",16.30%,16.3
"Harrison County, West Virginia",13.70%,13.7
"Harrisonburg city, Virginia",27.20%,27.2
"Hart County, Georgia",10.80%,10.8
"Hart County, Kentucky",22.60%,22.6
"Hartley County, Texas",6.90%,6.9
"Harvey County, Kansas",9.70%,9.7
"Haskell County, Kansas",9%,9
"Haskell County, Oklahoma",21.40%,21.4
"Haskell County, Texas",15%,15
"Hatillo Municipio, Puerto Rico",39.30%,39.3
"Hawaii County, Hawaii",14.10%,14.1
"Hawkins County, Tennessee",16.90%,16.9
"Hayes County, Nebraska",14.70%,14.7
"Hays County, Texas",12.90%,12.9
"Haywood County, North Carolina",12.10%,12.1
"Haywood County, Tennessee",21.90%,21.9
"Heard County, Georgia",16.70%,16.7
"Hemphill County, Texas",6.10%,6.1
"Hempstead County, Arkansas",23%,23
"Henderson County, Illinois",9.10%,9.1
"Henderson County, Kentucky",17%,17
"Henderson County, North Carolina",11.40%,11.4
"Henderson County, Tennessee",18%,18
"Henderson County, Texas",14.80%,14.8
"Hendricks County, Indiana",5.20%,5.2
"Hendry County, Florida",22.30%,22.3
"Hennepin County, Minnesota",9.80%,9.8
"Henrico County, Virginia",8.40%,8.4
"Henry County, Alabama",15.50%,15.5
"Henry County, Georgia",8.40%,8.4
"Henry County, Illinois",9.20%,9.2
"Henry County, Indiana",13.70%,13.7
"Henry County, Iowa",11.30%,11.3
"Henry County, Kentucky",16.20%,16.2
"Henry County, Missouri",15%,15
"Henry County, Ohio",9.50%,9.5
"Henry County, Tennessee",18.10%,18.1
"Henry County, Virginia",16.10%,16.1
"Herkimer County, New York",12.10%,12.1
"Hernando County, Florida",12.50%,12.5
"Hertford County, North Carolina",20.30%,20.3
"Hettinger County, North Dakota",10.20%,10.2
"Hickman County, Kentucky",16.70%,16.7
"Hickman County, Tennessee",14.30%,14.3
"Hickory County, Missouri",17.60%,17.6
"Hidalgo County, New Mexico",23.20%,23.2
"Hidalgo County, Texas",27.70%,27.7
"Highland County, Ohio",14.80%,14.8
"Highland County, Virginia",10.30%,10.3
"Highlands County, Florida",15.60%,15.6
"Hill County, Montana",16.90%,16.9
"Hill County, Texas",13.30%,13.3
"Hillsborough County, Florida",13.70%,13.7
"Hillsborough County, New Hampshire",6.90%,6.9
"Hillsdale County, Michigan",15.20%,15.2
"Hinds County, Mississippi",21%,21
"Hinsdale County, Colorado",7.40%,7.4
"Hitchcock County, Nebraska",12.40%,12.4
"Hocking County, Ohio",16.60%,16.6
"Hockley County, Texas",15.10%,15.1
"Hodgeman County, Kansas",8.80%,8.8
"Hoke County, North Carolina",17.30%,17.3
"Holmes County, Florida",16.60%,16.6
"Holmes County, Mississippi",35%,35
"Holmes County, Ohio",8.90%,8.9
