Geographic Area,VEHICLES AVAILABLE—No vehicle available—Estimate,No vhcl
"Coos County, New Hampshire",8.10%,8.1
"Coos County, Oregon",6.50%,6.5
"Coosa County, Alabama",3.80%,3.8
"Copiah County, Mississippi",7.40%,7.4
"Copper River Census Area, Alaska",7%,7
"Corozal Municipio, Puerto Rico",13.20%,13.2
"Corson County, South Dakota",10.60%,10.6
"Cortland County, New York",9%,9
"Coryell County, Texas",4.20%,4.2
"Coshocton County, Ohio",9.70%,9.7
"Costilla County, Colorado",5.30%,5.3
"Cottle County, Texas",7.90%,7.9
"Cotton County, Oklahoma",7.10%,7.1
"Cottonwood County, Minnesota",5.60%,5.6
"Covington city, Virginia",8.50%,8.5
"Covington County, Alabama",6.40%,6.4
"Covington County, Mississippi",6.50%,6.5
"Coweta County, Georgia",3.50%,3.5
"Cowley County, Kansas",6.20%,6.2
"Cowlitz County, Washington",6.20%,6.2
"Craig County, Oklahoma",5.20%,5.2
"Craig County, Virginia",4.70%,4.7
"Craighead County, Arkansas",6.80%,6.8
"Crane County, Texas",9.50%,9.5
"Craven County, North Carolina",5.90%,5.9
"Crawford County, Arkansas",4.80%,4.8
"Crawford County, Georgia",6.20%,6.2
"Crawford County, Illinois",5.40%,5.4
"Crawford County, Indiana",5.30%,5.3
"Crawford County, Iowa",4.70%,4.7
"Crawford County, Kansas",8.80%,8.8
"Crawford County, Michigan",7.20%,7.2
"Crawford County, Missouri",6.10%,6.1
"Crawford County, Ohio",5.50%,5.5
"Crawford County, Pennsylvania",9.70%,9.7
"Crawford County, Wisconsin",6.60%,6.6
"Creek County, Oklahoma",4.60%,4.6
"Crenshaw County, Alabama",7.30%,7.3
"Crisp County, Georgia",13%,13
"Crittenden County, Arkansas",9.60%,9.6
"Crittenden County, Kentucky",5.70%,5.7
"Crockett County, Tennessee",5.20%,5.2
"Crockett County, Texas",0%,0
"Crook County, Oregon",3.70%,3.7
"Crook County, Wyoming",1.50%,1.5
"Crosby County, Texas",6.10%,6.1
"Cross County, Arkansas",9.30%,9.3
"Crow Wing County, Minnesota",4.80%,4.8
"Crowley County, Colorado",5.70%,5.7
"Culberson County, Texas",10.70%,10.7
"Culebra Municipio, Puerto Rico",24.20%,24.2
"Cullman County, Alabama",2.90%,2.9
"Culpeper County, Virginia",3.40%,3.4
"Cumberland County, Illinois",3%,3
"Cumberland County, Kentucky",9.90%,9.9
"Cumberland County, Maine",7%,7
"Cumberland County, New Jersey",9.70%,9.7
"Cumberland County, North Carolina",6.90%,6.9
"Cumberland County, Pennsylvania",5.50%,5.5
"Cumberland County, Tennessee",5.60%,5.6
"Cumberland County, Virginia",6.90%,6.9
"Cuming County, Nebraska",2.30%,2.3
"Currituck County, North Carolina",1.70%,1.7
"Curry County, New Mexico",4.30%,4.3
"Curry County, Oregon",4.40%,4.4
"Custer County, Colorado",2.50%,2.5
"Custer County, Idaho",3.70%,3.7
"Custer County, Montana",4.40%,4.4
"Custer County, Nebraska",4.50%,4.5
"Custer County, Oklahoma",4%,4
"Custer County, South Dakota",0.70%,0.7
"Cuyahoga County, Ohio",12.30%,12.3
"Dade County, Georgia",2.50%,2.5
"Dade County, Missouri",6.60%,6.6
"Daggett County, Utah",4.70%,4.7
"Dakota County, Minnesota",4.50%,4.5
"Dakota County, Nebraska",6.70%,6.7
"Dale County, Alabama",5.20%,5.2
"Dallam County, Texas",3.40%,3.4
"Dallas County, Alabama",14.60%,14.6
"Dallas County, Arkansas",7.70%,7.7
"Dallas County, Iowa",3%,3
"Dallas County, Missouri",4.80%,4.8
"Dallas County, Texas",6.70%,6.7
"Dane County, Wisconsin",7.50%,7.5
"Daniels County, Montana",5.90%,5.9
"Danville city, Virginia",13.90%,13.9
"Dare County, North Carolina",1.80%,1.8
"Darke County, Ohio",5%,5
"Darlington County, South Carolina",9.90%,9.9
"Dauphin County, Pennsylvania",9%,9
"Davidson County, North Carolina",4.20%,4.2
"Davidson County, Tennessee",6.70%,6.7
"Davie County, North Carolina",5%,5
"Daviess County, Indiana",13.60%,13.6
"Daviess County, Kentucky",6.90%,6.9
"Daviess County, Missouri",8.90%,8.9
"Davis County, Iowa",16.60%,16.6
"Davis County, Utah",2.40%,2.4
"Davison County, South Dakota",7.70%,7.7
"Dawes County, Nebraska",3.50%,3.5
"Dawson County, Georgia",2.40%,2.4
"Dawson County, Montana",5.10%,5.1
"Dawson County, Nebraska",5.30%,5.3
"Dawson County, Texas",8.30%,8.3
"Day County, South Dakota",4%,4
"De Baca County, New Mexico",5.50%,5.5
"De Soto Parish, Louisiana",9.10%,9.1
"De Witt County, Illinois",3.40%,3.4
"Deaf Smith County, Texas",3.40%,3.4
"Dearborn County, Indiana",4.30%,4.3
"Decatur County, Georgia",8.20%,8.2
"Decatur County, Indiana",2.80%,2.8
"Decatur County, Iowa",8.30%,8.3
"Decatur County, Kansas",2.90%,2.9
"Decatur County, Tennessee",3.80%,3.8
"Deer Lodge County, Montana",9.30%,9.3
"Defiance County, Ohio",5.10%,5.1
"DeKalb County, Alabama",4.20%,4.2
"DeKalb County, Georgia",7.70%,7.7
"DeKalb County, Illinois",6.60%,6.6
"DeKalb County, Indiana",5%,5
"DeKalb County, Missouri",6.30%,6.3
"DeKalb County, Tennessee",8.70%,8.7
"Del Norte County, California",7.30%,7.3
"Delaware County, Indiana",7.70%,7.7
"Delaware County, Iowa",5.20%,5.2
"Delaware County, New York",7.40%,7.4
"Delaware County, Ohio",2.60%,2.6
"Delaware County, Oklahoma",4.30%,4.3
"Delaware County, Pennsylvania",10.10%,10.1
"Delta County, Colorado",4.20%,4.2
"Delta County, Michigan",8.90%,8.9
"Delta County, Texas",3.30%,3.3
"Denali Borough, Alaska",3.20%,3.2
"Dent County, Missouri",5.60%,5.6
"Denton County, Texas",3.10%,3.1
"Denver County, Colorado",9.90%,9.9
"Des Moines County, Iowa",8.60%,8.6
"Deschutes County, Oregon",4.20%,4.2
"Desha County, Arkansas",14.60%,14.6
"DeSoto County, Florida",6.20%,6.2
"DeSoto County, Mississippi",3.70%,3.7
"Deuel County, Nebraska",1.60%,1.6
"Deuel County, South Dakota",2.10%,2.1
"Dewey County, Oklahoma",2.50%,2.5
"Dewey County, South Dakota",6.20%,6.2
"DeWitt County, Texas",7.70%,7.7
"Dickens County, Texas",5.30%,5.3
"Dickenson County, Virginia",7.10%,7.1
"Dickey County, North Dakota",1.60%,1.6
"Dickinson County, Iowa",3.90%,3.9
"Dickinson County, Kansas",5.90%,5.9
"Dickinson County, Michigan",6.90%,6.9
"Dickson County, Tennessee",1.90%,1.9
"Dillingham Census Area, Alaska",36.20%,36.2
"Dillon County, South Carolina",10.60%,10.6
"Dimmit County, Texas",14.90%,14.9
"Dinwiddie County, Virginia",2.80%,2.8
"District of Columbia, District of Columbia",35.70%,35.7
"Divide County, North Dakota",4.60%,4.6
"Dixie County, Florida",5.10%,5.1
"Dixon County, Nebraska",2.60%,2.6
"Doddridge County, West Virginia",2.60%,2.6
"Dodge County, Georgia",6.90%,6.9
"Dodge County, Minnesota",3.80%,3.8
"Dodge County, Nebraska",4.80%,4.8
"Dodge County, Wisconsin",4.40%,4.4
"Dolores County, Colorado",5%,5
"Doña Ana County, New Mexico",5.70%,5.7
"Doniphan County, Kansas",4.80%,4.8
"Donley County, Texas",3.70%,3.7
"Dooly County, Georgia",9.30%,9.3
"Door County, Wisconsin",3.10%,3.1
"Dorado Municipio, Puerto Rico",11%,11
"Dorchester County, Maryland",10%,10
"Dorchester County, South Carolina",3.10%,3.1
"Dougherty County, Georgia",10.90%,10.9
"Douglas County, Colorado",2.10%,2.1
"Douglas County, Georgia",3.80%,3.8
"Douglas County, Illinois",12.10%,12.1
"Douglas County, Kansas",6.50%,6.5
"Douglas County, Minnesota",5.40%,5.4
"Douglas County, Missouri",4.50%,4.5
"Douglas County, Nebraska",6.50%,6.5
"Douglas County, Nevada",2.50%,2.5
"Douglas County, Oregon",5.10%,5.1
"Douglas County, South Dakota",3%,3
"Douglas County, Washington",4.50%,4.5
"Douglas County, Wisconsin",8.20%,8.2
"Drew County, Arkansas",7.60%,7.6
"Dubois County, Indiana",4.90%,4.9
"Dubuque County, Iowa",5.80%,5.8
"Duchesne County, Utah",4.70%,4.7
"Dukes County, Massachusetts",3.90%,3.9
"Dundy County, Nebraska",2.90%,2.9
"Dunklin County, Missouri",8.50%,8.5
"Dunn County, North Dakota",1.90%,1.9
"Dunn County, Wisconsin",4.70%,4.7
"DuPage County, Illinois",4.20%,4.2
"Duplin County, North Carolina",5.20%,5.2
"Durham County, North Carolina",7%,7
"Dutchess County, New York",7.20%,7.2
"Duval County, Florida",7.10%,7.1
"Duval County, Texas",10.20%,10.2
"Dyer County, Tennessee",6.40%,6.4
"Eagle County, Colorado",4%,4
"Early County, Georgia",11.20%,11.2
"East Baton Rouge Parish, Louisiana",7.70%,7.7
"East Carroll Parish, Louisiana",12.10%,12.1
"East Feliciana Parish, Louisiana",8.30%,8.3
"Eastland County, Texas",6.30%,6.3
"Eaton County, Michigan",4.30%,4.3
"Eau Claire County, Wisconsin",5.70%,5.7
"Echols County, Georgia",1.10%,1.1
"Ector County, Texas",5.20%,5.2
"Eddy County, New Mexico",4.70%,4.7
"Eddy County, North Dakota",7.40%,7.4
"Edgar County, Illinois",7.40%,7.4
"Edgecombe County, North Carolina",10.40%,10.4
"Edgefield County, South Carolina",7.50%,7.5
"Edmonson County, Kentucky",3.80%,3.8
"Edmunds County, South Dakota",0.90%,0.9
"Edwards County, Illinois",4.60%,4.6
"Edwards County, Kansas",4.80%,4.8
"Edwards County, Texas",3%,3
"Effingham County, Georgia",2.40%,2.4
"Effingham County, Illinois",6.20%,6.2
"El Dorado County, California",3.80%,3.8
"El Paso County, Colorado",3.60%,3.6
"El Paso County, Texas",6.50%,6.5
"Elbert County, Colorado",1.10%,1.1
"Elbert County, Georgia",8.70%,8.7
"Elk County, Kansas",5.20%,5.2
"Elk County, Pennsylvania",6.40%,6.4
"Elkhart County, Indiana",8.40%,8.4
"Elko County, Nevada",5.70%,5.7
"Elliott County, Kentucky",6.90%,6.9
"Ellis County, Kansas",3.80%,3.8
"Ellis County, Oklahoma",5.20%,5.2
"Ellis County, Texas",2.90%,2.9
"Ellsworth County, Kansas",4%,4
"Elmore County, Alabama",4.30%,4.3
"Elmore County, Idaho",4.80%,4.8
"Emanuel County, Georgia",8.70%,8.7
"Emery County, Utah",2.70%,2.7
"Emmet County, Iowa",3.80%,3.8
"Emmet County, Michigan",5.30%,5.3
"Emmons County, North Dakota",3.30%,3.3
"Emporia city, Virginia",16%,16
"Erath County, Texas",4.10%,4.1
"Erie County, New York",12.10%,12.1
"Erie County, Ohio",5.90%,5.9
"Erie County, Pennsylvania",10.20%,10.2
"Escambia County, Alabama",6.10%,6.1
"Escambia County, Florida",6.90%,6.9
"Esmeralda County, Nevada",27.20%,27.2
"Essex County, Massachusetts",9.90%,9.9
"Essex County, New Jersey",21.40%,21.4
"Essex County, New York",9.40%,9.4
"Essex County, Vermont",4.90%,4.9
"Essex County, Virginia",5.30%,5.3
"Estill County, Kentucky",8%,8
"Etowah County, Alabama",4.20%,4.2
"Eureka County, Nevada",6%,6
"Evangeline Parish, Louisiana",11.10%,11.1
"Evans County, Georgia",4.10%,4.1
"Fairbanks North Star Borough, Alaska",4.80%,4.8
"Fairfax city, Virginia",6.20%,6.2
"Fairfax County, Virginia",4.60%,4.6
"Fairfield County, Ohio",4%,4
"Fairfield County, South Carolina",6.60%,6.6
"Fajardo Municipio, Puerto Rico",13.50%,13.5
"Fall River County, South Dakota",5.70%,5.7
"Fallon County, Montana",7.20%,7.2
"Falls Church city, Virginia",5.70%,5.7
"Falls County, Texas",8.90%,8.9
"Fannin County, Georgia",3.80%,3.8
"Fannin County, Texas",3.20%,3.2
"Faribault County, Minnesota",5.10%,5.1
"Faulk County, South Dakota",7.10%,7.1
"Faulkner County, Arkansas",4.80%,4.8
"Fauquier County, Virginia",3.10%,3.1
"Fayette County, Alabama",10.70%,10.7
"Fayette County, Georgia",3%,3
"Fayette County, Illinois",5.60%,5.6
"Fayette County, Indiana",7.70%,7.7
"Fayette County, Iowa",4.70%,4.7
"Fayette County, Kentucky",7.20%,7.2
"Fayette County, Ohio",6.60%,6.6
"Fayette County, Pennsylvania",8.10%,8.1
"Fayette County, Tennessee",5%,5
"Fayette County, Texas",4.80%,4.8
"Fayette County, West Virginia",10.20%,10.2
"Fentress County, Tennessee",5.50%,5.5
"Fergus County, Montana",7.40%,7.4
"Ferry County, Washington",6.20%,6.2
"Fillmore County, Minnesota",6.20%,6.2
"Fillmore County, Nebraska",2.50%,2.5
"Finney County, Kansas",6.30%,6.3
"Fisher County, Texas",5.60%,5.6
"Flagler County, Florida",3.60%,3.6
"Flathead County, Montana",3.70%,3.7
"Fleming County, Kentucky",8.90%,8.9
"Florence County, South Carolina",7.40%,7.4
"Florence County, Wisconsin",2.80%,2.8
"Florida Municipio, Puerto Rico",12.90%,12.9
"Floyd County, Georgia",8.40%,8.4
"Floyd County, Indiana",5.70%,5.7
"Floyd County, Iowa",7.20%,7.2
"Floyd County, Kentucky",8.60%,8.6
"Floyd County, Texas",10.20%,10.2
"Floyd County, Virginia",5.60%,5.6
"Fluvanna County, Virginia",2.70%,2.7
"Foard County, Texas",5.40%,5.4
"Fond du Lac County, Wisconsin",5.70%,5.7
"Ford County, Illinois",7.50%,7.5
"Ford County, Kansas",4.80%,4.8
"Forest County, Pennsylvania",6.10%,6.1
"Forest County, Wisconsin",4.20%,4.2
"Forrest County, Mississippi",8%,8
"Forsyth County, Georgia",1.80%,1.8
"Forsyth County, North Carolina",6.60%,6.6
"Fort Bend County, Texas",2.80%,2.8
"Foster County, North Dakota",4.60%,4.6
"Fountain County, Indiana",4.60%,4.6
"Franklin city, Virginia",10.90%,10.9
"Franklin County, Alabama",9.20%,9.2
"Franklin County, Arkansas",5.60%,5.6
"Franklin County, Florida",6.60%,6.6
"Franklin County, Georgia",4.20%,4.2
"Franklin County, Idaho",1.80%,1.8
"Franklin County, Illinois",7%,7
"Franklin County, Indiana",7.10%,7.1
"Franklin County, Iowa",3.90%,3.9
"Franklin County, Kansas",4%,4
"Franklin County, Kentucky",5.80%,5.8
"Franklin County, Maine",9.20%,9.2
"Franklin County, Massachusetts",7.30%,7.3
"Franklin County, Mississippi",3.30%,3.3
"Franklin County, Missouri",4%,4
"Franklin County, Nebraska",3.50%,3.5
"Franklin County, New York",11%,11
"Franklin County, North Carolina",3.20%,3.2
"Franklin County, Ohio",7.10%,7.1
"Franklin County, Pennsylvania",5.20%,5.2
"Franklin County, Tennessee",5.50%,5.5
"Franklin County, Texas",1.90%,1.9
"Franklin County, Vermont",6.20%,6.2
"Franklin County, Virginia",5.50%,5.5
"Franklin County, Washington",4.30%,4.3
"Franklin Parish, Louisiana",5.20%,5.2
"Frederick County, Maryland",3.90%,3.9
"Frederick County, Virginia",3.60%,3.6
"Fredericksburg city, Virginia",9.20%,9.2
"Freeborn County, Minnesota",6.30%,6.3
"Freestone County, Texas",3.30%,3.3
"Fremont County, Colorado",5.20%,5.2
"Fremont County, Idaho",2.10%,2.1
"Fremont County, Iowa",2.60%,2.6
"Fremont County, Wyoming",5.20%,5.2
"Fresno County, California",7.40%,7.4
"Frio County, Texas",10.90%,10.9
"Frontier County, Nebraska",2.90%,2.9
"Fulton County, Arkansas",5.40%,5.4
"Fulton County, Georgia",10.70%,10.7
"Fulton County, Illinois",5%,5
"Fulton County, Indiana",6%,6
"Fulton County, Kentucky",14.10%,14.1
"Fulton County, New York",10%,10
"Fulton County, Ohio",2.50%,2.5
"Fulton County, Pennsylvania",5.60%,5.6
"Furnas County, Nebraska",4.50%,4.5
"Gadsden County, Florida",9.80%,9.8
"Gage County, Nebraska",7.70%,7.7
"Gaines County, Texas",4.10%,4.1
"Galax city, Virginia",9.70%,9.7
"Gallatin County, Illinois",7.70%,7.7
"Gallatin County, Kentucky",3.30%,3.3
"Gallatin County, Montana",2.60%,2.6
"Gallia County, Ohio",9.10%,9.1
"Galveston County, Texas",5.40%,5.4
"Garden County, Nebraska",2.40%,2.4
"Garfield County, Colorado",4.50%,4.5
"Garfield County, Montana",0.70%,0.7
"Garfield County, Nebraska",5.90%,5.9
"Garfield County, Oklahoma",4.10%,4.1
"Garfield County, Utah",2.50%,2.5
"Garfield County, Washington",1.20%,1.2
"Garland County, Arkansas",6.20%,6.2
"Garrard County, Kentucky",4.70%,4.7
"Garrett County, Maryland",7.40%,7.4
"Garvin County, Oklahoma",4%,4
"Garza County, Texas",6.30%,6.3
"Gasconade County, Missouri",6%,6
"Gaston County, North Carolina",5.40%,5.4
"Gates County, North Carolina",3.40%,3.4
"Geary County, Kansas",4.10%,4.1
"Geauga County, Ohio",8.90%,8.9
"Gem County, Idaho",4.80%,4.8
"Genesee County, Michigan",7.90%,7.9
"Genesee County, New York",9.80%,9.8
"Geneva County, Alabama",6.80%,6.8
"Gentry County, Missouri",5%,5
"George County, Mississippi",6.10%,6.1
"Georgetown County, South Carolina",5.10%,5.1
"Gibson County, Indiana",3.90%,3.9
"Gibson County, Tennessee",9.20%,9.2
"Gila County, Arizona",6.90%,6.9
"Gilchrist County, Florida",7.50%,7.5
"Giles County, Tennessee",4%,4
"Giles County, Virginia",5.60%,5.6
"Gillespie County, Texas",5.50%,5.5
"Gilliam County, Oregon",7.20%,7.2
"Gilmer County, Georgia",3.70%,3.7
"Gilmer County, West Virginia",6.60%,6.6
"Gilpin County, Colorado",5.20%,5.2
"Glacier County, Montana",5.60%,5.6
"Glades County, Florida",2%,2
"Gladwin County, Michigan",6.80%,6.8
"Glascock County, Georgia",10.40%,10.4
"Glasscock County, Texas",1.20%,1.2
"Glenn County, California",3.60%,3.6
"Gloucester County, New Jersey",5%,5
"Gloucester County, Virginia",2.40%,2.4
"Glynn County, Georgia",5.70%,5.7
"Gogebic County, Michigan",8.30%,8.3
"Golden Valley County, Montana",2.30%,2.3
"Golden Valley County, North Dakota",5.60%,5.6
"Goliad County, Texas",8.60%,8.6
"Gonzales County, Texas",8.30%,8.3
"Goochland County, Virginia",2.70%,2.7
"Goodhue County, Minnesota",6.60%,6.6
"Gooding County, Idaho",5.60%,5.6
"Gordon County, Georgia",4.60%,4.6
"Goshen County, Wyoming",4.70%,4.7
"Gosper County, Nebraska",0.70%,0.7
"Gove County, Kansas",1.40%,1.4
"Grady County, Georgia",5%,5
"Grady County, Oklahoma",4%,4
"Grafton County, New Hampshire",6.60%,6.6
"Graham County, Arizona",4.90%,4.9
"Graham County, Kansas",4.20%,4.2
"Graham County, North Carolina",6.40%,6.4
"Grainger County, Tennessee",6.60%,6.6
"Grand County, Colorado",2.50%,2.5
"Grand County, Utah",2.10%,2.1
"Grand Forks County, North Dakota",5.70%,5.7
"Grand Isle County, Vermont",2%,2
"Grand Traverse County, Michigan",5.80%,5.8
"Granite County, Montana",3.10%,3.1
"Grant County, Arkansas",2.40%,2.4
"Grant County, Indiana",7.90%,7.9
"Grant County, Kansas",1.80%,1.8
"Grant County, Kentucky",5.60%,5.6
"Grant County, Minnesota",4.20%,4.2
"Grant County, Nebraska",3.60%,3.6
"Grant County, New Mexico",4%,4
"Grant County, North Dakota",3.80%,3.8
"Grant County, Oklahoma",3%,3
"Grant County, Oregon",3.50%,3.5
"Grant County, South Dakota",5.30%,5.3
"Grant County, Washington",4.70%,4.7
"Grant County, West Virginia",7.20%,7.2
"Grant County, Wisconsin",5.20%,5.2
"Grant Parish, Louisiana",7.50%,7.5
"Granville County, North Carolina",4.10%,4.1
"Gratiot County, Michigan",5.20%,5.2
"Graves County, Kentucky",5.90%,5.9
"Gray County, Kansas",1.50%,1.5
"Gray County, Texas",3.20%,3.2
"Grays Harbor County, Washington",5.50%,5.5
"Grayson County, Kentucky",5%,5
"Grayson County, Texas",3.80%,3.8
"Grayson County, Virginia",5%,5
"Greater Bridgeport Planning Region, Connecticut",10%,10
"Greeley County, Kansas",4.90%,4.9
"Greeley County, Nebraska",1.80%,1.8
"Green County, Kentucky",4.60%,4.6
"Green County, Wisconsin",3.90%,3.9
"Green Lake County, Wisconsin",6.20%,6.2
"Greenbrier County, West Virginia",6.70%,6.7
"Greene County, Alabama",13.20%,13.2
"Greene County, Arkansas",4.90%,4.9
"Greene County, Georgia",3.70%,3.7
"Greene County, Illinois",3.50%,3.5
"Greene County, Indiana",6.10%,6.1
"Greene County, Iowa",4.70%,4.7
"Greene County, Mississippi",7.20%,7.2
"Greene County, Missouri",7.10%,7.1
"Greene County, New York",8.60%,8.6
"Greene County, North Carolina",5.50%,5.5
"Greene County, Ohio",4.50%,4.5
"Greene County, Pennsylvania",5.70%,5.7
"Greene County, Tennessee",4.90%,4.9
"Greene County, Virginia",2.10%,2.1
"Greenlee County, Arizona",2.70%,2.7
"Greensville County, Virginia",8.60%,8.6
"Greenup County, Kentucky",4.60%,4.6
"Greenville County, South Carolina",5.10%,5.1
"Greenwood County, Kansas",6.90%,6.9
"Greenwood County, South Carolina",8.30%,8.3
"Greer County, Oklahoma",8.10%,8.1
"Gregg County, Texas",5.20%,5.2
"Gregory County, South Dakota",4.40%,4.4
"Grenada County, Mississippi",6.90%,6.9
"Griggs County, North Dakota",3.90%,3.9
"Grimes County, Texas",3.20%,3.2
"Grundy County, Illinois",4.30%,4.3
"Grundy County, Iowa",2.70%,2.7
"Grundy County, Missouri",11.10%,11.1
"Grundy County, Tennessee",5.90%,5.9
"Guadalupe County, New Mexico",3.90%,3.9
"Guadalupe County, Texas",2.70%,2.7
"Guánica Municipio, Puerto Rico",10%,10
"Guayama Municipio, Puerto Rico",14.40%,14.4
"Guayanilla Municipio, Puerto Rico",13.70%,13.7
"Guaynabo Municipio, Puerto Rico",10.30%,10.3
"Guernsey County, Ohio",6.90%,6.9
"Guilford County, North Carolina",6.30%,6.3
"Gulf County, Florida",4%,4
"Gunnison County, Colorado",2.10%,2.1
"Gurabo Municipio, Puerto Rico",10.20%,10.2
"Guthrie County, Iowa",3.30%,3.3
"Gwinnett County, Georgia",3.30%,3.3
"Haakon County, South Dakota",8.90%,8.9
"Habersham County, Georgia",3.90%,3.9
"Haines Borough, Alaska",9%,9
"Hale County, Alabama",11.50%,11.5
"Hale County, Texas",3.70%,3.7
"Halifax County, North Carolina",9.20%,9.2
"Halifax County, Virginia",6.40%,6.4
"Hall County, Georgia",6.20%,6.2
"Hall County, Nebraska",5.30%,5.3
"Hall County, Texas",3.30%,3.3
"Hamblen County, Tennessee",4.90%,4.9
"Hamilton County, Florida",6%,6
"Hamilton County, Illinois",4.50%,4.5
"Hamilton County, Indiana",2.20%,2.2
"Hamilton County, Iowa",5.50%,5.5
"Hamilton County, Kansas",1.80%,1.8
"Hamilton County, Nebraska",1.90%,1.9
"Hamilton County, New York",2.40%,2.4
"Hamilton County, Ohio",10.40%,10.4
"Hamilton County, Tennessee",5.90%,5.9
"Hamilton County, Texas",3.40%,3.4
"Hamlin County, South Dakota",1.70%,1.7
"Hampden County, Massachusetts",12.20%,12.2
"Hampshire County, Massachusetts",7.40%,7.4
"Hampshire County, West Virginia",5.20%,5.2
"Hampton city, Virginia",7.60%,7.6
"Hampton County, South Carolina",10.30%,10.3
"Hancock County, Georgia",12.10%,12.1
"Hancock County, Illinois",4.20%,4.2
"Hancock County, Indiana",3%,3
"Hancock County, Iowa",4.10%,4.1
"Hancock County, Kentucky",3.80%,3.8
"Hancock County, Maine",5.60%,5.6
"Hancock County, Mississippi",3.80%,3.8
"Hancock County, Ohio",4.90%,4.9
"Hancock County, Tennessee",13.50%,13.5
"Hancock County, West Virginia",6.70%,6.7
"Hand County, South Dakota",4.30%,4.3
"Hanover County, Virginia",2.70%,2.7
"Hansford County, Texas",4.70%,4.7
"Hanson County, South Dakota",1.40%,1.4
"Haralson County, Georgia",3.40%,3.4
"Hardee County, Florida",4.90%,4.9
"Hardeman County, Tennessee",7%,7
"Hardeman County, Texas",4.10%,4.1
"Hardin County, Illinois",8.30%,8.3
"Hardin County, Iowa",5.20%,5.2
"Hardin County, Kentucky",6.30%,6.3
"Hardin County, Ohio",8.20%,8.2
"Hardin County, Tennessee",4.50%,4.5
"Hardin County, Texas",4.80%,4.8
"Harding County, New Mexico",9.10%,9.1
"Harding County, South Dakota",1.50%,1.5
"Hardy County, West Virginia",8.30%,8.3
"Harford County, Maryland",4%,4
"Harlan County, Kentucky",8.90%,8.9
"Harlan County, Nebraska",1.90%,1.9
"Harmon County, Oklahoma",5.20%,5.2
"Harnett County, North Carolina",4.30%,4.3
"Harney County, Oregon",6.40%,6.4
"Harper County, Kansas",2.20%,2.2
"Harper County, Oklahoma",1.70%,1.7
"Harris County, Georgia",1.80%,1.8
"Harris County, Texas",6.70%,6.7
"Harrison County, Indiana",4.80%,4.8
"Harrison County, Iowa",4.30%,4.3
"Harrison County, Kentucky",9%,9
"Harrison County, Mississippi",5.90%,5.9
"Harrison County, Missouri",6.40%,6.4
"Harrison County, Ohio",7.30%,7.3
"Harrison County, Texas",6.40%,6.4
"Harrison County, West Virginia",8.80%,8.8
"Harrisonburg city, Virginia",7.20%,7.2
"Hart County, Georgia",6.60%,6.6
"Hart County, Kentucky",8%,8
"Hartley County, Texas",2.40%,2.4
"Harvey County, Kansas",4.30%,4.3
"Haskell County, Kansas",3.50%,3.5
"Haskell County, Oklahoma",5.40%,5.4
"Haskell County, Texas",5.20%,5.2
"Hatillo Municipio, Puerto Rico",7.50%,7.5
"Hawaii County, Hawaii",5%,5
"Hawkins County, Tennessee",5%,5
"Hayes County, Nebraska",3.20%,3.2
"Hays County, Texas",2.80%,2.8
"Haywood County, North Carolina",4.30%,4.3
"Haywood County, Tennessee",9.70%,9.7
"Heard County, Georgia",4.90%,4.9
"Hemphill County, Texas",3.60%,3.6
"Hempstead County, Arkansas",7.80%,7.8
"Henderson County, Illinois",2.90%,2.9
"Henderson County, Kentucky",6.70%,6.7
"Henderson County, North Carolina",3.70%,3.7
"Henderson County, Tennessee",4.60%,4.6
"Henderson County, Texas",5.40%,5.4
"Hendricks County, Indiana",2.70%,2.7
"Hendry County, Florida",7.30%,7.3
"Hennepin County, Minnesota",8.90%,8.9
"Henrico County, Virginia",5.50%,5.5
"Henry County, Alabama",7.60%,7.6
"Henry County, Georgia",2.10%,2.1
"Henry County, Illinois",6.20%,6.2
"Henry County, Indiana",4.40%,4.4
"Henry County, Iowa",4.40%,4.4
"Henry County, Kentucky",5.40%,5.4
"Henry County, Missouri",5.10%,5.1
"Henry County, Ohio",3.70%,3.7
"Henry County, Tennessee",6.20%,6.2
"Henry County, Virginia",6.50%,6.5
"Herkimer County, New York",10.10%,10.1
"Hernando County, Florida",5.10%,5.1
"Hertford County, North Carolina",9%,9
"Hettinger County, North Dakota",2.10%,2.1
"Hickman County, Kentucky",4.80%,4.8
"Hickman County, Tennessee",3.20%,3.2
"Hickory County, Missouri",3.30%,3.3
"Hidalgo County, New Mexico",7.20%,7.2
"Hidalgo County, Texas",5.60%,5.6
"Highland County, Ohio",8.80%,8.8
"Highland County, Virginia",5.30%,5.3
"Highlands County, Florida",5.20%,5.2
"Hill County, Montana",5.50%,5.5
"Hill County, Texas",5.50%,5.5
"Hillsborough County, Florida",5.90%,5.9
"Hillsborough County, New Hampshire",5.10%,5.1
"Hillsdale County, Michigan",6.10%,6.1
"Hinds County, Mississippi",7.20%,7.2
"Hinsdale County, Colorado",1.50%,1.5
"Hitchcock County, Nebraska",4%,4
"Hocking County, Ohio",4.10%,4.1
"Hockley County, Texas",5.90%,5.9
"Hodgeman County, Kansas",0.70%,0.7
"Hoke County, North Carolina",5.20%,5.2
"Holmes County, Florida",5.10%,5.1
"Holmes County, Mississippi",15.10%,15.1
"Holmes County, Ohio",31.30%,31.3
