Geographic Area,With an ambulatory difficulty—Estimate,Amblry diffclty
"Cooke County, Texas",7.50%,7.5
"Cooper County, Missouri",9.40%,9.4
"Coos County, New Hampshire",10.80%,10.8
"Coos County, Oregon",12.70%,12.7
"Coosa County, Alabama",15.60%,15.6
"Copiah County, Mississippi",9%,9
"Copper River Census Area, Alaska",8.90%,8.9
"Corozal Municipio, Puerto Rico",14.10%,14.1
"Corson County, South Dakota",8.10%,8.1
"Cortland County, New York",6.90%,6.9
"Coryell County, Texas",10%,10
"Coshocton County, Ohio",8.70%,8.7
"Costilla County, Colorado",13.90%,13.9
"Cottle County, Texas",16.40%,16.4
"Cotton County, Oklahoma",13%,13
"Cottonwood County, Minnesota",6.50%,6.5
"Covington city, Virginia",6.50%,6.5
"Covington County, Alabama",13.50%,13.5
"Covington County, Mississippi",10.70%,10.7
"Coweta County, Georgia",5.80%,5.8
"Cowley County, Kansas",9.80%,9.8
"Cowlitz County, Washington",9.60%,9.6
"Craig County, Oklahoma",11.60%,11.6
"Craig County, Virginia",4.90%,4.9
"Craighead County, Arkansas",9.20%,9.2
"Crane County, Texas",2.80%,2.8
"Craven County, North Carolina",8.90%,8.9
"Crawford County, Arkansas",10.80%,10.8
"Crawford County, Georgia",13.20%,13.2
"Crawford County, Illinois",7.70%,7.7
"Crawford County, Indiana",8.70%,8.7
"Crawford County, Iowa",6.10%,6.1
"Crawford County, Kansas",8.10%,8.1
"Crawford County, Michigan",10.60%,10.6
"Crawford County, Missouri",11.90%,11.9
"Crawford County, Ohio",8.20%,8.2
"Crawford County, Pennsylvania",9.40%,9.4
"Crawford County, Wisconsin",6.70%,6.7
"Creek County, Oklahoma",8.20%,8.2
"Crenshaw County, Alabama",10.20%,10.2
"Crisp County, Georgia",13.70%,13.7
"Crittenden County, Arkansas",10.60%,10.6
"Crittenden County, Kentucky",14.80%,14.8
"Crockett County, Tennessee",9.30%,9.3
"Crockett County, Texas",6.80%,6.8
"Crook County, Oregon",9.90%,9.9
"Crook County, Wyoming",5.20%,5.2
"Crosby County, Texas",12.50%,12.5
"Cross County, Arkansas",12.40%,12.4
"Crow Wing County, Minnesota",7.50%,7.5
"Crowley County, Colorado",11.10%,11.1
"Culberson County, Texas",18.30%,18.3
"Culebra Municipio, Puerto Rico",5.40%,5.4
"Cullman County, Alabama",10.10%,10.1
"Culpeper County, Virginia",5.80%,5.8
"Cumberland County, Illinois",7.70%,7.7
"Cumberland County, Kentucky",13.20%,13.2
"Cumberland County, Maine",4.70%,4.7
"Cumberland County, New Jersey",8.10%,8.1
"Cumberland County, North Carolina",9.50%,9.5
"Cumberland County, Pennsylvania",6%,6
"Cumberland County, Tennessee",11.10%,11.1
"Cumberland County, Virginia",7.50%,7.5
"Cuming County, Nebraska",4.30%,4.3
"Currituck County, North Carolina",5.30%,5.3
"Curry County, New Mexico",9.60%,9.6
"Curry County, Oregon",11.20%,11.2
"Custer County, Colorado",5.30%,5.3
"Custer County, Idaho",22.10%,22.1
"Custer County, Montana",7.80%,7.8
"Custer County, Nebraska",8.40%,8.4
"Custer County, Oklahoma",5.30%,5.3
"Custer County, South Dakota",8.90%,8.9
"Cuyahoga County, Ohio",8.10%,8.1
"Dade County, Georgia",10.10%,10.1
"Dade County, Missouri",9.30%,9.3
"Daggett County, Utah",6.90%,6.9
"Dakota County, Minnesota",4.10%,4.1
"Dakota County, Nebraska",4.90%,4.9
"Dale County, Alabama",11.70%,11.7
"Dallam County, Texas",3.50%,3.5
"Dallas County, Alabama",13.70%,13.7
"Dallas County, Arkansas",21.30%,21.3
"Dallas County, Iowa",3.70%,3.7
"Dallas County, Missouri",8.90%,8.9
"Dallas County, Texas",5%,5
"Dane County, Wisconsin",3.60%,3.6
"Daniels County, Montana",8.50%,8.5
"Danville city, Virginia",11.40%,11.4
"Dare County, North Carolina",5.40%,5.4
"Darke County, Ohio",6.30%,6.3
"Darlington County, South Carolina",9.30%,9.3
"Dauphin County, Pennsylvania",6.80%,6.8
"Davidson County, North Carolina",9.20%,9.2
"Davidson County, Tennessee",5.90%,5.9
"Davie County, North Carolina",9.50%,9.5
"Daviess County, Indiana",7.70%,7.7
"Daviess County, Kentucky",8.30%,8.3
"Daviess County, Missouri",8.10%,8.1
"Davis County, Iowa",6.20%,6.2
"Davis County, Utah",3.80%,3.8
"Davison County, South Dakota",5.40%,5.4
"Dawes County, Nebraska",6.70%,6.7
"Dawson County, Georgia",5.60%,5.6
"Dawson County, Montana",6.40%,6.4
"Dawson County, Nebraska",5.70%,5.7
"Dawson County, Texas",10.20%,10.2
"Day County, South Dakota",7.40%,7.4
"De Baca County, New Mexico",9.40%,9.4
"De Soto Parish, Louisiana",11%,11
"De Witt County, Illinois",8.30%,8.3
"Deaf Smith County, Texas",4.30%,4.3
"Dearborn County, Indiana",6.60%,6.6
"Decatur County, Georgia",8.70%,8.7
"Decatur County, Indiana",6.10%,6.1
"Decatur County, Iowa",7.40%,7.4
"Decatur County, Kansas",8.90%,8.9
"Decatur County, Tennessee",8.70%,8.7
"Deer Lodge County, Montana",15.40%,15.4
"Defiance County, Ohio",6.10%,6.1
"DeKalb County, Alabama",8.90%,8.9
"DeKalb County, Georgia",6.10%,6.1
"DeKalb County, Illinois",5.20%,5.2
"DeKalb County, Indiana",6.30%,6.3
"DeKalb County, Missouri",8.80%,8.8
"DeKalb County, Tennessee",12%,12
"Del Norte County, California",11.60%,11.6
"Delaware County, Indiana",9%,9
"Delaware County, Iowa",6.50%,6.5
"Delaware County, New York",10.20%,10.2
"Delaware County, Ohio",3.50%,3.5
"Delaware County, Oklahoma",10.80%,10.8
"Delaware County, Pennsylvania",6.10%,6.1
"Delta County, Colorado",12.40%,12.4
"Delta County, Michigan",9.20%,9.2
"Delta County, Texas",12.20%,12.2
"Denali Borough, Alaska",6.70%,6.7
"Dent County, Missouri",12.10%,12.1
"Denton County, Texas",3.90%,3.9
"Denver County, Colorado",4.50%,4.5
"Des Moines County, Iowa",8.60%,8.6
"Deschutes County, Oregon",5.80%,5.8
"Desha County, Arkansas",13.10%,13.1
"DeSoto County, Florida",10.70%,10.7
"DeSoto County, Mississippi",6.30%,6.3
"Deuel County, Nebraska",9%,9
"Deuel County, South Dakota",6.10%,6.1
"Dewey County, Oklahoma",8.80%,8.8
"Dewey County, South Dakota",5.80%,5.8
"DeWitt County, Texas",10.60%,10.6
"Dickens County, Texas",11.40%,11.4
"Dickenson County, Virginia",21.70%,21.7
"Dickey County, North Dakota",6.30%,6.3
"Dickinson County, Iowa",7.80%,7.8
"Dickinson County, Kansas",7.90%,7.9
"Dickinson County, Michigan",7.80%,7.8
"Dickson County, Tennessee",8.80%,8.8
"Dillingham Census Area, Alaska",4.80%,4.8
"Dillon County, South Carolina",11.20%,11.2
"Dimmit County, Texas",11%,11
"Dinwiddie County, Virginia",6.50%,6.5
"District of Columbia, District of Columbia",5.90%,5.9
"Divide County, North Dakota",5.20%,5.2
"Dixie County, Florida",14.80%,14.8
"Dixon County, Nebraska",6%,6
"Doddridge County, West Virginia",11.60%,11.6
"Dodge County, Georgia",11.70%,11.7
"Dodge County, Minnesota",3.80%,3.8
"Dodge County, Nebraska",7.60%,7.6
"Dodge County, Wisconsin",6.10%,6.1
"Dolores County, Colorado",2.40%,2.4
"Doña Ana County, New Mexico",7.10%,7.1
"Doniphan County, Kansas",7.10%,7.1
"Donley County, Texas",6.80%,6.8
"Dooly County, Georgia",12.80%,12.8
"Door County, Wisconsin",5.30%,5.3
"Dorado Municipio, Puerto Rico",8.50%,8.5
"Dorchester County, Maryland",8.70%,8.7
"Dorchester County, South Carolina",6.50%,6.5
"Dougherty County, Georgia",11%,11
"Douglas County, Colorado",2.80%,2.8
"Douglas County, Georgia",6.10%,6.1
"Douglas County, Illinois",6.70%,6.7
"Douglas County, Kansas",4.30%,4.3
"Douglas County, Minnesota",5.60%,5.6
"Douglas County, Missouri",10.70%,10.7
"Douglas County, Nebraska",5%,5
"Douglas County, Nevada",8.60%,8.6
"Douglas County, Oregon",10.70%,10.7
"Douglas County, South Dakota",6.70%,6.7
"Douglas County, Washington",7%,7
"Douglas County, Wisconsin",6.60%,6.6
"Drew County, Arkansas",11.80%,11.8
"Dubois County, Indiana",6.30%,6.3
"Dubuque County, Iowa",5.40%,5.4
"Duchesne County, Utah",7%,7
"Dukes County, Massachusetts",7%,7
"Dundy County, Nebraska",8.70%,8.7
"Dunklin County, Missouri",12.40%,12.4
"Dunn County, North Dakota",6.50%,6.5
"Dunn County, Wisconsin",4.80%,4.8
"DuPage County, Illinois",4.10%,4.1
"Duplin County, North Carolina",10.80%,10.8
"Durham County, North Carolina",5.30%,5.3
"Dutchess County, New York",6.40%,6.4
"Duval County, Florida",7.20%,7.2
"Duval County, Texas",11.80%,11.8
"Dyer County, Tennessee",10.30%,10.3
"Eagle County, Colorado",2.60%,2.6
"Early County, Georgia",8.80%,8.8
"East Baton Rouge Parish, Louisiana",6.50%,6.5
"East Carroll Parish, Louisiana",9.60%,9.6
"East Feliciana Parish, Louisiana",8.70%,8.7
"Eastland County, Texas",11.50%,11.5
"Eaton County, Michigan",7.20%,7.2
"Eau Claire County, Wisconsin",5.90%,5.9
"Echols County, Georgia",7.80%,7.8
"Ector County, Texas",4.80%,4.8
"Eddy County, New Mexico",8.30%,8.3
"Eddy County, North Dakota",8%,8
"Edgar County, Illinois",10.60%,10.6
"Edgecombe County, North Carolina",10%,10
"Edgefield County, South Carolina",7.90%,7.9
"Edmonson County, Kentucky",13%,13
"Edmunds County, South Dakota",4.40%,4.4
"Edwards County, Illinois",9.20%,9.2
"Edwards County, Kansas",7.20%,7.2
"Edwards County, Texas",10.60%,10.6
"Effingham County, Georgia",5.80%,5.8
"Effingham County, Illinois",7.50%,7.5
"El Dorado County, California",5.70%,5.7
"El Paso County, Colorado",5.30%,5.3
"El Paso County, Texas",7.30%,7.3
"Elbert County, Colorado",3.60%,3.6
"Elbert County, Georgia",12.50%,12.5
"Elk County, Kansas",16.20%,16.2
"Elk County, Pennsylvania",6.90%,6.9
"Elkhart County, Indiana",6.40%,6.4
"Elko County, Nevada",5.80%,5.8
"Elliott County, Kentucky",17.70%,17.7
"Ellis County, Kansas",5.60%,5.6
"Ellis County, Oklahoma",10.30%,10.3
"Ellis County, Texas",6%,6
"Ellsworth County, Kansas",8.10%,8.1
"Elmore County, Alabama",8.40%,8.4
"Elmore County, Idaho",8.60%,8.6
"Emanuel County, Georgia",11.80%,11.8
"Emery County, Utah",8.30%,8.3
"Emmet County, Iowa",7.10%,7.1
"Emmet County, Michigan",6.20%,6.2
"Emmons County, North Dakota",6.30%,6.3
"Emporia city, Virginia",10.50%,10.5
"Erath County, Texas",5.30%,5.3
"Erie County, New York",6.90%,6.9
"Erie County, Ohio",8.20%,8.2
"Erie County, Pennsylvania",7.60%,7.6
"Escambia County, Alabama",12.80%,12.8
"Escambia County, Florida",8.80%,8.8
"Esmeralda County, Nevada",17.30%,17.3
"Essex County, Massachusetts",5.70%,5.7
"Essex County, New Jersey",6%,6
"Essex County, New York",8.30%,8.3
"Essex County, Vermont",12.60%,12.6
"Essex County, Virginia",9.70%,9.7
"Estill County, Kentucky",16.80%,16.8
"Etowah County, Alabama",10.70%,10.7
"Eureka County, Nevada",9.10%,9.1
"Evangeline Parish, Louisiana",14.50%,14.5
"Evans County, Georgia",8.30%,8.3
"Fairbanks North Star Borough, Alaska",5.90%,5.9
"Fairfax city, Virginia",2.60%,2.6
"Fairfax County, Virginia",3.50%,3.5
"Fairfield County, Ohio",7.30%,7.3
"Fairfield County, South Carolina",10.40%,10.4
"Fajardo Municipio, Puerto Rico",13.20%,13.2
"Fall River County, South Dakota",11.20%,11.2
"Fallon County, Montana",7.30%,7.3
"Falls Church city, Virginia",2.60%,2.6
"Falls County, Texas",10.10%,10.1
"Fannin County, Georgia",12.60%,12.6
"Fannin County, Texas",8.30%,8.3
"Faribault County, Minnesota",6.30%,6.3
"Faulk County, South Dakota",7.30%,7.3
"Faulkner County, Arkansas",7.10%,7.1
"Fauquier County, Virginia",4.60%,4.6
"Fayette County, Alabama",15.70%,15.7
"Fayette County, Georgia",5%,5
"Fayette County, Illinois",9.90%,9.9
"Fayette County, Indiana",10.50%,10.5
"Fayette County, Iowa",8.20%,8.2
"Fayette County, Kentucky",6%,6
"Fayette County, Ohio",10.30%,10.3
"Fayette County, Pennsylvania",11.10%,11.1
"Fayette County, Tennessee",9.10%,9.1
"Fayette County, Texas",7.40%,7.4
"Fayette County, West Virginia",14.20%,14.2
"Fentress County, Tennessee",11.50%,11.5
"Fergus County, Montana",8.20%,8.2
"Ferry County, Washington",15.70%,15.7
"Fillmore County, Minnesota",5.50%,5.5
"Fillmore County, Nebraska",7.60%,7.6
"Finney County, Kansas",6.90%,6.9
"Fisher County, Texas",11.30%,11.3
"Flagler County, Florida",8%,8
"Flathead County, Montana",5.30%,5.3
"Fleming County, Kentucky",10.90%,10.9
"Florence County, South Carolina",7.20%,7.2
"Florence County, Wisconsin",9.60%,9.6
"Florida Municipio, Puerto Rico",13%,13
"Floyd County, Georgia",9%,9
"Floyd County, Indiana",7.70%,7.7
"Floyd County, Iowa",6.70%,6.7
"Floyd County, Kentucky",16.30%,16.3
"Floyd County, Texas",12%,12
"Floyd County, Virginia",6.90%,6.9
"Fluvanna County, Virginia",6.20%,6.2
"Foard County, Texas",11.70%,11.7
"Fond du Lac County, Wisconsin",6%,6
"Ford County, Illinois",7.40%,7.4
"Ford County, Kansas",6.20%,6.2
"Forest County, Pennsylvania",13.50%,13.5
"Forest County, Wisconsin",8%,8
"Forrest County, Mississippi",11%,11
"Forsyth County, Georgia",3.60%,3.6
"Forsyth County, North Carolina",6.50%,6.5
"Fort Bend County, Texas",3.70%,3.7
"Foster County, North Dakota",3.90%,3.9
"Fountain County, Indiana",10.90%,10.9
"Franklin city, Virginia",10.40%,10.4
"Franklin County, Alabama",9.90%,9.9
"Franklin County, Arkansas",11.70%,11.7
"Franklin County, Florida",10.80%,10.8
"Franklin County, Georgia",9.40%,9.4
"Franklin County, Idaho",6.70%,6.7
"Franklin County, Illinois",11.80%,11.8
"Franklin County, Indiana",7.20%,7.2
"Franklin County, Iowa",3.80%,3.8
"Franklin County, Kansas",7.50%,7.5
"Franklin County, Kentucky",9.70%,9.7
"Franklin County, Maine",7.80%,7.8
"Franklin County, Massachusetts",7.60%,7.6
"Franklin County, Mississippi",14%,14
"Franklin County, Missouri",7.60%,7.6
"Franklin County, Nebraska",8.70%,8.7
"Franklin County, New York",8.50%,8.5
"Franklin County, North Carolina",9.30%,9.3
"Franklin County, Ohio",5.60%,5.6
"Franklin County, Pennsylvania",7.90%,7.9
"Franklin County, Tennessee",9.80%,9.8
"Franklin County, Texas",7.50%,7.5
"Franklin County, Vermont",6.70%,6.7
"Franklin County, Virginia",7.90%,7.9
"Franklin County, Washington",5.80%,5.8
"Franklin Parish, Louisiana",10.70%,10.7
"Frederick County, Maryland",4.90%,4.9
"Frederick County, Virginia",6.50%,6.5
"Fredericksburg city, Virginia",5.20%,5.2
"Freeborn County, Minnesota",6.50%,6.5
"Freestone County, Texas",10.80%,10.8
"Fremont County, Colorado",10.90%,10.9
"Fremont County, Idaho",7.10%,7.1
"Fremont County, Iowa",8.10%,8.1
"Fremont County, Wyoming",8.10%,8.1
"Fresno County, California",6.80%,6.8
"Frio County, Texas",6.70%,6.7
"Frontier County, Nebraska",10.70%,10.7
"Fulton County, Arkansas",16.50%,16.5
"Fulton County, Georgia",5.10%,5.1
"Fulton County, Illinois",7%,7
"Fulton County, Indiana",8.40%,8.4
"Fulton County, Kentucky",12.90%,12.9
"Fulton County, New York",9%,9
"Fulton County, Ohio",8.10%,8.1
"Fulton County, Pennsylvania",9.10%,9.1
"Furnas County, Nebraska",11%,11
"Gadsden County, Florida",8.40%,8.4
"Gage County, Nebraska",7.60%,7.6
"Gaines County, Texas",7.10%,7.1
"Galax city, Virginia",8.30%,8.3
"Gallatin County, Illinois",14%,14
"Gallatin County, Kentucky",10.10%,10.1
"Gallatin County, Montana",3.70%,3.7
"Gallia County, Ohio",10.90%,10.9
"Galveston County, Texas",6.70%,6.7
"Garden County, Nebraska",10.60%,10.6
"Garfield County, Colorado",4.20%,4.2
"Garfield County, Montana",5.20%,5.2
"Garfield County, Nebraska",6.70%,6.7
"Garfield County, Oklahoma",8.80%,8.8
"Garfield County, Utah",5.90%,5.9
"Garfield County, Washington",11.10%,11.1
"Garland County, Arkansas",12.90%,12.9
"Garrard County, Kentucky",9.60%,9.6
"Garrett County, Maryland",9.60%,9.6
"Garvin County, Oklahoma",8.30%,8.3
"Garza County, Texas",15.20%,15.2
"Gasconade County, Missouri",9.20%,9.2
"Gaston County, North Carolina",8.60%,8.6
"Gates County, North Carolina",13.60%,13.6
"Geary County, Kansas",6.50%,6.5
"Geauga County, Ohio",5%,5
"Gem County, Idaho",11.10%,11.1
"Genesee County, Michigan",9.70%,9.7
"Genesee County, New York",7.80%,7.8
"Geneva County, Alabama",13.20%,13.2
"Gentry County, Missouri",8.40%,8.4
"George County, Mississippi",11.10%,11.1
"Georgetown County, South Carolina",9.40%,9.4
"Gibson County, Indiana",8.10%,8.1
"Gibson County, Tennessee",10.30%,10.3
"Gila County, Arizona",12.50%,12.5
"Gilchrist County, Florida",10.40%,10.4
"Giles County, Tennessee",9.50%,9.5
"Giles County, Virginia",7.60%,7.6
"Gillespie County, Texas",7.40%,7.4
"Gilliam County, Oregon",9%,9
"Gilmer County, Georgia",10.50%,10.5
"Gilmer County, West Virginia",10.10%,10.1
"Gilpin County, Colorado",6.50%,6.5
"Glacier County, Montana",8.70%,8.7
"Glades County, Florida",11.20%,11.2
"Gladwin County, Michigan",11.80%,11.8
"Glascock County, Georgia",7.60%,7.6
"Glasscock County, Texas",2.70%,2.7
"Glenn County, California",7.10%,7.1
"Gloucester County, New Jersey",6.70%,6.7
"Gloucester County, Virginia",10.10%,10.1
"Glynn County, Georgia",7.60%,7.6
"Gogebic County, Michigan",9.30%,9.3
"Golden Valley County, Montana",9.80%,9.8
"Golden Valley County, North Dakota",13.60%,13.6
"Goliad County, Texas",9.70%,9.7
"Gonzales County, Texas",9.40%,9.4
"Goochland County, Virginia",5.80%,5.8
"Goodhue County, Minnesota",5%,5
"Gooding County, Idaho",10.30%,10.3
"Gordon County, Georgia",7.50%,7.5
"Goshen County, Wyoming",9.60%,9.6
"Gosper County, Nebraska",6.20%,6.2
"Gove County, Kansas",8%,8
"Grady County, Georgia",10.40%,10.4
"Grady County, Oklahoma",10.40%,10.4
"Grafton County, New Hampshire",5.80%,5.8
"Graham County, Arizona",7.60%,7.6
"Graham County, Kansas",9.50%,9.5
"Graham County, North Carolina",11.10%,11.1
"Grainger County, Tennessee",13.10%,13.1
"Grand County, Colorado",3.40%,3.4
"Grand County, Utah",3.80%,3.8
"Grand Forks County, North Dakota",4%,4
"Grand Isle County, Vermont",6.30%,6.3
"Grand Traverse County, Michigan",5.30%,5.3
"Granite County, Montana",11.50%,11.5
"Grant County, Arkansas",11.20%,11.2
"Grant County, Indiana",11.20%,11.2
"Grant County, Kansas",2.30%,2.3
"Grant County, Kentucky",8%,8
"Grant County, Minnesota",8.20%,8.2
"Grant County, Nebraska",5.10%,5.1
"Grant County, New Mexico",11.20%,11.2
"Grant County, North Dakota",7.30%,7.3
"Grant County, Oklahoma",10.30%,10.3
"Grant County, Oregon",12.20%,12.2
"Grant County, South Dakota",7%,7
"Grant County, Washington",6.80%,6.8
"Grant County, West Virginia",7.60%,7.6
"Grant County, Wisconsin",4.80%,4.8
"Grant Parish, Louisiana",9.30%,9.3
"Granville County, North Carolina",8.40%,8.4
"Gratiot County, Michigan",7.80%,7.8
"Graves County, Kentucky",11.10%,11.1
"Gray County, Kansas",3.60%,3.6
"Gray County, Texas",7.60%,7.6
"Grays Harbor County, Washington",10.50%,10.5
"Grayson County, Kentucky",11.20%,11.2
"Grayson County, Texas",7.50%,7.5
"Grayson County, Virginia",11.30%,11.3
"Greater Bridgeport Planning Region, Connecticut",6.40%,6.4
"Greeley County, Kansas",7%,7
"Greeley County, Nebraska",6.60%,6.6
"Green County, Kentucky",14.50%,14.5
"Green County, Wisconsin",5.70%,5.7
"Green Lake County, Wisconsin",7.80%,7.8
"Greenbrier County, West Virginia",10.90%,10.9
"Greene County, Alabama",16.10%,16.1
"Greene County, Arkansas",11.20%,11.2
"Greene County, Georgia",6.60%,6.6
"Greene County, Illinois",10.60%,10.6
"Greene County, Indiana",10.30%,10.3
"Greene County, Iowa",9.90%,9.9
"Greene County, Mississippi",15.20%,15.2
"Greene County, Missouri",7.70%,7.7
"Greene County, New York",7.70%,7.7
"Greene County, North Carolina",10.90%,10.9
"Greene County, Ohio",7%,7
"Greene County, Pennsylvania",9.10%,9.1
"Greene County, Tennessee",12.60%,12.6
"Greene County, Virginia",6.90%,6.9
"Greenlee County, Arizona",5%,5
"Greensville County, Virginia",10%,10
"Greenup County, Kentucky",11.80%,11.8
"Greenville County, South Carolina",6.20%,6.2
"Greenwood County, Kansas",11.30%,11.3
"Greenwood County, South Carolina",7.50%,7.5
"Greer County, Oklahoma",10.30%,10.3
"Gregg County, Texas",6.70%,6.7
"Gregory County, South Dakota",7.10%,7.1
"Grenada County, Mississippi",10.10%,10.1
"Griggs County, North Dakota",4.80%,4.8
"Grimes County, Texas",7.60%,7.6
"Grundy County, Illinois",5.60%,5.6
"Grundy County, Iowa",4.50%,4.5
"Grundy County, Missouri",8.70%,8.7
"Grundy County, Tennessee",14.80%,14.8
"Guadalupe County, New Mexico",11.90%,11.9
"Guadalupe County, Texas",7%,7
"Guánica Municipio, Puerto Rico",19.10%,19.1
"Guayama Municipio, Puerto Rico",17.60%,17.6
"Guayanilla Municipio, Puerto Rico",8.80%,8.8
"Guaynabo Municipio, Puerto Rico",12.50%,12.5
"Guernsey County, Ohio",9.90%,9.9
"Guilford County, North Carolina",6.10%,6.1
"Gulf County, Florida",11.70%,11.7
"Gunnison County, Colorado",2.90%,2.9
"Gurabo Municipio, Puerto Rico",12.30%,12.3
"Guthrie County, Iowa",5.60%,5.6
"Gwinnett County, Georgia",4%,4
"Haakon County, South Dakota",8.50%,8.5
"Habersham County, Georgia",9.60%,9.6
"Haines Borough, Alaska",4.60%,4.6
"Hale County, Alabama",11.80%,11.8
"Hale County, Texas",6.60%,6.6
"Halifax County, North Carolina",12%,12
"Halifax County, Virginia",10.80%,10.8
"Hall County, Georgia",5.90%,5.9
"Hall County, Nebraska",6.30%,6.3
"Hall County, Texas",9.50%,9.5
"Hamblen County, Tennessee",12.10%,12.1
"Hamilton County, Florida",11%,11
"Hamilton County, Illinois",10.90%,10.9
"Hamilton County, Indiana",3.20%,3.2
"Hamilton County, Iowa",7.20%,7.2
"Hamilton County, Kansas",6.60%,6.6
"Hamilton County, Nebraska",3.60%,3.6
"Hamilton County, New York",8.40%,8.4
"Hamilton County, Ohio",6.10%,6.1
"Hamilton County, Tennessee",8.60%,8.6
"Hamilton County, Texas",10.90%,10.9
"Hamlin County, South Dakota",3.20%,3.2
"Hampden County, Massachusetts",8.50%,8.5
"Hampshire County, Massachusetts",4.60%,4.6
"Hampshire County, West Virginia",13.90%,13.9
"Hampton city, Virginia",9.40%,9.4
"Hampton County, South Carolina",13.20%,13.2
"Hancock County, Georgia",10%,10
"Hancock County, Illinois",9.50%,9.5
"Hancock County, Indiana",6.10%,6.1
"Hancock County, Iowa",6.50%,6.5
"Hancock County, Kentucky",9.10%,9.1
"Hancock County, Maine",6.70%,6.7
"Hancock County, Mississippi",10.40%,10.4
"Hancock County, Ohio",6%,6
"Hancock County, Tennessee",14.60%,14.6
"Hancock County, West Virginia",9.90%,9.9
"Hand County, South Dakota",7.50%,7.5
"Hanover County, Virginia",5.70%,5.7
"Hansford County, Texas",5.80%,5.8
"Hanson County, South Dakota",2.80%,2.8
"Haralson County, Georgia",9.30%,9.3
"Hardee County, Florida",7.90%,7.9
"Hardeman County, Tennessee",12.90%,12.9
"Hardeman County, Texas",11%,11
"Hardin County, Illinois",14.70%,14.7
"Hardin County, Iowa",6.10%,6.1
"Hardin County, Kentucky",9.40%,9.4
"Hardin County, Ohio",7.40%,7.4
"Hardin County, Tennessee",11.60%,11.6
"Hardin County, Texas",10.20%,10.2
"Harding County, New Mexico",13.70%,13.7
"Harding County, South Dakota",3.80%,3.8
"Hardy County, West Virginia",11%,11
"Harford County, Maryland",5.70%,5.7
"Harlan County, Kentucky",18.90%,18.9
"Harlan County, Nebraska",9.30%,9.3
"Harmon County, Oklahoma",9.50%,9.5
"Harnett County, North Carolina",7.80%,7.8
"Harney County, Oregon",12.50%,12.5
"Harper County, Kansas",11%,11
"Harper County, Oklahoma",12.10%,12.1
"Harris County, Georgia",9.30%,9.3
"Harris County, Texas",5.20%,5.2
"Harrison County, Indiana",8.70%,8.7
"Harrison County, Iowa",7.40%,7.4
"Harrison County, Kentucky",10.90%,10.9
"Harrison County, Mississippi",10.40%,10.4
"Harrison County, Missouri",11.70%,11.7
"Harrison County, Ohio",9.20%,9.2
"Harrison County, Texas",8.90%,8.9
"Harrison County, West Virginia",8.40%,8.4
"Harrisonburg city, Virginia",5.40%,5.4
"Hart County, Georgia",12%,12
"Hart County, Kentucky",11.40%,11.4
"Hartley County, Texas",5%,5
"Harvey County, Kansas",6.60%,6.6
"Haskell County, Kansas",3.50%,3.5
"Haskell County, Oklahoma",13.40%,13.4
"Haskell County, Texas",13.40%,13.4
"Hatillo Municipio, Puerto Rico",10.20%,10.2
"Hawaii County, Hawaii",7.20%,7.2
"Hawkins County, Tennessee",14.30%,14.3
"Hayes County, Nebraska",7.20%,7.2
"Hays County, Texas",5.10%,5.1
"Haywood County, North Carolina",9.80%,9.8
"Haywood County, Tennessee",13.70%,13.7
"Heard County, Georgia",14.40%,14.4
"Hemphill County, Texas",10.20%,10.2
"Hempstead County, Arkansas",11.70%,11.7
"Henderson County, Illinois",7.60%,7.6
"Henderson County, Kentucky",10.80%,10.8
"Henderson County, North Carolina",7.70%,7.7
"Henderson County, Tennessee",9.10%,9.1
"Henderson County, Texas",10.50%,10.5
"Hendricks County, Indiana",4.90%,4.9
"Hendry County, Florida",6.70%,6.7
"Hennepin County, Minnesota",4.40%,4.4
"Henrico County, Virginia",5.80%,5.8
"Henry County, Alabama",11.60%,11.6
"Henry County, Georgia",5%,5
"Henry County, Illinois",6.20%,6.2
"Henry County, Indiana",10.90%,10.9
"Henry County, Iowa",7.30%,7.3
"Henry County, Kentucky",9.90%,9.9
"Henry County, Missouri",11.60%,11.6
"Henry County, Ohio",5.80%,5.8
"Henry County, Tennessee",13.30%,13.3
"Henry County, Virginia",13%,13
"Herkimer County, New York",7%,7
"Hernando County, Florida",10.80%,10.8
"Hertford County, North Carolina",12.90%,12.9
"Hettinger County, North Dakota",10.80%,10.8
"Hickman County, Kentucky",12.80%,12.8
"Hickman County, Tennessee",11.20%,11.2
"Hickory County, Missouri",16.40%,16.4
"Hidalgo County, New Mexico",10.30%,10.3
"Hidalgo County, Texas",6.50%,6.5
"Highland County, Ohio",11%,11
"Highland County, Virginia",8.60%,8.6
"Highlands County, Florida",12%,12
"Hill County, Montana",4.80%,4.8
"Hill County, Texas",10.30%,10.3
"Hillsborough County, Florida",6.40%,6.4
"Hillsborough County, New Hampshire",5.10%,5.1
"Hillsdale County, Michigan",8.20%,8.2
"Hinds County, Mississippi",8.90%,8.9
"Hinsdale County, Colorado",6.60%,6.6
"Hitchcock County, Nebraska",10.70%,10.7
"Hocking County, Ohio",9.30%,9.3
"Hockley County, Texas",10%,10
"Hodgeman County, Kansas",7.30%,7.3
"Hoke County, North Carolina",10.90%,10.9
"Holmes County, Florida",11.40%,11.4
"Holmes County, Mississippi",13.20%,13.2
