Geographic Area,Unemployment rate—Population 16 years and over—Estimate,Unemploymt
"Cook County, Minnesota",3.10%,3.1
"Cooke County, Texas",3.90%,3.9
"Cooper County, Missouri",5%,5
"Coos County, New Hampshire",4.20%,4.2
"Coos County, Oregon",5.80%,5.8
"Coosa County, Alabama",4.40%,4.4
"Copiah County, Mississippi",5.20%,5.2
"Copper River Census Area, Alaska",6.50%,6.5
"Corozal Municipio, Puerto Rico",15.20%,15.2
"Corson County, South Dakota",24.60%,24.6
"Cortland County, New York",5.40%,5.4
"Coryell County, Texas",7.10%,7.1
"Coshocton County, Ohio",6.10%,6.1
"Costilla County, Colorado",6.60%,6.6
"Cottle County, Texas",4.10%,4.1
"Cotton County, Oklahoma",2.20%,2.2
"Cottonwood County, Minnesota",3.90%,3.9
"Covington city, Virginia",2.60%,2.6
"Covington County, Alabama",5.50%,5.5
"Covington County, Mississippi",5.80%,5.8
"Coweta County, Georgia",2.80%,2.8
"Cowley County, Kansas",5.30%,5.3
"Cowlitz County, Washington",5.50%,5.5
"Craig County, Oklahoma",4.60%,4.6
"Craig County, Virginia",1.90%,1.9
"Craighead County, Arkansas",5.90%,5.9
"Crane County, Texas",3%,3
"Craven County, North Carolina",5.10%,5.1
"Crawford County, Arkansas",5.30%,5.3
"Crawford County, Georgia",8.10%,8.1
"Crawford County, Illinois",3.30%,3.3
"Crawford County, Indiana",3.60%,3.6
"Crawford County, Iowa",4.10%,4.1
"Crawford County, Kansas",3.90%,3.9
"Crawford County, Michigan",6.10%,6.1
"Crawford County, Missouri",6.90%,6.9
"Crawford County, Ohio",5.50%,5.5
"Crawford County, Pennsylvania",5.60%,5.6
"Crawford County, Wisconsin",2.80%,2.8
"Creek County, Oklahoma",3.70%,3.7
"Crenshaw County, Alabama",6.10%,6.1
"Crisp County, Georgia",8.20%,8.2
"Crittenden County, Arkansas",10.40%,10.4
"Crittenden County, Kentucky",3.40%,3.4
"Crockett County, Tennessee",3.80%,3.8
"Crockett County, Texas",2%,2
"Crook County, Oregon",4.10%,4.1
"Crook County, Wyoming",1%,1
"Crosby County, Texas",4.90%,4.9
"Cross County, Arkansas",8.10%,8.1
"Crow Wing County, Minnesota",5%,5
"Crowley County, Colorado",7.20%,7.2
"Culberson County, Texas",10.10%,10.1
"Culebra Municipio, Puerto Rico",3.20%,3.2
"Cullman County, Alabama",4.30%,4.3
"Culpeper County, Virginia",3.90%,3.9
"Cumberland County, Illinois",1.90%,1.9
"Cumberland County, Kentucky",3.80%,3.8
"Cumberland County, Maine",3.20%,3.2
"Cumberland County, New Jersey",7.80%,7.8
"Cumberland County, North Carolina",7.90%,7.9
"Cumberland County, Pennsylvania",3.70%,3.7
"Cumberland County, Tennessee",5.70%,5.7
"Cumberland County, Virginia",3.20%,3.2
"Cuming County, Nebraska",2.60%,2.6
"Currituck County, North Carolina",3.20%,3.2
"Curry County, New Mexico",7.90%,7.9
"Curry County, Oregon",7.20%,7.2
"Custer County, Colorado",4.90%,4.9
"Custer County, Idaho",1.70%,1.7
"Custer County, Montana",3.30%,3.3
"Custer County, Nebraska",1.60%,1.6
"Custer County, Oklahoma",2.90%,2.9
"Custer County, South Dakota",3%,3
"Cuyahoga County, Ohio",7.20%,7.2
"Dade County, Georgia",5.50%,5.5
"Dade County, Missouri",5.70%,5.7
"Daggett County, Utah",3.50%,3.5
"Dakota County, Minnesota",3.70%,3.7
"Dakota County, Nebraska",3%,3
"Dale County, Alabama",7.80%,7.8
"Dallam County, Texas",2.60%,2.6
"Dallas County, Alabama",9.10%,9.1
"Dallas County, Arkansas",6%,6
"Dallas County, Iowa",3%,3
"Dallas County, Missouri",4.90%,4.9
"Dallas County, Texas",4.90%,4.9
"Dane County, Wisconsin",2.30%,2.3
"Daniels County, Montana",1.50%,1.5
"Danville city, Virginia",5.80%,5.8
"Dare County, North Carolina",5.10%,5.1
"Darke County, Ohio",2.60%,2.6
"Darlington County, South Carolina",6.50%,6.5
"Dauphin County, Pennsylvania",4.30%,4.3
"Davidson County, North Carolina",4.30%,4.3
"Davidson County, Tennessee",4.60%,4.6
"Davie County, North Carolina",4.60%,4.6
"Daviess County, Indiana",1.90%,1.9
"Daviess County, Kentucky",4.10%,4.1
"Daviess County, Missouri",2%,2
"Davis County, Iowa",2%,2
"Davis County, Utah",2.50%,2.5
"Davison County, South Dakota",1.40%,1.4
"Dawes County, Nebraska",1.50%,1.5
"Dawson County, Georgia",4.60%,4.6
"Dawson County, Montana",3%,3
"Dawson County, Nebraska",2.10%,2.1
"Dawson County, Texas",9.50%,9.5
"Day County, South Dakota",2.60%,2.6
"De Baca County, New Mexico",8.50%,8.5
"De Soto Parish, Louisiana",6.90%,6.9
"De Witt County, Illinois",5.40%,5.4
"Deaf Smith County, Texas",2.10%,2.1
"Dearborn County, Indiana",2.10%,2.1
"Decatur County, Georgia",6.40%,6.4
"Decatur County, Indiana",3.10%,3.1
"Decatur County, Iowa",4.20%,4.2
"Decatur County, Kansas",4.90%,4.9
"Decatur County, Tennessee",7.90%,7.9
"Deer Lodge County, Montana",3.80%,3.8
"Defiance County, Ohio",4.90%,4.9
"DeKalb County, Alabama",3.90%,3.9
"DeKalb County, Georgia",6.40%,6.4
"DeKalb County, Illinois",7%,7
"DeKalb County, Indiana",4.30%,4.3
"DeKalb County, Missouri",3.10%,3.1
"DeKalb County, Tennessee",5%,5
"Del Norte County, California",6.30%,6.3
"Delaware County, Indiana",6.10%,6.1
"Delaware County, Iowa",2.20%,2.2
"Delaware County, New York",6.10%,6.1
"Delaware County, Ohio",3%,3
"Delaware County, Oklahoma",5.20%,5.2
"Delaware County, Pennsylvania",6.80%,6.8
"Delta County, Colorado",4.40%,4.4
"Delta County, Michigan",5.20%,5.2
"Delta County, Texas",6.40%,6.4
"Denali Borough, Alaska",1.90%,1.9
"Dent County, Missouri",4.80%,4.8
"Denton County, Texas",4%,4
"Denver County, Colorado",4.70%,4.7
"Des Moines County, Iowa",2.90%,2.9
"Deschutes County, Oregon",5.20%,5.2
"Desha County, Arkansas",5.20%,5.2
"DeSoto County, Florida",9.70%,9.7
"DeSoto County, Mississippi",4.40%,4.4
"Deuel County, Nebraska",3.80%,3.8
"Deuel County, South Dakota",2%,2
"Dewey County, Oklahoma",5.20%,5.2
"Dewey County, South Dakota",14.60%,14.6
"DeWitt County, Texas",5.20%,5.2
"Dickens County, Texas",9.70%,9.7
"Dickenson County, Virginia",3.40%,3.4
"Dickey County, North Dakota",3.10%,3.1
"Dickinson County, Iowa",2.10%,2.1
"Dickinson County, Kansas",3%,3
"Dickinson County, Michigan",3.80%,3.8
"Dickson County, Tennessee",3.80%,3.8
"Dillingham Census Area, Alaska",11.30%,11.3
"Dillon County, South Carolina",7.20%,7.2
"Dimmit County, Texas",4.70%,4.7
"Dinwiddie County, Virginia",4.70%,4.7
"District of Columbia, District of Columbia",7.10%,7.1
"Divide County, North Dakota",3.20%,3.2
"Dixie County, Florida",5.10%,5.1
"Dixon County, Nebraska",2.90%,2.9
"Doddridge County, West Virginia",4.30%,4.3
"Dodge County, Georgia",2.90%,2.9
"Dodge County, Minnesota",2.90%,2.9
"Dodge County, Nebraska",4.10%,4.1
"Dodge County, Wisconsin",4.10%,4.1
"Dolores County, Colorado",3.10%,3.1
"Doña Ana County, New Mexico",6.80%,6.8
"Doniphan County, Kansas",1.60%,1.6
"Donley County, Texas",0%,0
"Dooly County, Georgia",7.50%,7.5
"Door County, Wisconsin",3.70%,3.7
"Dorado Municipio, Puerto Rico",14.20%,14.2
"Dorchester County, Maryland",5.50%,5.5
"Dorchester County, South Carolina",5.50%,5.5
"Dougherty County, Georgia",10%,10
"Douglas County, Colorado",3.40%,3.4
"Douglas County, Georgia",6.60%,6.6
"Douglas County, Illinois",3%,3
"Douglas County, Kansas",4.80%,4.8
"Douglas County, Minnesota",3.10%,3.1
"Douglas County, Missouri",6.50%,6.5
"Douglas County, Nebraska",3.80%,3.8
"Douglas County, Nevada",3.10%,3.1
"Douglas County, Oregon",6.10%,6.1
"Douglas County, South Dakota",0.60%,0.6
"Douglas County, Washington",4.30%,4.3
"Douglas County, Wisconsin",3.70%,3.7
"Drew County, Arkansas",3.20%,3.2
"Dubois County, Indiana",1.90%,1.9
"Dubuque County, Iowa",4.10%,4.1
"Duchesne County, Utah",4.30%,4.3
"Dukes County, Massachusetts",7%,7
"Dundy County, Nebraska",0.20%,0.2
"Dunklin County, Missouri",5.70%,5.7
"Dunn County, North Dakota",2.40%,2.4
"Dunn County, Wisconsin",3.70%,3.7
"DuPage County, Illinois",4.70%,4.7
"Duplin County, North Carolina",5.40%,5.4
"Durham County, North Carolina",4.30%,4.3
"Dutchess County, New York",5%,5
"Duval County, Florida",4.70%,4.7
"Duval County, Texas",8.40%,8.4
"Dyer County, Tennessee",4.50%,4.5
"Eagle County, Colorado",4.40%,4.4
"Early County, Georgia",6%,6
"East Baton Rouge Parish, Louisiana",7.10%,7.1
"East Carroll Parish, Louisiana",15.10%,15.1
"East Feliciana Parish, Louisiana",5.50%,5.5
"Eastland County, Texas",4.90%,4.9
"Eaton County, Michigan",4.80%,4.8
"Eau Claire County, Wisconsin",3.20%,3.2
"Echols County, Georgia",2%,2
"Ector County, Texas",5.80%,5.8
"Eddy County, New Mexico",4.20%,4.2
"Eddy County, North Dakota",2.30%,2.3
"Edgar County, Illinois",4.60%,4.6
"Edgecombe County, North Carolina",8.60%,8.6
"Edgefield County, South Carolina",6.20%,6.2
"Edmonson County, Kentucky",6.80%,6.8
"Edmunds County, South Dakota",2.10%,2.1
"Edwards County, Illinois",6.70%,6.7
"Edwards County, Kansas",3.90%,3.9
"Edwards County, Texas",0%,0
"Effingham County, Georgia",5.30%,5.3
"Effingham County, Illinois",2.50%,2.5
"El Dorado County, California",4.60%,4.6
"El Paso County, Colorado",5.70%,5.7
"El Paso County, Texas",6.80%,6.8
"Elbert County, Colorado",2.30%,2.3
"Elbert County, Georgia",7.50%,7.5
"Elk County, Kansas",3.80%,3.8
"Elk County, Pennsylvania",6.50%,6.5
"Elkhart County, Indiana",3.80%,3.8
"Elko County, Nevada",4.70%,4.7
"Elliott County, Kentucky",6%,6
"Ellis County, Kansas",3.30%,3.3
"Ellis County, Oklahoma",8.80%,8.8
"Ellis County, Texas",3.90%,3.9
"Ellsworth County, Kansas",3.50%,3.5
"Elmore County, Alabama",4.20%,4.2
"Elmore County, Idaho",6.40%,6.4
"Emanuel County, Georgia",8.90%,8.9
"Emery County, Utah",3.60%,3.6
"Emmet County, Iowa",2.10%,2.1
"Emmet County, Michigan",3.80%,3.8
"Emmons County, North Dakota",1.40%,1.4
"Emporia city, Virginia",7%,7
"Erath County, Texas",5.60%,5.6
"Erie County, New York",5%,5
"Erie County, Ohio",6.10%,6.1
"Erie County, Pennsylvania",5.50%,5.5
"Escambia County, Alabama",9.20%,9.2
"Escambia County, Florida",6.20%,6.2
"Esmeralda County, Nevada",4.70%,4.7
"Essex County, Massachusetts",5.30%,5.3
"Essex County, New Jersey",8.50%,8.5
"Essex County, New York",5.10%,5.1
"Essex County, Vermont",5.40%,5.4
"Essex County, Virginia",9.90%,9.9
"Estill County, Kentucky",8.70%,8.7
"Etowah County, Alabama",6%,6
"Eureka County, Nevada",0%,0
"Evangeline Parish, Louisiana",14%,14
"Evans County, Georgia",6.80%,6.8
"Fairbanks North Star Borough, Alaska",5.50%,5.5
"Fairfax city, Virginia",3.70%,3.7
"Fairfax County, Virginia",4.10%,4.1
"Fairfield County, Ohio",3.70%,3.7
"Fairfield County, South Carolina",6.90%,6.9
"Fajardo Municipio, Puerto Rico",22.60%,22.6
"Fall River County, South Dakota",2.70%,2.7
"Fallon County, Montana",0%,0
"Falls Church city, Virginia",6%,6
"Falls County, Texas",7.40%,7.4
"Fannin County, Georgia",5.40%,5.4
"Fannin County, Texas",4.70%,4.7
"Faribault County, Minnesota",4.30%,4.3
"Faulk County, South Dakota",3.70%,3.7
"Faulkner County, Arkansas",3.30%,3.3
"Fauquier County, Virginia",2.30%,2.3
"Fayette County, Alabama",9.60%,9.6
"Fayette County, Georgia",3.90%,3.9
"Fayette County, Illinois",3.80%,3.8
"Fayette County, Indiana",4.50%,4.5
"Fayette County, Iowa",3.70%,3.7
"Fayette County, Kentucky",5%,5
"Fayette County, Ohio",4.30%,4.3
"Fayette County, Pennsylvania",7.20%,7.2
"Fayette County, Tennessee",5.30%,5.3
"Fayette County, Texas",3.50%,3.5
"Fayette County, West Virginia",7.50%,7.5
"Fentress County, Tennessee",5.30%,5.3
"Fergus County, Montana",3.10%,3.1
"Ferry County, Washington",7.60%,7.6
"Fillmore County, Minnesota",3.20%,3.2
"Fillmore County, Nebraska",1%,1
"Finney County, Kansas",5.40%,5.4
"Fisher County, Texas",2.90%,2.9
"Flagler County, Florida",3.80%,3.8
"Flathead County, Montana",3.20%,3.2
"Fleming County, Kentucky",8.40%,8.4
"Florence County, South Carolina",4.50%,4.5
"Florence County, Wisconsin",6%,6
"Florida Municipio, Puerto Rico",22.70%,22.7
"Floyd County, Georgia",4.10%,4.1
"Floyd County, Indiana",3.90%,3.9
"Floyd County, Iowa",3.30%,3.3
"Floyd County, Kentucky",6.80%,6.8
"Floyd County, Texas",4.10%,4.1
"Floyd County, Virginia",2.60%,2.6
"Fluvanna County, Virginia",3%,3
"Foard County, Texas",5.90%,5.9
"Fond du Lac County, Wisconsin",3.30%,3.3
"Ford County, Illinois",4.70%,4.7
"Ford County, Kansas",3.20%,3.2
"Forest County, Pennsylvania",4.30%,4.3
"Forest County, Wisconsin",4%,4
"Forrest County, Mississippi",7.40%,7.4
"Forsyth County, Georgia",3.70%,3.7
"Forsyth County, North Carolina",5.60%,5.6
"Fort Bend County, Texas",5.20%,5.2
"Foster County, North Dakota",0.20%,0.2
"Fountain County, Indiana",5.20%,5.2
"Franklin city, Virginia",5.30%,5.3
"Franklin County, Alabama",3.80%,3.8
"Franklin County, Arkansas",5.10%,5.1
"Franklin County, Florida",8.90%,8.9
"Franklin County, Georgia",6.20%,6.2
"Franklin County, Idaho",1.10%,1.1
"Franklin County, Illinois",6.70%,6.7
"Franklin County, Indiana",2.10%,2.1
"Franklin County, Iowa",3.80%,3.8
"Franklin County, Kansas",2.60%,2.6
"Franklin County, Kentucky",4.80%,4.8
"Franklin County, Maine",4.40%,4.4
"Franklin County, Massachusetts",5.70%,5.7
"Franklin County, Mississippi",2.60%,2.6
"Franklin County, Missouri",4.60%,4.6
"Franklin County, Nebraska",2.50%,2.5
"Franklin County, New York",5.10%,5.1
"Franklin County, North Carolina",5.90%,5.9
"Franklin County, Ohio",4.70%,4.7
"Franklin County, Pennsylvania",3.40%,3.4
"Franklin County, Tennessee",2.60%,2.6
"Franklin County, Texas",6.50%,6.5
"Franklin County, Vermont",3.30%,3.3
"Franklin County, Virginia",2.80%,2.8
"Franklin County, Washington",5.70%,5.7
"Franklin Parish, Louisiana",9.20%,9.2
"Frederick County, Maryland",3.70%,3.7
"Frederick County, Virginia",4.20%,4.2
"Fredericksburg city, Virginia",5.20%,5.2
"Freeborn County, Minnesota",4.40%,4.4
"Freestone County, Texas",3.50%,3.5
"Fremont County, Colorado",4.80%,4.8
"Fremont County, Idaho",4.50%,4.5
"Fremont County, Iowa",1.70%,1.7
"Fremont County, Wyoming",8.20%,8.2
"Fresno County, California",8.60%,8.6
"Frio County, Texas",2.60%,2.6
"Frontier County, Nebraska",4.40%,4.4
"Fulton County, Arkansas",1.70%,1.7
"Fulton County, Georgia",5.40%,5.4
"Fulton County, Illinois",6.80%,6.8
"Fulton County, Indiana",7.20%,7.2
"Fulton County, Kentucky",5.60%,5.6
"Fulton County, New York",4.30%,4.3
"Fulton County, Ohio",3.50%,3.5
"Fulton County, Pennsylvania",3.70%,3.7
"Furnas County, Nebraska",1%,1
"Gadsden County, Florida",4.30%,4.3
"Gage County, Nebraska",2%,2
"Gaines County, Texas",3.40%,3.4
"Galax city, Virginia",4.40%,4.4
"Gallatin County, Illinois",7.80%,7.8
"Gallatin County, Kentucky",3.70%,3.7
"Gallatin County, Montana",2.10%,2.1
"Gallia County, Ohio",4.10%,4.1
"Galveston County, Texas",5.90%,5.9
"Garden County, Nebraska",3.50%,3.5
"Garfield County, Colorado",3.20%,3.2
"Garfield County, Montana",0%,0
"Garfield County, Nebraska",1.10%,1.1
"Garfield County, Oklahoma",4.60%,4.6
"Garfield County, Utah",4.40%,4.4
"Garfield County, Washington",6.50%,6.5
"Garland County, Arkansas",5.70%,5.7
"Garrard County, Kentucky",5.30%,5.3
"Garrett County, Maryland",4.60%,4.6
"Garvin County, Oklahoma",2.80%,2.8
"Garza County, Texas",9.90%,9.9
"Gasconade County, Missouri",2.10%,2.1
"Gaston County, North Carolina",4.90%,4.9
"Gates County, North Carolina",9.30%,9.3
"Geary County, Kansas",4.50%,4.5
"Geauga County, Ohio",3.10%,3.1
"Gem County, Idaho",2.80%,2.8
"Genesee County, Michigan",8.50%,8.5
"Genesee County, New York",4.70%,4.7
"Geneva County, Alabama",3.90%,3.9
"Gentry County, Missouri",2.90%,2.9
"George County, Mississippi",10.40%,10.4
"Georgetown County, South Carolina",5%,5
"Gibson County, Indiana",2.80%,2.8
"Gibson County, Tennessee",5.40%,5.4
"Gila County, Arizona",6.90%,6.9
"Gilchrist County, Florida",3.10%,3.1
"Giles County, Tennessee",5.10%,5.1
"Giles County, Virginia",2.20%,2.2
"Gillespie County, Texas",3.50%,3.5
"Gilliam County, Oregon",6.30%,6.3
"Gilmer County, Georgia",2.40%,2.4
"Gilmer County, West Virginia",7.10%,7.1
"Gilpin County, Colorado",2.10%,2.1
"Glacier County, Montana",7.90%,7.9
"Glades County, Florida",5.40%,5.4
"Gladwin County, Michigan",6.90%,6.9
"Glascock County, Georgia",1.60%,1.6
"Glasscock County, Texas",1.30%,1.3
"Glenn County, California",7.70%,7.7
"Gloucester County, New Jersey",5.20%,5.2
"Gloucester County, Virginia",3.40%,3.4
"Glynn County, Georgia",4.30%,4.3
"Gogebic County, Michigan",6%,6
"Golden Valley County, Montana",1.30%,1.3
"Golden Valley County, North Dakota",5.40%,5.4
"Goliad County, Texas",4.80%,4.8
"Gonzales County, Texas",1%,1
"Goochland County, Virginia",2.40%,2.4
"Goodhue County, Minnesota",4%,4
"Gooding County, Idaho",3.50%,3.5
"Gordon County, Georgia",3%,3
"Goshen County, Wyoming",2.60%,2.6
"Gosper County, Nebraska",1.50%,1.5
"Gove County, Kansas",3.30%,3.3
"Grady County, Georgia",4.40%,4.4
"Grady County, Oklahoma",5%,5
"Grafton County, New Hampshire",2.80%,2.8
"Graham County, Arizona",6%,6
"Graham County, Kansas",6.10%,6.1
"Graham County, North Carolina",7.70%,7.7
"Grainger County, Tennessee",5.80%,5.8
"Grand County, Colorado",4.60%,4.6
"Grand County, Utah",1.20%,1.2
"Grand Forks County, North Dakota",3.40%,3.4
"Grand Isle County, Vermont",3.50%,3.5
"Grand Traverse County, Michigan",3.90%,3.9
"Granite County, Montana",5.70%,5.7
"Grant County, Arkansas",3.30%,3.3
"Grant County, Indiana",7.30%,7.3
"Grant County, Kansas",3.60%,3.6
"Grant County, Kentucky",4.50%,4.5
"Grant County, Minnesota",3.70%,3.7
"Grant County, Nebraska",1.40%,1.4
"Grant County, New Mexico",7.70%,7.7
"Grant County, North Dakota",2.90%,2.9
"Grant County, Oklahoma",3.40%,3.4
"Grant County, Oregon",7.50%,7.5
"Grant County, South Dakota",3.30%,3.3
"Grant County, Washington",5.40%,5.4
"Grant County, West Virginia",5.30%,5.3
"Grant County, Wisconsin",3.10%,3.1
"Grant Parish, Louisiana",4%,4
"Granville County, North Carolina",4.70%,4.7
"Gratiot County, Michigan",4.90%,4.9
"Graves County, Kentucky",3.70%,3.7
"Gray County, Kansas",2.10%,2.1
"Gray County, Texas",5.40%,5.4
"Grays Harbor County, Washington",6.40%,6.4
"Grayson County, Kentucky",4.80%,4.8
"Grayson County, Texas",3.90%,3.9
"Grayson County, Virginia",4.30%,4.3
"Greater Bridgeport Planning Region, Connecticut",7.70%,7.7
"Greeley County, Kansas",0.10%,0.1
"Greeley County, Nebraska",1.80%,1.8
"Green County, Kentucky",9.50%,9.5
"Green County, Wisconsin",3.40%,3.4
"Green Lake County, Wisconsin",3.30%,3.3
"Greenbrier County, West Virginia",4.30%,4.3
"Greene County, Alabama",4.50%,4.5
"Greene County, Arkansas",7.50%,7.5
"Greene County, Georgia",5.40%,5.4
"Greene County, Illinois",3.40%,3.4
"Greene County, Indiana",6.70%,6.7
"Greene County, Iowa",3.60%,3.6
"Greene County, Mississippi",12.60%,12.6
"Greene County, Missouri",3.90%,3.9
"Greene County, New York",2.80%,2.8
"Greene County, North Carolina",5.50%,5.5
"Greene County, Ohio",4.60%,4.6
"Greene County, Pennsylvania",5.20%,5.2
"Greene County, Tennessee",5.40%,5.4
"Greene County, Virginia",3.80%,3.8
"Greenlee County, Arizona",3%,3
"Greensville County, Virginia",6.30%,6.3
"Greenup County, Kentucky",6.20%,6.2
"Greenville County, South Carolina",4.10%,4.1
"Greenwood County, Kansas",2.60%,2.6
"Greenwood County, South Carolina",5.50%,5.5
"Greer County, Oklahoma",5.80%,5.8
"Gregg County, Texas",3.70%,3.7
"Gregory County, South Dakota",2.60%,2.6
"Grenada County, Mississippi",4.10%,4.1
"Griggs County, North Dakota",1.20%,1.2
"Grimes County, Texas",5.60%,5.6
"Grundy County, Illinois",4.20%,4.2
"Grundy County, Iowa",2.50%,2.5
"Grundy County, Missouri",4.10%,4.1
"Grundy County, Tennessee",6.30%,6.3
"Guadalupe County, New Mexico",9.80%,9.8
"Guadalupe County, Texas",4.30%,4.3
"Guánica Municipio, Puerto Rico",31.30%,31.3
"Guayama Municipio, Puerto Rico",6.80%,6.8
"Guayanilla Municipio, Puerto Rico",20.60%,20.6
"Guaynabo Municipio, Puerto Rico",8.20%,8.2
"Guernsey County, Ohio",4.60%,4.6
"Guilford County, North Carolina",5.20%,5.2
"Gulf County, Florida",4.30%,4.3
"Gunnison County, Colorado",3.60%,3.6
"Gurabo Municipio, Puerto Rico",14.70%,14.7
"Guthrie County, Iowa",3.30%,3.3
"Gwinnett County, Georgia",4.10%,4.1
"Haakon County, South Dakota",0%,0
"Habersham County, Georgia",2.30%,2.3
"Haines Borough, Alaska",4.30%,4.3
"Hale County, Alabama",7.60%,7.6
"Hale County, Texas",4.70%,4.7
"Halifax County, North Carolina",9.30%,9.3
"Halifax County, Virginia",3.70%,3.7
"Hall County, Georgia",3.90%,3.9
"Hall County, Nebraska",2.90%,2.9
"Hall County, Texas",7.50%,7.5
"Hamblen County, Tennessee",6.60%,6.6
"Hamilton County, Florida",9.20%,9.2
"Hamilton County, Illinois",4.40%,4.4
"Hamilton County, Indiana",2.70%,2.7
"Hamilton County, Iowa",4%,4
"Hamilton County, Kansas",0%,0
"Hamilton County, Nebraska",3.60%,3.6
"Hamilton County, New York",4.90%,4.9
"Hamilton County, Ohio",5%,5
"Hamilton County, Tennessee",4.40%,4.4
"Hamilton County, Texas",2.80%,2.8
"Hamlin County, South Dakota",2.50%,2.5
"Hampden County, Massachusetts",6.20%,6.2
"Hampshire County, Massachusetts",5.30%,5.3
"Hampshire County, West Virginia",8.50%,8.5
"Hampton city, Virginia",6.50%,6.5
"Hampton County, South Carolina",10.70%,10.7
"Hancock County, Georgia",6.20%,6.2
"Hancock County, Illinois",4.70%,4.7
"Hancock County, Indiana",2.70%,2.7
"Hancock County, Iowa",2.10%,2.1
"Hancock County, Kentucky",4.40%,4.4
"Hancock County, Maine",3.90%,3.9
"Hancock County, Mississippi",6.20%,6.2
"Hancock County, Ohio",3.70%,3.7
"Hancock County, Tennessee",10.10%,10.1
"Hancock County, West Virginia",8.50%,8.5
"Hand County, South Dakota",1.20%,1.2
"Hanover County, Virginia",2.90%,2.9
"Hansford County, Texas",4.30%,4.3
"Hanson County, South Dakota",2%,2
"Haralson County, Georgia",4.40%,4.4
"Hardee County, Florida",8.70%,8.7
"Hardeman County, Tennessee",12.80%,12.8
"Hardeman County, Texas",2.50%,2.5
"Hardin County, Illinois",2.60%,2.6
"Hardin County, Iowa",3.50%,3.5
"Hardin County, Kentucky",6.80%,6.8
"Hardin County, Ohio",4.70%,4.7
"Hardin County, Tennessee",3.30%,3.3
"Hardin County, Texas",4.60%,4.6
"Harding County, New Mexico",7.20%,7.2
"Harding County, South Dakota",2.20%,2.2
"Hardy County, West Virginia",4.60%,4.6
"Harford County, Maryland",3.70%,3.7
"Harlan County, Kentucky",10.80%,10.8
"Harlan County, Nebraska",2%,2
"Harmon County, Oklahoma",7.40%,7.4
"Harnett County, North Carolina",5.30%,5.3
"Harney County, Oregon",5.40%,5.4
"Harper County, Kansas",5.30%,5.3
"Harper County, Oklahoma",2.60%,2.6
"Harris County, Georgia",5.80%,5.8
"Harris County, Texas",6.40%,6.4
"Harrison County, Indiana",3.80%,3.8
"Harrison County, Iowa",2.70%,2.7
"Harrison County, Kentucky",2.80%,2.8
"Harrison County, Mississippi",8.40%,8.4
"Harrison County, Missouri",2.30%,2.3
"Harrison County, Ohio",4.50%,4.5
"Harrison County, Texas",6.10%,6.1
"Harrison County, West Virginia",5.30%,5.3
"Harrisonburg city, Virginia",6.70%,6.7
"Hart County, Georgia",4.80%,4.8
"Hart County, Kentucky",3.50%,3.5
"Hartley County, Texas",1.50%,1.5
"Harvey County, Kansas",4.20%,4.2
"Haskell County, Kansas",3.50%,3.5
"Haskell County, Oklahoma",7.70%,7.7
"Haskell County, Texas",6.30%,6.3
"Hatillo Municipio, Puerto Rico",6%,6
"Hawaii County, Hawaii",6.50%,6.5
"Hawkins County, Tennessee",8.60%,8.6
"Hayes County, Nebraska",0.20%,0.2
"Hays County, Texas",5.10%,5.1
"Haywood County, North Carolina",3.50%,3.5
"Haywood County, Tennessee",8.50%,8.5
"Heard County, Georgia",5.40%,5.4
"Hemphill County, Texas",4.10%,4.1
"Hempstead County, Arkansas",4.40%,4.4
"Henderson County, Illinois",7.90%,7.9
"Henderson County, Kentucky",3.80%,3.8
"Henderson County, North Carolina",3.50%,3.5
"Henderson County, Tennessee",5.40%,5.4
"Henderson County, Texas",5.50%,5.5
"Hendricks County, Indiana",2.40%,2.4
"Hendry County, Florida",5.80%,5.8
"Hennepin County, Minnesota",4.30%,4.3
"Henrico County, Virginia",3.90%,3.9
"Henry County, Alabama",5.30%,5.3
"Henry County, Georgia",5.30%,5.3
"Henry County, Illinois",4.50%,4.5
"Henry County, Indiana",4.50%,4.5
"Henry County, Iowa",2.70%,2.7
"Henry County, Kentucky",3.90%,3.9
"Henry County, Missouri",6.70%,6.7
"Henry County, Ohio",4.50%,4.5
"Henry County, Tennessee",4%,4
"Henry County, Virginia",5.20%,5.2
"Herkimer County, New York",4.20%,4.2
"Hernando County, Florida",5.90%,5.9
"Hertford County, North Carolina",7.20%,7.2
"Hettinger County, North Dakota",4.20%,4.2
"Hickman County, Kentucky",4.10%,4.1
"Hickman County, Tennessee",3.70%,3.7
"Hickory County, Missouri",8.80%,8.8
"Hidalgo County, New Mexico",4.40%,4.4
"Hidalgo County, Texas",7.60%,7.6
"Highland County, Ohio",4.40%,4.4
"Highland County, Virginia",14.70%,14.7
"Highlands County, Florida",6.80%,6.8
"Hill County, Montana",3.90%,3.9
"Hill County, Texas",4.50%,4.5
"Hillsborough County, Florida",4.80%,4.8
"Hillsborough County, New Hampshire",3.70%,3.7
"Hillsdale County, Michigan",4.40%,4.4
"Hinds County, Mississippi",7.80%,7.8
"Hinsdale County, Colorado",1.90%,1.9
"Hitchcock County, Nebraska",1.90%,1.9
"Hocking County, Ohio",4.70%,4.7
"Hockley County, Texas",5.30%,5.3
"Hodgeman County, Kansas",2.10%,2.1
"Hoke County, North Carolina",6.40%,6.4
