Geographic Area,"Natural resources, construction, and maintenance occupations",Natural rescs
"Cook County, Illinois",5.80%,5.8
"Cook County, Minnesota",8.10%,8.1
"Cooke County, Texas",14.70%,14.7
"Cooper County, Missouri",13%,13
"Coos County, New Hampshire",13.30%,13.3
"Coos County, Oregon",10.50%,10.5
"Coosa County, Alabama",14.10%,14.1
"Copiah County, Mississippi",7.70%,7.7
"Copper River Census Area, Alaska",16.70%,16.7
"Corozal Municipio, Puerto Rico",11.80%,11.8
"Corson County, South Dakota",9.80%,9.8
"Cortland County, New York",9.20%,9.2
"Coryell County, Texas",11.50%,11.5
"Coshocton County, Ohio",13.70%,13.7
"Costilla County, Colorado",19%,19
"Cottle County, Texas",16.20%,16.2
"Cotton County, Oklahoma",12%,12
"Cottonwood County, Minnesota",12.40%,12.4
"Covington city, Virginia",15.80%,15.8
"Covington County, Alabama",12.40%,12.4
"Covington County, Mississippi",10.50%,10.5
"Coweta County, Georgia",8.50%,8.5
"Cowley County, Kansas",11.70%,11.7
"Cowlitz County, Washington",12.10%,12.1
"Craig County, Oklahoma",14.70%,14.7
"Craig County, Virginia",10.70%,10.7
"Craighead County, Arkansas",10.10%,10.1
"Crane County, Texas",25.90%,25.9
"Craven County, North Carolina",9.10%,9.1
"Crawford County, Arkansas",10.50%,10.5
"Crawford County, Georgia",18%,18
"Crawford County, Illinois",10.30%,10.3
"Crawford County, Indiana",12.90%,12.9
"Crawford County, Iowa",12.20%,12.2
"Crawford County, Kansas",9.50%,9.5
"Crawford County, Michigan",11.20%,11.2
"Crawford County, Missouri",13.90%,13.9
"Crawford County, Ohio",10.90%,10.9
"Crawford County, Pennsylvania",10.20%,10.2
"Crawford County, Wisconsin",14%,14
"Creek County, Oklahoma",12.60%,12.6
"Crenshaw County, Alabama",12%,12
"Crisp County, Georgia",12.50%,12.5
"Crittenden County, Arkansas",9.30%,9.3
"Crittenden County, Kentucky",18.80%,18.8
"Crockett County, Tennessee",14%,14
"Crockett County, Texas",24.30%,24.3
"Crook County, Oregon",15.10%,15.1
"Crook County, Wyoming",24.20%,24.2
"Crosby County, Texas",19.30%,19.3
"Cross County, Arkansas",17.40%,17.4
"Crow Wing County, Minnesota",9.80%,9.8
"Crowley County, Colorado",10%,10
"Culberson County, Texas",26.90%,26.9
"Culebra Municipio, Puerto Rico",20.20%,20.2
"Cullman County, Alabama",13.60%,13.6
"Culpeper County, Virginia",10.90%,10.9
"Cumberland County, Illinois",12.10%,12.1
"Cumberland County, Kentucky",18.60%,18.6
"Cumberland County, Maine",6.30%,6.3
"Cumberland County, New Jersey",12.20%,12.2
"Cumberland County, North Carolina",8.20%,8.2
"Cumberland County, Pennsylvania",6.80%,6.8
"Cumberland County, Tennessee",10.30%,10.3
"Cumberland County, Virginia",14.40%,14.4
"Cuming County, Nebraska",14%,14
"Currituck County, North Carolina",14.30%,14.3
"Curry County, New Mexico",12.90%,12.9
"Curry County, Oregon",14%,14
"Custer County, Colorado",22%,22
"Custer County, Idaho",9.90%,9.9
"Custer County, Montana",13.40%,13.4
"Custer County, Nebraska",17.80%,17.8
"Custer County, Oklahoma",11.30%,11.3
"Custer County, South Dakota",11.50%,11.5
"Cuyahoga County, Ohio",5.40%,5.4
"Dade County, Georgia",14.70%,14.7
"Dade County, Missouri",15%,15
"Daggett County, Utah",13.30%,13.3
"Dakota County, Minnesota",6.40%,6.4
"Dakota County, Nebraska",9.70%,9.7
"Dale County, Alabama",14%,14
"Dallam County, Texas",12%,12
"Dallas County, Alabama",9.10%,9.1
"Dallas County, Arkansas",5.10%,5.1
"Dallas County, Iowa",5.90%,5.9
"Dallas County, Missouri",12.10%,12.1
"Dallas County, Texas",11.30%,11.3
"Dane County, Wisconsin",5.30%,5.3
"Daniels County, Montana",20.90%,20.9
"Danville city, Virginia",8.50%,8.5
"Dare County, North Carolina",13.20%,13.2
"Darke County, Ohio",11.10%,11.1
"Darlington County, South Carolina",7.30%,7.3
"Dauphin County, Pennsylvania",6.50%,6.5
"Davidson County, North Carolina",11.80%,11.8
"Davidson County, Tennessee",6.30%,6.3
"Davie County, North Carolina",10.90%,10.9
"Daviess County, Indiana",15.90%,15.9
"Daviess County, Kentucky",8.40%,8.4
"Daviess County, Missouri",11.50%,11.5
"Davis County, Iowa",14.10%,14.1
"Davis County, Utah",7.70%,7.7
"Davison County, South Dakota",11.70%,11.7
"Dawes County, Nebraska",12.80%,12.8
"Dawson County, Georgia",8.10%,8.1
"Dawson County, Montana",17.40%,17.4
"Dawson County, Nebraska",14.50%,14.5
"Dawson County, Texas",19.70%,19.7
"Day County, South Dakota",15.40%,15.4
"De Baca County, New Mexico",50.10%,50.1
"De Soto Parish, Louisiana",14.30%,14.3
"De Witt County, Illinois",12.90%,12.9
"Deaf Smith County, Texas",19.40%,19.4
"Dearborn County, Indiana",9.90%,9.9
"Decatur County, Georgia",10.10%,10.1
"Decatur County, Indiana",9.50%,9.5
"Decatur County, Iowa",14.20%,14.2
"Decatur County, Kansas",14.50%,14.5
"Decatur County, Tennessee",15.70%,15.7
"Deer Lodge County, Montana",11.50%,11.5
"Defiance County, Ohio",11.50%,11.5
"DeKalb County, Alabama",14.50%,14.5
"DeKalb County, Georgia",5.20%,5.2
"DeKalb County, Illinois",9.50%,9.5
"DeKalb County, Indiana",7.80%,7.8
"DeKalb County, Missouri",14.30%,14.3
"DeKalb County, Tennessee",11.10%,11.1
"Del Norte County, California",11.20%,11.2
"Delaware County, Indiana",7.10%,7.1
"Delaware County, Iowa",12.90%,12.9
"Delaware County, New York",11.50%,11.5
"Delaware County, Ohio",3.70%,3.7
"Delaware County, Oklahoma",12.60%,12.6
"Delaware County, Pennsylvania",6.60%,6.6
"Delta County, Colorado",15.70%,15.7
"Delta County, Michigan",12.20%,12.2
"Delta County, Texas",11.30%,11.3
"Denali Borough, Alaska",41.20%,41.2
"Dent County, Missouri",7.50%,7.5
"Denton County, Texas",6%,6
"Denver County, Colorado",6.60%,6.6
"Des Moines County, Iowa",7.90%,7.9
"Deschutes County, Oregon",8.50%,8.5
"Desha County, Arkansas",13.70%,13.7
"DeSoto County, Florida",25.20%,25.2
"DeSoto County, Mississippi",9%,9
"Deuel County, Nebraska",19.50%,19.5
"Deuel County, South Dakota",11.80%,11.8
"Dewey County, Oklahoma",15.30%,15.3
"Dewey County, South Dakota",16.10%,16.1
"DeWitt County, Texas",13.50%,13.5
"Dickens County, Texas",20.90%,20.9
"Dickenson County, Virginia",12.10%,12.1
"Dickey County, North Dakota",14.20%,14.2
"Dickinson County, Iowa",9.90%,9.9
"Dickinson County, Kansas",12.80%,12.8
"Dickinson County, Michigan",8.30%,8.3
"Dickson County, Tennessee",11.80%,11.8
"Dillingham Census Area, Alaska",14%,14
"Dillon County, South Carolina",12.20%,12.2
"Dimmit County, Texas",17.60%,17.6
"Dinwiddie County, Virginia",11.70%,11.7
"District of Columbia, District of Columbia",2.30%,2.3
"Divide County, North Dakota",16.20%,16.2
"Dixie County, Florida",12.90%,12.9
"Dixon County, Nebraska",13.90%,13.9
"Doddridge County, West Virginia",21.80%,21.8
"Dodge County, Georgia",18%,18
"Dodge County, Minnesota",13.40%,13.4
"Dodge County, Nebraska",11.70%,11.7
"Dodge County, Wisconsin",10.90%,10.9
"Dolores County, Colorado",15.70%,15.7
"Doña Ana County, New Mexico",11.60%,11.6
"Doniphan County, Kansas",11.70%,11.7
"Donley County, Texas",20.90%,20.9
"Dooly County, Georgia",10.50%,10.5
"Door County, Wisconsin",13.10%,13.1
"Dorado Municipio, Puerto Rico",8%,8
"Dorchester County, Maryland",11.10%,11.1
"Dorchester County, South Carolina",9.60%,9.6
"Dougherty County, Georgia",7%,7
"Douglas County, Colorado",4.20%,4.2
"Douglas County, Georgia",8.40%,8.4
"Douglas County, Illinois",13.50%,13.5
"Douglas County, Kansas",6.20%,6.2
"Douglas County, Minnesota",8.20%,8.2
"Douglas County, Missouri",11.80%,11.8
"Douglas County, Nebraska",7.70%,7.7
"Douglas County, Nevada",9.60%,9.6
"Douglas County, Oregon",11.10%,11.1
"Douglas County, South Dakota",14.30%,14.3
"Douglas County, Washington",21.30%,21.3
"Douglas County, Wisconsin",10.90%,10.9
"Drew County, Arkansas",11%,11
"Dubois County, Indiana",9.10%,9.1
"Dubuque County, Iowa",7.50%,7.5
"Duchesne County, Utah",16.80%,16.8
"Dukes County, Massachusetts",15.20%,15.2
"Dundy County, Nebraska",14.50%,14.5
"Dunklin County, Missouri",10.30%,10.3
"Dunn County, North Dakota",18.10%,18.1
"Dunn County, Wisconsin",9.40%,9.4
"DuPage County, Illinois",5.40%,5.4
"Duplin County, North Carolina",15.10%,15.1
"Durham County, North Carolina",6.60%,6.6
"Dutchess County, New York",8.40%,8.4
"Duval County, Florida",7.90%,7.9
"Duval County, Texas",24.50%,24.5
"Dyer County, Tennessee",11.80%,11.8
"Eagle County, Colorado",11.10%,11.1
"Early County, Georgia",11.20%,11.2
"East Baton Rouge Parish, Louisiana",7.60%,7.6
"East Carroll Parish, Louisiana",4.80%,4.8
"East Feliciana Parish, Louisiana",14.20%,14.2
"Eastland County, Texas",13.80%,13.8
"Eaton County, Michigan",7.90%,7.9
"Eau Claire County, Wisconsin",5.80%,5.8
"Echols County, Georgia",28.80%,28.8
"Ector County, Texas",18.20%,18.2
"Eddy County, New Mexico",17.50%,17.5
"Eddy County, North Dakota",9.30%,9.3
"Edgar County, Illinois",12.30%,12.3
"Edgecombe County, North Carolina",7.30%,7.3
"Edgefield County, South Carolina",14.70%,14.7
"Edmonson County, Kentucky",15.40%,15.4
"Edmunds County, South Dakota",14.30%,14.3
"Edwards County, Illinois",15.30%,15.3
"Edwards County, Kansas",17.10%,17.1
"Edwards County, Texas",34.20%,34.2
"Effingham County, Georgia",12.20%,12.2
"Effingham County, Illinois",9.40%,9.4
"El Dorado County, California",9.10%,9.1
"El Paso County, Colorado",8.40%,8.4
"El Paso County, Texas",10%,10
"Elbert County, Colorado",12.70%,12.7
"Elbert County, Georgia",13.30%,13.3
"Elk County, Kansas",13.80%,13.8
"Elk County, Pennsylvania",9.20%,9.2
"Elkhart County, Indiana",8.30%,8.3
"Elko County, Nevada",22.20%,22.2
"Elliott County, Kentucky",21.20%,21.2
"Ellis County, Kansas",9%,9
"Ellis County, Oklahoma",14.30%,14.3
"Ellis County, Texas",10.70%,10.7
"Ellsworth County, Kansas",12.50%,12.5
"Elmore County, Alabama",8.70%,8.7
"Elmore County, Idaho",17%,17
"Emanuel County, Georgia",16.50%,16.5
"Emery County, Utah",22.50%,22.5
"Emmet County, Iowa",9.90%,9.9
"Emmet County, Michigan",9.40%,9.4
"Emmons County, North Dakota",13.90%,13.9
"Emporia city, Virginia",7.60%,7.6
"Erath County, Texas",13.50%,13.5
"Erie County, New York",6.20%,6.2
"Erie County, Ohio",7.70%,7.7
"Erie County, Pennsylvania",6.90%,6.9
"Escambia County, Alabama",12.20%,12.2
"Escambia County, Florida",8.80%,8.8
"Esmeralda County, Nevada",25.90%,25.9
"Essex County, Massachusetts",7.30%,7.3
"Essex County, New Jersey",7.50%,7.5
"Essex County, New York",10.90%,10.9
"Essex County, Vermont",14.90%,14.9
"Essex County, Virginia",15.80%,15.8
"Estill County, Kentucky",8.60%,8.6
"Etowah County, Alabama",10%,10
"Eureka County, Nevada",18.70%,18.7
"Evangeline Parish, Louisiana",15.70%,15.7
"Evans County, Georgia",19.30%,19.3
"Fairbanks North Star Borough, Alaska",10.20%,10.2
"Fairfax city, Virginia",3.90%,3.9
"Fairfax County, Virginia",4.60%,4.6
"Fairfield County, Ohio",8.40%,8.4
"Fairfield County, South Carolina",7.90%,7.9
"Fajardo Municipio, Puerto Rico",9.10%,9.1
"Fall River County, South Dakota",13.90%,13.9
"Fallon County, Montana",26.40%,26.4
"Falls Church city, Virginia",2.20%,2.2
"Falls County, Texas",15.80%,15.8
"Fannin County, Georgia",10.70%,10.7
"Fannin County, Texas",13.50%,13.5
"Faribault County, Minnesota",14.70%,14.7
"Faulk County, South Dakota",18.10%,18.1
"Faulkner County, Arkansas",9.10%,9.1
"Fauquier County, Virginia",11.10%,11.1
"Fayette County, Alabama",11.10%,11.1
"Fayette County, Georgia",6.40%,6.4
"Fayette County, Illinois",13.70%,13.7
"Fayette County, Indiana",7.50%,7.5
"Fayette County, Iowa",14%,14
"Fayette County, Kentucky",5.50%,5.5
"Fayette County, Ohio",12.30%,12.3
"Fayette County, Pennsylvania",12.20%,12.2
"Fayette County, Tennessee",11.70%,11.7
"Fayette County, Texas",14.40%,14.4
"Fayette County, West Virginia",12.50%,12.5
"Fentress County, Tennessee",17.40%,17.4
"Fergus County, Montana",18.20%,18.2
"Ferry County, Washington",11.70%,11.7
"Fillmore County, Minnesota",13.50%,13.5
"Fillmore County, Nebraska",13.20%,13.2
"Finney County, Kansas",13%,13
"Fisher County, Texas",20.30%,20.3
"Flagler County, Florida",10.20%,10.2
"Flathead County, Montana",12.20%,12.2
"Fleming County, Kentucky",12.60%,12.6
"Florence County, South Carolina",9.10%,9.1
"Florence County, Wisconsin",17%,17
"Florida Municipio, Puerto Rico",16.10%,16.1
"Floyd County, Georgia",9.70%,9.7
"Floyd County, Indiana",8.40%,8.4
"Floyd County, Iowa",12.80%,12.8
"Floyd County, Kentucky",11%,11
"Floyd County, Texas",16.40%,16.4
"Floyd County, Virginia",13%,13
"Fluvanna County, Virginia",11%,11
"Foard County, Texas",12.20%,12.2
"Fond du Lac County, Wisconsin",12.10%,12.1
"Ford County, Illinois",13.90%,13.9
"Ford County, Kansas",14.30%,14.3
"Forest County, Pennsylvania",14.50%,14.5
"Forest County, Wisconsin",13.20%,13.2
"Forrest County, Mississippi",7.60%,7.6
"Forsyth County, Georgia",5.10%,5.1
"Forsyth County, North Carolina",7.90%,7.9
"Fort Bend County, Texas",6.10%,6.1
"Foster County, North Dakota",13.80%,13.8
"Fountain County, Indiana",13.80%,13.8
"Franklin city, Virginia",10.20%,10.2
"Franklin County, Alabama",13.60%,13.6
"Franklin County, Arkansas",12.40%,12.4
"Franklin County, Florida",17.80%,17.8
"Franklin County, Georgia",11.40%,11.4
"Franklin County, Idaho",15.40%,15.4
"Franklin County, Illinois",11.90%,11.9
"Franklin County, Indiana",14.50%,14.5
"Franklin County, Iowa",13.50%,13.5
"Franklin County, Kansas",12.70%,12.7
"Franklin County, Kentucky",6.80%,6.8
"Franklin County, Maine",12.60%,12.6
"Franklin County, Massachusetts",10.10%,10.1
"Franklin County, Mississippi",10.90%,10.9
"Franklin County, Missouri",14.50%,14.5
"Franklin County, Nebraska",16.80%,16.8
"Franklin County, New York",9.70%,9.7
"Franklin County, North Carolina",11.90%,11.9
"Franklin County, Ohio",4.90%,4.9
"Franklin County, Pennsylvania",10.20%,10.2
"Franklin County, Tennessee",11.60%,11.6
"Franklin County, Texas",10%,10
"Franklin County, Vermont",12.50%,12.5
"Franklin County, Virginia",11.20%,11.2
"Franklin County, Washington",19.60%,19.6
"Franklin Parish, Louisiana",20.30%,20.3
"Frederick County, Maryland",8.60%,8.6
"Frederick County, Virginia",10.70%,10.7
"Fredericksburg city, Virginia",6.40%,6.4
"Freeborn County, Minnesota",11.10%,11.1
"Freestone County, Texas",15.90%,15.9
"Fremont County, Colorado",11.50%,11.5
"Fremont County, Idaho",16.20%,16.2
"Fremont County, Iowa",11.60%,11.6
"Fremont County, Wyoming",12.70%,12.7
"Fresno County, California",14%,14
"Frio County, Texas",19.80%,19.8
"Frontier County, Nebraska",18.10%,18.1
"Fulton County, Arkansas",8.10%,8.1
"Fulton County, Georgia",3.20%,3.2
"Fulton County, Illinois",13.10%,13.1
"Fulton County, Indiana",10.20%,10.2
"Fulton County, Kentucky",8.70%,8.7
"Fulton County, New York",10.30%,10.3
"Fulton County, Ohio",11.80%,11.8
"Fulton County, Pennsylvania",13.30%,13.3
"Furnas County, Nebraska",17.20%,17.2
"Gadsden County, Florida",13.10%,13.1
"Gage County, Nebraska",10.10%,10.1
"Gaines County, Texas",26.90%,26.9
"Galax city, Virginia",7.40%,7.4
"Gallatin County, Illinois",19.90%,19.9
"Gallatin County, Kentucky",12.80%,12.8
"Gallatin County, Montana",11.20%,11.2
"Gallia County, Ohio",7%,7
"Galveston County, Texas",8.30%,8.3
"Garden County, Nebraska",15.50%,15.5
"Garfield County, Colorado",13.30%,13.3
"Garfield County, Montana",10.60%,10.6
"Garfield County, Nebraska",21.10%,21.1
"Garfield County, Oklahoma",14%,14
"Garfield County, Utah",11.30%,11.3
"Garfield County, Washington",13.40%,13.4
"Garland County, Arkansas",10.50%,10.5
"Garrard County, Kentucky",11.70%,11.7
"Garrett County, Maryland",13.20%,13.2
"Garvin County, Oklahoma",14.60%,14.6
"Garza County, Texas",8.40%,8.4
"Gasconade County, Missouri",13.80%,13.8
"Gaston County, North Carolina",10.60%,10.6
"Gates County, North Carolina",18.20%,18.2
"Geary County, Kansas",15%,15
"Geauga County, Ohio",11%,11
"Gem County, Idaho",16.10%,16.1
"Genesee County, Michigan",8.40%,8.4
"Genesee County, New York",13.10%,13.1
"Geneva County, Alabama",15%,15
"Gentry County, Missouri",13.30%,13.3
"George County, Mississippi",19.90%,19.9
"Georgetown County, South Carolina",8.50%,8.5
"Gibson County, Indiana",12.20%,12.2
"Gibson County, Tennessee",10%,10
"Gila County, Arizona",13.70%,13.7
"Gilchrist County, Florida",20.30%,20.3
"Giles County, Tennessee",10.60%,10.6
"Giles County, Virginia",12.40%,12.4
"Gillespie County, Texas",12.90%,12.9
"Gilliam County, Oregon",13.80%,13.8
"Gilmer County, Georgia",14.30%,14.3
"Gilmer County, West Virginia",9.50%,9.5
"Gilpin County, Colorado",6.50%,6.5
"Glacier County, Montana",7.50%,7.5
"Glades County, Florida",28%,28
"Gladwin County, Michigan",13.40%,13.4
"Glascock County, Georgia",13.60%,13.6
"Glasscock County, Texas",33.90%,33.9
"Glenn County, California",19.80%,19.8
"Gloucester County, New Jersey",8.40%,8.4
"Gloucester County, Virginia",12.90%,12.9
"Glynn County, Georgia",8%,8
"Gogebic County, Michigan",12.70%,12.7
"Golden Valley County, Montana",25.30%,25.3
"Golden Valley County, North Dakota",8.50%,8.5
"Goliad County, Texas",17%,17
"Gonzales County, Texas",14.90%,14.9
"Goochland County, Virginia",8.10%,8.1
"Goodhue County, Minnesota",12.60%,12.6
"Gooding County, Idaho",25.50%,25.5
"Gordon County, Georgia",11.40%,11.4
"Goshen County, Wyoming",15.70%,15.7
"Gosper County, Nebraska",13.50%,13.5
"Gove County, Kansas",15.30%,15.3
"Grady County, Georgia",15.60%,15.6
"Grady County, Oklahoma",13.80%,13.8
"Grafton County, New Hampshire",7.70%,7.7
"Graham County, Arizona",18.50%,18.5
"Graham County, Kansas",16.10%,16.1
"Graham County, North Carolina",17.30%,17.3
"Grainger County, Tennessee",13.40%,13.4
"Grand County, Colorado",15.50%,15.5
"Grand County, Utah",8.30%,8.3
"Grand Forks County, North Dakota",9%,9
"Grand Isle County, Vermont",11.10%,11.1
"Grand Traverse County, Michigan",9.20%,9.2
"Granite County, Montana",13.70%,13.7
"Grant County, Arkansas",12.30%,12.3
"Grant County, Indiana",8.50%,8.5
"Grant County, Kansas",26.60%,26.6
"Grant County, Kentucky",10.40%,10.4
"Grant County, Minnesota",14.20%,14.2
"Grant County, Nebraska",18.30%,18.3
"Grant County, New Mexico",15.30%,15.3
"Grant County, North Dakota",12.20%,12.2
"Grant County, Oklahoma",19.20%,19.2
"Grant County, Oregon",18.20%,18.2
"Grant County, South Dakota",17.30%,17.3
"Grant County, Washington",24%,24
"Grant County, West Virginia",15.40%,15.4
"Grant County, Wisconsin",12.20%,12.2
"Grant Parish, Louisiana",19.60%,19.6
"Granville County, North Carolina",9.70%,9.7
"Gratiot County, Michigan",10.40%,10.4
"Graves County, Kentucky",16.70%,16.7
"Gray County, Kansas",16.60%,16.6
"Gray County, Texas",16.80%,16.8
"Grays Harbor County, Washington",12.50%,12.5
"Grayson County, Kentucky",15.60%,15.6
"Grayson County, Texas",10.90%,10.9
"Grayson County, Virginia",10.70%,10.7
"Greater Bridgeport Planning Region, Connecticut",7.40%,7.4
"Greeley County, Kansas",15.30%,15.3
"Greeley County, Nebraska",21.70%,21.7
"Green County, Kentucky",12.30%,12.3
"Green County, Wisconsin",12%,12
"Green Lake County, Wisconsin",14%,14
"Greenbrier County, West Virginia",12.60%,12.6
"Greene County, Alabama",16.90%,16.9
"Greene County, Arkansas",12.40%,12.4
"Greene County, Georgia",10.60%,10.6
"Greene County, Illinois",11%,11
"Greene County, Indiana",14%,14
"Greene County, Iowa",10.20%,10.2
"Greene County, Mississippi",19.20%,19.2
"Greene County, Missouri",7.20%,7.2
"Greene County, New York",9.10%,9.1
"Greene County, North Carolina",14.30%,14.3
"Greene County, Ohio",5.50%,5.5
"Greene County, Pennsylvania",13.50%,13.5
"Greene County, Tennessee",8.30%,8.3
"Greene County, Virginia",14.20%,14.2
"Greenlee County, Arizona",28.30%,28.3
"Greensville County, Virginia",8.60%,8.6
"Greenup County, Kentucky",12.90%,12.9
"Greenville County, South Carolina",7.60%,7.6
"Greenwood County, Kansas",16%,16
"Greenwood County, South Carolina",9.20%,9.2
"Greer County, Oklahoma",9.60%,9.6
"Gregg County, Texas",10.70%,10.7
"Gregory County, South Dakota",12.90%,12.9
"Grenada County, Mississippi",13.10%,13.1
"Griggs County, North Dakota",13%,13
"Grimes County, Texas",13.60%,13.6
"Grundy County, Illinois",11.90%,11.9
"Grundy County, Iowa",12.20%,12.2
"Grundy County, Missouri",9.80%,9.8
"Grundy County, Tennessee",14.10%,14.1
"Guadalupe County, New Mexico",23.90%,23.9
"Guadalupe County, Texas",9.80%,9.8
"Guánica Municipio, Puerto Rico",7.50%,7.5
"Guayama Municipio, Puerto Rico",8.70%,8.7
"Guayanilla Municipio, Puerto Rico",14.10%,14.1
"Guaynabo Municipio, Puerto Rico",6.10%,6.1
"Guernsey County, Ohio",11.60%,11.6
"Guilford County, North Carolina",6.90%,6.9
"Gulf County, Florida",17.10%,17.1
"Gunnison County, Colorado",12.30%,12.3
"Gurabo Municipio, Puerto Rico",9.90%,9.9
"Guthrie County, Iowa",15.60%,15.6
"Gwinnett County, Georgia",9.60%,9.6
"Haakon County, South Dakota",13.30%,13.3
"Habersham County, Georgia",12.40%,12.4
"Haines Borough, Alaska",17.50%,17.5
"Hale County, Alabama",7.40%,7.4
"Hale County, Texas",13.10%,13.1
"Halifax County, North Carolina",7.90%,7.9
"Halifax County, Virginia",9.80%,9.8
"Hall County, Georgia",12.20%,12.2
"Hall County, Nebraska",10.90%,10.9
"Hall County, Texas",16%,16
"Hamblen County, Tennessee",9.60%,9.6
"Hamilton County, Florida",9.40%,9.4
"Hamilton County, Illinois",17.80%,17.8
"Hamilton County, Indiana",4.10%,4.1
"Hamilton County, Iowa",13.70%,13.7
"Hamilton County, Kansas",33%,33
"Hamilton County, Nebraska",12.70%,12.7
"Hamilton County, New York",13.80%,13.8
"Hamilton County, Ohio",5.30%,5.3
"Hamilton County, Tennessee",6.90%,6.9
"Hamilton County, Texas",11.70%,11.7
"Hamlin County, South Dakota",16.10%,16.1
"Hampden County, Massachusetts",7.20%,7.2
"Hampshire County, Massachusetts",6.20%,6.2
"Hampshire County, West Virginia",13.20%,13.2
"Hampton city, Virginia",8.60%,8.6
"Hampton County, South Carolina",12.40%,12.4
"Hancock County, Georgia",8.20%,8.2
"Hancock County, Illinois",11.20%,11.2
"Hancock County, Indiana",11%,11
"Hancock County, Iowa",13.40%,13.4
"Hancock County, Kentucky",11.70%,11.7
"Hancock County, Maine",14.20%,14.2
"Hancock County, Mississippi",12.90%,12.9
"Hancock County, Ohio",7.30%,7.3
"Hancock County, Tennessee",9.50%,9.5
"Hancock County, West Virginia",12.10%,12.1
"Hand County, South Dakota",12.30%,12.3
"Hanover County, Virginia",9.10%,9.1
"Hansford County, Texas",15.70%,15.7
"Hanson County, South Dakota",12.20%,12.2
"Haralson County, Georgia",12.80%,12.8
"Hardee County, Florida",19.70%,19.7
"Hardeman County, Tennessee",5.40%,5.4
"Hardeman County, Texas",13.90%,13.9
"Hardin County, Illinois",10.60%,10.6
"Hardin County, Iowa",15.70%,15.7
"Hardin County, Kentucky",9.30%,9.3
"Hardin County, Ohio",11.20%,11.2
"Hardin County, Tennessee",10.60%,10.6
"Hardin County, Texas",11%,11
"Harding County, New Mexico",13.80%,13.8
"Harding County, South Dakota",20.10%,20.1
"Hardy County, West Virginia",9.70%,9.7
"Harford County, Maryland",7.60%,7.6
"Harlan County, Kentucky",13.20%,13.2
"Harlan County, Nebraska",13.70%,13.7
"Harmon County, Oklahoma",13.90%,13.9
"Harnett County, North Carolina",12.60%,12.6
"Harney County, Oregon",10.80%,10.8
"Harper County, Kansas",17.50%,17.5
"Harper County, Oklahoma",20.50%,20.5
"Harris County, Georgia",9.60%,9.6
"Harris County, Texas",11.40%,11.4
"Harrison County, Indiana",13.10%,13.1
"Harrison County, Iowa",13.40%,13.4
"Harrison County, Kentucky",13.70%,13.7
"Harrison County, Mississippi",9%,9
"Harrison County, Missouri",12.20%,12.2
"Harrison County, Ohio",17%,17
"Harrison County, Texas",13.70%,13.7
"Harrison County, West Virginia",9.50%,9.5
"Harrisonburg city, Virginia",9.10%,9.1
"Hart County, Georgia",12%,12
"Hart County, Kentucky",14.80%,14.8
"Hartley County, Texas",9.50%,9.5
"Harvey County, Kansas",9.90%,9.9
"Haskell County, Kansas",22.30%,22.3
"Haskell County, Oklahoma",16.30%,16.3
"Haskell County, Texas",15.90%,15.9
"Hatillo Municipio, Puerto Rico",10.50%,10.5
"Hawaii County, Hawaii",11.70%,11.7
"Hawkins County, Tennessee",10.90%,10.9
"Hayes County, Nebraska",16.40%,16.4
"Hays County, Texas",9.10%,9.1
"Haywood County, North Carolina",8%,8
"Haywood County, Tennessee",8.80%,8.8
"Heard County, Georgia",22.10%,22.1
"Hemphill County, Texas",29.90%,29.9
"Hempstead County, Arkansas",15.50%,15.5
"Henderson County, Illinois",11.30%,11.3
"Henderson County, Kentucky",11.90%,11.9
"Henderson County, North Carolina",9.70%,9.7
"Henderson County, Tennessee",10.40%,10.4
"Henderson County, Texas",12.70%,12.7
"Hendricks County, Indiana",6.20%,6.2
"Hendry County, Florida",23.50%,23.5
"Hennepin County, Minnesota",3.90%,3.9
"Henrico County, Virginia",6%,6
"Henry County, Alabama",11.70%,11.7
"Henry County, Georgia",8.50%,8.5
"Henry County, Illinois",11%,11
"Henry County, Indiana",9%,9
"Henry County, Iowa",10.50%,10.5
"Henry County, Kentucky",12.90%,12.9
"Henry County, Missouri",11.80%,11.8
"Henry County, Ohio",10.50%,10.5
"Henry County, Tennessee",12.10%,12.1
"Henry County, Virginia",11.60%,11.6
"Herkimer County, New York",10.20%,10.2
"Hernando County, Florida",10.80%,10.8
"Hertford County, North Carolina",10.50%,10.5
"Hettinger County, North Dakota",14.40%,14.4
"Hickman County, Kentucky",6.20%,6.2
"Hickman County, Tennessee",14.10%,14.1
"Hickory County, Missouri",17%,17
"Hidalgo County, New Mexico",17.20%,17.2
"Hidalgo County, Texas",14.20%,14.2
"Highland County, Ohio",11.20%,11.2
"Highland County, Virginia",17.40%,17.4
"Highlands County, Florida",14.70%,14.7
"Hill County, Montana",13.20%,13.2
"Hill County, Texas",15.30%,15.3
"Hillsborough County, Florida",8.80%,8.8
"Hillsborough County, New Hampshire",8.10%,8.1
"Hillsdale County, Michigan",10.20%,10.2
"Hinds County, Mississippi",7%,7
"Hinsdale County, Colorado",7.70%,7.7
"Hitchcock County, Nebraska",9.60%,9.6
"Hocking County, Ohio",11.90%,11.9
"Hockley County, Texas",16.30%,16.3
"Hodgeman County, Kansas",17.40%,17.4
"Hoke County, North Carolina",8.80%,8.8
