Geographic Area,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,Over 65 yrs
"Cook County, Illinois",15.20%,15.2
"Cook County, Minnesota",29.30%,29.3
"Cooke County, Texas",18.90%,18.9
"Cooper County, Missouri",18.60%,18.6
"Coos County, New Hampshire",24.90%,24.9
"Coos County, Oregon",26.80%,26.8
"Coosa County, Alabama",24.40%,24.4
"Copiah County, Mississippi",18.20%,18.2
"Copper River Census Area, Alaska",17.20%,17.2
"Corozal Municipio, Puerto Rico",19.60%,19.6
"Corson County, South Dakota",11.60%,11.6
"Cortland County, New York",16.50%,16.5
"Coryell County, Texas",10.70%,10.7
"Coshocton County, Ohio",19.50%,19.5
"Costilla County, Colorado",27.80%,27.8
"Cottle County, Texas",21.90%,21.9
"Cotton County, Oklahoma",18.70%,18.7
"Cottonwood County, Minnesota",22.70%,22.7
"Covington city, Virginia",19.10%,19.1
"Covington County, Alabama",21.70%,21.7
"Covington County, Mississippi",17.30%,17.3
"Coweta County, Georgia",14.40%,14.4
"Cowley County, Kansas",18.50%,18.5
"Cowlitz County, Washington",19.20%,19.2
"Craig County, Oklahoma",18.80%,18.8
"Craig County, Virginia",19.20%,19.2
"Craighead County, Arkansas",13.60%,13.6
"Crane County, Texas",14%,14
"Craven County, North Carolina",19.80%,19.8
"Crawford County, Arkansas",17.20%,17.2
"Crawford County, Georgia",18.70%,18.7
"Crawford County, Illinois",19.40%,19.4
"Crawford County, Indiana",20%,20
"Crawford County, Iowa",17.70%,17.7
"Crawford County, Kansas",15.50%,15.5
"Crawford County, Michigan",25.90%,25.9
"Crawford County, Missouri",20.30%,20.3
"Crawford County, Ohio",20.60%,20.6
"Crawford County, Pennsylvania",21.60%,21.6
"Crawford County, Wisconsin",24.20%,24.2
"Creek County, Oklahoma",18.10%,18.1
"Crenshaw County, Alabama",19.80%,19.8
"Crisp County, Georgia",19.30%,19.3
"Crittenden County, Arkansas",14.60%,14.6
"Crittenden County, Kentucky",20.50%,20.5
"Crockett County, Tennessee",19%,19
"Crockett County, Texas",23.50%,23.5
"Crook County, Oregon",24.70%,24.7
"Crook County, Wyoming",21.60%,21.6
"Crosby County, Texas",18.40%,18.4
"Cross County, Arkansas",18.50%,18.5
"Crow Wing County, Minnesota",23.50%,23.5
"Crowley County, Colorado",14.40%,14.4
"Culberson County, Texas",21.70%,21.7
"Culebra Municipio, Puerto Rico",21.90%,21.9
"Cullman County, Alabama",18.80%,18.8
"Culpeper County, Virginia",16.20%,16.2
"Cumberland County, Illinois",20.40%,20.4
"Cumberland County, Kentucky",22%,22
"Cumberland County, Maine",19.50%,19.5
"Cumberland County, New Jersey",15.60%,15.6
"Cumberland County, North Carolina",12.50%,12.5
"Cumberland County, Pennsylvania",18.70%,18.7
"Cumberland County, Tennessee",31.50%,31.5
"Cumberland County, Virginia",22.70%,22.7
"Cuming County, Nebraska",21.60%,21.6
"Currituck County, North Carolina",16.70%,16.7
"Curry County, New Mexico",12.80%,12.8
"Curry County, Oregon",34.40%,34.4
"Custer County, Colorado",29.70%,29.7
"Custer County, Idaho",33.60%,33.6
"Custer County, Montana",20.50%,20.5
"Custer County, Nebraska",22.10%,22.1
"Custer County, Oklahoma",13.80%,13.8
"Custer County, South Dakota",31.50%,31.5
"Cuyahoga County, Ohio",18.70%,18.7
"Dade County, Georgia",19.90%,19.9
"Dade County, Missouri",24.50%,24.5
"Daggett County, Utah",18.50%,18.5
"Dakota County, Minnesota",15%,15
"Dakota County, Nebraska",13.20%,13.2
"Dale County, Alabama",17.50%,17.5
"Dallam County, Texas",9.50%,9.5
"Dallas County, Alabama",19.40%,19.4
"Dallas County, Arkansas",24.50%,24.5
"Dallas County, Iowa",12.20%,12.2
"Dallas County, Missouri",20.60%,20.6
"Dallas County, Texas",11.20%,11.2
"Dane County, Wisconsin",14.40%,14.4
"Daniels County, Montana",29.80%,29.8
"Danville city, Virginia",21.10%,21.1
"Dare County, North Carolina",23%,23
"Darke County, Ohio",20%,20
"Darlington County, South Carolina",19.20%,19.2
"Dauphin County, Pennsylvania",17.50%,17.5
"Davidson County, North Carolina",18.50%,18.5
"Davidson County, Tennessee",12.80%,12.8
"Davie County, North Carolina",21.40%,21.4
"Daviess County, Indiana",15.70%,15.7
"Daviess County, Kentucky",17.20%,17.2
"Daviess County, Missouri",20.90%,20.9
"Davis County, Iowa",17.80%,17.8
"Davis County, Utah",10.50%,10.5
"Davison County, South Dakota",20%,20
"Dawes County, Nebraska",18.90%,18.9
"Dawson County, Georgia",19.70%,19.7
"Dawson County, Montana",20.50%,20.5
"Dawson County, Nebraska",16.80%,16.8
"Dawson County, Texas",14.10%,14.1
"Day County, South Dakota",26.10%,26.1
"De Baca County, New Mexico",21.10%,21.1
"De Soto Parish, Louisiana",18.20%,18.2
"De Witt County, Illinois",19.60%,19.6
"Deaf Smith County, Texas",12.90%,12.9
"Dearborn County, Indiana",18.20%,18.2
"Decatur County, Georgia",16.70%,16.7
"Decatur County, Indiana",17.40%,17.4
"Decatur County, Iowa",20.70%,20.7
"Decatur County, Kansas",28.20%,28.2
"Decatur County, Tennessee",23.50%,23.5
"Deer Lodge County, Montana",24.90%,24.9
"Defiance County, Ohio",19%,19
"DeKalb County, Alabama",17.30%,17.3
"DeKalb County, Georgia",13.10%,13.1
"DeKalb County, Illinois",13.50%,13.5
"DeKalb County, Indiana",16.60%,16.6
"DeKalb County, Missouri",18.10%,18.1
"DeKalb County, Tennessee",18.70%,18.7
"Del Norte County, California",19.20%,19.2
"Delaware County, Indiana",17.30%,17.3
"Delaware County, Iowa",20.30%,20.3
"Delaware County, New York",25.20%,25.2
"Delaware County, Ohio",14.40%,14.4
"Delaware County, Oklahoma",25%,25
"Delaware County, Pennsylvania",16.70%,16.7
"Delta County, Colorado",26.90%,26.9
"Delta County, Michigan",24.90%,24.9
"Delta County, Texas",20.30%,20.3
"Denali Borough, Alaska",14.10%,14.1
"Dent County, Missouri",21.60%,21.6
"Denton County, Texas",10.90%,10.9
"Denver County, Colorado",12%,12
"Des Moines County, Iowa",20.70%,20.7
"Deschutes County, Oregon",20.50%,20.5
"Desha County, Arkansas",19.20%,19.2
"DeSoto County, Florida",22.30%,22.3
"DeSoto County, Mississippi",13.10%,13.1
"Deuel County, Nebraska",25.90%,25.9
"Deuel County, South Dakota",21.90%,21.9
"Dewey County, Oklahoma",18.70%,18.7
"Dewey County, South Dakota",9.60%,9.6
"DeWitt County, Texas",19.60%,19.6
"Dickens County, Texas",23.90%,23.9
"Dickenson County, Virginia",23.40%,23.4
"Dickey County, North Dakota",19.10%,19.1
"Dickinson County, Iowa",27%,27
"Dickinson County, Kansas",20.60%,20.6
"Dickinson County, Michigan",23.10%,23.1
"Dickson County, Tennessee",16.30%,16.3
"Dillingham Census Area, Alaska",11.70%,11.7
"Dillon County, South Carolina",16.90%,16.9
"Dimmit County, Texas",17%,17
"Dinwiddie County, Virginia",18.50%,18.5
"District of Columbia, District of Columbia",12.60%,12.6
"Divide County, North Dakota",24.10%,24.1
"Dixie County, Florida",23.70%,23.7
"Dixon County, Nebraska",20.70%,20.7
"Doddridge County, West Virginia",20.80%,20.8
"Dodge County, Georgia",19%,19
"Dodge County, Minnesota",15.20%,15.2
"Dodge County, Nebraska",19.40%,19.4
"Dodge County, Wisconsin",18.20%,18.2
"Dolores County, Colorado",35.70%,35.7
"Doña Ana County, New Mexico",16.10%,16.1
"Doniphan County, Kansas",19.50%,19.5
"Donley County, Texas",23.80%,23.8
"Dooly County, Georgia",21.50%,21.5
"Door County, Wisconsin",30.60%,30.6
"Dorado Municipio, Puerto Rico",18.70%,18.7
"Dorchester County, Maryland",21.90%,21.9
"Dorchester County, South Carolina",14.70%,14.7
"Dougherty County, Georgia",16.50%,16.5
"Douglas County, Colorado",12.90%,12.9
"Douglas County, Georgia",11.90%,11.9
"Douglas County, Illinois",18.50%,18.5
"Douglas County, Kansas",13.20%,13.2
"Douglas County, Minnesota",23.60%,23.6
"Douglas County, Missouri",24.90%,24.9
"Douglas County, Nebraska",13.50%,13.5
"Douglas County, Nevada",30.30%,30.3
"Douglas County, Oregon",26%,26
"Douglas County, South Dakota",23.60%,23.6
"Douglas County, Washington",17.80%,17.8
"Douglas County, Wisconsin",19.40%,19.4
"Drew County, Arkansas",17.80%,17.8
"Dubois County, Indiana",17.80%,17.8
"Dubuque County, Iowa",18.40%,18.4
"Duchesne County, Utah",12.30%,12.3
"Dukes County, Massachusetts",25.10%,25.1
"Dundy County, Nebraska",20.50%,20.5
"Dunklin County, Missouri",18.40%,18.4
"Dunn County, North Dakota",17.70%,17.7
"Dunn County, Wisconsin",16%,16
"DuPage County, Illinois",16.40%,16.4
"Duplin County, North Carolina",19.10%,19.1
"Durham County, North Carolina",13.80%,13.8
"Dutchess County, New York",18.40%,18.4
"Duval County, Florida",14.70%,14.7
"Duval County, Texas",15.80%,15.8
"Dyer County, Tennessee",17.60%,17.6
"Eagle County, Colorado",13.60%,13.6
"Early County, Georgia",19.20%,19.2
"East Baton Rouge Parish, Louisiana",14.70%,14.7
"East Carroll Parish, Louisiana",15.80%,15.8
"East Feliciana Parish, Louisiana",18.70%,18.7
"Eastland County, Texas",21.60%,21.6
"Eaton County, Michigan",19.20%,19.2
"Eau Claire County, Wisconsin",16.30%,16.3
"Echols County, Georgia",12.80%,12.8
"Ector County, Texas",9.50%,9.5
"Eddy County, New Mexico",14.50%,14.5
"Eddy County, North Dakota",27.70%,27.7
"Edgar County, Illinois",23.30%,23.3
"Edgecombe County, North Carolina",20.10%,20.1
"Edgefield County, South Carolina",19%,19
"Edmonson County, Kentucky",21.30%,21.3
"Edmunds County, South Dakota",21.40%,21.4
"Edwards County, Illinois",21.60%,21.6
"Edwards County, Kansas",21.90%,21.9
"Edwards County, Texas",22%,22
"Effingham County, Georgia",11.90%,11.9
"Effingham County, Illinois",17.90%,17.9
"El Dorado County, California",22.20%,22.2
"El Paso County, Colorado",13.30%,13.3
"El Paso County, Texas",12.50%,12.5
"Elbert County, Colorado",17.50%,17.5
"Elbert County, Georgia",20.80%,20.8
"Elk County, Kansas",27.50%,27.5
"Elk County, Pennsylvania",22.80%,22.8
"Elkhart County, Indiana",15.20%,15.2
"Elko County, Nevada",12.20%,12.2
"Elliott County, Kentucky",20.50%,20.5
"Ellis County, Kansas",15.10%,15.1
"Ellis County, Oklahoma",23.70%,23.7
"Ellis County, Texas",12.90%,12.9
"Ellsworth County, Kansas",22.80%,22.8
"Elmore County, Alabama",15.80%,15.8
"Elmore County, Idaho",14%,14
"Emanuel County, Georgia",16%,16
"Emery County, Utah",17.70%,17.7
"Emmet County, Iowa",23.10%,23.1
"Emmet County, Michigan",23.20%,23.2
"Emmons County, North Dakota",28.10%,28.1
"Emporia city, Virginia",17.70%,17.7
"Erath County, Texas",14.20%,14.2
"Erie County, New York",18.50%,18.5
"Erie County, Ohio",22.50%,22.5
"Erie County, Pennsylvania",18.70%,18.7
"Escambia County, Alabama",18.60%,18.6
"Escambia County, Florida",17.50%,17.5
"Esmeralda County, Nevada",26.20%,26.2
"Essex County, Massachusetts",17.60%,17.6
"Essex County, New Jersey",13.80%,13.8
"Essex County, New York",24.80%,24.8
"Essex County, Vermont",26.60%,26.6
"Essex County, Virginia",23.50%,23.5
"Estill County, Kentucky",19.20%,19.2
"Etowah County, Alabama",19.40%,19.4
"Eureka County, Nevada",25%,25
"Evangeline Parish, Louisiana",15.60%,15.6
"Evans County, Georgia",16.90%,16.9
"Fairbanks North Star Borough, Alaska",11.80%,11.8
"Fairfax city, Virginia",14.40%,14.4
"Fairfax County, Virginia",14.20%,14.2
"Fairfield County, Ohio",16.20%,16.2
"Fairfield County, South Carolina",22.40%,22.4
"Fajardo Municipio, Puerto Rico",22.90%,22.9
"Fall River County, South Dakota",31.40%,31.4
"Fallon County, Montana",19.40%,19.4
"Falls Church city, Virginia",13.70%,13.7
"Falls County, Texas",18.70%,18.7
"Fannin County, Georgia",29.80%,29.8
"Fannin County, Texas",18.10%,18.1
"Faribault County, Minnesota",22.80%,22.8
"Faulk County, South Dakota",26.50%,26.5
"Faulkner County, Arkansas",13.30%,13.3
"Fauquier County, Virginia",16.70%,16.7
"Fayette County, Alabama",21.20%,21.2
"Fayette County, Georgia",19.10%,19.1
"Fayette County, Illinois",19.20%,19.2
"Fayette County, Indiana",20.40%,20.4
"Fayette County, Iowa",21.80%,21.8
"Fayette County, Kentucky",14.20%,14.2
"Fayette County, Ohio",17.70%,17.7
"Fayette County, Pennsylvania",21.80%,21.8
"Fayette County, Tennessee",22%,22
"Fayette County, Texas",26.10%,26.1
"Fayette County, West Virginia",21.90%,21.9
"Fentress County, Tennessee",22.70%,22.7
"Fergus County, Montana",24.90%,24.9
"Ferry County, Washington",29%,29
"Fillmore County, Minnesota",21.50%,21.5
"Fillmore County, Nebraska",23.90%,23.9
"Finney County, Kansas",11.30%,11.3
"Fisher County, Texas",23.10%,23.1
"Flagler County, Florida",30.90%,30.9
"Flathead County, Montana",20.40%,20.4
"Fleming County, Kentucky",18.20%,18.2
"Florence County, South Carolina",17.50%,17.5
"Florence County, Wisconsin",27%,27
"Florida Municipio, Puerto Rico",20.30%,20.3
"Floyd County, Georgia",16.50%,16.5
"Floyd County, Indiana",16.70%,16.7
"Floyd County, Iowa",22.60%,22.6
"Floyd County, Kentucky",18.80%,18.8
"Floyd County, Texas",18.30%,18.3
"Floyd County, Virginia",24.20%,24.2
"Fluvanna County, Virginia",20.40%,20.4
"Foard County, Texas",30.30%,30.3
"Fond du Lac County, Wisconsin",19%,19
"Ford County, Illinois",18.70%,18.7
"Ford County, Kansas",11.40%,11.4
"Forest County, Pennsylvania",22.90%,22.9
"Forest County, Wisconsin",24.40%,24.4
"Forrest County, Mississippi",13.60%,13.6
"Forsyth County, Georgia",12.30%,12.3
"Forsyth County, North Carolina",16.40%,16.4
"Fort Bend County, Texas",11.80%,11.8
"Foster County, North Dakota",23.70%,23.7
"Fountain County, Indiana",19.80%,19.8
"Franklin city, Virginia",19%,19
"Franklin County, Alabama",17.10%,17.1
"Franklin County, Arkansas",19.90%,19.9
"Franklin County, Florida",25.30%,25.3
"Franklin County, Georgia",18.40%,18.4
"Franklin County, Idaho",14.20%,14.2
"Franklin County, Illinois",20.50%,20.5
"Franklin County, Indiana",19.20%,19.2
"Franklin County, Iowa",21.30%,21.3
"Franklin County, Kansas",17.30%,17.3
"Franklin County, Kentucky",18.10%,18.1
"Franklin County, Maine",22.90%,22.9
"Franklin County, Massachusetts",23.20%,23.2
"Franklin County, Mississippi",20.70%,20.7
"Franklin County, Missouri",18.20%,18.2
"Franklin County, Nebraska",27.60%,27.6
"Franklin County, New York",18.40%,18.4
"Franklin County, North Carolina",16.90%,16.9
"Franklin County, Ohio",12.50%,12.5
"Franklin County, Pennsylvania",19.80%,19.8
"Franklin County, Tennessee",20.30%,20.3
"Franklin County, Texas",22.10%,22.1
"Franklin County, Vermont",16.80%,16.8
"Franklin County, Virginia",24%,24
"Franklin County, Washington",9.80%,9.8
"Franklin Parish, Louisiana",19%,19
"Frederick County, Maryland",14.90%,14.9
"Frederick County, Virginia",18.10%,18.1
"Fredericksburg city, Virginia",11.20%,11.2
"Freeborn County, Minnesota",22.40%,22.4
"Freestone County, Texas",19.90%,19.9
"Fremont County, Colorado",21.90%,21.9
"Fremont County, Idaho",17.80%,17.8
"Fremont County, Iowa",22.60%,22.6
"Fremont County, Wyoming",19.20%,19.2
"Fresno County, California",12.50%,12.5
"Frio County, Texas",12.60%,12.6
"Frontier County, Nebraska",25.20%,25.2
"Fulton County, Arkansas",25.50%,25.5
"Fulton County, Georgia",12.20%,12.2
"Fulton County, Illinois",20.60%,20.6
"Fulton County, Indiana",19.80%,19.8
"Fulton County, Kentucky",21%,21
"Fulton County, New York",20.20%,20.2
"Fulton County, Ohio",18.50%,18.5
"Fulton County, Pennsylvania",21.80%,21.8
"Furnas County, Nebraska",25.40%,25.4
"Gadsden County, Florida",19.20%,19.2
"Gage County, Nebraska",21.40%,21.4
"Gaines County, Texas",8.90%,8.9
"Galax city, Virginia",18.80%,18.8
"Gallatin County, Illinois",24.70%,24.7
"Gallatin County, Kentucky",13.50%,13.5
"Gallatin County, Montana",13%,13
"Gallia County, Ohio",19.20%,19.2
"Galveston County, Texas",14.90%,14.9
"Garden County, Nebraska",28.60%,28.6
"Garfield County, Colorado",13.60%,13.6
"Garfield County, Montana",23.80%,23.8
"Garfield County, Nebraska",27.20%,27.2
"Garfield County, Oklahoma",16.50%,16.5
"Garfield County, Utah",22.90%,22.9
"Garfield County, Washington",27.80%,27.8
"Garland County, Arkansas",24%,24
"Garrard County, Kentucky",18.50%,18.5
"Garrett County, Maryland",23%,23
"Garvin County, Oklahoma",18%,18
"Garza County, Texas",16.80%,16.8
"Gasconade County, Missouri",22.60%,22.6
"Gaston County, North Carolina",16.40%,16.4
"Gates County, North Carolina",21.20%,21.2
"Geary County, Kansas",8.50%,8.5
"Geauga County, Ohio",21.30%,21.3
"Gem County, Idaho",22.20%,22.2
"Genesee County, Michigan",18%,18
"Genesee County, New York",19.50%,19.5
"Geneva County, Alabama",20.30%,20.3
"Gentry County, Missouri",18.70%,18.7
"George County, Mississippi",15.20%,15.2
"Georgetown County, South Carolina",29.20%,29.2
"Gibson County, Indiana",17.40%,17.4
"Gibson County, Tennessee",17.50%,17.5
"Gila County, Arizona",29.60%,29.6
"Gilchrist County, Florida",20.10%,20.1
"Giles County, Tennessee",20.70%,20.7
"Giles County, Virginia",21.70%,21.7
"Gillespie County, Texas",29%,29
"Gilliam County, Oregon",31.20%,31.2
"Gilmer County, Georgia",25.80%,25.8
"Gilmer County, West Virginia",17.50%,17.5
"Gilpin County, Colorado",15.90%,15.9
"Glacier County, Montana",12.40%,12.4
"Glades County, Florida",26.80%,26.8
"Gladwin County, Michigan",26.80%,26.8
"Glascock County, Georgia",17%,17
"Glasscock County, Texas",12.70%,12.7
"Glenn County, California",16.90%,16.9
"Gloucester County, New Jersey",16.20%,16.2
"Gloucester County, Virginia",19.60%,19.6
"Glynn County, Georgia",21.80%,21.8
"Gogebic County, Michigan",27.70%,27.7
"Golden Valley County, Montana",27.10%,27.1
"Golden Valley County, North Dakota",23.70%,23.7
"Goliad County, Texas",23.90%,23.9
"Gonzales County, Texas",16.90%,16.9
"Goochland County, Virginia",23%,23
"Goodhue County, Minnesota",19.90%,19.9
"Gooding County, Idaho",17.70%,17.7
"Gordon County, Georgia",15%,15
"Goshen County, Wyoming",22.80%,22.8
"Gosper County, Nebraska",25.60%,25.6
"Gove County, Kansas",23.80%,23.8
"Grady County, Georgia",18.80%,18.8
"Grady County, Oklahoma",16.50%,16.5
"Grafton County, New Hampshire",22%,22
"Graham County, Arizona",14%,14
"Graham County, Kansas",26.30%,26.3
"Graham County, North Carolina",23.60%,23.6
"Grainger County, Tennessee",20.70%,20.7
"Grand County, Colorado",19.30%,19.3
"Grand County, Utah",19.70%,19.7
"Grand Forks County, North Dakota",13.50%,13.5
"Grand Isle County, Vermont",21.80%,21.8
"Grand Traverse County, Michigan",20.70%,20.7
"Granite County, Montana",30.70%,30.7
"Grant County, Arkansas",18.20%,18.2
"Grant County, Indiana",19%,19
"Grant County, Kansas",12.80%,12.8
"Grant County, Kentucky",14%,14
"Grant County, Minnesota",23.40%,23.4
"Grant County, Nebraska",21.40%,21.4
"Grant County, New Mexico",28.40%,28.4
"Grant County, North Dakota",29.30%,29.3
"Grant County, Oklahoma",22.10%,22.1
"Grant County, Oregon",31%,31
"Grant County, South Dakota",23%,23
"Grant County, Washington",14.20%,14.2
"Grant County, West Virginia",24.30%,24.3
"Grant County, Wisconsin",17.70%,17.7
"Grant Parish, Louisiana",15.20%,15.2
"Granville County, North Carolina",17.10%,17.1
"Gratiot County, Michigan",17.50%,17.5
"Graves County, Kentucky",18.30%,18.3
"Gray County, Kansas",15.10%,15.1
"Gray County, Texas",16.10%,16.1
"Grays Harbor County, Washington",22.30%,22.3
"Grayson County, Kentucky",17.80%,17.8
"Grayson County, Texas",17.90%,17.9
"Grayson County, Virginia",25.40%,25.4
"Greater Bridgeport Planning Region, Connecticut",15.90%,15.9
"Greeley County, Kansas",18.10%,18.1
"Greeley County, Nebraska",25.70%,25.7
"Green County, Kentucky",20.10%,20.1
"Green County, Wisconsin",19.40%,19.4
"Green Lake County, Wisconsin",22.80%,22.8
"Greenbrier County, West Virginia",23.60%,23.6
"Greene County, Alabama",23.70%,23.7
"Greene County, Arkansas",16.20%,16.2
"Greene County, Georgia",29.60%,29.6
"Greene County, Illinois",20%,20
"Greene County, Indiana",19.70%,19.7
"Greene County, Iowa",23.40%,23.4
"Greene County, Mississippi",14.60%,14.6
"Greene County, Missouri",16.80%,16.8
"Greene County, New York",23.20%,23.2
"Greene County, North Carolina",16.50%,16.5
"Greene County, Ohio",17.80%,17.8
"Greene County, Pennsylvania",19.70%,19.7
"Greene County, Tennessee",21.80%,21.8
"Greene County, Virginia",18.50%,18.5
"Greenlee County, Arizona",13.70%,13.7
"Greensville County, Virginia",15.70%,15.7
"Greenup County, Kentucky",21.40%,21.4
"Greenville County, South Carolina",16.30%,16.3
"Greenwood County, Kansas",25.70%,25.7
"Greenwood County, South Carolina",19%,19
"Greer County, Oklahoma",17.10%,17.1
"Gregg County, Texas",15.70%,15.7
"Gregory County, South Dakota",25.20%,25.2
"Grenada County, Mississippi",18.20%,18.2
"Griggs County, North Dakota",29.90%,29.9
"Grimes County, Texas",18.20%,18.2
"Grundy County, Illinois",14.40%,14.4
"Grundy County, Iowa",20.60%,20.6
"Grundy County, Missouri",21.70%,21.7
"Grundy County, Tennessee",20.50%,20.5
"Guadalupe County, New Mexico",19.50%,19.5
"Guadalupe County, Texas",14.20%,14.2
"Guánica Municipio, Puerto Rico",25.40%,25.4
"Guayama Municipio, Puerto Rico",19.70%,19.7
"Guayanilla Municipio, Puerto Rico",22.30%,22.3
"Guaynabo Municipio, Puerto Rico",24.20%,24.2
"Guernsey County, Ohio",19.80%,19.8
"Guilford County, North Carolina",15.50%,15.5
"Gulf County, Florida",23.30%,23.3
"Gunnison County, Colorado",14%,14
"Gurabo Municipio, Puerto Rico",17%,17
"Guthrie County, Iowa",22.80%,22.8
"Gwinnett County, Georgia",10.60%,10.6
"Haakon County, South Dakota",26.70%,26.7
"Habersham County, Georgia",18.70%,18.7
"Haines Borough, Alaska",21.60%,21.6
"Hale County, Alabama",19.70%,19.7
"Hale County, Texas",13.90%,13.9
"Halifax County, North Carolina",21.20%,21.2
"Halifax County, Virginia",24.90%,24.9
"Hall County, Georgia",15.50%,15.5
"Hall County, Nebraska",15.50%,15.5
"Hall County, Texas",22.50%,22.5
"Hamblen County, Tennessee",18.20%,18.2
"Hamilton County, Florida",19%,19
"Hamilton County, Illinois",22.10%,22.1
"Hamilton County, Indiana",13.10%,13.1
"Hamilton County, Iowa",21.30%,21.3
"Hamilton County, Kansas",14.30%,14.3
"Hamilton County, Nebraska",20.30%,20.3
"Hamilton County, New York",32%,32
"Hamilton County, Ohio",16%,16
"Hamilton County, Tennessee",18.10%,18.1
"Hamilton County, Texas",25.80%,25.8
"Hamlin County, South Dakota",14.30%,14.3
"Hampden County, Massachusetts",17.40%,17.4
"Hampshire County, Massachusetts",19.10%,19.1
"Hampshire County, West Virginia",23.30%,23.3
"Hampton city, Virginia",15.90%,15.9
"Hampton County, South Carolina",18.30%,18.3
"Hancock County, Georgia",24%,24
"Hancock County, Illinois",23.70%,23.7
"Hancock County, Indiana",17.10%,17.1
"Hancock County, Iowa",23.30%,23.3
"Hancock County, Kentucky",17.70%,17.7
"Hancock County, Maine",25.70%,25.7
"Hancock County, Mississippi",21.40%,21.4
"Hancock County, Ohio",17.90%,17.9
"Hancock County, Tennessee",22.40%,22.4
"Hancock County, West Virginia",24.30%,24.3
"Hand County, South Dakota",25.30%,25.3
"Hanover County, Virginia",18.50%,18.5
"Hansford County, Texas",13.60%,13.6
"Hanson County, South Dakota",15.70%,15.7
"Haralson County, Georgia",15.90%,15.9
"Hardee County, Florida",15.70%,15.7
"Hardeman County, Tennessee",18.50%,18.5
"Hardeman County, Texas",20%,20
"Hardin County, Illinois",31%,31
"Hardin County, Iowa",22.80%,22.8
"Hardin County, Kentucky",14.60%,14.6
"Hardin County, Ohio",16%,16
"Hardin County, Tennessee",23%,23
"Hardin County, Texas",17.20%,17.2
"Harding County, New Mexico",24.30%,24.3
"Harding County, South Dakota",19%,19
"Hardy County, West Virginia",23%,23
"Harford County, Maryland",16.70%,16.7
"Harlan County, Kentucky",19%,19
"Harlan County, Nebraska",26.60%,26.6
"Harmon County, Oklahoma",19.40%,19.4
"Harnett County, North Carolina",13.20%,13.2
"Harney County, Oregon",25.50%,25.5
"Harper County, Kansas",21.90%,21.9
"Harper County, Oklahoma",18.80%,18.8
"Harris County, Georgia",18.50%,18.5
"Harris County, Texas",11%,11
"Harrison County, Indiana",18.30%,18.3
"Harrison County, Iowa",19.60%,19.6
"Harrison County, Kentucky",18.90%,18.9
"Harrison County, Mississippi",15.80%,15.8
"Harrison County, Missouri",22.10%,22.1
"Harrison County, Ohio",22.50%,22.5
"Harrison County, Texas",17%,17
"Harrison County, West Virginia",19.80%,19.8
"Harrisonburg city, Virginia",9.60%,9.6
"Hart County, Georgia",22.40%,22.4
"Hart County, Kentucky",16.80%,16.8
"Hartley County, Texas",16.20%,16.2
"Harvey County, Kansas",20.50%,20.5
"Haskell County, Kansas",15.30%,15.3
"Haskell County, Oklahoma",20.30%,20.3
"Haskell County, Texas",23.40%,23.4
"Hatillo Municipio, Puerto Rico",22.10%,22.1
"Hawaii County, Hawaii",22.20%,22.2
"Hawkins County, Tennessee",21.50%,21.5
"Hayes County, Nebraska",23.80%,23.8
"Hays County, Texas",11.40%,11.4
"Haywood County, North Carolina",25.10%,25.1
"Haywood County, Tennessee",19.70%,19.7
"Heard County, Georgia",16.90%,16.9
"Hemphill County, Texas",18.80%,18.8
"Hempstead County, Arkansas",18.30%,18.3
"Henderson County, Illinois",26%,26
"Henderson County, Kentucky",18.30%,18.3
"Henderson County, North Carolina",26.10%,26.1
"Henderson County, Tennessee",18.50%,18.5
"Henderson County, Texas",22.20%,22.2
"Hendricks County, Indiana",14.40%,14.4
"Hendry County, Florida",13.40%,13.4
"Hennepin County, Minnesota",14.80%,14.8
"Henrico County, Virginia",16.20%,16.2
"Henry County, Alabama",22.90%,22.9
"Henry County, Georgia",12%,12
"Henry County, Illinois",21%,21
"Henry County, Indiana",19.10%,19.1
"Henry County, Iowa",19%,19
"Henry County, Kentucky",17.60%,17.6
"Henry County, Missouri",22.20%,22.2
"Henry County, Ohio",19%,19
"Henry County, Tennessee",23.40%,23.4
"Henry County, Virginia",24.40%,24.4
"Herkimer County, New York",21.30%,21.3
"Hernando County, Florida",26.80%,26.8
"Hertford County, North Carolina",20.40%,20.4
"Hettinger County, North Dakota",25.90%,25.9
"Hickman County, Kentucky",24.50%,24.5
"Hickman County, Tennessee",17.40%,17.4
"Hickory County, Missouri",33.60%,33.6
"Hidalgo County, New Mexico",21.80%,21.8
"Hidalgo County, Texas",11.20%,11.2
"Highland County, Ohio",18.40%,18.4
"Highland County, Virginia",36.90%,36.9
"Highlands County, Florida",35.70%,35.7
"Hill County, Montana",15.40%,15.4
"Hill County, Texas",20.50%,20.5
"Hillsborough County, Florida",14.60%,14.6
"Hillsborough County, New Hampshire",16.30%,16.3
"Hillsdale County, Michigan",20.40%,20.4
"Hinds County, Mississippi",15.20%,15.2
"Hinsdale County, Colorado",34%,34
"Hitchcock County, Nebraska",25.40%,25.4
"Hocking County, Ohio",19.10%,19.1
"Hockley County, Texas",15%,15
"Hodgeman County, Kansas",22.80%,22.8
"Hoke County, North Carolina",11%,11
