Geographic Area,"9th to 12th grade, no diploma—Estimate",No diploma
"Cooper County, Missouri",6.10%,6.1
"Coos County, New Hampshire",7.50%,7.5
"Coos County, Oregon",8%,8
"Coosa County, Alabama",12.80%,12.8
"Copiah County, Mississippi",10.20%,10.2
"Copper River Census Area, Alaska",5.50%,5.5
"Corozal Municipio, Puerto Rico",8.60%,8.6
"Corson County, South Dakota",12.10%,12.1
"Cortland County, New York",5.90%,5.9
"Coryell County, Texas",6.20%,6.2
"Coshocton County, Ohio",8.10%,8.1
"Costilla County, Colorado",5.80%,5.8
"Cottle County, Texas",11.10%,11.1
"Cotton County, Oklahoma",12.50%,12.5
"Cottonwood County, Minnesota",5.40%,5.4
"Covington city, Virginia",8.80%,8.8
"Covington County, Alabama",9.80%,9.8
"Covington County, Mississippi",12.50%,12.5
"Coweta County, Georgia",6.80%,6.8
"Cowley County, Kansas",6.10%,6.1
"Cowlitz County, Washington",6.60%,6.6
"Craig County, Oklahoma",11%,11
"Craig County, Virginia",9.20%,9.2
"Craighead County, Arkansas",5.40%,5.4
"Crane County, Texas",6.10%,6.1
"Craven County, North Carolina",6.10%,6.1
"Crawford County, Arkansas",10.30%,10.3
"Crawford County, Georgia",13.80%,13.8
"Crawford County, Illinois",8.30%,8.3
"Crawford County, Indiana",10.90%,10.9
"Crawford County, Iowa",8%,8
"Crawford County, Kansas",3.60%,3.6
"Crawford County, Michigan",7.50%,7.5
"Crawford County, Missouri",10.10%,10.1
"Crawford County, Ohio",7.30%,7.3
"Crawford County, Pennsylvania",5.80%,5.8
"Crawford County, Wisconsin",5.90%,5.9
"Creek County, Oklahoma",7.70%,7.7
"Crenshaw County, Alabama",11.10%,11.1
"Crisp County, Georgia",13.20%,13.2
"Crittenden County, Arkansas",9.70%,9.7
"Crittenden County, Kentucky",7.80%,7.8
"Crockett County, Tennessee",9.20%,9.2
"Crockett County, Texas",15.50%,15.5
"Crook County, Oregon",7.70%,7.7
"Crook County, Wyoming",5.50%,5.5
"Crosby County, Texas",12.60%,12.6
"Cross County, Arkansas",10.70%,10.7
"Crow Wing County, Minnesota",4.50%,4.5
"Crowley County, Colorado",12.20%,12.2
"Culberson County, Texas",4.80%,4.8
"Culebra Municipio, Puerto Rico",4.70%,4.7
"Cullman County, Alabama",10.80%,10.8
"Culpeper County, Virginia",7%,7
"Cumberland County, Illinois",4.20%,4.2
"Cumberland County, Kentucky",12.70%,12.7
"Cumberland County, Maine",2.30%,2.3
"Cumberland County, New Jersey",10.80%,10.8
"Cumberland County, North Carolina",5.50%,5.5
"Cumberland County, Pennsylvania",4.10%,4.1
"Cumberland County, Tennessee",6.80%,6.8
"Cumberland County, Virginia",8.10%,8.1
"Cuming County, Nebraska",4.20%,4.2
"Currituck County, North Carolina",5.10%,5.1
"Curry County, New Mexico",11.30%,11.3
"Curry County, Oregon",6.20%,6.2
"Custer County, Colorado",2.50%,2.5
"Custer County, Idaho",6.30%,6.3
"Custer County, Montana",4.10%,4.1
"Custer County, Nebraska",3.60%,3.6
"Custer County, Oklahoma",7.10%,7.1
"Custer County, South Dakota",3.40%,3.4
"Cuyahoga County, Ohio",6.40%,6.4
"Dade County, Georgia",9.50%,9.5
"Dade County, Missouri",7.90%,7.9
"Daggett County, Utah",6.50%,6.5
"Dakota County, Minnesota",2.60%,2.6
"Dakota County, Nebraska",9.40%,9.4
"Dale County, Alabama",9.80%,9.8
"Dallam County, Texas",3.20%,3.2
"Dallas County, Alabama",11.20%,11.2
"Dallas County, Arkansas",7.70%,7.7
"Dallas County, Iowa",2.10%,2.1
"Dallas County, Missouri",6.90%,6.9
"Dallas County, Texas",8.60%,8.6
"Dane County, Wisconsin",2.40%,2.4
"Daniels County, Montana",2.90%,2.9
"Danville city, Virginia",10.70%,10.7
"Dare County, North Carolina",3.80%,3.8
"Darke County, Ohio",7%,7
"Darlington County, South Carolina",9.60%,9.6
"Dauphin County, Pennsylvania",5.50%,5.5
"Davidson County, North Carolina",9.40%,9.4
"Davidson County, Tennessee",5.90%,5.9
"Davie County, North Carolina",7.10%,7.1
"Daviess County, Indiana",8.50%,8.5
"Daviess County, Kentucky",6%,6
"Daviess County, Missouri",6.40%,6.4
"Davis County, Iowa",4.40%,4.4
"Davis County, Utah",2.90%,2.9
"Davison County, South Dakota",5.80%,5.8
"Dawes County, Nebraska",3.30%,3.3
"Dawson County, Georgia",8.60%,8.6
"Dawson County, Montana",3.40%,3.4
"Dawson County, Nebraska",7.70%,7.7
"Dawson County, Texas",15.30%,15.3
"Day County, South Dakota",4.90%,4.9
"De Baca County, New Mexico",7.90%,7.9
"De Soto Parish, Louisiana",11.90%,11.9
"De Witt County, Illinois",4.30%,4.3
"Deaf Smith County, Texas",11.50%,11.5
"Dearborn County, Indiana",6.50%,6.5
"Decatur County, Georgia",10.50%,10.5
"Decatur County, Indiana",5.70%,5.7
"Decatur County, Iowa",6.50%,6.5
"Decatur County, Kansas",4.80%,4.8
"Decatur County, Tennessee",9.80%,9.8
"Deer Lodge County, Montana",6.40%,6.4
"Defiance County, Ohio",5.60%,5.6
"DeKalb County, Alabama",11.10%,11.1
"DeKalb County, Georgia",4.80%,4.8
"DeKalb County, Illinois",3.80%,3.8
"DeKalb County, Indiana",6.40%,6.4
"DeKalb County, Missouri",6.50%,6.5
"DeKalb County, Tennessee",12%,12
"Del Norte County, California",12%,12
"Delaware County, Indiana",7.50%,7.5
"Delaware County, Iowa",5.60%,5.6
"Delaware County, New York",7%,7
"Delaware County, Ohio",2%,2
"Delaware County, Oklahoma",10.10%,10.1
"Delaware County, Pennsylvania",4.30%,4.3
"Delta County, Colorado",7%,7
"Delta County, Michigan",6.50%,6.5
"Delta County, Texas",6.10%,6.1
"Denali Borough, Alaska",2.20%,2.2
"Dent County, Missouri",10.50%,10.5
"Denton County, Texas",3.60%,3.6
"Denver County, Colorado",4.90%,4.9
"Des Moines County, Iowa",5.50%,5.5
"Deschutes County, Oregon",3.80%,3.8
"Desha County, Arkansas",11.30%,11.3
"DeSoto County, Florida",14.20%,14.2
"DeSoto County, Mississippi",5.80%,5.8
"Deuel County, Nebraska",3.90%,3.9
"Deuel County, South Dakota",4.80%,4.8
"Dewey County, Oklahoma",5.90%,5.9
"Dewey County, South Dakota",11.90%,11.9
"DeWitt County, Texas",9.30%,9.3
"Dickens County, Texas",8.60%,8.6
"Dickenson County, Virginia",11.50%,11.5
"Dickey County, North Dakota",4.70%,4.7
"Dickinson County, Iowa",1.90%,1.9
"Dickinson County, Kansas",4.40%,4.4
"Dickinson County, Michigan",3.50%,3.5
"Dickson County, Tennessee",7.80%,7.8
"Dillingham Census Area, Alaska",7.80%,7.8
"Dillon County, South Carolina",15.20%,15.2
"Dimmit County, Texas",7.80%,7.8
"Dinwiddie County, Virginia",7%,7
"District of Columbia, District of Columbia",4.30%,4.3
"Divide County, North Dakota",5.30%,5.3
"Dixie County, Florida",14.30%,14.3
"Dixon County, Nebraska",6.20%,6.2
"Doddridge County, West Virginia",12.90%,12.9
"Dodge County, Georgia",9.90%,9.9
"Dodge County, Minnesota",3%,3
"Dodge County, Nebraska",6.10%,6.1
"Dodge County, Wisconsin",5.40%,5.4
"Dolores County, Colorado",2.80%,2.8
"Doña Ana County, New Mexico",8.20%,8.2
"Doniphan County, Kansas",6%,6
"Donley County, Texas",11.70%,11.7
"Dooly County, Georgia",12.20%,12.2
"Door County, Wisconsin",3.10%,3.1
"Dorado Municipio, Puerto Rico",6.40%,6.4
"Dorchester County, Maryland",8.80%,8.8
"Dorchester County, South Carolina",6.50%,6.5
"Dougherty County, Georgia",11.70%,11.7
"Douglas County, Colorado",1.20%,1.2
"Douglas County, Georgia",6.50%,6.5
"Douglas County, Illinois",4.90%,4.9
"Douglas County, Kansas",2.40%,2.4
"Douglas County, Minnesota",2.90%,2.9
"Douglas County, Missouri",11.80%,11.8
"Douglas County, Nebraska",4.10%,4.1
"Douglas County, Nevada",4.40%,4.4
"Douglas County, Oregon",6.20%,6.2
"Douglas County, South Dakota",5.20%,5.2
"Douglas County, Washington",8.20%,8.2
"Douglas County, Wisconsin",4.40%,4.4
"Drew County, Arkansas",9.50%,9.5
"Dubois County, Indiana",5.60%,5.6
"Dubuque County, Iowa",4.10%,4.1
"Duchesne County, Utah",8.70%,8.7
"Dukes County, Massachusetts",3%,3
"Dundy County, Nebraska",4.20%,4.2
"Dunklin County, Missouri",13%,13
"Dunn County, North Dakota",4.10%,4.1
"Dunn County, Wisconsin",4.30%,4.3
"DuPage County, Illinois",3.20%,3.2
"Duplin County, North Carolina",11.20%,11.2
"Durham County, North Carolina",4.40%,4.4
"Dutchess County, New York",5.50%,5.5
"Duval County, Florida",6.10%,6.1
"Duval County, Texas",12.90%,12.9
"Dyer County, Tennessee",7.60%,7.6
"Eagle County, Colorado",3.50%,3.5
"Early County, Georgia",14.60%,14.6
"East Baton Rouge Parish, Louisiana",6.10%,6.1
"East Carroll Parish, Louisiana",25.70%,25.7
"East Feliciana Parish, Louisiana",12.80%,12.8
"Eastland County, Texas",9.30%,9.3
"Eaton County, Michigan",3.50%,3.5
"Eau Claire County, Wisconsin",2.30%,2.3
"Echols County, Georgia",13.30%,13.3
"Ector County, Texas",13%,13
"Eddy County, New Mexico",9.50%,9.5
"Eddy County, North Dakota",4.40%,4.4
"Edgar County, Illinois",8.70%,8.7
"Edgecombe County, North Carolina",9.50%,9.5
"Edgefield County, South Carolina",12.20%,12.2
"Edmonson County, Kentucky",10.30%,10.3
"Edmunds County, South Dakota",2.60%,2.6
"Edwards County, Illinois",6.70%,6.7
"Edwards County, Kansas",7%,7
"Edwards County, Texas",10%,10
"Effingham County, Georgia",7.70%,7.7
"Effingham County, Illinois",4%,4
"El Dorado County, California",3.20%,3.2
"El Paso County, Colorado",3.30%,3.3
"El Paso County, Texas",8.30%,8.3
"Elbert County, Colorado",1.90%,1.9
"Elbert County, Georgia",13.30%,13.3
"Elk County, Kansas",9.10%,9.1
"Elk County, Pennsylvania",5%,5
"Elkhart County, Indiana",9.40%,9.4
"Elko County, Nevada",6.40%,6.4
"Elliott County, Kentucky",12.40%,12.4
"Ellis County, Kansas",3.30%,3.3
"Ellis County, Oklahoma",8%,8
"Ellis County, Texas",6.50%,6.5
"Ellsworth County, Kansas",6.30%,6.3
"Elmore County, Alabama",8.10%,8.1
"Elmore County, Idaho",6.20%,6.2
"Emanuel County, Georgia",14.10%,14.1
"Emery County, Utah",4.60%,4.6
"Emmet County, Iowa",8.60%,8.6
"Emmet County, Michigan",3.50%,3.5
"Emmons County, North Dakota",4.20%,4.2
"Emporia city, Virginia",14.70%,14.7
"Erath County, Texas",6.60%,6.6
"Erie County, New York",4.80%,4.8
"Erie County, Ohio",6.40%,6.4
"Erie County, Pennsylvania",5.20%,5.2
"Escambia County, Alabama",13.20%,13.2
"Escambia County, Florida",6.80%,6.8
"Esmeralda County, Nevada",17.90%,17.9
"Essex County, Massachusetts",4.80%,4.8
"Essex County, New Jersey",6.10%,6.1
"Essex County, New York",6.20%,6.2
"Essex County, Vermont",8.40%,8.4
"Essex County, Virginia",11.60%,11.6
"Estill County, Kentucky",12.70%,12.7
"Etowah County, Alabama",9.90%,9.9
"Eureka County, Nevada",2.50%,2.5
"Evangeline Parish, Louisiana",13.30%,13.3
"Evans County, Georgia",14.10%,14.1
"Fairbanks North Star Borough, Alaska",3.50%,3.5
"Fairfax city, Virginia",4.10%,4.1
"Fairfax County, Virginia",3%,3
"Fairfield County, Ohio",4.60%,4.6
"Fairfield County, South Carolina",12.20%,12.2
"Fajardo Municipio, Puerto Rico",5.70%,5.7
"Fall River County, South Dakota",5.30%,5.3
"Fallon County, Montana",2.20%,2.2
"Falls Church city, Virginia",1.10%,1.1
"Falls County, Texas",11.50%,11.5
"Fannin County, Georgia",7.70%,7.7
"Fannin County, Texas",8.60%,8.6
"Faribault County, Minnesota",4.80%,4.8
"Faulk County, South Dakota",4.30%,4.3
"Faulkner County, Arkansas",4%,4
"Fauquier County, Virginia",4.80%,4.8
"Fayette County, Alabama",9.80%,9.8
"Fayette County, Georgia",2.90%,2.9
"Fayette County, Illinois",9.30%,9.3
"Fayette County, Indiana",10.10%,10.1
"Fayette County, Iowa",4.60%,4.6
"Fayette County, Kentucky",4.60%,4.6
"Fayette County, Ohio",11.70%,11.7
"Fayette County, Pennsylvania",7.70%,7.7
"Fayette County, Tennessee",7.20%,7.2
"Fayette County, Texas",5.10%,5.1
"Fayette County, West Virginia",10.30%,10.3
"Fentress County, Tennessee",7.70%,7.7
"Fergus County, Montana",3.50%,3.5
"Ferry County, Washington",6.50%,6.5
"Fillmore County, Minnesota",4.30%,4.3
"Fillmore County, Nebraska",3.50%,3.5
"Finney County, Kansas",10.80%,10.8
"Fisher County, Texas",6.10%,6.1
"Flagler County, Florida",4.80%,4.8
"Flathead County, Montana",3.50%,3.5
"Fleming County, Kentucky",10.70%,10.7
"Florence County, South Carolina",9.30%,9.3
"Florence County, Wisconsin",6.40%,6.4
"Florida Municipio, Puerto Rico",5.60%,5.6
"Floyd County, Georgia",9.70%,9.7
"Floyd County, Indiana",5.40%,5.4
"Floyd County, Iowa",3.20%,3.2
"Floyd County, Kentucky",11.90%,11.9
"Floyd County, Texas",15.50%,15.5
"Floyd County, Virginia",5.60%,5.6
"Fluvanna County, Virginia",5%,5
"Foard County, Texas",11.60%,11.6
"Fond du Lac County, Wisconsin",5.50%,5.5
"Ford County, Illinois",6%,6
"Ford County, Kansas",9.30%,9.3
"Forest County, Pennsylvania",10.60%,10.6
"Forest County, Wisconsin",7.80%,7.8
"Forrest County, Mississippi",7.70%,7.7
"Forsyth County, Georgia",3.30%,3.3
"Forsyth County, North Carolina",6.50%,6.5
"Fort Bend County, Texas",3.90%,3.9
"Foster County, North Dakota",3.40%,3.4
"Fountain County, Indiana",7.60%,7.6
"Franklin city, Virginia",11.80%,11.8
"Franklin County, Alabama",13.80%,13.8
"Franklin County, Arkansas",9.20%,9.2
"Franklin County, Florida",13.60%,13.6
"Franklin County, Georgia",13.50%,13.5
"Franklin County, Idaho",7.30%,7.3
"Franklin County, Illinois",7.80%,7.8
"Franklin County, Indiana",7.20%,7.2
"Franklin County, Iowa",4%,4
"Franklin County, Kansas",4.90%,4.9
"Franklin County, Kentucky",4.40%,4.4
"Franklin County, Maine",5.20%,5.2
"Franklin County, Massachusetts",4.50%,4.5
"Franklin County, Mississippi",8.10%,8.1
"Franklin County, Missouri",6.80%,6.8
"Franklin County, Nebraska",4.70%,4.7
"Franklin County, New York",8.90%,8.9
"Franklin County, North Carolina",7.50%,7.5
"Franklin County, Ohio",5.40%,5.4
"Franklin County, Pennsylvania",7%,7
"Franklin County, Tennessee",6.30%,6.3
"Franklin County, Texas",5%,5
"Franklin County, Vermont",5.20%,5.2
"Franklin County, Virginia",6.60%,6.6
"Franklin County, Washington",9.30%,9.3
"Franklin Parish, Louisiana",13.70%,13.7
"Frederick County, Maryland",3.60%,3.6
"Frederick County, Virginia",7.10%,7.1
"Fredericksburg city, Virginia",3.70%,3.7
"Freeborn County, Minnesota",6.80%,6.8
"Freestone County, Texas",9.80%,9.8
"Fremont County, Colorado",7.50%,7.5
"Fremont County, Idaho",6.50%,6.5
"Fremont County, Iowa",3.70%,3.7
"Fremont County, Wyoming",5.80%,5.8
"Fresno County, California",9.60%,9.6
"Frio County, Texas",17.90%,17.9
"Frontier County, Nebraska",4%,4
"Fulton County, Arkansas",8.30%,8.3
"Fulton County, Georgia",4.10%,4.1
"Fulton County, Illinois",8.40%,8.4
"Fulton County, Indiana",9.20%,9.2
"Fulton County, Kentucky",13%,13
"Fulton County, New York",8.90%,8.9
"Fulton County, Ohio",4.90%,4.9
"Fulton County, Pennsylvania",7.30%,7.3
"Furnas County, Nebraska",6.60%,6.6
"Gadsden County, Florida",13.20%,13.2
"Gage County, Nebraska",5.90%,5.9
"Gaines County, Texas",10.90%,10.9
"Galax city, Virginia",12.50%,12.5
"Gallatin County, Illinois",9.40%,9.4
"Gallatin County, Kentucky",9.90%,9.9
"Gallatin County, Montana",1.80%,1.8
"Gallia County, Ohio",9%,9
"Galveston County, Texas",6%,6
"Garden County, Nebraska",5.20%,5.2
"Garfield County, Colorado",5.40%,5.4
"Garfield County, Montana",2%,2
"Garfield County, Nebraska",3.60%,3.6
"Garfield County, Oklahoma",8.60%,8.6
"Garfield County, Utah",2.70%,2.7
"Garfield County, Washington",5.50%,5.5
"Garland County, Arkansas",6.90%,6.9
"Garrard County, Kentucky",10.20%,10.2
"Garrett County, Maryland",6.50%,6.5
"Garvin County, Oklahoma",8%,8
"Garza County, Texas",14.50%,14.5
"Gasconade County, Missouri",6.90%,6.9
"Gaston County, North Carolina",8.60%,8.6
"Gates County, North Carolina",6.30%,6.3
"Geary County, Kansas",3.60%,3.6
"Geauga County, Ohio",2.90%,2.9
"Gem County, Idaho",7%,7
"Genesee County, Michigan",6.70%,6.7
"Genesee County, New York",4.80%,4.8
"Geneva County, Alabama",10.30%,10.3
"Gentry County, Missouri",6.80%,6.8
"George County, Mississippi",9.80%,9.8
"Georgetown County, South Carolina",6.70%,6.7
"Gibson County, Indiana",7.10%,7.1
"Gibson County, Tennessee",8.10%,8.1
"Gila County, Arizona",10.20%,10.2
"Gilchrist County, Florida",9.60%,9.6
"Giles County, Tennessee",8%,8
"Giles County, Virginia",6.30%,6.3
"Gillespie County, Texas",5.30%,5.3
"Gilliam County, Oregon",8.70%,8.7
"Gilmer County, Georgia",7.40%,7.4
"Gilmer County, West Virginia",12.30%,12.3
"Gilpin County, Colorado",5.20%,5.2
"Glacier County, Montana",8.70%,8.7
"Glades County, Florida",15.30%,15.3
"Gladwin County, Michigan",6.50%,6.5
"Glascock County, Georgia",10%,10
"Glasscock County, Texas",4.10%,4.1
"Glenn County, California",9%,9
"Gloucester County, New Jersey",4.20%,4.2
"Gloucester County, Virginia",7.50%,7.5
"Glynn County, Georgia",8.10%,8.1
"Gogebic County, Michigan",2.90%,2.9
"Golden Valley County, Montana",5.40%,5.4
"Golden Valley County, North Dakota",3.40%,3.4
"Goliad County, Texas",6.70%,6.7
"Gonzales County, Texas",13.30%,13.3
"Goochland County, Virginia",3.80%,3.8
"Goodhue County, Minnesota",4%,4
"Gooding County, Idaho",13.90%,13.9
"Gordon County, Georgia",13.50%,13.5
"Goshen County, Wyoming",4.20%,4.2
"Gosper County, Nebraska",5.90%,5.9
"Gove County, Kansas",4%,4
"Grady County, Georgia",11.70%,11.7
"Grady County, Oklahoma",7%,7
"Grafton County, New Hampshire",4.80%,4.8
"Graham County, Arizona",11.10%,11.1
"Graham County, Kansas",3.50%,3.5
"Graham County, North Carolina",11.70%,11.7
"Grainger County, Tennessee",11.30%,11.3
"Grand County, Colorado",3.60%,3.6
"Grand County, Utah",3.60%,3.6
"Grand Forks County, North Dakota",2.90%,2.9
"Grand Isle County, Vermont",3%,3
"Grand Traverse County, Michigan",3.60%,3.6
"Granite County, Montana",8.30%,8.3
"Grant County, Arkansas",5.10%,5.1
"Grant County, Indiana",7.90%,7.9
"Grant County, Kansas",1.60%,1.6
"Grant County, Kentucky",8.20%,8.2
"Grant County, Minnesota",5.20%,5.2
"Grant County, Nebraska",6.50%,6.5
"Grant County, New Mexico",7.90%,7.9
"Grant County, North Dakota",3.20%,3.2
"Grant County, Oklahoma",4.70%,4.7
"Grant County, Oregon",8.50%,8.5
"Grant County, South Dakota",5%,5
"Grant County, Washington",8.60%,8.6
"Grant County, West Virginia",7%,7
"Grant County, Wisconsin",3.70%,3.7
"Grant Parish, Louisiana",13.50%,13.5
"Granville County, North Carolina",8.20%,8.2
"Gratiot County, Michigan",5.70%,5.7
"Graves County, Kentucky",6.60%,6.6
"Gray County, Kansas",5.50%,5.5
"Gray County, Texas",9.80%,9.8
"Grays Harbor County, Washington",6.50%,6.5
"Grayson County, Kentucky",10.10%,10.1
"Grayson County, Texas",5.70%,5.7
"Grayson County, Virginia",11.20%,11.2
"Greater Bridgeport Planning Region, Connecticut",5.20%,5.2
"Greeley County, Kansas",2.10%,2.1
"Greeley County, Nebraska",3.50%,3.5
"Green County, Kentucky",7.30%,7.3
"Green County, Wisconsin",4.50%,4.5
"Green Lake County, Wisconsin",6%,6
"Greenbrier County, West Virginia",8.20%,8.2
"Greene County, Alabama",15.30%,15.3
"Greene County, Arkansas",8.60%,8.6
"Greene County, Georgia",8.30%,8.3
"Greene County, Illinois",7.20%,7.2
"Greene County, Indiana",9%,9
"Greene County, Iowa",5%,5
"Greene County, Mississippi",12.70%,12.7
"Greene County, Missouri",4.60%,4.6
"Greene County, New York",7.50%,7.5
"Greene County, North Carolina",13.60%,13.6
"Greene County, Ohio",4.20%,4.2
"Greene County, Pennsylvania",8%,8
"Greene County, Tennessee",8.30%,8.3
"Greene County, Virginia",7.60%,7.6
"Greenlee County, Arizona",9.30%,9.3
"Greensville County, Virginia",12.40%,12.4
"Greenup County, Kentucky",5.70%,5.7
"Greenville County, South Carolina",6.60%,6.6
"Greenwood County, Kansas",5.60%,5.6
"Greenwood County, South Carolina",9.20%,9.2
"Greer County, Oklahoma",15.70%,15.7
"Gregg County, Texas",7.90%,7.9
"Gregory County, South Dakota",7.20%,7.2
"Grenada County, Mississippi",13.60%,13.6
"Griggs County, North Dakota",3.40%,3.4
"Grimes County, Texas",12.20%,12.2
"Grundy County, Illinois",4%,4
"Grundy County, Iowa",3%,3
"Grundy County, Missouri",8.30%,8.3
"Grundy County, Tennessee",12.50%,12.5
"Guadalupe County, New Mexico",9.20%,9.2
"Guadalupe County, Texas",6.40%,6.4
"Guánica Municipio, Puerto Rico",13.50%,13.5
"Guayama Municipio, Puerto Rico",8.80%,8.8
"Guayanilla Municipio, Puerto Rico",8.60%,8.6
"Guaynabo Municipio, Puerto Rico",4.90%,4.9
"Guernsey County, Ohio",9.30%,9.3
"Guilford County, North Carolina",6%,6
"Gulf County, Florida",10.30%,10.3
"Gunnison County, Colorado",0.90%,0.9
"Gurabo Municipio, Puerto Rico",6.50%,6.5
"Guthrie County, Iowa",4.30%,4.3
"Gwinnett County, Georgia",5.60%,5.6
"Haakon County, South Dakota",3.40%,3.4
"Habersham County, Georgia",10.10%,10.1
"Haines Borough, Alaska",1.50%,1.5
"Hale County, Alabama",14.30%,14.3
"Hale County, Texas",11.40%,11.4
"Halifax County, North Carolina",12.80%,12.8
"Halifax County, Virginia",10.60%,10.6
"Hall County, Georgia",8.10%,8.1
"Hall County, Nebraska",7.20%,7.2
"Hall County, Texas",11.50%,11.5
"Hamblen County, Tennessee",7.60%,7.6
"Hamilton County, Florida",16.30%,16.3
"Hamilton County, Illinois",7.70%,7.7
"Hamilton County, Indiana",1.90%,1.9
"Hamilton County, Iowa",4%,4
"Hamilton County, Kansas",7.90%,7.9
"Hamilton County, Nebraska",1.90%,1.9
"Hamilton County, New York",11.60%,11.6
"Hamilton County, Ohio",5.50%,5.5
"Hamilton County, Tennessee",5.70%,5.7
"Hamilton County, Texas",6.60%,6.6
"Hamlin County, South Dakota",2.30%,2.3
"Hampden County, Massachusetts",8%,8
"Hampshire County, Massachusetts",3.10%,3.1
"Hampshire County, West Virginia",8.20%,8.2
"Hampton city, Virginia",4.90%,4.9
"Hampton County, South Carolina",12%,12
"Hancock County, Georgia",12.50%,12.5
"Hancock County, Illinois",4.20%,4.2
"Hancock County, Indiana",5.10%,5.1
"Hancock County, Iowa",7.20%,7.2
"Hancock County, Kentucky",9%,9
"Hancock County, Maine",3.50%,3.5
"Hancock County, Mississippi",7.10%,7.1
"Hancock County, Ohio",5%,5
"Hancock County, Tennessee",11%,11
"Hancock County, West Virginia",6.30%,6.3
"Hand County, South Dakota",2.30%,2.3
"Hanover County, Virginia",3.60%,3.6
"Hansford County, Texas",15.20%,15.2
"Hanson County, South Dakota",1.80%,1.8
"Haralson County, Georgia",11.30%,11.3
"Hardee County, Florida",9.80%,9.8
"Hardeman County, Tennessee",14.80%,14.8
"Hardeman County, Texas",9.90%,9.9
"Hardin County, Illinois",7%,7
"Hardin County, Iowa",4.50%,4.5
"Hardin County, Kentucky",5.50%,5.5
"Hardin County, Ohio",5.10%,5.1
"Hardin County, Tennessee",10%,10
"Hardin County, Texas",8.10%,8.1
"Harding County, New Mexico",9.60%,9.6
"Harding County, South Dakota",2.10%,2.1
"Hardy County, West Virginia",8.80%,8.8
"Harford County, Maryland",4.10%,4.1
"Harlan County, Kentucky",14.20%,14.2
"Harlan County, Nebraska",4%,4
"Harmon County, Oklahoma",8.90%,8.9
"Harnett County, North Carolina",7.30%,7.3
"Harney County, Oregon",5.80%,5.8
"Harper County, Kansas",6.20%,6.2
"Harper County, Oklahoma",4%,4
"Harris County, Georgia",4.70%,4.7
"Harris County, Texas",7.50%,7.5
"Harrison County, Indiana",7.80%,7.8
"Harrison County, Iowa",5.10%,5.1
"Harrison County, Kentucky",9.50%,9.5
"Harrison County, Mississippi",7.70%,7.7
"Harrison County, Missouri",7.30%,7.3
"Harrison County, Ohio",7.80%,7.8
"Harrison County, Texas",7.20%,7.2
"Harrison County, West Virginia",9.20%,9.2
"Harrisonburg city, Virginia",7.20%,7.2
"Hart County, Georgia",11.90%,11.9
"Hart County, Kentucky",12.80%,12.8
"Hartley County, Texas",8.10%,8.1
"Harvey County, Kansas",4.50%,4.5
"Haskell County, Kansas",6.60%,6.6
"Haskell County, Oklahoma",11.30%,11.3
"Haskell County, Texas",12.20%,12.2
"Hatillo Municipio, Puerto Rico",6.80%,6.8
"Hawaii County, Hawaii",4.80%,4.8
"Hawkins County, Tennessee",8.90%,8.9
"Hayes County, Nebraska",5.40%,5.4
"Hays County, Texas",4.70%,4.7
"Haywood County, North Carolina",6.40%,6.4
"Haywood County, Tennessee",11.60%,11.6
"Heard County, Georgia",11.40%,11.4
"Hemphill County, Texas",4.20%,4.2
"Hempstead County, Arkansas",8.50%,8.5
"Henderson County, Illinois",5.80%,5.8
"Henderson County, Kentucky",7.70%,7.7
"Henderson County, North Carolina",5%,5
"Henderson County, Tennessee",8.10%,8.1
"Henderson County, Texas",8.70%,8.7
"Hendricks County, Indiana",5.10%,5.1
"Hendry County, Florida",13.80%,13.8
"Hennepin County, Minnesota",2.90%,2.9
"Henrico County, Virginia",4.40%,4.4
"Henry County, Alabama",12.70%,12.7
"Henry County, Georgia",5%,5
"Henry County, Illinois",5.30%,5.3
"Henry County, Indiana",6.40%,6.4
"Henry County, Iowa",5.50%,5.5
"Henry County, Kentucky",9.90%,9.9
"Henry County, Missouri",8.10%,8.1
"Henry County, Ohio",4.60%,4.6
"Henry County, Tennessee",7.60%,7.6
"Henry County, Virginia",11.10%,11.1
"Herkimer County, New York",5.70%,5.7
"Hernando County, Florida",7.60%,7.6
"Hertford County, North Carolina",11.40%,11.4
"Hettinger County, North Dakota",5.90%,5.9
"Hickman County, Kentucky",6.30%,6.3
"Hickman County, Tennessee",11.50%,11.5
"Hickory County, Missouri",7.70%,7.7
"Hidalgo County, New Mexico",10.10%,10.1
"Hidalgo County, Texas",13%,13
"Highland County, Ohio",10.20%,10.2
"Highland County, Virginia",5.80%,5.8
"Highlands County, Florida",8.40%,8.4
"Hill County, Montana",7.70%,7.7
"Hill County, Texas",8.70%,8.7
"Hillsborough County, Florida",6.10%,6.1
"Hillsborough County, New Hampshire",4.40%,4.4
"Hillsdale County, Michigan",6.10%,6.1
"Hinds County, Mississippi",7.40%,7.4
"Hinsdale County, Colorado",1.50%,1.5
"Hitchcock County, Nebraska",5.10%,5.1
"Hocking County, Ohio",7.70%,7.7
"Hockley County, Texas",10.70%,10.7
"Hodgeman County, Kansas",3.80%,3.8
"Hoke County, North Carolina",6.60%,6.6
"Holmes County, Florida",12.80%,12.8
"Holmes County, Mississippi",12.60%,12.6
"Holmes County, Ohio",6.80%,6.8
