Geographic Area,Nursing facilities/Skilled-nursing facilities ,Total,Nurs Hom
"Cleveland County, Arkansas",69,"7,550",0.91
"Cleveland County, North Carolina",396,"99,519",0.4
"Cleveland County, Oklahoma","1,649","295,528",0.56
"Clinch County, Georgia",76,"6,749",1.13
"Clinton County, Illinois",252,"36,899",0.68
"Clinton County, Indiana",476,"33,190",1.43
"Clinton County, Iowa",328,"46,460",0.71
"Clinton County, Kentucky",45,"9,253",0.49
"Clinton County, Michigan",437,"79,128",0.55
"Clinton County, Missouri",441,"21,184",2.08
"Clinton County, New York",459,"79,843",0.57
"Clinton County, Ohio",363,"42,018",0.86
"Clinton County, Pennsylvania",318,"37,450",0.85
"Cloud County, Kansas",133,"9,032",1.47
"Coahoma County, Mississippi",113,"21,390",0.53
"Coal County, Oklahoma",46,"5,266",0.87
"Coamo Municipio, Puerto Rico",160,"34,668",0.46
"Cobb County, Georgia","2,226","766,149",0.29
"Cochise County, Arizona",259,"125,447",0.21
"Cochran County, Texas",0,"2,547",0
"Cocke County, Tennessee",106,"35,999",0.29
"Coconino County, Arizona",122,"145,101",0.08
"Codington County, South Dakota",334,"28,325",1.18
"Coffee County, Alabama",316,"53,465",0.59
"Coffee County, Georgia",155,"43,092",0.36
"Coffee County, Tennessee",440,"57,889",0.76
"Coffey County, Kansas",80,"8,360",0.96
"Coke County, Texas",58,"3,285",1.77
"Colbert County, Alabama",275,"57,227",0.48
"Cole County, Missouri",492,"77,279",0.64
"Coleman County, Texas",28,"7,684",0.36
"Coles County, Illinois",609,"46,863",1.3
"Colfax County, Nebraska",44,"10,582",0.42
"Colfax County, New Mexico",92,"12,387",0.74
"Colleton County, South Carolina",339,"38,604",0.88
"Collier County, Florida","1,884","375,752",0.5
"Collin County, Texas","2,455","1,064,465",0.23
"Collingsworth County, Texas",14,"2,652",0.53
"Colonial Heights city, Virginia",179,"18,170",0.99
"Colorado County, Texas",276,"20,557",1.34
"Colquitt County, Georgia",282,"45,898",0.61
"Columbia County, Arkansas",211,"22,801",0.93
"Columbia County, Florida",600,"69,698",0.86
"Columbia County, Georgia",777,"156,010",0.5
"Columbia County, New York",515,"61,570",0.84
"Columbia County, Oregon",46,"52,589",0.09
"Columbia County, Pennsylvania",469,"64,727",0.72
"Columbia County, Washington",35,"3,952",0.89
"Columbia County, Wisconsin",449,"58,490",0.77
"Columbiana County, Ohio",890,"101,877",0.87
"Columbus County, North Carolina",249,"50,623",0.49
"Colusa County, California",94,"21,839",0.43
"Comal County, Texas",820,"161,501",0.51
"Comanche County, Kansas",46,"1,689",2.72
"Comanche County, Oklahoma",675,"121,125",0.56
"Comanche County, Texas",92,"13,594",0.68
"Comerío Municipio, Puerto Rico",58,"18,883",0.31
"Concho County, Texas",44,"3,303",1.33
"Concordia Parish, Louisiana",105,"18,687",0.56
"Conecuh County, Alabama",67,"11,597",0.58
"Conejos County, Colorado",43,"7,461",0.58
"Contra Costa County, California","3,199","1,165,927",0.27
"Converse County, Wyoming",59,"13,751",0.43
"Conway County, Arkansas",94,"20,715",0.45
"Cook County, Georgia",135,"17,229",0.78
"Cook County, Illinois","31,515","5,275,541",0.6
"Cook County, Minnesota",36,"5,600",0.64
"Cooke County, Texas",245,"41,668",0.59
"Cooper County, Missouri",230,"17,103",1.34
"Coos County, New Hampshire",504,"31,268",1.61
"Coos County, Oregon",221,"64,929",0.34
"Coosa County, Alabama",56,"10,387",0.54
"Copiah County, Mississippi",99,"28,368",0.35
"Copper River Census Area, Alaska",0,"2,617",0
"Corozal Municipio, Puerto Rico",15,"34,571",0.04
"Corson County, South Dakota",0,"3,902",0
"Cortland County, New York",393,"46,809",0.84
"Coryell County, Texas",300,"83,093",0.36
"Coshocton County, Ohio",189,"36,612",0.52
"Costilla County, Colorado",0,"3,499",0
"Cottle County, Texas",0,"1,380",0
"Cotton County, Oklahoma",32,"5,527",0.58
"Cottonwood County, Minnesota",206,"11,517",1.79
"Covington city, Virginia",0,"5,737",0
"Covington County, Alabama",409,"37,570",1.09
"Covington County, Mississippi",280,"18,340",1.53
"Coweta County, Georgia",274,"146,158",0.19
"Cowley County, Kansas",380,"34,549",1.1
"Cowlitz County, Washington",375,"110,730",0.34
"Craig County, Oklahoma",74,"14,107",0.52
"Craig County, Virginia",0,"4,892",0
"Craighead County, Arkansas",835,"111,231",0.75
"Crane County, Texas",73,"4,675",1.56
"Craven County, North Carolina",652,"100,720",0.65
"Crawford County, Arkansas",451,"60,133",0.75
"Crawford County, Georgia",90,"12,130",0.74
"Crawford County, Illinois",126,"18,679",0.67
"Crawford County, Indiana",57,"10,526",0.54
"Crawford County, Iowa",153,"16,525",0.93
"Crawford County, Kansas",418,"38,972",1.07
"Crawford County, Michigan",118,"12,988",0.91
"Crawford County, Missouri",234,"23,056",1.01
"Crawford County, Ohio",334,"42,025",0.79
"Crawford County, Pennsylvania",767,"83,938",0.91
"Crawford County, Wisconsin",126,"16,113",0.78
"Creek County, Oklahoma",416,"71,754",0.58
"Crenshaw County, Alabama",134,"13,194",1.02
"Crisp County, Georgia",116,"20,128",0.58
"Crittenden County, Arkansas",319,"48,163",0.66
"Crittenden County, Kentucky",72,"8,990",0.8
"Crockett County, Tennessee",171,"13,911",1.23
"Crockett County, Texas",39,"3,098",1.26
"Crook County, Oregon",42,"24,738",0.17
"Crook County, Wyoming",22,"7,181",0.31
"Crosby County, Texas",49,"5,133",0.95
"Cross County, Arkansas",103,"16,833",0.61
"Crow Wing County, Minnesota",662,"66,123",1
"Crowley County, Colorado",33,"5,922",0.56
"Culberson County, Texas",0,"2,188",0
"Culebra Municipio, Puerto Rico",0,"1,792",0
"Cullman County, Alabama",625,"87,866",0.71
"Culpeper County, Virginia",367,"52,552",0.7
"Cumberland County, Illinois",88,"10,450",0.84
"Cumberland County, Kentucky",77,"5,888",1.31
"Cumberland County, Maine","2,489","303,069",0.82
"Cumberland County, New Jersey","1,069","154,152",0.69
"Cumberland County, North Carolina","1,233","334,728",0.37
"Cumberland County, Pennsylvania","1,830","259,469",0.71
"Cumberland County, Tennessee",340,"61,145",0.56
"Cumberland County, Virginia",0,"9,675",0
"Cuming County, Nebraska",73,"9,013",0.81
"Currituck County, North Carolina",56,"28,100",0.2
"Curry County, New Mexico",130,"48,430",0.27
"Curry County, Oregon",60,"23,446",0.26
"Custer County, Colorado",0,"4,704",0
"Custer County, Idaho",18,"4,275",0.42
"Custer County, Montana",128,"11,867",1.08
"Custer County, Nebraska",80,"10,545",0.76
"Custer County, Oklahoma",371,"28,513",1.3
"Custer County, South Dakota",77,"8,318",0.93
"Cuyahoga County, Ohio","10,147","1,264,817",0.8
"Dade County, Georgia",0,"16,251",0
"Dade County, Missouri",147,"7,569",1.94
"Daggett County, Utah",0,935,0
"Dakota County, Minnesota","2,170","439,882",0.49
"Dakota County, Nebraska",99,"21,582",0.46
"Dale County, Alabama",248,"49,326",0.5
"Dallam County, Texas",0,"7,115",0
"Dallas County, Alabama",262,"38,462",0.68
"Dallas County, Arkansas",81,"6,482",1.25
"Dallas County, Iowa",622,"99,678",0.62
"Dallas County, Missouri",154,"17,071",0.9
"Dallas County, Texas","6,889","2,613,539",0.26
"Dane County, Wisconsin","1,806","561,504",0.32
"Daniels County, Montana",22,"1,661",1.32
"Danville city, Virginia",616,"42,590",1.45
"Dare County, North Carolina",132,"36,915",0.36
"Darke County, Ohio",592,"51,881",1.14
"Darlington County, South Carolina",187,"62,905",0.3
"Dauphin County, Pennsylvania","1,543","286,401",0.54
"Davidson County, North Carolina",901,"168,930",0.53
"Davidson County, Tennessee","2,497","715,884",0.35
"Davie County, North Carolina",322,"42,712",0.75
"Daviess County, Indiana",414,"33,381",1.24
"Daviess County, Kentucky",694,"103,312",0.67
"Daviess County, Missouri",34,"8,430",0.4
"Davis County, Iowa",92,"9,110",1.01
"Davis County, Utah","1,048","362,679",0.29
"Davison County, South Dakota",259,"19,956",1.3
"Dawes County, Nebraska",63,"8,199",0.77
"Dawson County, Georgia",0,"26,798",0
"Dawson County, Montana",118,"8,940",1.32
"Dawson County, Nebraska",133,"24,111",0.55
"Dawson County, Texas",20,"12,456",0.16
"Day County, South Dakota",91,"5,449",1.67
"De Baca County, New Mexico",0,"1,698",0
"De Soto Parish, Louisiana",181,"26,812",0.68
"De Witt County, Illinois",136,"15,516",0.88
"Deaf Smith County, Texas",96,"18,583",0.52
"Dearborn County, Indiana",309,"50,679",0.61
"Decatur County, Georgia",188,"29,367",0.64
"Decatur County, Indiana",289,"26,472",1.09
"Decatur County, Iowa",85,"7,645",1.11
"Decatur County, Kansas",39,"2,764",1.41
"Decatur County, Tennessee",142,"11,435",1.24
"Deer Lodge County, Montana",28,"9,421",0.3
"Defiance County, Ohio",299,"38,286",0.78
"DeKalb County, Alabama",430,"71,608",0.6
"DeKalb County, Georgia","2,133","764,382",0.28
"DeKalb County, Illinois",778,"100,420",0.77
"DeKalb County, Indiana",318,"43,265",0.74
"DeKalb County, Missouri",170,"11,029",1.54
"DeKalb County, Tennessee",106,"20,080",0.53
"Del Norte County, California",100,"27,743",0.36
"Delaware County, Indiana","1,100","111,903",0.98
"Delaware County, Iowa",202,"17,488",1.16
"Delaware County, New York",385,"44,308",0.87
"Delaware County, Ohio",617,"214,124",0.29
"Delaware County, Oklahoma",314,"40,397",0.78
"Delaware County, Pennsylvania","3,332","576,830",0.58
"Delta County, Colorado",145,"31,196",0.46
"Delta County, Michigan",308,"36,903",0.83
"Delta County, Texas",59,"5,230",1.13
"Denali Borough, Alaska",0,"1,619",0
"Dent County, Missouri",120,"14,421",0.83
"Denton County, Texas","2,074","906,422",0.23
"Denver County, Colorado","2,478","715,522",0.35
"Des Moines County, Iowa",185,"38,910",0.48
"Deschutes County, Oregon",645,"198,253",0.33
"Desha County, Arkansas",41,"11,395",0.36
"DeSoto County, Florida",39,"33,976",0.11
"DeSoto County, Mississippi",383,"185,314",0.21
"Deuel County, Nebraska",0,"1,838",0
"Deuel County, South Dakota",50,"4,295",1.16
"Dewey County, Oklahoma",62,"4,484",1.38
"Dewey County, South Dakota",0,"5,239",0
"DeWitt County, Texas",244,"19,824",1.23
"Dickens County, Texas",0,"1,770",0
"Dickenson County, Virginia",84,"14,124",0.59
"Dickey County, North Dakota",56,"4,999",1.12
"Dickinson County, Iowa",260,"17,703",1.47
"Dickinson County, Kansas",244,"18,402",1.33
"Dickinson County, Michigan",156,"25,947",0.6
"Dickson County, Tennessee",105,"54,315",0.19
"Dillingham Census Area, Alaska",0,"4,857",0
"Dillon County, South Carolina",241,"28,292",0.85
"Dimmit County, Texas",46,"8,615",0.53
"Dinwiddie County, Virginia",141,"27,947",0.5
"District of Columbia, District of Columbia","2,727","689,545",0.4
"Divide County, North Dakota",45,"2,195",2.05
"Dixie County, Florida",53,"16,759",0.32
"Dixon County, Nebraska",63,"5,606",1.12
"Doddridge County, West Virginia",0,"7,808",0
"Dodge County, Georgia",193,"19,925",0.97
"Dodge County, Minnesota",85,"20,867",0.41
"Dodge County, Nebraska",295,"37,167",0.79
"Dodge County, Wisconsin",790,"89,396",0.88
"Dolores County, Colorado",0,"2,326",0
"Doña Ana County, New Mexico",367,"219,561",0.17
"Doniphan County, Kansas",58,"7,510",0.77
"Donley County, Texas",47,"3,258",1.44
"Dooly County, Georgia",87,"11,208",0.78
"Door County, Wisconsin",179,"30,066",0.6
"Dorado Municipio, Puerto Rico",62,"35,879",0.17
"Dorchester County, Maryland",187,"32,531",0.57
"Dorchester County, South Carolina",355,"161,540",0.22
"Dougherty County, Georgia",352,"85,790",0.41
"Douglas County, Colorado",839,"357,978",0.23
"Douglas County, Georgia",209,"144,237",0.14
"Douglas County, Illinois",193,"19,740",0.98
"Douglas County, Kansas",355,"118,785",0.3
"Douglas County, Minnesota",515,"39,006",1.32
"Douglas County, Missouri",77,"11,578",0.67
"Douglas County, Nebraska","2,175","584,526",0.37
"Douglas County, Nevada",51,"49,488",0.1
"Douglas County, Oregon",321,"111,201",0.29
"Douglas County, South Dakota",103,"2,835",3.63
"Douglas County, Washington",73,"42,938",0.17
"Douglas County, Wisconsin",305,"44,295",0.69
"Drew County, Arkansas",170,"17,350",0.98
"Dubois County, Indiana",453,"43,637",1.04
"Dubuque County, Iowa","1,168","99,266",1.18
"Duchesne County, Utah",75,"19,596",0.38
"Dukes County, Massachusetts",41,"20,600",0.2
"Dundy County, Nebraska",22,"1,654",1.33
"Dunklin County, Missouri",492,"28,283",1.74
"Dunn County, North Dakota",54,"4,095",1.32
"Dunn County, Wisconsin",209,"45,440",0.46
"DuPage County, Illinois","6,270","932,877",0.67
"Duplin County, North Carolina",271,"48,715",0.56
"Durham County, North Carolina","1,319","324,833",0.41
"Dutchess County, New York","2,399","295,911",0.81
"Duval County, Florida","6,051","995,567",0.61
"Duval County, Texas",10,"9,831",0.1
"Dyer County, Tennessee",275,"36,801",0.75
"Eagle County, Colorado",53,"55,731",0.1
"Early County, Georgia",74,"10,854",0.68
"East Baton Rouge Parish, Louisiana","2,111","456,781",0.46
"East Carroll Parish, Louisiana",52,"7,459",0.7
"East Feliciana Parish, Louisiana",363,"19,539",1.86
"Eastland County, Texas",147,"17,725",0.83
"Eaton County, Michigan",581,"109,175",0.53
"Eau Claire County, Wisconsin",785,"105,710",0.74
"Echols County, Georgia",0,"3,697",0
"Ector County, Texas",423,"165,171",0.26
"Eddy County, New Mexico",157,"62,314",0.25
"Eddy County, North Dakota",64,"2,347",2.73
"Edgar County, Illinois",299,"16,866",1.77
"Edgecombe County, North Carolina",244,"48,900",0.5
"Edgefield County, South Carolina",0,"25,657",0
"Edmonson County, Kentucky",73,"12,126",0.6
"Edmunds County, South Dakota",69,"3,986",1.73
"Edwards County, Illinois",22,"6,245",0.35
"Edwards County, Kansas",43,"2,907",1.48
"Edwards County, Texas",0,"1,422",0
"Effingham County, Georgia",104,"64,769",0.16
"Effingham County, Illinois",285,"34,668",0.82
"El Dorado County, California",201,"191,185",0.11
"El Paso County, Colorado","2,341","730,395",0.32
"El Paso County, Texas","2,046","865,657",0.24
"Elbert County, Colorado",20,"26,062",0.08
"Elbert County, Georgia",188,"19,637",0.96
"Elk County, Kansas",0,"2,483",0
"Elk County, Pennsylvania",226,"30,990",0.73
"Elkhart County, Indiana","1,401","207,047",0.68
"Elko County, Nevada",97,"53,702",0.18
"Elliott County, Kentucky",73,"7,354",0.99
"Ellis County, Kansas",62,"28,934",0.21
"Ellis County, Oklahoma",45,"3,749",1.2
"Ellis County, Texas",750,"192,455",0.39
"Ellsworth County, Kansas",250,"6,376",3.92
"Elmore County, Alabama",505,"87,977",0.57
"Elmore County, Idaho",73,"28,666",0.25
"Emanuel County, Georgia",211,"22,768",0.93
"Emery County, Utah",24,"9,825",0.24
"Emmet County, Iowa",167,"9,388",1.78
"Emmet County, Michigan",185,"34,112",0.54
"Emmons County, North Dakota",60,"3,301",1.82
"Emporia city, Virginia",174,"5,766",3.02
"Erath County, Texas",289,"42,545",0.68
"Erie County, New York","6,065","954,236",0.64
"Erie County, Ohio","1,232","75,622",1.63
"Erie County, Pennsylvania","2,089","270,876",0.77
"Escambia County, Alabama",224,"36,757",0.61
"Escambia County, Florida","3,180","321,905",0.99
"Esmeralda County, Nevada",0,729,0
"Essex County, Massachusetts","4,779","809,829",0.59
"Essex County, New Jersey","3,673","863,728",0.43
"Essex County, New York",384,"37,381",1.03
"Essex County, Vermont",0,"5,920",0
"Essex County, Virginia",49,"10,599",0.46
"Estill County, Kentucky",90,"14,163",0.64
"Etowah County, Alabama",727,"103,436",0.7
"Eureka County, Nevada",0,"1,855",0
"Evangeline Parish, Louisiana",434,"32,350",1.34
"Evans County, Georgia",50,"10,774",0.46
"Fairbanks North Star Borough, Alaska",283,"95,655",0.3
"Fairfax city, Virginia",128,"24,146",0.53
"Fairfax County, Virginia","2,570","1,150,309",0.22
"Fairfield County, Connecticut","4,248","957,419",0.44
"Fairfield County, Ohio","1,257","158,921",0.79
"Fairfield County, South Carolina",191,"20,948",0.91
"Fajardo Municipio, Puerto Rico",136,"32,124",0.42
"Fall River County, South Dakota",179,"6,973",2.57
"Fallon County, Montana",22,"3,049",0.72
"Falls Church city, Virginia",148,"14,658",1.01
"Falls County, Texas",83,"16,968",0.49
"Fannin County, Georgia",81,"25,319",0.32
"Fannin County, Texas",319,"35,662",0.89
"Faribault County, Minnesota",121,"13,921",0.87
"Faulk County, South Dakota",37,"2,125",1.74
"Faulkner County, Arkansas","1,108","123,498",0.9
"Fauquier County, Virginia",213,"72,972",0.29
"Fayette County, Alabama",140,"16,321",0.86
"Fayette County, Georgia",372,"119,194",0.31
"Fayette County, Illinois",155,"21,488",0.72
"Fayette County, Indiana",249,"23,398",1.06
"Fayette County, Iowa",335,"19,509",1.72
"Fayette County, Kentucky","1,465","322,570",0.45
"Fayette County, Ohio",238,"28,951",0.82
"Fayette County, Pennsylvania",789,"128,804",0.61
"Fayette County, Tennessee",160,"41,990",0.38
"Fayette County, Texas",303,"24,435",1.24
"Fayette County, West Virginia",378,"40,488",0.93
"Fentress County, Tennessee",180,"18,489",0.97
"Fergus County, Montana",145,"11,446",1.27
"Ferry County, Washington",19,"7,178",0.26
"Fillmore County, Minnesota",367,"21,228",1.73
"Fillmore County, Nebraska",106,"5,551",1.91
"Finney County, Kansas",123,"38,470",0.32
"Fisher County, Texas",0,"3,672",0
"Flagler County, Florida",412,"115,378",0.36
"Flathead County, Montana",791,"104,357",0.76
"Fleming County, Kentucky",77,"15,082",0.51
"Florence County, South Carolina","1,010","137,059",0.74
"Florence County, Wisconsin",47,"4,558",1.03
"Florida Municipio, Puerto Rico",51,"11,692",0.44
"Floyd County, Georgia",637,"98,584",0.65
"Floyd County, Indiana","1,002","80,484",1.24
"Floyd County, Iowa",147,"15,627",0.94
"Floyd County, Kentucky",162,"35,942",0.45
"Floyd County, Texas",21,"5,402",0.39
"Floyd County, Virginia",94,"15,476",0.61
"Fluvanna County, Virginia",59,"27,249",0.22
"Foard County, Texas",40,"1,095",3.65
"Fond du Lac County, Wisconsin",554,"104,154",0.53
"Ford County, Illinois",284,"13,534",2.1
"Ford County, Kansas",286,"34,287",0.83
"Forest County, Pennsylvania",82,"6,973",1.18
"Forest County, Wisconsin",93,"9,179",1.01
"Forrest County, Mississippi",793,"78,158",1.01
"Forsyth County, Georgia",564,"251,283",0.22
"Forsyth County, North Carolina","1,600","382,590",0.42
"Fort Bend County, Texas",814,"822,779",0.1
"Foster County, North Dakota",59,"3,397",1.74
"Fountain County, Indiana",96,"16,479",0.58
"Franklin city, Virginia",100,"8,180",1.22
"Franklin County, Alabama",320,"32,113",1
"Franklin County, Arkansas",191,"17,097",1.12
"Franklin County, Florida",147,"12,451",1.18
"Franklin County, Georgia",84,"23,424",0.36
"Franklin County, Idaho",84,"14,194",0.59
"Franklin County, Illinois",251,"37,804",0.66
"Franklin County, Indiana",38,"22,785",0.17
"Franklin County, Iowa",144,"10,019",1.44
"Franklin County, Kansas",129,"25,996",0.5
"Franklin County, Kentucky",169,"51,541",0.33
"Franklin County, Maine",180,"29,456",0.61
"Franklin County, Massachusetts",369,"71,029",0.52
"Franklin County, Mississippi",60,"7,675",0.78
"Franklin County, Missouri",809,"104,682",0.77
"Franklin County, Nebraska",25,"2,889",0.87
"Franklin County, New York",208,"47,555",0.44
"Franklin County, North Carolina",206,"68,573",0.3
"Franklin County, Ohio","5,718","1,323,807",0.43
"Franklin County, Pennsylvania",874,"155,932",0.56
"Franklin County, Tennessee",203,"42,774",0.47
"Franklin County, Texas",22,"10,359",0.21
"Franklin County, Vermont",345,"49,946",0.69
"Franklin County, Virginia",109,"54,477",0.2
"Franklin County, Washington",97,"96,749",0.1
"Franklin Parish, Louisiana",274,"19,774",1.39
"Frederick County, Maryland","1,201","271,717",0.44
"Frederick County, Virginia",198,"91,419",0.22
"Fredericksburg city, Virginia",0,"27,982",0
"Freeborn County, Minnesota",304,"30,895",0.98
"Freestone County, Texas",150,"19,435",0.77
"Fremont County, Colorado",411,"48,939",0.84
"Fremont County, Idaho",29,"13,388",0.22
"Fremont County, Iowa",77,"6,605",1.17
"Fremont County, Wyoming",222,"39,234",0.57
"Fresno County, California","2,879","1,008,654",0.29
"Frio County, Texas",134,"18,385",0.73
"Frontier County, Nebraska",24,"2,519",0.95
"Fulton County, Arkansas",151,"12,075",1.25
"Fulton County, Georgia","3,506","1,066,710",0.33
"Fulton County, Illinois",269,"33,609",0.8
"Fulton County, Indiana",84,"20,480",0.41
"Fulton County, Kentucky",34,"6,515",0.52
"Fulton County, New York",398,"53,324",0.75
"Fulton County, Ohio",329,"42,713",0.77
"Fulton County, Pennsylvania",73,"14,556",0.5
"Furnas County, Nebraska",70,"4,636",1.51
"Gadsden County, Florida",123,"43,826",0.28
"Gage County, Nebraska",273,"21,704",1.26
"Gaines County, Texas",89,"21,598",0.41
"Galax city, Virginia",213,"6,720",3.17
"Gallatin County, Illinois",82,"4,946",1.66
"Gallatin County, Kentucky",114,"8,690",1.31
"Gallatin County, Montana",269,"118,960",0.23
"Gallia County, Ohio",301,"29,220",1.03
"Galveston County, Texas","1,249","350,682",0.36
"Garden County, Nebraska",23,"1,874",1.23
"Garfield County, Colorado",257,"61,685",0.42
"Garfield County, Montana",20,"1,173",1.71
"Garfield County, Nebraska",70,"1,813",3.86
"Garfield County, Oklahoma",565,"62,846",0.9
"Garfield County, Utah",18,"5,083",0.35
"Garfield County, Washington",15,"2,286",0.66
"Garland County, Arkansas",672,"100,180",0.67
"Garrard County, Kentucky",95,"16,953",0.56
"Garrett County, Maryland",277,"28,806",0.96
"Garvin County, Oklahoma",130,"25,656",0.51
"Garza County, Texas",22,"5,816",0.38
"Gasconade County, Missouri",233,"14,794",1.57
"Gaston County, North Carolina","1,641","227,943",0.72
"Gates County, North Carolina",116,"10,478",1.11
"Geary County, Kansas",91,"36,739",0.25
"Geauga County, Ohio",729,"95,397",0.76
"Gem County, Idaho",176,"19,123",0.92
"Genesee County, Michigan","1,796","406,211",0.44
"Genesee County, New York",623,"58,388",1.07
"Geneva County, Alabama",178,"26,659",0.67
"Gentry County, Missouri",64,"6,162",1.04
"George County, Mississippi",67,"24,350",0.28
"Georgetown County, South Carolina",336,"63,404",0.53
"Gibson County, Indiana",289,"33,011",0.88
"Gibson County, Tennessee",567,"50,429",1.12
"Gila County, Arizona",267,"53,272",0.5
"Gilchrist County, Florida",165,"17,864",0.92
"Giles County, Tennessee",381,"30,346",1.26
"Giles County, Virginia",124,"16,787",0.74
"Gillespie County, Texas",276,"26,725",1.03
"Gilliam County, Oregon",22,"1,995",1.1
"Gilmer County, Georgia",91,"31,353",0.29
"Gilmer County, West Virginia",69,"7,408",0.93
"Gilpin County, Colorado",0,"5,808",0
"Glacier County, Montana",56,"13,778",0.41
"Glades County, Florida",0,"12,126",0
"Gladwin County, Michigan",108,"25,386",0.43
"Glascock County, Georgia",72,"2,884",2.5
"Glasscock County, Texas",0,"1,116",0
"Glenn County, California",112,"28,917",0.39
"Gloucester County, New Jersey","1,060","302,294",0.35
"Gloucester County, Virginia",165,"38,711",0.43
"Glynn County, Georgia","1,503","84,499",1.78
"Gogebic County, Michigan",186,"14,380",1.29
"Golden Valley County, Montana",0,823,0
"Golden Valley County, North Dakota",0,"1,736",0
"Goliad County, Texas",42,"7,012",0.6
"Gonzales County, Texas",176,"19,653",0.9
"Goochland County, Virginia",92,"24,727",0.37
"Goodhue County, Minnesota",420,"47,582",0.88
"Gooding County, Idaho",68,"15,598",0.44
"Gordon County, Georgia",258,"57,544",0.45
"Goshen County, Wyoming",115,"12,498",0.92
"Gosper County, Nebraska",26,"1,893",1.37
"Gove County, Kansas",50,"2,718",1.84
"Grady County, Georgia",53,"26,236",0.2
"Grady County, Oklahoma",256,"54,795",0.47
"Grafton County, New Hampshire",789,"91,118",0.87
"Graham County, Arizona",73,"38,533",0.19
"Graham County, Kansas",31,"2,415",1.28
"Graham County, North Carolina",73,"8,030",0.91
"Grainger County, Tennessee",108,"23,527",0.46
"Grand County, Colorado",0,"15,717",0
"Grand County, Utah",38,"9,669",0.39
"Grand Forks County, North Dakota",754,"73,170",1.03
"Grand Isle County, Vermont",0,"7,293",0
"Grand Traverse County, Michigan",422,"95,238",0.44
"Granite County, Montana",28,"3,309",0.85
"Grant County, Arkansas",71,"17,958",0.4
"Grant County, Indiana",461,"66,674",0.69
"Grant County, Kansas",32,"7,352",0.44
"Grant County, Kentucky",121,"24,941",0.49
"Grant County, Minnesota",39,"6,074",0.64
"Grant County, Nebraska",0,611,0
"Grant County, New Mexico",216,"28,185",0.77
"Grant County, North Dakota",40,"2,301",1.74
"Grant County, Oklahoma",75,"4,169",1.8
"Grant County, Oregon",49,"7,233",0.68
"Grant County, South Dakota",165,"7,556",2.18
"Grant County, Washington",294,"99,123",0.3
"Grant County, West Virginia",95,"10,976",0.87
"Grant County, Wisconsin",490,"51,938",0.94
"Grant Parish, Louisiana",155,"22,169",0.7
"Granville County, North Carolina",121,"60,992",0.2
"Gratiot County, Michigan",456,"41,761",1.09
"Graves County, Kentucky",198,"36,649",0.54
"Gray County, Kansas",86,"5,653",1.52
"Gray County, Texas",119,"21,227",0.56
"Grays Harbor County, Washington",214,"75,636",0.28
"Grayson County, Kentucky",139,"26,420",0.53
"Grayson County, Texas",825,"135,543",0.61
"Grayson County, Virginia",122,"15,333",0.8
"Greeley County, Kansas",21,"1,284",1.64
"Greeley County, Nebraska",24,"2,188",1.1
"Green County, Kentucky",95,"11,107",0.86
"Green County, Wisconsin",283,"37,093",0.76
"Green Lake County, Wisconsin",82,"19,018",0.43
"Greenbrier County, West Virginia",300,"32,977",0.91
"Greene County, Alabama",39,"7,730",0.5
"Greene County, Arkansas",382,"45,736",0.84
"Greene County, Georgia",83,"18,915",0.44
"Greene County, Illinois",108,"11,985",0.9
"Greene County, Indiana",138,"30,803",0.45
"Greene County, Iowa",41,"8,771",0.47
"Greene County, Mississippi",111,"13,530",0.82
"Greene County, Missouri","1,815","298,915",0.61
"Greene County, New York",339,"47,931",0.71
"Greene County, North Carolina",143,"20,451",0.7
"Greene County, Ohio","1,211","167,966",0.72
"Greene County, Pennsylvania",257,"35,954",0.71
"Greene County, Tennessee",321,"70,152",0.46
"Greene County, Virginia",155,"20,552",0.75
"Greenlee County, Arizona",0,"9,563",0
"Greensville County, Virginia",0,"11,391",0
"Greenup County, Kentucky",314,"35,962",0.87
"Greenville County, South Carolina","2,437","525,534",0.46
"Greenwood County, Kansas",56,"6,016",0.93
"Greenwood County, South Carolina",431,"69,351",0.62
"Greer County, Oklahoma",28,"5,491",0.51
"Gregg County, Texas","1,008","124,239",0.81
"Gregory County, South Dakota",78,"3,994",1.95
"Grenada County, Mississippi",206,"21,629",0.95
"Griggs County, North Dakota",82,"2,306",3.56
"Grimes County, Texas",148,"29,268",0.51
"Grundy County, Illinois",181,"52,533",0.34
"Grundy County, Iowa",95,"12,329",0.77
"Grundy County, Missouri",179,"9,808",1.83
"Grundy County, Tennessee",115,"13,529",0.85
"Guadalupe County, New Mexico",0,"4,452",0
"Guadalupe County, Texas",641,"172,706",0.37
"Guánica Municipio, Puerto Rico",0,"13,787",0
"Guayama Municipio, Puerto Rico",98,"36,614",0.27
"Guayanilla Municipio, Puerto Rico",31,"17,784",0.17
"Guaynabo Municipio, Puerto Rico",350,"89,780",0.39
"Guernsey County, Ohio",220,"38,438",0.57
"Guilford County, North Carolina","2,345","541,299",0.43
"Gulf County, Florida",104,"14,192",0.73
"Gunnison County, Colorado",52,"16,918",0.31
"Gurabo Municipio, Puerto Rico",50,"40,622",0.12
"Guthrie County, Iowa",87,"10,623",0.82
"Gwinnett County, Georgia","1,509","957,062",0.16
"Haakon County, South Dakota",28,"1,872",1.5
"Habersham County, Georgia",247,"46,031",0.54
