Geographic Area,Service occupations,Service job
"Cooke County, Texas",15.70%,15.7
"Cooper County, Missouri",19.70%,19.7
"Coos County, New Hampshire",20.60%,20.6
"Coos County, Oregon",26.40%,26.4
"Coosa County, Alabama",15.50%,15.5
"Copiah County, Mississippi",20%,20
"Copper River Census Area, Alaska",18.50%,18.5
"Corozal Municipio, Puerto Rico",21.80%,21.8
"Corson County, South Dakota",12%,12
"Cortland County, New York",22.50%,22.5
"Coryell County, Texas",19.10%,19.1
"Coshocton County, Ohio",16.20%,16.2
"Costilla County, Colorado",10.40%,10.4
"Cottle County, Texas",26.60%,26.6
"Cotton County, Oklahoma",13.70%,13.7
"Cottonwood County, Minnesota",14.30%,14.3
"Covington city, Virginia",22.10%,22.1
"Covington County, Alabama",15.70%,15.7
"Covington County, Mississippi",13.80%,13.8
"Coweta County, Georgia",15.10%,15.1
"Cowley County, Kansas",19.60%,19.6
"Cowlitz County, Washington",18.90%,18.9
"Craig County, Oklahoma",23.20%,23.2
"Craig County, Virginia",13%,13
"Craighead County, Arkansas",17.70%,17.7
"Crane County, Texas",16.10%,16.1
"Craven County, North Carolina",19.40%,19.4
"Crawford County, Arkansas",16.90%,16.9
"Crawford County, Georgia",12.30%,12.3
"Crawford County, Illinois",21.70%,21.7
"Crawford County, Indiana",13.90%,13.9
"Crawford County, Iowa",18.60%,18.6
"Crawford County, Kansas",18.50%,18.5
"Crawford County, Michigan",20.80%,20.8
"Crawford County, Missouri",16.30%,16.3
"Crawford County, Ohio",17.60%,17.6
"Crawford County, Pennsylvania",19.20%,19.2
"Crawford County, Wisconsin",16.30%,16.3
"Creek County, Oklahoma",14.90%,14.9
"Crenshaw County, Alabama",15%,15
"Crisp County, Georgia",17.90%,17.9
"Crittenden County, Arkansas",17.20%,17.2
"Crittenden County, Kentucky",19.30%,19.3
"Crockett County, Tennessee",13.80%,13.8
"Crockett County, Texas",6.90%,6.9
"Crook County, Oregon",19.90%,19.9
"Crook County, Wyoming",15.70%,15.7
"Crosby County, Texas",23.40%,23.4
"Cross County, Arkansas",16.60%,16.6
"Crow Wing County, Minnesota",18.50%,18.5
"Crowley County, Colorado",23.30%,23.3
"Culberson County, Texas",23.70%,23.7
"Culebra Municipio, Puerto Rico",26.30%,26.3
"Cullman County, Alabama",16.70%,16.7
"Culpeper County, Virginia",18.10%,18.1
"Cumberland County, Illinois",16.80%,16.8
"Cumberland County, Kentucky",13.40%,13.4
"Cumberland County, Maine",14.10%,14.1
"Cumberland County, New Jersey",22.40%,22.4
"Cumberland County, North Carolina",19.70%,19.7
"Cumberland County, Pennsylvania",14.60%,14.6
"Cumberland County, Tennessee",16.80%,16.8
"Cumberland County, Virginia",23.80%,23.8
"Cuming County, Nebraska",16.60%,16.6
"Currituck County, North Carolina",17.60%,17.6
"Curry County, New Mexico",18%,18
"Curry County, Oregon",24.90%,24.9
"Custer County, Colorado",11.40%,11.4
"Custer County, Idaho",25.20%,25.2
"Custer County, Montana",16.60%,16.6
"Custer County, Nebraska",14.70%,14.7
"Custer County, Oklahoma",18.10%,18.1
"Custer County, South Dakota",16.20%,16.2
"Cuyahoga County, Ohio",16.70%,16.7
"Dade County, Georgia",17%,17
"Dade County, Missouri",15.70%,15.7
"Daggett County, Utah",22.10%,22.1
"Dakota County, Minnesota",14%,14
"Dakota County, Nebraska",14.90%,14.9
"Dale County, Alabama",18.60%,18.6
"Dallam County, Texas",13.10%,13.1
"Dallas County, Alabama",15.70%,15.7
"Dallas County, Arkansas",21.10%,21.1
"Dallas County, Iowa",11.30%,11.3
"Dallas County, Missouri",19.30%,19.3
"Dallas County, Texas",15.90%,15.9
"Dane County, Wisconsin",13.70%,13.7
"Daniels County, Montana",13.50%,13.5
"Danville city, Virginia",22.10%,22.1
"Dare County, North Carolina",16.20%,16.2
"Darke County, Ohio",12.70%,12.7
"Darlington County, South Carolina",17%,17
"Dauphin County, Pennsylvania",17%,17
"Davidson County, North Carolina",15.10%,15.1
"Davidson County, Tennessee",14.50%,14.5
"Davie County, North Carolina",15.50%,15.5
"Daviess County, Indiana",15.30%,15.3
"Daviess County, Kentucky",16.20%,16.2
"Daviess County, Missouri",15.60%,15.6
"Davis County, Iowa",10.90%,10.9
"Davis County, Utah",13%,13
"Davison County, South Dakota",22.10%,22.1
"Dawes County, Nebraska",18.30%,18.3
"Dawson County, Georgia",13%,13
"Dawson County, Montana",17%,17
"Dawson County, Nebraska",13.20%,13.2
"Dawson County, Texas",20.40%,20.4
"Day County, South Dakota",13.80%,13.8
"De Baca County, New Mexico",6.70%,6.7
"De Soto Parish, Louisiana",15.70%,15.7
"De Witt County, Illinois",19.30%,19.3
"Deaf Smith County, Texas",19.20%,19.2
"Dearborn County, Indiana",14.80%,14.8
"Decatur County, Georgia",22.40%,22.4
"Decatur County, Indiana",14.50%,14.5
"Decatur County, Iowa",17.50%,17.5
"Decatur County, Kansas",18.30%,18.3
"Decatur County, Tennessee",13%,13
"Deer Lodge County, Montana",28.30%,28.3
"Defiance County, Ohio",12.80%,12.8
"DeKalb County, Alabama",16.20%,16.2
"DeKalb County, Georgia",14.50%,14.5
"DeKalb County, Illinois",19.60%,19.6
"DeKalb County, Indiana",13.50%,13.5
"DeKalb County, Missouri",15%,15
"DeKalb County, Tennessee",15.20%,15.2
"Del Norte County, California",30.50%,30.5
"Delaware County, Indiana",20.50%,20.5
"Delaware County, Iowa",15.90%,15.9
"Delaware County, New York",20.90%,20.9
"Delaware County, Ohio",11.90%,11.9
"Delaware County, Oklahoma",17.90%,17.9
"Delaware County, Pennsylvania",16.80%,16.8
"Delta County, Colorado",18.20%,18.2
"Delta County, Michigan",18.90%,18.9
"Delta County, Texas",15.80%,15.8
"Denali Borough, Alaska",16.40%,16.4
"Dent County, Missouri",21.90%,21.9
"Denton County, Texas",12.50%,12.5
"Denver County, Colorado",13.90%,13.9
"Des Moines County, Iowa",16.70%,16.7
"Deschutes County, Oregon",17.50%,17.5
"Desha County, Arkansas",20.10%,20.1
"DeSoto County, Florida",22.10%,22.1
"DeSoto County, Mississippi",13.60%,13.6
"Deuel County, Nebraska",15.10%,15.1
"Deuel County, South Dakota",11.60%,11.6
"Dewey County, Oklahoma",15.30%,15.3
"Dewey County, South Dakota",14.90%,14.9
"DeWitt County, Texas",18.10%,18.1
"Dickens County, Texas",18.80%,18.8
"Dickenson County, Virginia",23.10%,23.1
"Dickey County, North Dakota",17.80%,17.8
"Dickinson County, Iowa",15.40%,15.4
"Dickinson County, Kansas",15.70%,15.7
"Dickinson County, Michigan",18.10%,18.1
"Dickson County, Tennessee",14.30%,14.3
"Dillingham Census Area, Alaska",18.90%,18.9
"Dillon County, South Carolina",16.40%,16.4
"Dimmit County, Texas",25.10%,25.1
"Dinwiddie County, Virginia",14.40%,14.4
"District of Columbia, District of Columbia",11.90%,11.9
"Divide County, North Dakota",16.20%,16.2
"Dixie County, Florida",22%,22
"Dixon County, Nebraska",21.40%,21.4
"Doddridge County, West Virginia",21%,21
"Dodge County, Georgia",14.60%,14.6
"Dodge County, Minnesota",13.70%,13.7
"Dodge County, Nebraska",14.70%,14.7
"Dodge County, Wisconsin",15.40%,15.4
"Dolores County, Colorado",14.30%,14.3
"Doña Ana County, New Mexico",22.10%,22.1
"Doniphan County, Kansas",19.10%,19.1
"Donley County, Texas",22.80%,22.8
"Dooly County, Georgia",21.40%,21.4
"Door County, Wisconsin",17.20%,17.2
"Dorado Municipio, Puerto Rico",15.60%,15.6
"Dorchester County, Maryland",23.50%,23.5
"Dorchester County, South Carolina",15.10%,15.1
"Dougherty County, Georgia",21.60%,21.6
"Douglas County, Colorado",11.60%,11.6
"Douglas County, Georgia",13.50%,13.5
"Douglas County, Illinois",14%,14
"Douglas County, Kansas",17.60%,17.6
"Douglas County, Minnesota",17.10%,17.1
"Douglas County, Missouri",13.80%,13.8
"Douglas County, Nebraska",15%,15
"Douglas County, Nevada",17.50%,17.5
"Douglas County, Oregon",19.90%,19.9
"Douglas County, South Dakota",18.30%,18.3
"Douglas County, Washington",17.10%,17.1
"Douglas County, Wisconsin",20.60%,20.6
"Drew County, Arkansas",17.60%,17.6
"Dubois County, Indiana",11.20%,11.2
"Dubuque County, Iowa",16.10%,16.1
"Duchesne County, Utah",13.40%,13.4
"Dukes County, Massachusetts",17.80%,17.8
"Dundy County, Nebraska",14.80%,14.8
"Dunklin County, Missouri",21.30%,21.3
"Dunn County, North Dakota",12%,12
"Dunn County, Wisconsin",17.40%,17.4
"DuPage County, Illinois",12.40%,12.4
"Duplin County, North Carolina",18.50%,18.5
"Durham County, North Carolina",14.80%,14.8
"Dutchess County, New York",18.20%,18.2
"Duval County, Florida",17.10%,17.1
"Duval County, Texas",22.40%,22.4
"Dyer County, Tennessee",13.30%,13.3
"Eagle County, Colorado",20.90%,20.9
"Early County, Georgia",18.20%,18.2
"East Baton Rouge Parish, Louisiana",17.90%,17.9
"East Carroll Parish, Louisiana",38%,38
"East Feliciana Parish, Louisiana",20.60%,20.6
"Eastland County, Texas",18.70%,18.7
"Eaton County, Michigan",15.60%,15.6
"Eau Claire County, Wisconsin",16.40%,16.4
"Echols County, Georgia",13.40%,13.4
"Ector County, Texas",12.80%,12.8
"Eddy County, New Mexico",14%,14
"Eddy County, North Dakota",14.10%,14.1
"Edgar County, Illinois",17.80%,17.8
"Edgecombe County, North Carolina",20.30%,20.3
"Edgefield County, South Carolina",17.60%,17.6
"Edmonson County, Kentucky",21%,21
"Edmunds County, South Dakota",17.50%,17.5
"Edwards County, Illinois",15.80%,15.8
"Edwards County, Kansas",16%,16
"Edwards County, Texas",35.40%,35.4
"Effingham County, Georgia",13.90%,13.9
"Effingham County, Illinois",15.40%,15.4
"El Dorado County, California",19.10%,19.1
"El Paso County, Colorado",16.50%,16.5
"El Paso County, Texas",20.60%,20.6
"Elbert County, Colorado",16.10%,16.1
"Elbert County, Georgia",14.60%,14.6
"Elk County, Kansas",17.90%,17.9
"Elk County, Pennsylvania",11.90%,11.9
"Elkhart County, Indiana",14.80%,14.8
"Elko County, Nevada",17.20%,17.2
"Elliott County, Kentucky",12%,12
"Ellis County, Kansas",19.70%,19.7
"Ellis County, Oklahoma",16.40%,16.4
"Ellis County, Texas",13.50%,13.5
"Ellsworth County, Kansas",23.40%,23.4
"Elmore County, Alabama",14.50%,14.5
"Elmore County, Idaho",19.20%,19.2
"Emanuel County, Georgia",17.20%,17.2
"Emery County, Utah",18.40%,18.4
"Emmet County, Iowa",17.90%,17.9
"Emmet County, Michigan",21.20%,21.2
"Emmons County, North Dakota",9.50%,9.5
"Emporia city, Virginia",18.20%,18.2
"Erath County, Texas",17.60%,17.6
"Erie County, New York",17.20%,17.2
"Erie County, Ohio",17.70%,17.7
"Erie County, Pennsylvania",20.10%,20.1
"Escambia County, Alabama",20.30%,20.3
"Escambia County, Florida",19.60%,19.6
"Esmeralda County, Nevada",21.80%,21.8
"Essex County, Massachusetts",16.40%,16.4
"Essex County, New Jersey",18.20%,18.2
"Essex County, New York",21.10%,21.1
"Essex County, Vermont",17.80%,17.8
"Essex County, Virginia",16.90%,16.9
"Estill County, Kentucky",13.60%,13.6
"Etowah County, Alabama",16.80%,16.8
"Eureka County, Nevada",2.90%,2.9
"Evangeline Parish, Louisiana",19.40%,19.4
"Evans County, Georgia",16.10%,16.1
"Fairbanks North Star Borough, Alaska",19.20%,19.2
"Fairfax city, Virginia",16.40%,16.4
"Fairfax County, Virginia",13.50%,13.5
"Fairfield County, Ohio",15.90%,15.9
"Fairfield County, South Carolina",17.30%,17.3
"Fajardo Municipio, Puerto Rico",28.40%,28.4
"Fall River County, South Dakota",27.60%,27.6
"Fallon County, Montana",14.20%,14.2
"Falls Church city, Virginia",10%,10
"Falls County, Texas",14.90%,14.9
"Fannin County, Georgia",21.20%,21.2
"Fannin County, Texas",15.10%,15.1
"Faribault County, Minnesota",15.40%,15.4
"Faulk County, South Dakota",10.80%,10.8
"Faulkner County, Arkansas",16.80%,16.8
"Fauquier County, Virginia",14.90%,14.9
"Fayette County, Alabama",14.20%,14.2
"Fayette County, Georgia",12.90%,12.9
"Fayette County, Illinois",18.20%,18.2
"Fayette County, Indiana",23.30%,23.3
"Fayette County, Iowa",15.30%,15.3
"Fayette County, Kentucky",16.20%,16.2
"Fayette County, Ohio",15.90%,15.9
"Fayette County, Pennsylvania",18.50%,18.5
"Fayette County, Tennessee",12.30%,12.3
"Fayette County, Texas",16.70%,16.7
"Fayette County, West Virginia",23.10%,23.1
"Fentress County, Tennessee",21.30%,21.3
"Fergus County, Montana",17.60%,17.6
"Ferry County, Washington",26.50%,26.5
"Fillmore County, Minnesota",16.20%,16.2
"Fillmore County, Nebraska",14%,14
"Finney County, Kansas",14.30%,14.3
"Fisher County, Texas",12.60%,12.6
"Flagler County, Florida",17.50%,17.5
"Flathead County, Montana",18%,18
"Fleming County, Kentucky",13.80%,13.8
"Florence County, South Carolina",17%,17
"Florence County, Wisconsin",14.40%,14.4
"Florida Municipio, Puerto Rico",15.20%,15.2
"Floyd County, Georgia",18.40%,18.4
"Floyd County, Indiana",14.60%,14.6
"Floyd County, Iowa",15.80%,15.8
"Floyd County, Kentucky",19.10%,19.1
"Floyd County, Texas",22.50%,22.5
"Floyd County, Virginia",14%,14
"Fluvanna County, Virginia",17.80%,17.8
"Foard County, Texas",19.90%,19.9
"Fond du Lac County, Wisconsin",15.90%,15.9
"Ford County, Illinois",12.50%,12.5
"Ford County, Kansas",17.10%,17.1
"Forest County, Pennsylvania",23.60%,23.6
"Forest County, Wisconsin",18.50%,18.5
"Forrest County, Mississippi",19.10%,19.1
"Forsyth County, Georgia",10.80%,10.8
"Forsyth County, North Carolina",15.80%,15.8
"Fort Bend County, Texas",12.50%,12.5
"Foster County, North Dakota",13.30%,13.3
"Fountain County, Indiana",18.10%,18.1
"Franklin city, Virginia",22.80%,22.8
"Franklin County, Alabama",14.80%,14.8
"Franklin County, Arkansas",16.60%,16.6
"Franklin County, Florida",20.30%,20.3
"Franklin County, Georgia",16.30%,16.3
"Franklin County, Idaho",17.40%,17.4
"Franklin County, Illinois",20.90%,20.9
"Franklin County, Indiana",14.50%,14.5
"Franklin County, Iowa",16.20%,16.2
"Franklin County, Kansas",15.30%,15.3
"Franklin County, Kentucky",16.50%,16.5
"Franklin County, Maine",20.10%,20.1
"Franklin County, Massachusetts",16.60%,16.6
"Franklin County, Mississippi",15.40%,15.4
"Franklin County, Missouri",14.40%,14.4
"Franklin County, Nebraska",16.50%,16.5
"Franklin County, New York",21.80%,21.8
"Franklin County, North Carolina",16.20%,16.2
"Franklin County, Ohio",15.10%,15.1
"Franklin County, Pennsylvania",14.80%,14.8
"Franklin County, Tennessee",16.40%,16.4
"Franklin County, Texas",16.10%,16.1
"Franklin County, Vermont",12.60%,12.6
"Franklin County, Virginia",17.30%,17.3
"Franklin County, Washington",17%,17
"Franklin Parish, Louisiana",17.20%,17.2
"Frederick County, Maryland",14.90%,14.9
"Frederick County, Virginia",15%,15
"Fredericksburg city, Virginia",15.70%,15.7
"Freeborn County, Minnesota",15.70%,15.7
"Freestone County, Texas",19.60%,19.6
"Fremont County, Colorado",24%,24
"Fremont County, Idaho",15.20%,15.2
"Fremont County, Iowa",19.40%,19.4
"Fremont County, Wyoming",23.80%,23.8
"Fresno County, California",19.30%,19.3
"Frio County, Texas",24.90%,24.9
"Frontier County, Nebraska",11.90%,11.9
"Fulton County, Arkansas",24.30%,24.3
"Fulton County, Georgia",11.80%,11.8
"Fulton County, Illinois",18.50%,18.5
"Fulton County, Indiana",15.90%,15.9
"Fulton County, Kentucky",17.50%,17.5
"Fulton County, New York",20.10%,20.1
"Fulton County, Ohio",14.80%,14.8
"Fulton County, Pennsylvania",15.90%,15.9
"Furnas County, Nebraska",13.40%,13.4
"Gadsden County, Florida",24.70%,24.7
"Gage County, Nebraska",20.40%,20.4
"Gaines County, Texas",11.70%,11.7
"Galax city, Virginia",19.20%,19.2
"Gallatin County, Illinois",14.40%,14.4
"Gallatin County, Kentucky",18.50%,18.5
"Gallatin County, Montana",17%,17
"Gallia County, Ohio",19.80%,19.8
"Galveston County, Texas",16.60%,16.6
"Garden County, Nebraska",12.80%,12.8
"Garfield County, Colorado",20.20%,20.2
"Garfield County, Montana",9.10%,9.1
"Garfield County, Nebraska",15.90%,15.9
"Garfield County, Oklahoma",19.10%,19.1
"Garfield County, Utah",30.60%,30.6
"Garfield County, Washington",15.10%,15.1
"Garland County, Arkansas",22.70%,22.7
"Garrard County, Kentucky",17.90%,17.9
"Garrett County, Maryland",18.50%,18.5
"Garvin County, Oklahoma",15.60%,15.6
"Garza County, Texas",18.40%,18.4
"Gasconade County, Missouri",13.40%,13.4
"Gaston County, North Carolina",15.10%,15.1
"Gates County, North Carolina",19.10%,19.1
"Geary County, Kansas",19.60%,19.6
"Geauga County, Ohio",15%,15
"Gem County, Idaho",13.10%,13.1
"Genesee County, Michigan",18.60%,18.6
"Genesee County, New York",17%,17
"Geneva County, Alabama",16.80%,16.8
"Gentry County, Missouri",19.50%,19.5
"George County, Mississippi",15.30%,15.3
"Georgetown County, South Carolina",24.70%,24.7
"Gibson County, Indiana",13.70%,13.7
"Gibson County, Tennessee",14.10%,14.1
"Gila County, Arizona",24.20%,24.2
"Gilchrist County, Florida",18.80%,18.8
"Giles County, Tennessee",12.40%,12.4
"Giles County, Virginia",18.90%,18.9
"Gillespie County, Texas",19.60%,19.6
"Gilliam County, Oregon",30%,30
"Gilmer County, Georgia",15.90%,15.9
"Gilmer County, West Virginia",17%,17
"Gilpin County, Colorado",17.80%,17.8
"Glacier County, Montana",26.60%,26.6
"Glades County, Florida",15.40%,15.4
"Gladwin County, Michigan",17.60%,17.6
"Glascock County, Georgia",18.50%,18.5
"Glasscock County, Texas",1.70%,1.7
"Glenn County, California",17%,17
"Gloucester County, New Jersey",13.60%,13.6
"Gloucester County, Virginia",17.20%,17.2
"Glynn County, Georgia",20.10%,20.1
"Gogebic County, Michigan",18.80%,18.8
"Golden Valley County, Montana",17.90%,17.9
"Golden Valley County, North Dakota",18.40%,18.4
"Goliad County, Texas",10.20%,10.2
"Gonzales County, Texas",16.10%,16.1
"Goochland County, Virginia",14.20%,14.2
"Goodhue County, Minnesota",16.30%,16.3
"Gooding County, Idaho",16.60%,16.6
"Gordon County, Georgia",15.40%,15.4
"Goshen County, Wyoming",16.10%,16.1
"Gosper County, Nebraska",13.10%,13.1
"Gove County, Kansas",15.60%,15.6
"Grady County, Georgia",15.50%,15.5
"Grady County, Oklahoma",14.30%,14.3
"Grafton County, New Hampshire",18%,18
"Graham County, Arizona",20.90%,20.9
"Graham County, Kansas",16.10%,16.1
"Graham County, North Carolina",29.60%,29.6
"Grainger County, Tennessee",15.20%,15.2
"Grand County, Colorado",18%,18
"Grand County, Utah",26.80%,26.8
"Grand Forks County, North Dakota",19.30%,19.3
"Grand Isle County, Vermont",13.80%,13.8
"Grand Traverse County, Michigan",17.10%,17.1
"Granite County, Montana",20.20%,20.2
"Grant County, Arkansas",14.90%,14.9
"Grant County, Indiana",17.80%,17.8
"Grant County, Kansas",16.30%,16.3
"Grant County, Kentucky",15%,15
"Grant County, Minnesota",18.10%,18.1
"Grant County, Nebraska",11.10%,11.1
"Grant County, New Mexico",16.90%,16.9
"Grant County, North Dakota",13.20%,13.2
"Grant County, Oklahoma",14.90%,14.9
"Grant County, Oregon",21.80%,21.8
"Grant County, South Dakota",16.50%,16.5
"Grant County, Washington",16.40%,16.4
"Grant County, West Virginia",18.90%,18.9
"Grant County, Wisconsin",16.10%,16.1
"Grant Parish, Louisiana",17.50%,17.5
"Granville County, North Carolina",14.70%,14.7
"Gratiot County, Michigan",19.60%,19.6
"Graves County, Kentucky",12.30%,12.3
"Gray County, Kansas",15.50%,15.5
"Gray County, Texas",17.10%,17.1
"Grays Harbor County, Washington",21.90%,21.9
"Grayson County, Kentucky",14.30%,14.3
"Grayson County, Texas",17.70%,17.7
"Grayson County, Virginia",21.10%,21.1
"Greater Bridgeport Planning Region, Connecticut",17.50%,17.5
"Greeley County, Kansas",12.90%,12.9
"Greeley County, Nebraska",14.20%,14.2
"Green County, Kentucky",18.60%,18.6
"Green County, Wisconsin",13%,13
"Green Lake County, Wisconsin",14.50%,14.5
"Greenbrier County, West Virginia",24.60%,24.6
"Greene County, Alabama",14.70%,14.7
"Greene County, Arkansas",14.20%,14.2
"Greene County, Georgia",15.70%,15.7
"Greene County, Illinois",22.50%,22.5
"Greene County, Indiana",17.60%,17.6
"Greene County, Iowa",15%,15
"Greene County, Mississippi",15.70%,15.7
"Greene County, Missouri",16.80%,16.8
"Greene County, New York",19.70%,19.7
"Greene County, North Carolina",18%,18
"Greene County, Ohio",15.70%,15.7
"Greene County, Pennsylvania",21.60%,21.6
"Greene County, Tennessee",16.20%,16.2
"Greene County, Virginia",14.50%,14.5
"Greenlee County, Arizona",19.40%,19.4
"Greensville County, Virginia",27%,27
"Greenup County, Kentucky",15%,15
"Greenville County, South Carolina",14.70%,14.7
"Greenwood County, Kansas",21.10%,21.1
"Greenwood County, South Carolina",16.80%,16.8
"Greer County, Oklahoma",24.90%,24.9
"Gregg County, Texas",16.40%,16.4
"Gregory County, South Dakota",16.40%,16.4
"Grenada County, Mississippi",12%,12
"Griggs County, North Dakota",15.90%,15.9
"Grimes County, Texas",14.50%,14.5
"Grundy County, Illinois",16.50%,16.5
"Grundy County, Iowa",13.80%,13.8
"Grundy County, Missouri",14.80%,14.8
"Grundy County, Tennessee",14.20%,14.2
"Guadalupe County, New Mexico",20.70%,20.7
"Guadalupe County, Texas",15.80%,15.8
"Guánica Municipio, Puerto Rico",27%,27
"Guayama Municipio, Puerto Rico",26%,26
"Guayanilla Municipio, Puerto Rico",24.40%,24.4
"Guaynabo Municipio, Puerto Rico",13.10%,13.1
"Guernsey County, Ohio",17.70%,17.7
"Guilford County, North Carolina",16.10%,16.1
"Gulf County, Florida",17.80%,17.8
"Gunnison County, Colorado",20.40%,20.4
"Gurabo Municipio, Puerto Rico",19%,19
"Guthrie County, Iowa",13.90%,13.9
"Gwinnett County, Georgia",15.30%,15.3
"Haakon County, South Dakota",15.40%,15.4
"Habersham County, Georgia",17.20%,17.2
"Haines Borough, Alaska",19.90%,19.9
"Hale County, Alabama",18.20%,18.2
"Hale County, Texas",19%,19
"Halifax County, North Carolina",20.50%,20.5
"Halifax County, Virginia",19.90%,19.9
"Hall County, Georgia",13.90%,13.9
"Hall County, Nebraska",15.60%,15.6
"Hall County, Texas",20.10%,20.1
"Hamblen County, Tennessee",18.30%,18.3
"Hamilton County, Florida",24.30%,24.3
"Hamilton County, Illinois",15.80%,15.8
"Hamilton County, Indiana",11.20%,11.2
"Hamilton County, Iowa",12.70%,12.7
"Hamilton County, Kansas",21.40%,21.4
"Hamilton County, Nebraska",15.50%,15.5
"Hamilton County, New York",20.80%,20.8
"Hamilton County, Ohio",15.80%,15.8
"Hamilton County, Tennessee",15.80%,15.8
"Hamilton County, Texas",19.60%,19.6
"Hamlin County, South Dakota",13%,13
"Hampden County, Massachusetts",20.20%,20.2
"Hampshire County, Massachusetts",16.80%,16.8
"Hampshire County, West Virginia",15.70%,15.7
"Hampton city, Virginia",18.30%,18.3
"Hampton County, South Carolina",25.20%,25.2
"Hancock County, Georgia",24.50%,24.5
"Hancock County, Illinois",15%,15
"Hancock County, Indiana",15.70%,15.7
"Hancock County, Iowa",14.50%,14.5
"Hancock County, Kentucky",15.60%,15.6
"Hancock County, Maine",17.50%,17.5
"Hancock County, Mississippi",15.70%,15.7
"Hancock County, Ohio",17%,17
"Hancock County, Tennessee",21.60%,21.6
"Hancock County, West Virginia",18.50%,18.5
"Hand County, South Dakota",16.10%,16.1
"Hanover County, Virginia",12.80%,12.8
"Hansford County, Texas",18.80%,18.8
"Hanson County, South Dakota",8.90%,8.9
"Haralson County, Georgia",13.20%,13.2
"Hardee County, Florida",17.60%,17.6
"Hardeman County, Tennessee",16.30%,16.3
"Hardeman County, Texas",16.20%,16.2
"Hardin County, Illinois",18.20%,18.2
"Hardin County, Iowa",15.60%,15.6
"Hardin County, Kentucky",16.70%,16.7
"Hardin County, Ohio",15.90%,15.9
"Hardin County, Tennessee",16.90%,16.9
"Hardin County, Texas",16%,16
"Harding County, New Mexico",27.90%,27.9
"Harding County, South Dakota",5.80%,5.8
"Hardy County, West Virginia",17.60%,17.6
"Harford County, Maryland",13.90%,13.9
"Harlan County, Kentucky",20.30%,20.3
"Harlan County, Nebraska",16.90%,16.9
"Harmon County, Oklahoma",19.20%,19.2
"Harnett County, North Carolina",16.70%,16.7
"Harney County, Oregon",26.90%,26.9
"Harper County, Kansas",16%,16
"Harper County, Oklahoma",16.30%,16.3
"Harris County, Georgia",11.80%,11.8
"Harris County, Texas",16.50%,16.5
"Harrison County, Indiana",16.30%,16.3
"Harrison County, Iowa",14.20%,14.2
"Harrison County, Kentucky",14.40%,14.4
"Harrison County, Mississippi",22.60%,22.6
"Harrison County, Missouri",17.10%,17.1
"Harrison County, Ohio",18.90%,18.9
"Harrison County, Texas",16.90%,16.9
"Harrison County, West Virginia",18.80%,18.8
"Harrisonburg city, Virginia",21.30%,21.3
"Hart County, Georgia",17.10%,17.1
"Hart County, Kentucky",22.10%,22.1
"Hartley County, Texas",9.60%,9.6
"Harvey County, Kansas",16.60%,16.6
"Haskell County, Kansas",16%,16
"Haskell County, Oklahoma",20%,20
"Haskell County, Texas",25.20%,25.2
"Hatillo Municipio, Puerto Rico",19.20%,19.2
"Hawaii County, Hawaii",24.60%,24.6
"Hawkins County, Tennessee",15.60%,15.6
"Hayes County, Nebraska",16.60%,16.6
"Hays County, Texas",16.10%,16.1
"Haywood County, North Carolina",20.60%,20.6
"Haywood County, Tennessee",22.60%,22.6
"Heard County, Georgia",13.80%,13.8
"Hemphill County, Texas",15.60%,15.6
"Hempstead County, Arkansas",14.50%,14.5
"Henderson County, Illinois",15.10%,15.1
"Henderson County, Kentucky",19.40%,19.4
"Henderson County, North Carolina",19.50%,19.5
"Henderson County, Tennessee",17.70%,17.7
"Henderson County, Texas",19.70%,19.7
"Hendricks County, Indiana",12.50%,12.5
"Hendry County, Florida",16.50%,16.5
"Hennepin County, Minnesota",13.30%,13.3
"Henrico County, Virginia",15.30%,15.3
"Henry County, Alabama",16%,16
"Henry County, Georgia",15.40%,15.4
"Henry County, Illinois",15.90%,15.9
"Henry County, Indiana",16.30%,16.3
"Henry County, Iowa",18.70%,18.7
"Henry County, Kentucky",22.30%,22.3
"Henry County, Missouri",18.10%,18.1
"Henry County, Ohio",13.70%,13.7
"Henry County, Tennessee",15.80%,15.8
"Henry County, Virginia",16.60%,16.6
"Herkimer County, New York",18.40%,18.4
"Hernando County, Florida",18.80%,18.8
"Hertford County, North Carolina",18.60%,18.6
"Hettinger County, North Dakota",13.60%,13.6
"Hickman County, Kentucky",15.10%,15.1
"Hickman County, Tennessee",17.80%,17.8
"Hickory County, Missouri",26.40%,26.4
"Hidalgo County, New Mexico",17.10%,17.1
"Hidalgo County, Texas",22.70%,22.7
"Highland County, Ohio",16%,16
"Highland County, Virginia",11.20%,11.2
"Highlands County, Florida",21.90%,21.9
"Hill County, Montana",19.40%,19.4
"Hill County, Texas",16.60%,16.6
"Hillsborough County, Florida",16.20%,16.2
"Hillsborough County, New Hampshire",13.90%,13.9
"Hillsdale County, Michigan",16.30%,16.3
"Hinds County, Mississippi",20.40%,20.4
"Hinsdale County, Colorado",28.40%,28.4
"Hitchcock County, Nebraska",16.20%,16.2
"Hocking County, Ohio",22.80%,22.8
"Hockley County, Texas",16.30%,16.3
"Hodgeman County, Kansas",14.40%,14.4
"Hoke County, North Carolina",19.10%,19.1
"Holmes County, Florida",26.40%,26.4
"Holmes County, Mississippi",20.20%,20.2
