Geographic Area,"Production, transportation, and material moving occupations",Production job
"Cook County, Illinois",13.50%,13.5
"Cook County, Minnesota",9.50%,9.5
"Cooke County, Texas",19.10%,19.1
"Cooper County, Missouri",13.70%,13.7
"Coos County, New Hampshire",13.80%,13.8
"Coos County, Oregon",13.60%,13.6
"Coosa County, Alabama",23.80%,23.8
"Copiah County, Mississippi",23.40%,23.4
"Copper River Census Area, Alaska",5.90%,5.9
"Corozal Municipio, Puerto Rico",15.20%,15.2
"Corson County, South Dakota",9.90%,9.9
"Cortland County, New York",12.50%,12.5
"Coryell County, Texas",14.30%,14.3
"Coshocton County, Ohio",22.80%,22.8
"Costilla County, Colorado",14.60%,14.6
"Cottle County, Texas",7.10%,7.1
"Cotton County, Oklahoma",16.70%,16.7
"Cottonwood County, Minnesota",18.50%,18.5
"Covington city, Virginia",14.80%,14.8
"Covington County, Alabama",21.50%,21.5
"Covington County, Mississippi",24.80%,24.8
"Coweta County, Georgia",14.90%,14.9
"Cowley County, Kansas",19.40%,19.4
"Cowlitz County, Washington",19.80%,19.8
"Craig County, Oklahoma",14.30%,14.3
"Craig County, Virginia",20.50%,20.5
"Craighead County, Arkansas",14.90%,14.9
"Crane County, Texas",15.20%,15.2
"Craven County, North Carolina",15.10%,15.1
"Crawford County, Arkansas",20.90%,20.9
"Crawford County, Georgia",17%,17
"Crawford County, Illinois",22.70%,22.7
"Crawford County, Indiana",35.80%,35.8
"Crawford County, Iowa",29%,29
"Crawford County, Kansas",18.10%,18.1
"Crawford County, Michigan",14.70%,14.7
"Crawford County, Missouri",23.40%,23.4
"Crawford County, Ohio",26.70%,26.7
"Crawford County, Pennsylvania",22.10%,22.1
"Crawford County, Wisconsin",25.20%,25.2
"Creek County, Oklahoma",17.70%,17.7
"Crenshaw County, Alabama",27.60%,27.6
"Crisp County, Georgia",22.60%,22.6
"Crittenden County, Arkansas",21.60%,21.6
"Crittenden County, Kentucky",17.80%,17.8
"Crockett County, Tennessee",21.40%,21.4
"Crockett County, Texas",11.90%,11.9
"Crook County, Oregon",16.70%,16.7
"Crook County, Wyoming",13.80%,13.8
"Crosby County, Texas",14.40%,14.4
"Cross County, Arkansas",19.80%,19.8
"Crow Wing County, Minnesota",15.50%,15.5
"Crowley County, Colorado",20.50%,20.5
"Culberson County, Texas",16%,16
"Culebra Municipio, Puerto Rico",16%,16
"Cullman County, Alabama",18.50%,18.5
"Culpeper County, Virginia",13.50%,13.5
"Cumberland County, Illinois",24.70%,24.7
"Cumberland County, Kentucky",25.80%,25.8
"Cumberland County, Maine",9.50%,9.5
"Cumberland County, New Jersey",19.30%,19.3
"Cumberland County, North Carolina",15.60%,15.6
"Cumberland County, Pennsylvania",13.70%,13.7
"Cumberland County, Tennessee",22.50%,22.5
"Cumberland County, Virginia",10.70%,10.7
"Cuming County, Nebraska",14.80%,14.8
"Currituck County, North Carolina",11.40%,11.4
"Curry County, New Mexico",16.60%,16.6
"Curry County, Oregon",9%,9
"Custer County, Colorado",10.40%,10.4
"Custer County, Idaho",4.20%,4.2
"Custer County, Montana",11.50%,11.5
"Custer County, Nebraska",12.10%,12.1
"Custer County, Oklahoma",12.80%,12.8
"Custer County, South Dakota",12.20%,12.2
"Cuyahoga County, Ohio",13.40%,13.4
"Dade County, Georgia",15.90%,15.9
"Dade County, Missouri",24%,24
"Daggett County, Utah",8.80%,8.8
"Dakota County, Minnesota",12.10%,12.1
"Dakota County, Nebraska",30.20%,30.2
"Dale County, Alabama",18.60%,18.6
"Dallam County, Texas",33.10%,33.1
"Dallas County, Alabama",25.90%,25.9
"Dallas County, Arkansas",31.50%,31.5
"Dallas County, Iowa",9.80%,9.8
"Dallas County, Missouri",23.10%,23.1
"Dallas County, Texas",14%,14
"Dane County, Wisconsin",9.40%,9.4
"Daniels County, Montana",10.60%,10.6
"Danville city, Virginia",22.90%,22.9
"Dare County, North Carolina",8%,8
"Darke County, Ohio",27.30%,27.3
"Darlington County, South Carolina",22.90%,22.9
"Dauphin County, Pennsylvania",14.60%,14.6
"Davidson County, North Carolina",19.30%,19.3
"Davidson County, Tennessee",11.50%,11.5
"Davie County, North Carolina",17.10%,17.1
"Daviess County, Indiana",22.80%,22.8
"Daviess County, Kentucky",20.40%,20.4
"Daviess County, Missouri",18.90%,18.9
"Davis County, Iowa",19.30%,19.3
"Davis County, Utah",12.30%,12.3
"Davison County, South Dakota",16.60%,16.6
"Dawes County, Nebraska",8.20%,8.2
"Dawson County, Georgia",11.80%,11.8
"Dawson County, Montana",13.70%,13.7
"Dawson County, Nebraska",29.80%,29.8
"Dawson County, Texas",12%,12
"Day County, South Dakota",13.20%,13.2
"De Baca County, New Mexico",13.60%,13.6
"De Soto Parish, Louisiana",17.40%,17.4
"De Witt County, Illinois",16.50%,16.5
"Deaf Smith County, Texas",24.10%,24.1
"Dearborn County, Indiana",18.20%,18.2
"Decatur County, Georgia",20.90%,20.9
"Decatur County, Indiana",24.10%,24.1
"Decatur County, Iowa",13.70%,13.7
"Decatur County, Kansas",12.80%,12.8
"Decatur County, Tennessee",24.10%,24.1
"Deer Lodge County, Montana",11.10%,11.1
"Defiance County, Ohio",26.20%,26.2
"DeKalb County, Alabama",25.70%,25.7
"DeKalb County, Georgia",12.60%,12.6
"DeKalb County, Illinois",15.60%,15.6
"DeKalb County, Indiana",34.10%,34.1
"DeKalb County, Missouri",19%,19
"DeKalb County, Tennessee",25.50%,25.5
"Del Norte County, California",8.40%,8.4
"Delaware County, Indiana",17.20%,17.2
"Delaware County, Iowa",22.40%,22.4
"Delaware County, New York",13.70%,13.7
"Delaware County, Ohio",7.80%,7.8
"Delaware County, Oklahoma",16.30%,16.3
"Delaware County, Pennsylvania",10.40%,10.4
"Delta County, Colorado",13.90%,13.9
"Delta County, Michigan",19.20%,19.2
"Delta County, Texas",11.70%,11.7
"Denali Borough, Alaska",10.70%,10.7
"Dent County, Missouri",19.90%,19.9
"Denton County, Texas",9.20%,9.2
"Denver County, Colorado",7.80%,7.8
"Des Moines County, Iowa",22.10%,22.1
"Deschutes County, Oregon",9.20%,9.2
"Desha County, Arkansas",18.20%,18.2
"DeSoto County, Florida",11.30%,11.3
"DeSoto County, Mississippi",19%,19
"Deuel County, Nebraska",14.50%,14.5
"Deuel County, South Dakota",21%,21
"Dewey County, Oklahoma",18.50%,18.5
"Dewey County, South Dakota",7.80%,7.8
"DeWitt County, Texas",17.70%,17.7
"Dickens County, Texas",12.10%,12.1
"Dickenson County, Virginia",10.10%,10.1
"Dickey County, North Dakota",16%,16
"Dickinson County, Iowa",17.10%,17.1
"Dickinson County, Kansas",16.60%,16.6
"Dickinson County, Michigan",18.10%,18.1
"Dickson County, Tennessee",18.10%,18.1
"Dillingham Census Area, Alaska",11.50%,11.5
"Dillon County, South Carolina",26.40%,26.4
"Dimmit County, Texas",11.20%,11.2
"Dinwiddie County, Virginia",20.20%,20.2
"District of Columbia, District of Columbia",3.30%,3.3
"Divide County, North Dakota",7.10%,7.1
"Dixie County, Florida",18.80%,18.8
"Dixon County, Nebraska",17.70%,17.7
"Doddridge County, West Virginia",16.30%,16.3
"Dodge County, Georgia",23.50%,23.5
"Dodge County, Minnesota",15.50%,15.5
"Dodge County, Nebraska",18.60%,18.6
"Dodge County, Wisconsin",26.10%,26.1
"Dolores County, Colorado",7.50%,7.5
"Doña Ana County, New Mexico",9.80%,9.8
"Doniphan County, Kansas",20.20%,20.2
"Donley County, Texas",5.70%,5.7
"Dooly County, Georgia",26%,26
"Door County, Wisconsin",14.60%,14.6
"Dorado Municipio, Puerto Rico",9.50%,9.5
"Dorchester County, Maryland",13.80%,13.8
"Dorchester County, South Carolina",14.90%,14.9
"Dougherty County, Georgia",16.90%,16.9
"Douglas County, Colorado",5.70%,5.7
"Douglas County, Georgia",17.30%,17.3
"Douglas County, Illinois",23.30%,23.3
"Douglas County, Kansas",10.50%,10.5
"Douglas County, Minnesota",18.20%,18.2
"Douglas County, Missouri",26.10%,26.1
"Douglas County, Nebraska",11.80%,11.8
"Douglas County, Nevada",12%,12
"Douglas County, Oregon",16.40%,16.4
"Douglas County, South Dakota",9.70%,9.7
"Douglas County, Washington",13.90%,13.9
"Douglas County, Wisconsin",16.70%,16.7
"Drew County, Arkansas",15.40%,15.4
"Dubois County, Indiana",27.60%,27.6
"Dubuque County, Iowa",18.80%,18.8
"Duchesne County, Utah",20%,20
"Dukes County, Massachusetts",7.80%,7.8
"Dundy County, Nebraska",6.50%,6.5
"Dunklin County, Missouri",21.80%,21.8
"Dunn County, North Dakota",21.20%,21.2
"Dunn County, Wisconsin",22.90%,22.9
"DuPage County, Illinois",11.50%,11.5
"Duplin County, North Carolina",25%,25
"Durham County, North Carolina",7.70%,7.7
"Dutchess County, New York",8.20%,8.2
"Duval County, Florida",12.40%,12.4
"Duval County, Texas",11.10%,11.1
"Dyer County, Tennessee",22%,22
"Eagle County, Colorado",6.60%,6.6
"Early County, Georgia",22.50%,22.5
"East Baton Rouge Parish, Louisiana",11.80%,11.8
"East Carroll Parish, Louisiana",13.10%,13.1
"East Feliciana Parish, Louisiana",15.10%,15.1
"Eastland County, Texas",13.20%,13.2
"Eaton County, Michigan",17.80%,17.8
"Eau Claire County, Wisconsin",18.40%,18.4
"Echols County, Georgia",20.50%,20.5
"Ector County, Texas",21.40%,21.4
"Eddy County, New Mexico",14.90%,14.9
"Eddy County, North Dakota",12.40%,12.4
"Edgar County, Illinois",21.70%,21.7
"Edgecombe County, North Carolina",23.60%,23.6
"Edgefield County, South Carolina",20%,20
"Edmonson County, Kentucky",19.50%,19.5
"Edmunds County, South Dakota",11.60%,11.6
"Edwards County, Illinois",29.60%,29.6
"Edwards County, Kansas",17.50%,17.5
"Edwards County, Texas",5.50%,5.5
"Effingham County, Georgia",16.70%,16.7
"Effingham County, Illinois",18.50%,18.5
"El Dorado County, California",7.60%,7.6
"El Paso County, Colorado",9.60%,9.6
"El Paso County, Texas",13.50%,13.5
"Elbert County, Colorado",8.20%,8.2
"Elbert County, Georgia",27.50%,27.5
"Elk County, Kansas",11.40%,11.4
"Elk County, Pennsylvania",31.80%,31.8
"Elkhart County, Indiana",28.80%,28.8
"Elko County, Nevada",12.20%,12.2
"Elliott County, Kentucky",24.60%,24.6
"Ellis County, Kansas",10.40%,10.4
"Ellis County, Oklahoma",14.80%,14.8
"Ellis County, Texas",15.10%,15.1
"Ellsworth County, Kansas",13.80%,13.8
"Elmore County, Alabama",14.40%,14.4
"Elmore County, Idaho",18.20%,18.2
"Emanuel County, Georgia",23%,23
"Emery County, Utah",15%,15
"Emmet County, Iowa",27%,27
"Emmet County, Michigan",11.70%,11.7
"Emmons County, North Dakota",15.30%,15.3
"Emporia city, Virginia",33.20%,33.2
"Erath County, Texas",13.70%,13.7
"Erie County, New York",11.40%,11.4
"Erie County, Ohio",19.60%,19.6
"Erie County, Pennsylvania",15.90%,15.9
"Escambia County, Alabama",21%,21
"Escambia County, Florida",11.60%,11.6
"Esmeralda County, Nevada",11.70%,11.7
"Essex County, Massachusetts",11.30%,11.3
"Essex County, New Jersey",13.10%,13.1
"Essex County, New York",10.40%,10.4
"Essex County, Vermont",17%,17
"Essex County, Virginia",15%,15
"Estill County, Kentucky",32.90%,32.9
"Etowah County, Alabama",22.30%,22.3
"Eureka County, Nevada",35.20%,35.2
"Evangeline Parish, Louisiana",17.50%,17.5
"Evans County, Georgia",21.10%,21.1
"Fairbanks North Star Borough, Alaska",10.90%,10.9
"Fairfax city, Virginia",6.90%,6.9
"Fairfax County, Virginia",5.30%,5.3
"Fairfield County, Ohio",15%,15
"Fairfield County, South Carolina",24.60%,24.6
"Fajardo Municipio, Puerto Rico",14%,14
"Fall River County, South Dakota",11.10%,11.1
"Fallon County, Montana",10.20%,10.2
"Falls Church city, Virginia",2.50%,2.5
"Falls County, Texas",17.70%,17.7
"Fannin County, Georgia",14.20%,14.2
"Fannin County, Texas",14.60%,14.6
"Faribault County, Minnesota",18.70%,18.7
"Faulk County, South Dakota",10.60%,10.6
"Faulkner County, Arkansas",12.80%,12.8
"Fauquier County, Virginia",8.60%,8.6
"Fayette County, Alabama",33.30%,33.3
"Fayette County, Georgia",12.30%,12.3
"Fayette County, Illinois",18.30%,18.3
"Fayette County, Indiana",28.70%,28.7
"Fayette County, Iowa",21.30%,21.3
"Fayette County, Kentucky",11.20%,11.2
"Fayette County, Ohio",25.90%,25.9
"Fayette County, Pennsylvania",17.60%,17.6
"Fayette County, Tennessee",18.20%,18.2
"Fayette County, Texas",20.60%,20.6
"Fayette County, West Virginia",12.50%,12.5
"Fentress County, Tennessee",15.70%,15.7
"Fergus County, Montana",11.90%,11.9
"Ferry County, Washington",6.50%,6.5
"Fillmore County, Minnesota",15.90%,15.9
"Fillmore County, Nebraska",14.60%,14.6
"Finney County, Kansas",26.90%,26.9
"Fisher County, Texas",13.40%,13.4
"Flagler County, Florida",11.80%,11.8
"Flathead County, Montana",11.10%,11.1
"Fleming County, Kentucky",24%,24
"Florence County, South Carolina",15.90%,15.9
"Florence County, Wisconsin",21.40%,21.4
"Florida Municipio, Puerto Rico",18.10%,18.1
"Floyd County, Georgia",21.60%,21.6
"Floyd County, Indiana",15.50%,15.5
"Floyd County, Iowa",19.40%,19.4
"Floyd County, Kentucky",14.50%,14.5
"Floyd County, Texas",14.50%,14.5
"Floyd County, Virginia",20.70%,20.7
"Fluvanna County, Virginia",9.40%,9.4
"Foard County, Texas",9.40%,9.4
"Fond du Lac County, Wisconsin",23.60%,23.6
"Ford County, Illinois",18.30%,18.3
"Ford County, Kansas",28.10%,28.1
"Forest County, Pennsylvania",17.10%,17.1
"Forest County, Wisconsin",16.70%,16.7
"Forrest County, Mississippi",15.10%,15.1
"Forsyth County, Georgia",6.90%,6.9
"Forsyth County, North Carolina",13.50%,13.5
"Fort Bend County, Texas",9.20%,9.2
"Foster County, North Dakota",10.80%,10.8
"Fountain County, Indiana",26%,26
"Franklin city, Virginia",18.20%,18.2
"Franklin County, Alabama",29.90%,29.9
"Franklin County, Arkansas",24.70%,24.7
"Franklin County, Florida",8.60%,8.6
"Franklin County, Georgia",23.90%,23.9
"Franklin County, Idaho",24.20%,24.2
"Franklin County, Illinois",18.50%,18.5
"Franklin County, Indiana",20.40%,20.4
"Franklin County, Iowa",22.10%,22.1
"Franklin County, Kansas",20.70%,20.7
"Franklin County, Kentucky",15.70%,15.7
"Franklin County, Maine",14.30%,14.3
"Franklin County, Massachusetts",12.60%,12.6
"Franklin County, Mississippi",19.50%,19.5
"Franklin County, Missouri",19.10%,19.1
"Franklin County, Nebraska",13.10%,13.1
"Franklin County, New York",11.50%,11.5
"Franklin County, North Carolina",14.20%,14.2
"Franklin County, Ohio",13.40%,13.4
"Franklin County, Pennsylvania",21.30%,21.3
"Franklin County, Tennessee",19.80%,19.8
"Franklin County, Texas",15%,15
"Franklin County, Vermont",16.90%,16.9
"Franklin County, Virginia",16.30%,16.3
"Franklin County, Washington",14.90%,14.9
"Franklin Parish, Louisiana",12.40%,12.4
"Frederick County, Maryland",8.30%,8.3
"Frederick County, Virginia",13.60%,13.6
"Fredericksburg city, Virginia",9.60%,9.6
"Freeborn County, Minnesota",23.40%,23.4
"Freestone County, Texas",18.90%,18.9
"Fremont County, Colorado",11.80%,11.8
"Fremont County, Idaho",19.20%,19.2
"Fremont County, Iowa",17%,17
"Fremont County, Wyoming",11.70%,11.7
"Fresno County, California",14.10%,14.1
"Frio County, Texas",16.90%,16.9
"Frontier County, Nebraska",14.10%,14.1
"Fulton County, Arkansas",17.30%,17.3
"Fulton County, Georgia",9%,9
"Fulton County, Illinois",18.90%,18.9
"Fulton County, Indiana",27.50%,27.5
"Fulton County, Kentucky",26.90%,26.9
"Fulton County, New York",19.10%,19.1
"Fulton County, Ohio",21.60%,21.6
"Fulton County, Pennsylvania",25.10%,25.1
"Furnas County, Nebraska",16.80%,16.8
"Gadsden County, Florida",13.10%,13.1
"Gage County, Nebraska",20.40%,20.4
"Gaines County, Texas",18.30%,18.3
"Galax city, Virginia",16.20%,16.2
"Gallatin County, Illinois",20.90%,20.9
"Gallatin County, Kentucky",33%,33
"Gallatin County, Montana",9.80%,9.8
"Gallia County, Ohio",19.70%,19.7
"Galveston County, Texas",12.60%,12.6
"Garden County, Nebraska",12.80%,12.8
"Garfield County, Colorado",10.30%,10.3
"Garfield County, Montana",12.30%,12.3
"Garfield County, Nebraska",6.60%,6.6
"Garfield County, Oklahoma",17.80%,17.8
"Garfield County, Utah",10.70%,10.7
"Garfield County, Washington",13.80%,13.8
"Garland County, Arkansas",11.30%,11.3
"Garrard County, Kentucky",19.20%,19.2
"Garrett County, Maryland",14.20%,14.2
"Garvin County, Oklahoma",22.50%,22.5
"Garza County, Texas",20%,20
"Gasconade County, Missouri",24.70%,24.7
"Gaston County, North Carolina",18.50%,18.5
"Gates County, North Carolina",15.40%,15.4
"Geary County, Kansas",15.10%,15.1
"Geauga County, Ohio",12.10%,12.1
"Gem County, Idaho",15.50%,15.5
"Genesee County, Michigan",19%,19
"Genesee County, New York",15.40%,15.4
"Geneva County, Alabama",16.70%,16.7
"Gentry County, Missouri",19.30%,19.3
"George County, Mississippi",14.20%,14.2
"Georgetown County, South Carolina",13.20%,13.2
"Gibson County, Indiana",29.40%,29.4
"Gibson County, Tennessee",22.30%,22.3
"Gila County, Arizona",11.50%,11.5
"Gilchrist County, Florida",9.60%,9.6
"Giles County, Tennessee",22.60%,22.6
"Giles County, Virginia",22.40%,22.4
"Gillespie County, Texas",9.80%,9.8
"Gilliam County, Oregon",14.60%,14.6
"Gilmer County, Georgia",14.90%,14.9
"Gilmer County, West Virginia",14.70%,14.7
"Gilpin County, Colorado",6.20%,6.2
"Glacier County, Montana",8.50%,8.5
"Glades County, Florida",11%,11
"Gladwin County, Michigan",20.50%,20.5
"Glascock County, Georgia",20.60%,20.6
"Glasscock County, Texas",11.20%,11.2
"Glenn County, California",18.50%,18.5
"Gloucester County, New Jersey",10.90%,10.9
"Gloucester County, Virginia",12.90%,12.9
"Glynn County, Georgia",13.10%,13.1
"Gogebic County, Michigan",15.10%,15.1
"Golden Valley County, Montana",12.90%,12.9
"Golden Valley County, North Dakota",18.50%,18.5
"Goliad County, Texas",16.50%,16.5
"Gonzales County, Texas",25.80%,25.8
"Goochland County, Virginia",5.90%,5.9
"Goodhue County, Minnesota",16.90%,16.9
"Gooding County, Idaho",15.70%,15.7
"Gordon County, Georgia",23%,23
"Goshen County, Wyoming",13.30%,13.3
"Gosper County, Nebraska",17.30%,17.3
"Gove County, Kansas",13%,13
"Grady County, Georgia",17.30%,17.3
"Grady County, Oklahoma",16%,16
"Grafton County, New Hampshire",10.80%,10.8
"Graham County, Arizona",12.50%,12.5
"Graham County, Kansas",14.30%,14.3
"Graham County, North Carolina",12%,12
"Grainger County, Tennessee",26.10%,26.1
"Grand County, Colorado",8.30%,8.3
"Grand County, Utah",7.10%,7.1
"Grand Forks County, North Dakota",13%,13
"Grand Isle County, Vermont",9.10%,9.1
"Grand Traverse County, Michigan",12.60%,12.6
"Granite County, Montana",12.70%,12.7
"Grant County, Arkansas",17.40%,17.4
"Grant County, Indiana",21%,21
"Grant County, Kansas",13.90%,13.9
"Grant County, Kentucky",28.70%,28.7
"Grant County, Minnesota",15.40%,15.4
"Grant County, Nebraska",7.40%,7.4
"Grant County, New Mexico",12.90%,12.9
"Grant County, North Dakota",6.60%,6.6
"Grant County, Oklahoma",17.50%,17.5
"Grant County, Oregon",8.60%,8.6
"Grant County, South Dakota",16.20%,16.2
"Grant County, Washington",15.90%,15.9
"Grant County, West Virginia",20.90%,20.9
"Grant County, Wisconsin",19.50%,19.5
"Grant Parish, Louisiana",17%,17
"Granville County, North Carolina",16%,16
"Gratiot County, Michigan",18%,18
"Graves County, Kentucky",20.20%,20.2
"Gray County, Kansas",14.70%,14.7
"Gray County, Texas",14.80%,14.8
"Grays Harbor County, Washington",14.70%,14.7
"Grayson County, Kentucky",23.20%,23.2
"Grayson County, Texas",16.20%,16.2
"Grayson County, Virginia",22.50%,22.5
"Greater Bridgeport Planning Region, Connecticut",10.80%,10.8
"Greeley County, Kansas",10.40%,10.4
"Greeley County, Nebraska",12.50%,12.5
"Green County, Kentucky",22%,22
"Green County, Wisconsin",19.50%,19.5
"Green Lake County, Wisconsin",23.20%,23.2
"Greenbrier County, West Virginia",12.70%,12.7
"Greene County, Alabama",26.30%,26.3
"Greene County, Arkansas",22.40%,22.4
"Greene County, Georgia",17.90%,17.9
"Greene County, Illinois",19.50%,19.5
"Greene County, Indiana",20.80%,20.8
"Greene County, Iowa",23.10%,23.1
"Greene County, Mississippi",18%,18
"Greene County, Missouri",13.70%,13.7
"Greene County, New York",12.60%,12.6
"Greene County, North Carolina",22.40%,22.4
"Greene County, Ohio",10.60%,10.6
"Greene County, Pennsylvania",12.80%,12.8
"Greene County, Tennessee",26.10%,26.1
"Greene County, Virginia",11.10%,11.1
"Greenlee County, Arizona",14.50%,14.5
"Greensville County, Virginia",14.20%,14.2
"Greenup County, Kentucky",15.40%,15.4
"Greenville County, South Carolina",14.20%,14.2
"Greenwood County, Kansas",17.20%,17.2
"Greenwood County, South Carolina",24.20%,24.2
"Greer County, Oklahoma",14.20%,14.2
"Gregg County, Texas",18.10%,18.1
"Gregory County, South Dakota",15.20%,15.2
"Grenada County, Mississippi",18.60%,18.6
"Griggs County, North Dakota",9.70%,9.7
"Grimes County, Texas",14.30%,14.3
"Grundy County, Illinois",18.50%,18.5
"Grundy County, Iowa",17.50%,17.5
"Grundy County, Missouri",21.90%,21.9
"Grundy County, Tennessee",26.70%,26.7
"Guadalupe County, New Mexico",15.70%,15.7
"Guadalupe County, Texas",15.60%,15.6
"Guánica Municipio, Puerto Rico",18.50%,18.5
"Guayama Municipio, Puerto Rico",13.90%,13.9
"Guayanilla Municipio, Puerto Rico",11.40%,11.4
"Guaynabo Municipio, Puerto Rico",6.60%,6.6
"Guernsey County, Ohio",21.30%,21.3
"Guilford County, North Carolina",15.60%,15.6
"Gulf County, Florida",8.10%,8.1
"Gunnison County, Colorado",5.60%,5.6
"Gurabo Municipio, Puerto Rico",11.30%,11.3
"Guthrie County, Iowa",13.30%,13.3
"Gwinnett County, Georgia",12.80%,12.8
"Haakon County, South Dakota",9.40%,9.4
"Habersham County, Georgia",19.20%,19.2
"Haines Borough, Alaska",9.20%,9.2
"Hale County, Alabama",19.30%,19.3
"Hale County, Texas",18.50%,18.5
"Halifax County, North Carolina",23.20%,23.2
"Halifax County, Virginia",22.80%,22.8
"Hall County, Georgia",20.30%,20.3
"Hall County, Nebraska",24.70%,24.7
"Hall County, Texas",14.70%,14.7
"Hamblen County, Tennessee",21.10%,21.1
"Hamilton County, Florida",14.80%,14.8
"Hamilton County, Illinois",19.50%,19.5
"Hamilton County, Indiana",7%,7
"Hamilton County, Iowa",17.40%,17.4
"Hamilton County, Kansas",6.30%,6.3
"Hamilton County, Nebraska",11.30%,11.3
"Hamilton County, New York",9.70%,9.7
"Hamilton County, Ohio",12.60%,12.6
"Hamilton County, Tennessee",14.40%,14.4
"Hamilton County, Texas",15.40%,15.4
"Hamlin County, South Dakota",19.50%,19.5
"Hampden County, Massachusetts",14.90%,14.9
"Hampshire County, Massachusetts",8.80%,8.8
"Hampshire County, West Virginia",24.50%,24.5
"Hampton city, Virginia",14.60%,14.6
"Hampton County, South Carolina",20.50%,20.5
"Hancock County, Georgia",26.20%,26.2
"Hancock County, Illinois",18.40%,18.4
"Hancock County, Indiana",12%,12
"Hancock County, Iowa",22.90%,22.9
"Hancock County, Kentucky",29.80%,29.8
"Hancock County, Maine",12.10%,12.1
"Hancock County, Mississippi",11.30%,11.3
"Hancock County, Ohio",22.60%,22.6
"Hancock County, Tennessee",19.80%,19.8
"Hancock County, West Virginia",17.70%,17.7
"Hand County, South Dakota",6.60%,6.6
"Hanover County, Virginia",9.30%,9.3
"Hansford County, Texas",6.20%,6.2
"Hanson County, South Dakota",13.80%,13.8
"Haralson County, Georgia",22.30%,22.3
"Hardee County, Florida",17%,17
"Hardeman County, Tennessee",33.70%,33.7
"Hardeman County, Texas",22.20%,22.2
"Hardin County, Illinois",22.50%,22.5
"Hardin County, Iowa",17.10%,17.1
"Hardin County, Kentucky",19.80%,19.8
"Hardin County, Ohio",24.90%,24.9
"Hardin County, Tennessee",23.30%,23.3
"Hardin County, Texas",17.30%,17.3
"Harding County, New Mexico",4.20%,4.2
"Harding County, South Dakota",12.40%,12.4
"Hardy County, West Virginia",26.60%,26.6
"Harford County, Maryland",9.80%,9.8
"Harlan County, Kentucky",13.50%,13.5
"Harlan County, Nebraska",14.20%,14.2
"Harmon County, Oklahoma",17.40%,17.4
"Harnett County, North Carolina",16.50%,16.5
"Harney County, Oregon",15%,15
"Harper County, Kansas",18.30%,18.3
"Harper County, Oklahoma",10%,10
"Harris County, Georgia",13.60%,13.6
"Harris County, Texas",13.50%,13.5
"Harrison County, Indiana",17.10%,17.1
"Harrison County, Iowa",14.80%,14.8
"Harrison County, Kentucky",26.30%,26.3
"Harrison County, Mississippi",12.20%,12.2
"Harrison County, Missouri",20.90%,20.9
"Harrison County, Ohio",22.90%,22.9
"Harrison County, Texas",17.40%,17.4
"Harrison County, West Virginia",12.80%,12.8
"Harrisonburg city, Virginia",15.90%,15.9
"Hart County, Georgia",18.80%,18.8
"Hart County, Kentucky",23.20%,23.2
"Hartley County, Texas",10.20%,10.2
"Harvey County, Kansas",19%,19
"Haskell County, Kansas",18.10%,18.1
"Haskell County, Oklahoma",14.70%,14.7
"Haskell County, Texas",8.80%,8.8
"Hatillo Municipio, Puerto Rico",9.30%,9.3
"Hawaii County, Hawaii",8.80%,8.8
"Hawkins County, Tennessee",25.60%,25.6
"Hayes County, Nebraska",8.40%,8.4
"Hays County, Texas",10.50%,10.5
"Haywood County, North Carolina",13.60%,13.6
"Haywood County, Tennessee",29.50%,29.5
"Heard County, Georgia",21.20%,21.2
"Hemphill County, Texas",8.80%,8.8
"Hempstead County, Arkansas",27%,27
"Henderson County, Illinois",21%,21
"Henderson County, Kentucky",21.20%,21.2
"Henderson County, North Carolina",14.60%,14.6
"Henderson County, Tennessee",23.90%,23.9
"Henderson County, Texas",15.80%,15.8
"Hendricks County, Indiana",15.10%,15.1
"Hendry County, Florida",16.70%,16.7
"Hennepin County, Minnesota",10.10%,10.1
"Henrico County, Virginia",10.10%,10.1
"Henry County, Alabama",18.40%,18.4
"Henry County, Georgia",17.20%,17.2
"Henry County, Illinois",17.10%,17.1
"Henry County, Indiana",21.60%,21.6
"Henry County, Iowa",22.70%,22.7
"Henry County, Kentucky",20.70%,20.7
"Henry County, Missouri",19.50%,19.5
"Henry County, Ohio",25.80%,25.8
"Henry County, Tennessee",22.20%,22.2
"Henry County, Virginia",20.90%,20.9
"Herkimer County, New York",14.20%,14.2
"Hernando County, Florida",12.50%,12.5
"Hertford County, North Carolina",23.60%,23.6
"Hettinger County, North Dakota",18.10%,18.1
"Hickman County, Kentucky",16.20%,16.2
"Hickman County, Tennessee",15.90%,15.9
"Hickory County, Missouri",18.40%,18.4
"Hidalgo County, New Mexico",9.50%,9.5
"Hidalgo County, Texas",12.80%,12.8
"Highland County, Ohio",24.80%,24.8
"Highland County, Virginia",8.80%,8.8
"Highlands County, Florida",11.10%,11.1
"Hill County, Montana",15.90%,15.9
"Hill County, Texas",20.40%,20.4
"Hillsborough County, Florida",10.40%,10.4
"Hillsborough County, New Hampshire",12.60%,12.6
"Hillsdale County, Michigan",23.80%,23.8
"Hinds County, Mississippi",16.70%,16.7
"Hinsdale County, Colorado",4.60%,4.6
"Hitchcock County, Nebraska",15.50%,15.5
"Hocking County, Ohio",16.80%,16.8
"Hockley County, Texas",16.60%,16.6
"Hodgeman County, Kansas",9.60%,9.6
