Geographic Area,"Educational instruction, and library occupations",Total,Educ job
"Clearwater County, Minnesota",235,"3,628",6.5
"Cleburne County, Alabama",294,"5,692",5.2
"Cleburne County, Arkansas",384,"9,386",4.1
"Clermont County, Ohio","5,045","104,710",4.8
"Cleveland County, Arkansas",317,"2,923",10.8
"Cleveland County, North Carolina","2,624","43,294",6.1
"Cleveland County, Oklahoma","11,658","148,128",7.9
"Clinch County, Georgia",336,"2,515",13.4
"Clinton County, Illinois",852,"18,281",4.7
"Clinton County, Indiana",864,"15,524",5.6
"Clinton County, Iowa","1,093","21,617",5.1
"Clinton County, Kentucky",203,"3,746",5.4
"Clinton County, Michigan","2,402","39,293",6.1
"Clinton County, Missouri",570,"9,539",6
"Clinton County, New York","3,144","35,932",8.7
"Clinton County, Ohio","1,135","20,167",5.6
"Clinton County, Pennsylvania",984,"17,621",5.6
"Cloud County, Kansas",251,"4,156",6
"Coahoma County, Mississippi",655,"7,572",8.7
"Coal County, Oklahoma",115,"2,025",5.7
"Coamo Municipio, Puerto Rico",743,"10,921",6.8
"Cobb County, Georgia","24,531","409,632",6
"Cochise County, Arizona","3,166","44,200",7.2
"Cochran County, Texas",51,"1,069",4.8
"Cocke County, Tennessee",816,"14,689",5.6
"Coconino County, Arizona","5,423","67,955",8
"Codington County, South Dakota",847,"15,397",5.5
"Coffee County, Alabama","1,093","21,804",5
"Coffee County, Georgia","1,414","17,710",8
"Coffee County, Tennessee","1,688","25,872",6.5
"Coffey County, Kansas",278,"3,961",7
"Coke County, Texas",98,"1,341",7.3
"Colbert County, Alabama","1,138","25,589",4.4
"Cole County, Missouri","2,274","37,723",6
"Coleman County, Texas",178,"3,371",5.3
"Coles County, Illinois","1,806","23,400",7.7
"Colfax County, Nebraska",278,"5,275",5.3
"Colfax County, New Mexico",241,"5,160",4.7
"Colleton County, South Carolina",876,"15,659",5.6
"Collier County, Florida","6,511","161,734",4
"Collin County, Texas","36,773","565,939",6.5
"Collingsworth County, Texas",71,"1,306",5.4
"Colonial Heights city, Virginia",810,"8,700",9.3
"Colorado County, Texas",521,"8,841",5.9
"Colquitt County, Georgia","1,352","19,342",7
"Columbia County, Arkansas",606,"9,232",6.6
"Columbia County, Florida","1,399","27,450",5.1
"Columbia County, Georgia","5,566","73,121",7.6
"Columbia County, New York","2,012","29,575",6.8
"Columbia County, Oregon","1,147","24,361",4.7
"Columbia County, Pennsylvania","1,690","30,240",5.6
"Columbia County, Washington",198,"1,833",10.8
"Columbia County, Wisconsin","1,459","30,765",4.7
"Columbiana County, Ohio","1,944","46,351",4.2
"Columbus County, North Carolina","1,237","18,872",6.6
"Colusa County, California",563,"9,728",5.8
"Comal County, Texas","5,799","77,609",7.5
"Comanche County, Kansas",54,878,6.2
"Comanche County, Oklahoma","4,141","45,750",9.1
"Comanche County, Texas",368,"6,177",6
"Comerío Municipio, Puerto Rico",165,"5,588",3
"Concho County, Texas",95,997,9.5
"Concordia Parish, Louisiana",294,"5,455",5.4
"Conecuh County, Alabama",137,"3,757",3.6
"Conejos County, Colorado",229,"3,066",7.5
"Contra Costa County, California","34,190","573,653",6
"Converse County, Wyoming",716,"6,867",10.4
"Conway County, Arkansas",523,"8,958",5.8
"Cook County, Georgia",404,"7,551",5.4
"Cook County, Illinois","161,891","2,600,619",6.2
"Cook County, Minnesota",248,"2,876",8.6
"Cooke County, Texas","1,148","20,047",5.7
"Cooper County, Missouri",434,"7,258",6
"Coos County, New Hampshire",876,"14,431",6.1
"Coos County, Oregon","1,611","25,960",6.2
"Coosa County, Alabama",125,"3,868",3.2
"Copiah County, Mississippi",421,"10,780",3.9
"Copper River Census Area, Alaska",89,"1,124",7.9
"Corozal Municipio, Puerto Rico",556,"10,271",5.4
"Corson County, South Dakota",95,"1,186",8
"Cortland County, New York","2,040","23,285",8.8
"Coryell County, Texas","1,989","25,141",7.9
"Coshocton County, Ohio",984,"15,505",6.3
"Costilla County, Colorado",63,"1,229",5.1
"Cottle County, Texas",40,717,5.6
"Cotton County, Oklahoma",247,"2,382",10.4
"Cottonwood County, Minnesota",437,"5,398",8.1
"Covington city, Virginia",93,"2,357",3.9
"Covington County, Alabama",874,"15,090",5.8
"Covington County, Mississippi",737,"7,128",10.3
"Coweta County, Georgia","5,225","73,138",7.1
"Cowley County, Kansas","1,231","15,273",8.1
"Cowlitz County, Washington","2,043","46,916",4.4
"Craig County, Oklahoma",324,"5,393",6
"Craig County, Virginia",51,"1,997",2.6
"Craighead County, Arkansas","4,027","51,494",7.8
"Crane County, Texas",307,"2,244",13.7
"Craven County, North Carolina","2,258","40,158",5.6
"Crawford County, Arkansas","1,636","24,637",6.6
"Crawford County, Georgia",125,"5,008",2.5
"Crawford County, Illinois",571,"8,281",6.9
"Crawford County, Indiana",217,"4,325",5
"Crawford County, Iowa",345,"7,910",4.4
"Crawford County, Kansas","1,586","19,531",8.1
"Crawford County, Michigan",226,"5,281",4.3
"Crawford County, Missouri",444,"9,115",4.9
"Crawford County, Ohio",838,"19,199",4.4
"Crawford County, Pennsylvania","2,021","36,129",5.6
"Crawford County, Wisconsin",288,"7,087",4.1
"Creek County, Oklahoma","1,884","31,202",6
"Crenshaw County, Alabama",268,"5,132",5.2
"Crisp County, Georgia",358,"8,630",4.1
"Crittenden County, Arkansas","1,215","20,355",6
"Crittenden County, Kentucky",74,"3,485",2.1
"Crockett County, Tennessee",342,"6,449",5.3
"Crockett County, Texas",343,"1,558",22
"Crook County, Oregon",594,"11,300",5.3
"Crook County, Wyoming",239,"3,457",6.9
"Crosby County, Texas",169,"2,368",7.1
"Cross County, Arkansas",387,"7,273",5.3
"Crow Wing County, Minnesota","1,565","30,900",5.1
"Crowley County, Colorado",145,"1,589",9.1
"Culberson County, Texas",24,930,2.6
"Culebra Municipio, Puerto Rico",22,574,3.8
"Cullman County, Alabama","1,935","39,440",4.9
"Culpeper County, Virginia","1,879","25,794",7.3
"Cumberland County, Illinois",219,"5,524",4
"Cumberland County, Kentucky",174,"2,361",7.4
"Cumberland County, Maine","11,808","167,364",7.1
"Cumberland County, New Jersey","4,069","63,166",6.4
"Cumberland County, North Carolina","9,416","125,174",7.5
"Cumberland County, Pennsylvania","8,436","131,777",6.4
"Cumberland County, Tennessee",784,"22,676",3.5
"Cumberland County, Virginia",143,"5,069",2.8
"Cuming County, Nebraska",169,"4,684",3.6
"Currituck County, North Carolina",979,"14,123",6.9
"Curry County, New Mexico",997,"18,437",5.4
"Curry County, Oregon",530,"8,833",6
"Custer County, Colorado",61,"2,046",3
"Custer County, Idaho",113,"1,826",6.2
"Custer County, Montana",409,"6,245",6.5
"Custer County, Nebraska",367,"5,261",7
"Custer County, Oklahoma","1,074","14,247",7.5
"Custer County, South Dakota",189,"3,839",4.9
"Cuyahoga County, Ohio","33,497","605,214",5.5
"Dade County, Georgia",352,"7,073",5
"Dade County, Missouri",126,"3,136",4
"Daggett County, Utah",21,249,8.4
"Dakota County, Minnesota","13,604","239,442",5.7
"Dakota County, Nebraska",689,"10,539",6.5
"Dale County, Alabama",863,"18,115",4.8
"Dallam County, Texas",92,"3,839",2.4
"Dallas County, Alabama",828,"14,359",5.8
"Dallas County, Arkansas",104,"2,627",4
"Dallas County, Iowa","3,994","55,396",7.2
"Dallas County, Missouri",391,"6,453",6.1
"Dallas County, Texas","63,777","1,319,521",4.8
"Dane County, Wisconsin","25,690","317,881",8.1
"Daniels County, Montana",31,784,4
"Danville city, Virginia",737,"16,670",4.4
"Dare County, North Carolina","1,123","19,041",5.9
"Darke County, Ohio","1,186","24,579",4.8
"Darlington County, South Carolina","1,731","26,305",6.6
"Dauphin County, Pennsylvania","7,809","143,394",5.4
"Davidson County, North Carolina","4,131","77,106",5.4
"Davidson County, Tennessee","24,588","396,132",6.2
"Davie County, North Carolina",958,"19,800",4.8
"Daviess County, Indiana",747,"15,248",4.9
"Daviess County, Kentucky","2,789","47,470",5.9
"Daviess County, Missouri",285,"3,638",7.8
"Davis County, Iowa",195,"4,107",4.7
"Davis County, Utah","11,032","178,388",6.2
"Davison County, South Dakota",548,"10,433",5.3
"Dawes County, Nebraska",720,"4,373",16.5
"Dawson County, Georgia","1,063","13,604",7.8
"Dawson County, Montana",263,"4,460",5.9
"Dawson County, Nebraska",788,"12,386",6.4
"Dawson County, Texas",369,"4,270",8.6
"Day County, South Dakota",125,"2,485",5
"De Baca County, New Mexico",12,729,1.6
"De Soto Parish, Louisiana",475,"10,342",4.6
"De Witt County, Illinois",461,"7,604",6.1
"Deaf Smith County, Texas",495,"8,428",5.9
"Dearborn County, Indiana","1,533","25,739",6
"Decatur County, Georgia",495,"11,043",4.5
"Decatur County, Indiana",504,"13,324",3.8
"Decatur County, Iowa",345,"3,479",9.9
"Decatur County, Kansas",108,"1,308",8.3
"Decatur County, Tennessee",185,"4,419",4.2
"Deer Lodge County, Montana",165,"4,207",3.9
"Defiance County, Ohio",929,"18,813",4.9
"DeKalb County, Alabama","1,587","30,827",5.1
"DeKalb County, Georgia","25,890","388,455",6.7
"DeKalb County, Illinois","4,547","51,628",8.8
"DeKalb County, Indiana","1,032","21,356",4.8
"DeKalb County, Missouri",214,"4,245",5
"DeKalb County, Tennessee",312,"8,292",3.8
"Del Norte County, California",636,"9,912",6.4
"Delaware County, Indiana","3,690","52,929",7
"Delaware County, Iowa",514,"9,586",5.4
"Delaware County, New York","1,573","19,247",8.2
"Delaware County, Ohio","8,334","114,307",7.3
"Delaware County, Oklahoma",923,"16,076",5.7
"Delaware County, Pennsylvania","19,797","285,672",6.9
"Delta County, Colorado",567,"12,228",4.6
"Delta County, Michigan",658,"15,097",4.4
"Delta County, Texas",175,"2,310",7.6
"Denali Borough, Alaska",72,"1,344",5.4
"Dent County, Missouri",482,"6,154",7.8
"Denton County, Texas","34,760","501,458",6.9
"Denver County, Colorado","22,204","416,271",5.3
"Des Moines County, Iowa","1,214","18,599",6.5
"Deschutes County, Oregon","5,559","98,636",5.6
"Desha County, Arkansas",356,"4,057",8.8
"DeSoto County, Florida",681,"12,390",5.5
"DeSoto County, Mississippi","5,601","93,433",6
"Deuel County, Nebraska",72,881,8.2
"Deuel County, South Dakota",98,"2,110",4.6
"Dewey County, Oklahoma",84,"1,860",4.5
"Dewey County, South Dakota",265,"1,953",13.6
"DeWitt County, Texas",744,"7,539",9.9
"Dickens County, Texas",53,589,9
"Dickenson County, Virginia",238,"4,472",5.3
"Dickey County, North Dakota",124,"2,520",4.9
"Dickinson County, Iowa",507,"9,372",5.4
"Dickinson County, Kansas",900,"8,870",10.1
"Dickinson County, Michigan",479,"11,876",4
"Dickson County, Tennessee","1,215","26,078",4.7
"Dillingham Census Area, Alaska",153,"1,935",7.9
"Dillon County, South Carolina",545,"11,296",4.8
"Dimmit County, Texas",30,"2,352",1.3
"Dinwiddie County, Virginia",727,"13,516",5.4
"District of Columbia, District of Columbia","22,989","369,398",6.2
"Divide County, North Dakota",41,986,4.2
"Dixie County, Florida",241,"5,447",4.4
"Dixon County, Nebraska",109,"2,800",3.9
"Doddridge County, West Virginia",88,"2,990",2.9
"Dodge County, Georgia",440,"7,728",5.7
"Dodge County, Minnesota",774,"11,441",6.8
"Dodge County, Nebraska","1,388","18,088",7.7
"Dodge County, Wisconsin","1,857","47,053",3.9
"Dolores County, Colorado",81,"1,073",7.5
"Doña Ana County, New Mexico","8,191","92,088",8.9
"Doniphan County, Kansas",207,"3,721",5.6
"Donley County, Texas",108,"1,386",7.8
"Dooly County, Georgia",108,"3,958",2.7
"Door County, Wisconsin",517,"14,387",3.6
"Dorado Municipio, Puerto Rico",619,"12,313",5
"Dorchester County, Maryland",612,"15,001",4.1
"Dorchester County, South Carolina","4,613","77,519",6
"Dougherty County, Georgia","1,970","33,442",5.9
"Douglas County, Colorado","11,332","197,288",5.7
"Douglas County, Georgia","4,549","70,280",6.5
"Douglas County, Illinois",665,"9,641",6.9
"Douglas County, Kansas","6,978","66,803",10.4
"Douglas County, Minnesota","1,114","19,658",5.7
"Douglas County, Missouri",166,"4,344",3.8
"Douglas County, Nebraska","20,165","304,777",6.6
"Douglas County, Nevada","1,077","21,681",5
"Douglas County, Oregon","2,044","43,613",4.7
"Douglas County, South Dakota",83,"1,446",5.7
"Douglas County, Washington",953,"20,627",4.6
"Douglas County, Wisconsin","1,197","22,041",5.4
"Drew County, Arkansas",771,"7,146",10.8
"Dubois County, Indiana","1,047","22,743",4.6
"Dubuque County, Iowa","3,093","51,346",6
"Duchesne County, Utah",468,"8,006",5.8
"Dukes County, Massachusetts",860,"10,474",8.2
"Dundy County, Nebraska",63,975,6.5
"Dunklin County, Missouri",848,"11,043",7.7
"Dunn County, North Dakota",67,"1,913",3.5
"Dunn County, Wisconsin","1,627","24,233",6.7
"DuPage County, Illinois","30,027","489,400",6.1
"Duplin County, North Carolina","1,273","21,679",5.9
"Durham County, North Carolina","15,041","171,659",8.8
"Dutchess County, New York","11,817","148,109",8
"Duval County, Florida","23,705","484,091",4.9
"Duval County, Texas",175,"3,646",4.8
"Dyer County, Tennessee",761,"15,967",4.8
"Eagle County, Colorado","1,640","32,146",5.1
"Early County, Georgia",286,"4,258",6.7
"East Baton Rouge Parish, Louisiana","16,355","217,919",7.5
"East Carroll Parish, Louisiana",40,"1,693",2.4
"East Feliciana Parish, Louisiana",283,"6,647",4.3
"Eastland County, Texas",487,"7,706",6.3
"Eaton County, Michigan","2,583","53,895",4.8
"Eau Claire County, Wisconsin","3,585","57,979",6.2
"Echols County, Georgia",69,"1,901",3.6
"Ector County, Texas","3,340","74,794",4.5
"Eddy County, New Mexico","1,610","27,391",5.9
"Eddy County, North Dakota",99,"1,105",9
"Edgar County, Illinois",444,"7,526",5.9
"Edgecombe County, North Carolina","1,252","20,366",6.1
"Edgefield County, South Carolina",923,"11,160",8.3
"Edmonson County, Kentucky",260,"4,727",5.5
"Edmunds County, South Dakota",148,"1,913",7.7
"Edwards County, Illinois",140,"2,694",5.2
"Edwards County, Kansas",63,"1,359",4.6
"Edwards County, Texas",35,728,4.8
"Effingham County, Georgia","2,014","30,888",6.5
"Effingham County, Illinois",723,"17,595",4.1
"El Dorado County, California","4,920","87,959",5.6
"El Paso County, Colorado","22,885","342,274",6.7
"El Paso County, Texas","28,843","368,320",7.8
"Elbert County, Colorado",607,"14,177",4.3
"Elbert County, Georgia",474,"8,514",5.6
"Elk County, Kansas",98,955,10.3
"Elk County, Pennsylvania",484,"14,970",3.2
"Elkhart County, Indiana","4,854","98,862",4.9
"Elko County, Nevada","1,554","26,275",5.9
"Elliott County, Kentucky",101,"1,884",5.4
"Ellis County, Kansas","1,662","16,719",9.9
"Ellis County, Oklahoma",86,"1,585",5.4
"Ellis County, Texas","6,791","99,369",6.8
"Ellsworth County, Kansas",198,"2,638",7.5
"Elmore County, Alabama","2,176","39,250",5.5
"Elmore County, Idaho",434,"10,014",4.3
"Emanuel County, Georgia",434,"9,194",4.7
"Emery County, Utah",279,"4,043",6.9
"Emmet County, Iowa",179,"4,871",3.7
"Emmet County, Michigan","1,178","17,075",6.9
"Emmons County, North Dakota",87,"1,571",5.5
"Emporia city, Virginia",58,"2,185",2.7
"Erath County, Texas","1,461","20,833",7
"Erie County, New York","35,815","466,028",7.7
"Erie County, Ohio","1,916","35,755",5.4
"Erie County, Pennsylvania","7,208","124,388",5.8
"Escambia County, Alabama",546,"12,964",4.2
"Escambia County, Florida","7,732","139,992",5.5
"Esmeralda County, Nevada",31,409,7.6
"Essex County, Massachusetts","27,384","421,898",6.5
"Essex County, New Jersey","27,179","408,082",6.7
"Essex County, New York","1,349","17,294",7.8
"Essex County, Vermont",211,"2,628",8
"Essex County, Virginia",153,"4,402",3.5
"Estill County, Kentucky",266,"4,815",5.5
"Etowah County, Alabama","2,509","44,508",5.6
"Eureka County, Nevada",36,579,6.2
"Evangeline Parish, Louisiana",757,"11,404",6.6
"Evans County, Georgia",283,"4,406",6.4
"Fairbanks North Star Borough, Alaska","3,128","42,078",7.4
"Fairfax city, Virginia","1,185","13,137",9
"Fairfax County, Virginia","38,410","610,265",6.3
"Fairfield County, Ohio","4,837","78,317",6.2
"Fairfield County, South Carolina",353,"9,232",3.8
"Fajardo Municipio, Puerto Rico",471,"10,590",4.4
"Fall River County, South Dakota",164,"2,971",5.5
"Fallon County, Montana",65,"1,426",4.6
"Falls Church city, Virginia",592,"7,941",7.5
"Falls County, Texas",289,"6,248",4.6
"Fannin County, Georgia",577,"9,979",5.8
"Fannin County, Texas","1,184","15,060",7.9
"Faribault County, Minnesota",388,"6,889",5.6
"Faulk County, South Dakota",45,947,4.8
"Faulkner County, Arkansas","4,252","58,278",7.3
"Fauquier County, Virginia","2,323","38,689",6
"Fayette County, Alabama",196,"6,296",3.1
"Fayette County, Georgia","3,834","54,962",7
"Fayette County, Illinois",291,"9,012",3.2
"Fayette County, Indiana",292,"10,377",2.8
"Fayette County, Iowa",496,"9,230",5.4
"Fayette County, Kentucky","14,405","169,451",8.5
"Fayette County, Ohio",582,"12,940",4.5
"Fayette County, Pennsylvania","2,957","54,363",5.4
"Fayette County, Tennessee",930,"19,462",4.8
"Fayette County, Texas",434,"10,862",4
"Fayette County, West Virginia",691,"14,182",4.9
"Fentress County, Tennessee",342,"7,223",4.7
"Fergus County, Montana",160,"5,591",2.9
"Ferry County, Washington",186,"2,521",7.4
"Fillmore County, Minnesota",620,"10,778",5.8
"Fillmore County, Nebraska",225,"3,004",7.5
"Finney County, Kansas","1,381","18,692",7.4
"Fisher County, Texas",146,"1,816",8
"Flagler County, Florida","2,590","48,151",5.4
"Flathead County, Montana","2,427","52,022",4.7
"Fleming County, Kentucky",288,"6,049",4.8
"Florence County, South Carolina","4,141","60,040",6.9
"Florence County, Wisconsin",63,"1,964",3.2
"Florida Municipio, Puerto Rico",202,"3,544",5.7
"Floyd County, Georgia","2,496","43,616",5.7
"Floyd County, Indiana","1,992","39,654",5
"Floyd County, Iowa",374,"7,426",5
"Floyd County, Kentucky",838,"11,249",7.4
"Floyd County, Texas",148,"2,238",6.6
"Floyd County, Virginia",375,"7,652",4.9
"Fluvanna County, Virginia",836,"13,379",6.2
"Foard County, Texas",57,508,11.2
"Fond du Lac County, Wisconsin","2,288","53,417",4.3
"Ford County, Illinois",482,"6,382",7.6
"Ford County, Kansas","1,089","17,165",6.3
"Forest County, Pennsylvania",59,"1,630",3.6
"Forest County, Wisconsin",225,"3,779",6
"Forrest County, Mississippi","2,430","36,010",6.7
"Forsyth County, Georgia","8,800","130,217",6.8
"Forsyth County, North Carolina","12,095","178,260",6.8
"Fort Bend County, Texas","28,040","401,677",7
"Foster County, North Dakota",82,"1,808",4.5
"Fountain County, Indiana",425,"7,752",5.5
"Franklin city, Virginia",173,"3,449",5
"Franklin County, Alabama",740,"13,469",5.5
"Franklin County, Arkansas",316,"6,743",4.7
"Franklin County, Florida",205,"4,255",4.8
"Franklin County, Georgia",621,"9,505",6.5
"Franklin County, Idaho",377,"6,506",5.8
"Franklin County, Illinois",960,"15,875",6
"Franklin County, Indiana",383,"11,566",3.3
"Franklin County, Iowa",271,"4,735",5.7
"Franklin County, Kansas",717,"13,107",5.5
"Franklin County, Kentucky","1,412","24,728",5.7
"Franklin County, Maine","1,086","14,000",7.8
"Franklin County, Massachusetts","3,860","36,043",10.7
"Franklin County, Mississippi",243,"2,580",9.4
"Franklin County, Missouri","2,548","50,028",5.1
"Franklin County, Nebraska",58,"1,378",4.2
"Franklin County, New York","1,662","19,321",8.6
"Franklin County, North Carolina","2,173","32,725",6.6
"Franklin County, Ohio","41,876","694,653",6
"Franklin County, Pennsylvania","5,332","75,850",7
"Franklin County, Tennessee","1,393","19,502",7.1
"Franklin County, Texas",486,"4,771",10.2
"Franklin County, Vermont","1,742","25,632",6.8
"Franklin County, Virginia","1,410","23,999",5.9
"Franklin County, Washington","1,901","43,495",4.4
"Franklin Parish, Louisiana",376,"6,686",5.6
"Frederick County, Maryland","9,904","144,673",6.8
"Frederick County, Virginia","2,736","44,888",6.1
"Fredericksburg city, Virginia","1,201","14,745",8.1
"Freeborn County, Minnesota",676,"14,695",4.6
"Freestone County, Texas",518,"7,131",7.3
"Fremont County, Colorado","1,080","16,855",6.4
"Fremont County, Idaho",330,"5,798",5.7
"Fremont County, Iowa",186,"3,129",5.9
"Fremont County, Wyoming","1,145","17,285",6.6
"Fresno County, California","26,901","423,399",6.4
"Frio County, Texas",354,"6,930",5.1
"Frontier County, Nebraska",127,"1,181",10.8
"Fulton County, Arkansas",204,"4,249",4.8
"Fulton County, Georgia","33,830","561,697",6
"Fulton County, Illinois",854,"14,496",5.9
"Fulton County, Indiana",344,"8,887",3.9
"Fulton County, Kentucky",83,"2,196",3.8
"Fulton County, New York","1,747","24,326",7.2
"Fulton County, Ohio",921,"20,603",4.5
"Fulton County, Pennsylvania",303,"6,879",4.4
"Furnas County, Nebraska",137,"2,219",6.2
"Gadsden County, Florida",889,"16,452",5.4
"Gage County, Nebraska",587,"10,781",5.4
"Gaines County, Texas",267,"8,826",3
"Galax city, Virginia",98,"2,796",3.5
"Gallatin County, Illinois",89,"2,125",4.2
"Gallatin County, Kentucky",176,"3,940",4.5
"Gallatin County, Montana","4,316","69,031",6.3
"Gallia County, Ohio",803,"11,806",6.8
"Galveston County, Texas","12,250","166,845",7.3
"Garden County, Nebraska",55,698,7.9
"Garfield County, Colorado","1,742","34,042",5.1
"Garfield County, Montana",37,536,6.9
"Garfield County, Nebraska",62,956,6.5
"Garfield County, Oklahoma","1,578","28,071",5.6
"Garfield County, Utah",137,"2,337",5.9
"Garfield County, Washington",46,910,5.1
"Garland County, Arkansas","2,654","42,296",6.3
"Garrard County, Kentucky",420,"7,209",5.8
"Garrett County, Maryland",606,"13,555",4.5
"Garvin County, Oklahoma",548,"10,810",5.1
"Garza County, Texas",149,"1,662",9
"Gasconade County, Missouri",344,"7,175",4.8
"Gaston County, North Carolina","5,327","109,133",4.9
"Gates County, North Carolina",264,"4,560",5.8
"Geary County, Kansas","1,067","13,229",8.1
"Geauga County, Ohio","2,578","48,094",5.4
"Gem County, Idaho",657,"8,608",7.6
"Genesee County, Michigan","8,347","173,444",4.8
"Genesee County, New York","1,944","28,893",6.7
"Geneva County, Alabama",491,"10,890",4.5
"Gentry County, Missouri",207,"2,801",7.4
"George County, Mississippi",638,"8,394",7.6
"Georgetown County, South Carolina","1,736","26,060",6.7
"Gibson County, Indiana",879,"15,859",5.5
"Gibson County, Tennessee",951,"21,560",4.4
"Gila County, Arizona","1,072","18,692",5.7
"Gilchrist County, Florida",477,"7,606",6.3
"Giles County, Tennessee",462,"13,161",3.5
"Giles County, Virginia",506,"7,458",6.8
"Gillespie County, Texas",678,"12,396",5.5
"Gilliam County, Oregon",39,802,4.9
"Gilmer County, Georgia","1,242","13,571",9.2
"Gilmer County, West Virginia",309,"2,367",13.1
"Gilpin County, Colorado",251,"3,574",7
"Glacier County, Montana",424,"4,926",8.6
"Glades County, Florida",83,"3,608",2.3
"Gladwin County, Michigan",361,"9,258",3.9
"Glascock County, Georgia",48,"1,321",3.6
"Glasscock County, Texas",6,463,1.3
"Glenn County, California",580,"12,496",4.6
"Gloucester County, New Jersey","12,135","155,791",7.8
"Gloucester County, Virginia","1,007","19,020",5.3
"Glynn County, Georgia","2,449","37,799",6.5
"Gogebic County, Michigan",270,"6,081",4.4
"Golden Valley County, Montana",29,380,7.6
"Golden Valley County, North Dakota",27,810,3.3
"Goliad County, Texas",183,"2,882",6.3
"Gonzales County, Texas",349,"8,679",4
"Goochland County, Virginia",618,"11,680",5.3
"Goodhue County, Minnesota","1,810","23,981",7.5
"Gooding County, Idaho",407,"7,184",5.7
"Gordon County, Georgia","1,333","26,411",5
"Goshen County, Wyoming",456,"5,770",7.9
"Gosper County, Nebraska",77,917,8.4
"Gove County, Kansas",140,"1,297",10.8
"Grady County, Georgia",932,"11,042",8.4
"Grady County, Oklahoma","1,529","24,964",6.1
"Grafton County, New Hampshire","3,960","46,354",8.5
"Graham County, Arizona",788,"14,064",5.6
"Graham County, Kansas",69,"1,171",5.9
"Graham County, North Carolina",373,"3,171",11.8
"Grainger County, Tennessee",528,"9,746",5.4
"Grand County, Colorado",527,"8,786",6
"Grand County, Utah",226,"5,690",4
"Grand Forks County, North Dakota","3,783","39,615",9.5
"Grand Isle County, Vermont",332,"3,722",8.9
"Grand Traverse County, Michigan","2,771","48,469",5.7
"Granite County, Montana",30,"1,317",2.3
"Grant County, Arkansas",512,"7,782",6.6
"Grant County, Indiana","1,977","29,595",6.7
"Grant County, Kansas",135,"3,615",3.7
"Grant County, Kentucky",609,"11,179",5.4
"Grant County, Minnesota",141,"2,908",4.8
"Grant County, Nebraska",35,350,10
"Grant County, New Mexico",706,"9,795",7.2
"Grant County, North Dakota",87,"1,047",8.3
"Grant County, Oklahoma",81,"1,824",4.4
"Grant County, Oregon",177,"2,943",6
"Grant County, South Dakota",156,"3,779",4.1
"Grant County, Washington","3,137","43,461",7.2
"Grant County, West Virginia",219,"5,055",4.3
"Grant County, Wisconsin","1,814","26,205",6.9
"Grant Parish, Louisiana",274,"7,801",3.5
"Granville County, North Carolina","1,819","26,914",6.8
"Gratiot County, Michigan","1,040","17,131",6.1
"Graves County, Kentucky",601,"15,371",3.9
"Gray County, Kansas",227,"2,937",7.7
"Gray County, Texas",654,"9,028",7.2
"Grays Harbor County, Washington","2,142","29,300",7.3
"Grayson County, Kentucky",805,"10,639",7.6
"Grayson County, Texas","3,453","64,616",5.3
"Grayson County, Virginia",268,"5,963",4.5
"Greater Bridgeport Planning Region, Connecticut","10,951","159,994",6.8
"Greeley County, Kansas",63,711,8.9
"Greeley County, Nebraska",55,992,5.5
"Green County, Kentucky",169,"4,088",4.1
"Green County, Wisconsin","1,050","19,731",5.3
"Green Lake County, Wisconsin",405,"8,987",4.5
"Greenbrier County, West Virginia",555,"13,422",4.1
"Greene County, Alabama",147,"2,355",6.2
"Greene County, Arkansas","1,304","19,940",6.5
"Greene County, Georgia",505,"7,356",6.9
"Greene County, Illinois",274,"5,547",4.9
"Greene County, Indiana",519,"13,632",3.8
"Greene County, Iowa",162,"4,367",3.7
"Greene County, Mississippi",329,"3,247",10.1
"Greene County, Missouri","9,664","145,082",6.7
"Greene County, New York","1,193","21,909",5.4
"Greene County, North Carolina",532,"8,089",6.6
"Greene County, Ohio","5,239","79,792",6.6
"Greene County, Pennsylvania",931,"14,223",6.5
"Greene County, Tennessee","1,740","29,264",5.9
"Greene County, Virginia",529,"10,861",4.9
"Greenlee County, Arizona",299,"4,148",7.2
"Greensville County, Virginia",440,"3,928",11.2
"Greenup County, Kentucky","1,211","13,741",8.8
"Greenville County, South Carolina","15,292","262,211",5.8
"Greenwood County, Kansas",160,"2,851",5.6
"Greenwood County, South Carolina","1,868","29,395",6.4
"Greer County, Oklahoma",113,"1,935",5.8
"Gregg County, Texas","2,955","56,862",5.2
"Gregory County, South Dakota",102,"1,922",5.3
"Grenada County, Mississippi",824,"9,044",9.1
"Griggs County, North Dakota",45,"1,136",4
"Grimes County, Texas",772,"11,659",6.6
"Grundy County, Illinois","1,835","26,820",6.8
"Grundy County, Iowa",438,"6,275",7
"Grundy County, Missouri",251,"4,014",6.3
"Grundy County, Tennessee",393,"5,389",7.3
"Guadalupe County, New Mexico",80,"1,634",4.9
"Guadalupe County, Texas","4,734","82,433",5.7
"Guánica Municipio, Puerto Rico",259,"2,984",8.7
"Guayama Municipio, Puerto Rico",677,"9,386",7.2
"Guayanilla Municipio, Puerto Rico",426,"4,442",9.6
"Guaynabo Municipio, Puerto Rico","2,289","37,187",6.2
"Guernsey County, Ohio",661,"16,725",4
"Guilford County, North Carolina","17,457","263,584",6.6
"Gulf County, Florida",410,"5,290",7.8
"Gunnison County, Colorado",568,"10,414",5.5
