Geographic Area,Healthcare practitioners and technical occupations,Total,Health job
"Clearwater County, Minnesota",253,"3,628",7
"Cleburne County, Alabama",413,"5,692",7.3
"Cleburne County, Arkansas",741,"9,386",7.9
"Clermont County, Ohio","6,264","104,710",6
"Cleveland County, Arkansas",324,"2,923",11.1
"Cleveland County, North Carolina","2,427","43,294",5.6
"Cleveland County, Oklahoma","9,965","148,128",6.7
"Clinch County, Georgia",77,"2,515",3.1
"Clinton County, Illinois","1,500","18,281",8.2
"Clinton County, Indiana",726,"15,524",4.7
"Clinton County, Iowa","1,456","21,617",6.7
"Clinton County, Kentucky",212,"3,746",5.7
"Clinton County, Michigan","2,657","39,293",6.8
"Clinton County, Missouri",548,"9,539",5.7
"Clinton County, New York","2,638","35,932",7.3
"Clinton County, Ohio","1,177","20,167",5.8
"Clinton County, Pennsylvania","1,080","17,621",6.1
"Cloud County, Kansas",318,"4,156",7.7
"Coahoma County, Mississippi",549,"7,572",7.3
"Coal County, Oklahoma",86,"2,025",4.2
"Coamo Municipio, Puerto Rico",595,"10,921",5.4
"Cobb County, Georgia","22,918","409,632",5.6
"Cochise County, Arizona","2,717","44,200",6.1
"Cochran County, Texas",19,"1,069",1.8
"Cocke County, Tennessee",794,"14,689",5.4
"Coconino County, Arizona","4,299","67,955",6.3
"Codington County, South Dakota",785,"15,397",5.1
"Coffee County, Alabama","1,511","21,804",6.9
"Coffee County, Georgia",717,"17,710",4
"Coffee County, Tennessee","1,200","25,872",4.6
"Coffey County, Kansas",203,"3,961",5.1
"Coke County, Texas",30,"1,341",2.2
"Colbert County, Alabama","1,961","25,589",7.7
"Cole County, Missouri","1,961","37,723",5.2
"Coleman County, Texas",174,"3,371",5.2
"Coles County, Illinois","1,322","23,400",5.6
"Colfax County, Nebraska",166,"5,275",3.1
"Colfax County, New Mexico",185,"5,160",3.6
"Colleton County, South Carolina",836,"15,659",5.3
"Collier County, Florida","9,608","161,734",5.9
"Collin County, Texas","33,686","565,939",6
"Collingsworth County, Texas",73,"1,306",5.6
"Colonial Heights city, Virginia",552,"8,700",6.3
"Colorado County, Texas",771,"8,841",8.7
"Colquitt County, Georgia","1,248","19,342",6.5
"Columbia County, Arkansas",549,"9,232",5.9
"Columbia County, Florida","2,659","27,450",9.7
"Columbia County, Georgia","6,093","73,121",8.3
"Columbia County, New York","1,969","29,575",6.7
"Columbia County, Oregon",985,"24,361",4
"Columbia County, Pennsylvania","2,563","30,240",8.5
"Columbia County, Washington",60,"1,833",3.3
"Columbia County, Wisconsin","1,799","30,765",5.8
"Columbiana County, Ohio","2,841","46,351",6.1
"Columbus County, North Carolina","1,099","18,872",5.8
"Colusa County, California",200,"9,728",2.1
"Comal County, Texas","5,244","77,609",6.8
"Comanche County, Kansas",53,878,6
"Comanche County, Oklahoma","3,510","45,750",7.7
"Comanche County, Texas",348,"6,177",5.6
"Comerío Municipio, Puerto Rico",841,"5,588",15.1
"Concho County, Texas",235,997,23.6
"Concordia Parish, Louisiana",248,"5,455",4.5
"Conecuh County, Alabama",256,"3,757",6.8
"Conejos County, Colorado",139,"3,066",4.5
"Contra Costa County, California","31,660","573,653",5.5
"Converse County, Wyoming",296,"6,867",4.3
"Conway County, Arkansas",445,"8,958",5
"Cook County, Georgia",479,"7,551",6.3
"Cook County, Illinois","156,205","2,600,619",6
"Cook County, Minnesota",145,"2,876",5
"Cooke County, Texas","1,389","20,047",6.9
"Cooper County, Missouri",548,"7,258",7.6
"Coos County, New Hampshire",959,"14,431",6.6
"Coos County, Oregon","1,130","25,960",4.4
"Coosa County, Alabama",182,"3,868",4.7
"Copiah County, Mississippi","1,242","10,780",11.5
"Copper River Census Area, Alaska",45,"1,124",4
"Corozal Municipio, Puerto Rico",884,"10,271",8.6
"Corson County, South Dakota",33,"1,186",2.8
"Cortland County, New York","1,552","23,285",6.7
"Coryell County, Texas","1,824","25,141",7.3
"Coshocton County, Ohio",978,"15,505",6.3
"Costilla County, Colorado",60,"1,229",4.9
"Cottle County, Texas",21,717,2.9
"Cotton County, Oklahoma",145,"2,382",6.1
"Cottonwood County, Minnesota",266,"5,398",4.9
"Covington city, Virginia",185,"2,357",7.8
"Covington County, Alabama","1,336","15,090",8.9
"Covington County, Mississippi",495,"7,128",6.9
"Coweta County, Georgia","4,310","73,138",5.9
"Cowley County, Kansas",785,"15,273",5.1
"Cowlitz County, Washington","1,962","46,916",4.2
"Craig County, Oklahoma",320,"5,393",5.9
"Craig County, Virginia",56,"1,997",2.8
"Craighead County, Arkansas","4,862","51,494",9.4
"Crane County, Texas",20,"2,244",0.9
"Craven County, North Carolina","3,121","40,158",7.8
"Crawford County, Arkansas","1,435","24,637",5.8
"Crawford County, Georgia",334,"5,008",6.7
"Crawford County, Illinois",592,"8,281",7.1
"Crawford County, Indiana",153,"4,325",3.5
"Crawford County, Iowa",283,"7,910",3.6
"Crawford County, Kansas","1,145","19,531",5.9
"Crawford County, Michigan",311,"5,281",5.9
"Crawford County, Missouri",427,"9,115",4.7
"Crawford County, Ohio","1,028","19,199",5.4
"Crawford County, Pennsylvania","2,161","36,129",6
"Crawford County, Wisconsin",382,"7,087",5.4
"Creek County, Oklahoma","1,654","31,202",5.3
"Crenshaw County, Alabama",244,"5,132",4.8
"Crisp County, Georgia",609,"8,630",7.1
"Crittenden County, Arkansas","1,314","20,355",6.5
"Crittenden County, Kentucky",247,"3,485",7.1
"Crockett County, Tennessee",537,"6,449",8.3
"Crockett County, Texas",16,"1,558",1
"Crook County, Oregon",609,"11,300",5.4
"Crook County, Wyoming",147,"3,457",4.3
"Crosby County, Texas",64,"2,368",2.7
"Cross County, Arkansas",428,"7,273",5.9
"Crow Wing County, Minnesota","2,160","30,900",7
"Crowley County, Colorado",90,"1,589",5.7
"Culberson County, Texas",8,930,0.9
"Culebra Municipio, Puerto Rico",4,574,0.7
"Cullman County, Alabama","2,351","39,440",6
"Culpeper County, Virginia","1,127","25,794",4.4
"Cumberland County, Illinois",333,"5,524",6
"Cumberland County, Kentucky",61,"2,361",2.6
"Cumberland County, Maine","14,203","167,364",8.5
"Cumberland County, New Jersey","3,829","63,166",6.1
"Cumberland County, North Carolina","8,574","125,174",6.8
"Cumberland County, Pennsylvania","8,937","131,777",6.8
"Cumberland County, Tennessee","1,333","22,676",5.9
"Cumberland County, Virginia",285,"5,069",5.6
"Cuming County, Nebraska",328,"4,684",7
"Currituck County, North Carolina",582,"14,123",4.1
"Curry County, New Mexico",675,"18,437",3.7
"Curry County, Oregon",362,"8,833",4.1
"Custer County, Colorado",210,"2,046",10.3
"Custer County, Idaho",73,"1,826",4
"Custer County, Montana",462,"6,245",7.4
"Custer County, Nebraska",324,"5,261",6.2
"Custer County, Oklahoma",904,"14,247",6.3
"Custer County, South Dakota",342,"3,839",8.9
"Cuyahoga County, Ohio","49,149","605,214",8.1
"Dade County, Georgia",217,"7,073",3.1
"Dade County, Missouri",139,"3,136",4.4
"Daggett County, Utah",0,249,0
"Dakota County, Minnesota","14,667","239,442",6.1
"Dakota County, Nebraska",312,"10,539",3
"Dale County, Alabama","1,138","18,115",6.3
"Dallam County, Texas",67,"3,839",1.7
"Dallas County, Alabama",672,"14,359",4.7
"Dallas County, Arkansas",206,"2,627",7.8
"Dallas County, Iowa","3,898","55,396",7
"Dallas County, Missouri",330,"6,453",5.1
"Dallas County, Texas","62,045","1,319,521",4.7
"Dane County, Wisconsin","24,547","317,881",7.7
"Daniels County, Montana",34,784,4.3
"Danville city, Virginia","1,169","16,670",7
"Dare County, North Carolina","1,431","19,041",7.5
"Darke County, Ohio","1,256","24,579",5.1
"Darlington County, South Carolina","1,634","26,305",6.2
"Dauphin County, Pennsylvania","10,440","143,394",7.3
"Davidson County, North Carolina","4,487","77,106",5.8
"Davidson County, Tennessee","26,175","396,132",6.6
"Davie County, North Carolina","1,272","19,800",6.4
"Daviess County, Indiana",916,"15,248",6
"Daviess County, Kentucky","3,287","47,470",6.9
"Daviess County, Missouri",163,"3,638",4.5
"Davis County, Iowa",241,"4,107",5.9
"Davis County, Utah","10,450","178,388",5.9
"Davison County, South Dakota",511,"10,433",4.9
"Dawes County, Nebraska",146,"4,373",3.3
"Dawson County, Georgia","1,086","13,604",8
"Dawson County, Montana",265,"4,460",5.9
"Dawson County, Nebraska",495,"12,386",4
"Dawson County, Texas",162,"4,270",3.8
"Day County, South Dakota",132,"2,485",5.3
"De Baca County, New Mexico",20,729,2.7
"De Soto Parish, Louisiana",757,"10,342",7.3
"De Witt County, Illinois",331,"7,604",4.4
"Deaf Smith County, Texas",90,"8,428",1.1
"Dearborn County, Indiana","1,975","25,739",7.7
"Decatur County, Georgia",669,"11,043",6.1
"Decatur County, Indiana",882,"13,324",6.6
"Decatur County, Iowa",174,"3,479",5
"Decatur County, Kansas",78,"1,308",6
"Decatur County, Tennessee",437,"4,419",9.9
"Deer Lodge County, Montana",318,"4,207",7.6
"Defiance County, Ohio","1,143","18,813",6.1
"DeKalb County, Alabama","1,810","30,827",5.9
"DeKalb County, Georgia","21,493","388,455",5.5
"DeKalb County, Illinois","3,139","51,628",6.1
"DeKalb County, Indiana","1,114","21,356",5.2
"DeKalb County, Missouri",230,"4,245",5.4
"DeKalb County, Tennessee",721,"8,292",8.7
"Del Norte County, California",844,"9,912",8.5
"Delaware County, Indiana","3,507","52,929",6.6
"Delaware County, Iowa",599,"9,586",6.2
"Delaware County, New York",997,"19,247",5.2
"Delaware County, Ohio","9,224","114,307",8.1
"Delaware County, Oklahoma",899,"16,076",5.6
"Delaware County, Pennsylvania","20,879","285,672",7.3
"Delta County, Colorado",664,"12,228",5.4
"Delta County, Michigan",803,"15,097",5.3
"Delta County, Texas",210,"2,310",9.1
"Denali Borough, Alaska",7,"1,344",0.5
"Dent County, Missouri",456,"6,154",7.4
"Denton County, Texas","27,058","501,458",5.4
"Denver County, Colorado","27,396","416,271",6.6
"Des Moines County, Iowa","1,233","18,599",6.6
"Deschutes County, Oregon","6,009","98,636",6.1
"Desha County, Arkansas",188,"4,057",4.6
"DeSoto County, Florida",589,"12,390",4.8
"DeSoto County, Mississippi","7,310","93,433",7.8
"Deuel County, Nebraska",71,881,8.1
"Deuel County, South Dakota",74,"2,110",3.5
"Dewey County, Oklahoma",56,"1,860",3
"Dewey County, South Dakota",49,"1,953",2.5
"DeWitt County, Texas",471,"7,539",6.2
"Dickens County, Texas",34,589,5.8
"Dickenson County, Virginia",409,"4,472",9.1
"Dickey County, North Dakota",215,"2,520",8.5
"Dickinson County, Iowa",581,"9,372",6.2
"Dickinson County, Kansas",640,"8,870",7.2
"Dickinson County, Michigan",883,"11,876",7.4
"Dickson County, Tennessee","1,803","26,078",6.9
"Dillingham Census Area, Alaska",240,"1,935",12.4
"Dillon County, South Carolina",674,"11,296",6
"Dimmit County, Texas",40,"2,352",1.7
"Dinwiddie County, Virginia",907,"13,516",6.7
"District of Columbia, District of Columbia","14,232","369,398",3.9
"Divide County, North Dakota",30,986,3
"Dixie County, Florida",124,"5,447",2.3
"Dixon County, Nebraska",125,"2,800",4.5
"Doddridge County, West Virginia",153,"2,990",5.1
"Dodge County, Georgia",350,"7,728",4.5
"Dodge County, Minnesota","1,203","11,441",10.5
"Dodge County, Nebraska",944,"18,088",5.2
"Dodge County, Wisconsin","2,053","47,053",4.4
"Dolores County, Colorado",8,"1,073",0.7
"Doña Ana County, New Mexico","4,791","92,088",5.2
"Doniphan County, Kansas",195,"3,721",5.2
"Donley County, Texas",73,"1,386",5.3
"Dooly County, Georgia",325,"3,958",8.2
"Door County, Wisconsin",843,"14,387",5.9
"Dorado Municipio, Puerto Rico",860,"12,313",7
"Dorchester County, Maryland","1,132","15,001",7.5
"Dorchester County, South Carolina","5,104","77,519",6.6
"Dougherty County, Georgia","2,374","33,442",7.1
"Douglas County, Colorado","11,895","197,288",6
"Douglas County, Georgia","3,801","70,280",5.4
"Douglas County, Illinois",466,"9,641",4.8
"Douglas County, Kansas","4,421","66,803",6.6
"Douglas County, Minnesota","1,357","19,658",6.9
"Douglas County, Missouri",196,"4,344",4.5
"Douglas County, Nebraska","21,515","304,777",7.1
"Douglas County, Nevada",957,"21,681",4.4
"Douglas County, Oregon","2,592","43,613",5.9
"Douglas County, South Dakota",84,"1,446",5.8
"Douglas County, Washington",985,"20,627",4.8
"Douglas County, Wisconsin","1,399","22,041",6.3
"Drew County, Arkansas",460,"7,146",6.4
"Dubois County, Indiana","1,135","22,743",5
"Dubuque County, Iowa","3,402","51,346",6.6
"Duchesne County, Utah",368,"8,006",4.6
"Dukes County, Massachusetts",639,"10,474",6.1
"Dundy County, Nebraska",61,975,6.3
"Dunklin County, Missouri",758,"11,043",6.9
"Dunn County, North Dakota",89,"1,913",4.7
"Dunn County, Wisconsin",920,"24,233",3.8
"DuPage County, Illinois","32,696","489,400",6.7
"Duplin County, North Carolina",952,"21,679",4.4
"Durham County, North Carolina","16,141","171,659",9.4
"Dutchess County, New York","10,712","148,109",7.2
"Duval County, Florida","30,187","484,091",6.2
"Duval County, Texas",155,"3,646",4.3
"Dyer County, Tennessee","1,436","15,967",9
"Eagle County, Colorado","1,402","32,146",4.4
"Early County, Georgia",224,"4,258",5.3
"East Baton Rouge Parish, Louisiana","14,053","217,919",6.4
"East Carroll Parish, Louisiana",72,"1,693",4.3
"East Feliciana Parish, Louisiana",609,"6,647",9.2
"Eastland County, Texas",333,"7,706",4.3
"Eaton County, Michigan","2,904","53,895",5.4
"Eau Claire County, Wisconsin","4,016","57,979",6.9
"Echols County, Georgia",64,"1,901",3.4
"Ector County, Texas","3,574","74,794",4.8
"Eddy County, New Mexico","1,179","27,391",4.3
"Eddy County, North Dakota",66,"1,105",6
"Edgar County, Illinois",530,"7,526",7
"Edgecombe County, North Carolina","1,146","20,366",5.6
"Edgefield County, South Carolina",586,"11,160",5.3
"Edmonson County, Kentucky",205,"4,727",4.3
"Edmunds County, South Dakota",206,"1,913",10.8
"Edwards County, Illinois",257,"2,694",9.5
"Edwards County, Kansas",48,"1,359",3.5
"Edwards County, Texas",0,728,0
"Effingham County, Georgia","2,087","30,888",6.8
"Effingham County, Illinois","1,509","17,595",8.6
"El Dorado County, California","5,389","87,959",6.1
"El Paso County, Colorado","22,494","342,274",6.6
"El Paso County, Texas","21,405","368,320",5.8
"Elbert County, Colorado",742,"14,177",5.2
"Elbert County, Georgia",355,"8,514",4.2
"Elk County, Kansas",63,955,6.6
"Elk County, Pennsylvania","1,245","14,970",8.3
"Elkhart County, Indiana","4,954","98,862",5
"Elko County, Nevada","1,046","26,275",4
"Elliott County, Kentucky",219,"1,884",11.6
"Ellis County, Kansas","1,104","16,719",6.6
"Ellis County, Oklahoma",121,"1,585",7.6
"Ellis County, Texas","5,044","99,369",5.1
"Ellsworth County, Kansas",217,"2,638",8.2
"Elmore County, Alabama","3,076","39,250",7.8
"Elmore County, Idaho",404,"10,014",4
"Emanuel County, Georgia",691,"9,194",7.5
"Emery County, Utah",146,"4,043",3.6
"Emmet County, Iowa",225,"4,871",4.6
"Emmet County, Michigan","1,242","17,075",7.3
"Emmons County, North Dakota",77,"1,571",4.9
"Emporia city, Virginia",91,"2,185",4.2
"Erath County, Texas",785,"20,833",3.8
"Erie County, New York","35,181","466,028",7.5
"Erie County, Ohio","2,670","35,755",7.5
"Erie County, Pennsylvania","9,647","124,388",7.8
"Escambia County, Alabama",691,"12,964",5.3
"Escambia County, Florida","9,370","139,992",6.7
"Esmeralda County, Nevada",2,409,0.5
"Essex County, Massachusetts","26,641","421,898",6.3
"Essex County, New Jersey","21,299","408,082",5.2
"Essex County, New York","1,159","17,294",6.7
"Essex County, Vermont",128,"2,628",4.9
"Essex County, Virginia",114,"4,402",2.6
"Estill County, Kentucky",193,"4,815",4
"Etowah County, Alabama","3,340","44,508",7.5
"Eureka County, Nevada",0,579,0
"Evangeline Parish, Louisiana",930,"11,404",8.2
"Evans County, Georgia",184,"4,406",4.2
"Fairbanks North Star Borough, Alaska","2,254","42,078",5.4
"Fairfax city, Virginia",486,"13,137",3.7
"Fairfax County, Virginia","27,766","610,265",4.5
"Fairfield County, Ohio","5,468","78,317",7
"Fairfield County, South Carolina",449,"9,232",4.9
"Fajardo Municipio, Puerto Rico",578,"10,590",5.5
"Fall River County, South Dakota",322,"2,971",10.8
"Fallon County, Montana",50,"1,426",3.5
"Falls Church city, Virginia",440,"7,941",5.5
"Falls County, Texas",391,"6,248",6.3
"Fannin County, Georgia",415,"9,979",4.2
"Fannin County, Texas",784,"15,060",5.2
"Faribault County, Minnesota",313,"6,889",4.5
"Faulk County, South Dakota",40,947,4.2
"Faulkner County, Arkansas","5,204","58,278",8.9
"Fauquier County, Virginia","1,959","38,689",5.1
"Fayette County, Alabama",580,"6,296",9.2
"Fayette County, Georgia","4,116","54,962",7.5
"Fayette County, Illinois",750,"9,012",8.3
"Fayette County, Indiana",499,"10,377",4.8
"Fayette County, Iowa",487,"9,230",5.3
"Fayette County, Kentucky","14,398","169,451",8.5
"Fayette County, Ohio",669,"12,940",5.2
"Fayette County, Pennsylvania","3,944","54,363",7.3
"Fayette County, Tennessee","1,312","19,462",6.7
"Fayette County, Texas",394,"10,862",3.6
"Fayette County, West Virginia","1,132","14,182",8
"Fentress County, Tennessee",485,"7,223",6.7
"Fergus County, Montana",339,"5,591",6.1
"Ferry County, Washington",180,"2,521",7.1
"Fillmore County, Minnesota","1,049","10,778",9.7
"Fillmore County, Nebraska",203,"3,004",6.8
"Finney County, Kansas",999,"18,692",5.3
"Fisher County, Texas",152,"1,816",8.4
"Flagler County, Florida","3,492","48,151",7.3
"Flathead County, Montana","3,361","52,022",6.5
"Fleming County, Kentucky",487,"6,049",8.1
"Florence County, South Carolina","5,162","60,040",8.6
"Florence County, Wisconsin",129,"1,964",6.6
"Florida Municipio, Puerto Rico",226,"3,544",6.4
"Floyd County, Georgia","3,211","43,616",7.4
"Floyd County, Indiana","3,252","39,654",8.2
"Floyd County, Iowa",436,"7,426",5.9
"Floyd County, Kentucky",805,"11,249",7.2
"Floyd County, Texas",83,"2,238",3.7
"Floyd County, Virginia",720,"7,652",9.4
"Fluvanna County, Virginia","1,239","13,379",9.3
"Foard County, Texas",47,508,9.3
"Fond du Lac County, Wisconsin","2,920","53,417",5.5
"Ford County, Illinois",481,"6,382",7.5
"Ford County, Kansas",650,"17,165",3.8
"Forest County, Pennsylvania",104,"1,630",6.4
"Forest County, Wisconsin",153,"3,779",4
"Forrest County, Mississippi","2,385","36,010",6.6
"Forsyth County, Georgia","6,492","130,217",5
"Forsyth County, North Carolina","14,578","178,260",8.2
"Fort Bend County, Texas","32,722","401,677",8.1
"Foster County, North Dakota",107,"1,808",5.9
"Fountain County, Indiana",441,"7,752",5.7
"Franklin city, Virginia",175,"3,449",5.1
"Franklin County, Alabama",536,"13,469",4
"Franklin County, Arkansas",273,"6,743",4
"Franklin County, Florida",149,"4,255",3.5
"Franklin County, Georgia",579,"9,505",6.1
"Franklin County, Idaho",136,"6,506",2.1
"Franklin County, Illinois","1,188","15,875",7.5
"Franklin County, Indiana",983,"11,566",8.5
"Franklin County, Iowa",123,"4,735",2.6
"Franklin County, Kansas",730,"13,107",5.6
"Franklin County, Kentucky","1,257","24,728",5.1
"Franklin County, Maine",859,"14,000",6.1
"Franklin County, Massachusetts","2,317","36,043",6.4
"Franklin County, Mississippi",148,"2,580",5.7
"Franklin County, Missouri","2,885","50,028",5.8
"Franklin County, Nebraska",74,"1,378",5.4
"Franklin County, New York","1,307","19,321",6.8
"Franklin County, North Carolina","2,042","32,725",6.2
"Franklin County, Ohio","49,796","694,653",7.2
"Franklin County, Pennsylvania","4,644","75,850",6.1
"Franklin County, Tennessee","1,088","19,502",5.6
"Franklin County, Texas",255,"4,771",5.3
"Franklin County, Vermont","1,532","25,632",6
"Franklin County, Virginia","1,504","23,999",6.3
"Franklin County, Washington","2,054","43,495",4.7
"Franklin Parish, Louisiana",463,"6,686",6.9
"Frederick County, Maryland","8,304","144,673",5.7
"Frederick County, Virginia","2,717","44,888",6.1
"Fredericksburg city, Virginia",688,"14,745",4.7
"Freeborn County, Minnesota",928,"14,695",6.3
"Freestone County, Texas",432,"7,131",6.1
"Fremont County, Colorado",701,"16,855",4.2
"Fremont County, Idaho",232,"5,798",4
"Fremont County, Iowa",179,"3,129",5.7
"Fremont County, Wyoming","1,011","17,285",5.8
"Fresno County, California","23,236","423,399",5.5
"Frio County, Texas",147,"6,930",2.1
"Frontier County, Nebraska",52,"1,181",4.4
"Fulton County, Arkansas",324,"4,249",7.6
"Fulton County, Georgia","29,985","561,697",5.3
"Fulton County, Illinois","1,191","14,496",8.2
"Fulton County, Indiana",500,"8,887",5.6
"Fulton County, Kentucky",90,"2,196",4.1
"Fulton County, New York","1,305","24,326",5.4
"Fulton County, Ohio","1,463","20,603",7.1
"Fulton County, Pennsylvania",427,"6,879",6.2
"Furnas County, Nebraska",136,"2,219",6.1
"Gadsden County, Florida",553,"16,452",3.4
"Gage County, Nebraska",687,"10,781",6.4
"Gaines County, Texas",199,"8,826",2.3
"Galax city, Virginia",179,"2,796",6.4
"Gallatin County, Illinois",162,"2,125",7.6
"Gallatin County, Kentucky",112,"3,940",2.8
"Gallatin County, Montana","3,429","69,031",5
"Gallia County, Ohio",882,"11,806",7.5
"Galveston County, Texas","13,325","166,845",8
"Garden County, Nebraska",22,698,3.2
"Garfield County, Colorado","1,459","34,042",4.3
"Garfield County, Montana",33,536,6.2
"Garfield County, Nebraska",27,956,2.8
"Garfield County, Oklahoma","1,621","28,071",5.8
"Garfield County, Utah",169,"2,337",7.2
"Garfield County, Washington",39,910,4.3
"Garland County, Arkansas","3,348","42,296",7.9
"Garrard County, Kentucky",551,"7,209",7.6
"Garrett County, Maryland",933,"13,555",6.9
"Garvin County, Oklahoma",608,"10,810",5.6
"Garza County, Texas",100,"1,662",6
"Gasconade County, Missouri",423,"7,175",5.9
"Gaston County, North Carolina","6,864","109,133",6.3
"Gates County, North Carolina",134,"4,560",2.9
"Geary County, Kansas",554,"13,229",4.2
"Geauga County, Ohio","3,156","48,094",6.6
"Gem County, Idaho",444,"8,608",5.2
"Genesee County, Michigan","13,104","173,444",7.6
"Genesee County, New York","1,696","28,893",5.9
"Geneva County, Alabama",783,"10,890",7.2
"Gentry County, Missouri",176,"2,801",6.3
"George County, Mississippi",836,"8,394",10
"Georgetown County, South Carolina","1,783","26,060",6.8
"Gibson County, Indiana","1,007","15,859",6.3
"Gibson County, Tennessee","1,822","21,560",8.5
"Gila County, Arizona",840,"18,692",4.5
"Gilchrist County, Florida",574,"7,606",7.5
"Giles County, Tennessee",981,"13,161",7.5
"Giles County, Virginia",382,"7,458",5.1
"Gillespie County, Texas",922,"12,396",7.4
"Gilliam County, Oregon",17,802,2.1
"Gilmer County, Georgia",672,"13,571",5
"Gilmer County, West Virginia",135,"2,367",5.7
"Gilpin County, Colorado",106,"3,574",3
"Glacier County, Montana",298,"4,926",6
"Glades County, Florida",107,"3,608",3
"Gladwin County, Michigan",503,"9,258",5.4
"Glascock County, Georgia",103,"1,321",7.8
"Glasscock County, Texas",5,463,1.1
"Glenn County, California",371,"12,496",3
"Gloucester County, New Jersey","12,884","155,791",8.3
"Gloucester County, Virginia","1,045","19,020",5.5
"Glynn County, Georgia","2,475","37,799",6.5
"Gogebic County, Michigan",395,"6,081",6.5
"Golden Valley County, Montana",11,380,2.9
"Golden Valley County, North Dakota",36,810,4.4
"Goliad County, Texas",230,"2,882",8
"Gonzales County, Texas",254,"8,679",2.9
"Goochland County, Virginia",748,"11,680",6.4
"Goodhue County, Minnesota","2,265","23,981",9.4
"Gooding County, Idaho",157,"7,184",2.2
"Gordon County, Georgia",874,"26,411",3.3
"Goshen County, Wyoming",385,"5,770",6.7
"Gosper County, Nebraska",71,917,7.7
"Gove County, Kansas",73,"1,297",5.6
"Grady County, Georgia","1,065","11,042",9.6
"Grady County, Oklahoma","1,753","24,964",7
"Grafton County, New Hampshire","4,394","46,354",9.5
"Graham County, Arizona",601,"14,064",4.3
"Graham County, Kansas",65,"1,171",5.6
"Graham County, North Carolina",128,"3,171",4
"Grainger County, Tennessee",653,"9,746",6.7
"Grand County, Colorado",233,"8,786",2.7
"Grand County, Utah",269,"5,690",4.7
"Grand Forks County, North Dakota","3,458","39,615",8.7
"Grand Isle County, Vermont",233,"3,722",6.3
"Grand Traverse County, Michigan","3,935","48,469",8.1
"Granite County, Montana",65,"1,317",4.9
"Grant County, Arkansas",530,"7,782",6.8
"Grant County, Indiana","1,913","29,595",6.5
"Grant County, Kansas",42,"3,615",1.2
"Grant County, Kentucky",462,"11,179",4.1
"Grant County, Minnesota",130,"2,908",4.5
"Grant County, Nebraska",16,350,4.6
"Grant County, New Mexico",888,"9,795",9.1
"Grant County, North Dakota",80,"1,047",7.6
"Grant County, Oklahoma",63,"1,824",3.5
"Grant County, Oregon",80,"2,943",2.7
"Grant County, South Dakota",188,"3,779",5
"Grant County, Washington","1,157","43,461",2.7
"Grant County, West Virginia",298,"5,055",5.9
"Grant County, Wisconsin","1,115","26,205",4.3
"Grant Parish, Louisiana",487,"7,801",6.2
"Granville County, North Carolina","2,140","26,914",8
"Gratiot County, Michigan","1,103","17,131",6.4
"Graves County, Kentucky","1,037","15,371",6.7
"Gray County, Kansas",93,"2,937",3.2
"Gray County, Texas",494,"9,028",5.5
"Grays Harbor County, Washington","1,288","29,300",4.4
"Grayson County, Kentucky",634,"10,639",6
"Grayson County, Texas","3,078","64,616",4.8
"Grayson County, Virginia",494,"5,963",8.3
"Greater Bridgeport Planning Region, Connecticut","9,503","159,994",5.9
"Greeley County, Kansas",36,711,5.1
"Greeley County, Nebraska",36,992,3.6
"Green County, Kentucky",263,"4,088",6.4
"Green County, Wisconsin","1,341","19,731",6.8
"Green Lake County, Wisconsin",445,"8,987",5
"Greenbrier County, West Virginia",995,"13,422",7.4
"Greene County, Alabama",57,"2,355",2.4
"Greene County, Arkansas","1,591","19,940",8
"Greene County, Georgia",356,"7,356",4.8
"Greene County, Illinois",326,"5,547",5.9
"Greene County, Indiana",973,"13,632",7.1
"Greene County, Iowa",281,"4,367",6.4
"Greene County, Mississippi",328,"3,247",10.1
"Greene County, Missouri","10,166","145,082",7
"Greene County, New York","1,499","21,909",6.8
"Greene County, North Carolina",607,"8,089",7.5
"Greene County, Ohio","6,613","79,792",8.3
"Greene County, Pennsylvania","1,253","14,223",8.8
"Greene County, Tennessee","1,985","29,264",6.8
"Greene County, Virginia",599,"10,861",5.5
"Greenlee County, Arizona",83,"4,148",2
"Greensville County, Virginia",282,"3,928",7.2
"Greenup County, Kentucky","1,860","13,741",13.5
"Greenville County, South Carolina","18,369","262,211",7
"Greenwood County, Kansas",163,"2,851",5.7
"Greenwood County, South Carolina","1,920","29,395",6.5
"Greer County, Oklahoma",119,"1,935",6.1
"Gregg County, Texas","4,002","56,862",7
"Gregory County, South Dakota",111,"1,922",5.8
"Grenada County, Mississippi",939,"9,044",10.4
"Griggs County, North Dakota",50,"1,136",4.4
"Grimes County, Texas",619,"11,659",5.3
"Grundy County, Illinois","1,548","26,820",5.8
"Grundy County, Iowa",367,"6,275",5.8
"Grundy County, Missouri",281,"4,014",7
"Grundy County, Tennessee",298,"5,389",5.5
"Guadalupe County, New Mexico",115,"1,634",7
"Guadalupe County, Texas","5,155","82,433",6.3
"Guánica Municipio, Puerto Rico",172,"2,984",5.8
"Guayama Municipio, Puerto Rico",660,"9,386",7
"Guayanilla Municipio, Puerto Rico",427,"4,442",9.6
"Guaynabo Municipio, Puerto Rico","2,612","37,187",7
"Guernsey County, Ohio","1,153","16,725",6.9
"Guilford County, North Carolina","16,151","263,584",6.1
"Gulf County, Florida",329,"5,290",6.2
"Gunnison County, Colorado",495,"10,414",4.8
