Geographic Area,Percent—Total population—AGE—Under 5 years—Estimate,Under 5 yrs
"Conway County, Arkansas",5.50%,5.5
"Cook County, Georgia",6.50%,6.5
"Cook County, Illinois",5.70%,5.7
"Cook County, Minnesota",4.20%,4.2
"Cooke County, Texas",6.40%,6.4
"Cooper County, Missouri",5.90%,5.9
"Coos County, New Hampshire",3.80%,3.8
"Coos County, Oregon",4.50%,4.5
"Coosa County, Alabama",4.50%,4.5
"Copiah County, Mississippi",5.80%,5.8
"Copper River Census Area, Alaska",7.20%,7.2
"Corozal Municipio, Puerto Rico",3.90%,3.9
"Corson County, South Dakota",9.30%,9.3
"Cortland County, New York",4.80%,4.8
"Coryell County, Texas",6.50%,6.5
"Coshocton County, Ohio",6.30%,6.3
"Costilla County, Colorado",4.70%,4.7
"Cottle County, Texas",6.10%,6.1
"Cotton County, Oklahoma",4.80%,4.8
"Cottonwood County, Minnesota",6.50%,6.5
"Covington city, Virginia",6.10%,6.1
"Covington County, Alabama",5.70%,5.7
"Covington County, Mississippi",6.50%,6.5
"Coweta County, Georgia",5.60%,5.6
"Cowley County, Kansas",5.60%,5.6
"Cowlitz County, Washington",5.90%,5.9
"Craig County, Oklahoma",5.10%,5.1
"Craig County, Virginia",7.70%,7.7
"Craighead County, Arkansas",6.70%,6.7
"Crane County, Texas",9.60%,9.6
"Craven County, North Carolina",6.20%,6.2
"Crawford County, Arkansas",6.10%,6.1
"Crawford County, Georgia",4.80%,4.8
"Crawford County, Illinois",5.20%,5.2
"Crawford County, Indiana",5.30%,5.3
"Crawford County, Iowa",6%,6
"Crawford County, Kansas",5.70%,5.7
"Crawford County, Michigan",4.40%,4.4
"Crawford County, Missouri",5.70%,5.7
"Crawford County, Ohio",5.70%,5.7
"Crawford County, Pennsylvania",5.30%,5.3
"Crawford County, Wisconsin",4.90%,4.9
"Creek County, Oklahoma",5.90%,5.9
"Crenshaw County, Alabama",5.40%,5.4
"Crisp County, Georgia",6.10%,6.1
"Crittenden County, Arkansas",7.40%,7.4
"Crittenden County, Kentucky",5.20%,5.2
"Crockett County, Tennessee",5.90%,5.9
"Crockett County, Texas",3.40%,3.4
"Crook County, Oregon",5.30%,5.3
"Crook County, Wyoming",6.90%,6.9
"Crosby County, Texas",6.30%,6.3
"Cross County, Arkansas",6.30%,6.3
"Crow Wing County, Minnesota",5.10%,5.1
"Crowley County, Colorado",3%,3
"Culberson County, Texas",1.50%,1.5
"Culebra Municipio, Puerto Rico",2.50%,2.5
"Cullman County, Alabama",5.90%,5.9
"Culpeper County, Virginia",6.20%,6.2
"Cumberland County, Illinois",6%,6
"Cumberland County, Kentucky",5.70%,5.7
"Cumberland County, Maine",4.70%,4.7
"Cumberland County, New Jersey",6.10%,6.1
"Cumberland County, North Carolina",7.40%,7.4
"Cumberland County, Pennsylvania",5.30%,5.3
"Cumberland County, Tennessee",4.40%,4.4
"Cumberland County, Virginia",4.40%,4.4
"Cuming County, Nebraska",6.70%,6.7
"Currituck County, North Carolina",5.30%,5.3
"Curry County, New Mexico",7.90%,7.9
"Curry County, Oregon",3.40%,3.4
"Custer County, Colorado",1.60%,1.6
"Custer County, Idaho",3.50%,3.5
"Custer County, Montana",4.90%,4.9
"Custer County, Nebraska",6%,6
"Custer County, Oklahoma",6.50%,6.5
"Custer County, South Dakota",3.60%,3.6
"Cuyahoga County, Ohio",5.50%,5.5
"Dade County, Georgia",5.30%,5.3
"Dade County, Missouri",4.80%,4.8
"Daggett County, Utah",4.20%,4.2
"Dakota County, Minnesota",6.10%,6.1
"Dakota County, Nebraska",8.20%,8.2
"Dale County, Alabama",6.60%,6.6
"Dallam County, Texas",8.90%,8.9
"Dallas County, Alabama",6%,6
"Dallas County, Arkansas",5%,5
"Dallas County, Iowa",7%,7
"Dallas County, Missouri",6.50%,6.5
"Dallas County, Texas",7%,7
"Dane County, Wisconsin",5.20%,5.2
"Daniels County, Montana",4.50%,4.5
"Danville city, Virginia",5.70%,5.7
"Dare County, North Carolina",4.50%,4.5
"Darke County, Ohio",5.90%,5.9
"Darlington County, South Carolina",5.50%,5.5
"Dauphin County, Pennsylvania",6%,6
"Davidson County, North Carolina",5.30%,5.3
"Davidson County, Tennessee",6.40%,6.4
"Davie County, North Carolina",4.80%,4.8
"Daviess County, Indiana",7.80%,7.8
"Daviess County, Kentucky",6.40%,6.4
"Daviess County, Missouri",6.90%,6.9
"Davis County, Iowa",9%,9
"Davis County, Utah",7.60%,7.6
"Davison County, South Dakota",6.30%,6.3
"Dawes County, Nebraska",5.30%,5.3
"Dawson County, Georgia",4.90%,4.9
"Dawson County, Montana",5.30%,5.3
"Dawson County, Nebraska",7.50%,7.5
"Dawson County, Texas",7%,7
"Day County, South Dakota",5.90%,5.9
"De Baca County, New Mexico",13%,13
"De Soto Parish, Louisiana",5.90%,5.9
"De Witt County, Illinois",5.60%,5.6
"Deaf Smith County, Texas",8.50%,8.5
"Dearborn County, Indiana",5.30%,5.3
"Decatur County, Georgia",6.70%,6.7
"Decatur County, Indiana",6.20%,6.2
"Decatur County, Iowa",5.90%,5.9
"Decatur County, Kansas",5.60%,5.6
"Decatur County, Tennessee",4.80%,4.8
"Deer Lodge County, Montana",3.40%,3.4
"Defiance County, Ohio",5.80%,5.8
"DeKalb County, Alabama",5.70%,5.7
"DeKalb County, Georgia",6.60%,6.6
"DeKalb County, Illinois",5.50%,5.5
"DeKalb County, Indiana",6.60%,6.6
"DeKalb County, Missouri",5%,5
"DeKalb County, Tennessee",6.50%,6.5
"Del Norte County, California",5.50%,5.5
"Delaware County, Indiana",4.70%,4.7
"Delaware County, Iowa",6.20%,6.2
"Delaware County, New York",3.70%,3.7
"Delaware County, Ohio",5.70%,5.7
"Delaware County, Oklahoma",4.80%,4.8
"Delaware County, Pennsylvania",5.70%,5.7
"Delta County, Colorado",4.40%,4.4
"Delta County, Michigan",4.80%,4.8
"Delta County, Texas",7.40%,7.4
"Denali Borough, Alaska",3%,3
"Dent County, Missouri",5.60%,5.6
"Denton County, Texas",5.90%,5.9
"Denver County, Colorado",5.60%,5.6
"Des Moines County, Iowa",5.90%,5.9
"Deschutes County, Oregon",4.80%,4.8
"Desha County, Arkansas",6.40%,6.4
"DeSoto County, Florida",4.90%,4.9
"DeSoto County, Mississippi",5.90%,5.9
"Deuel County, Nebraska",6.10%,6.1
"Deuel County, South Dakota",6%,6
"Dewey County, Oklahoma",6.10%,6.1
"Dewey County, South Dakota",11%,11
"DeWitt County, Texas",6.30%,6.3
"Dickens County, Texas",6.90%,6.9
"Dickenson County, Virginia",4.60%,4.6
"Dickey County, North Dakota",6.10%,6.1
"Dickinson County, Iowa",4.40%,4.4
"Dickinson County, Kansas",5.20%,5.2
"Dickinson County, Michigan",4.90%,4.9
"Dickson County, Tennessee",5.90%,5.9
"Dillingham Census Area, Alaska",8.60%,8.6
"Dillon County, South Carolina",7.20%,7.2
"Dimmit County, Texas",6.40%,6.4
"Dinwiddie County, Virginia",5.10%,5.1
"District of Columbia, District of Columbia",6.20%,6.2
"Divide County, North Dakota",7.70%,7.7
"Dixie County, Florida",3.80%,3.8
"Dixon County, Nebraska",6.40%,6.4
"Doddridge County, West Virginia",3.70%,3.7
"Dodge County, Georgia",4.70%,4.7
"Dodge County, Minnesota",6.10%,6.1
"Dodge County, Nebraska",6.30%,6.3
"Dodge County, Wisconsin",4.50%,4.5
"Dolores County, Colorado",2.70%,2.7
"Doña Ana County, New Mexico",5.90%,5.9
"Doniphan County, Kansas",4.80%,4.8
"Donley County, Texas",3.90%,3.9
"Dooly County, Georgia",3.80%,3.8
"Door County, Wisconsin",4%,4
"Dorado Municipio, Puerto Rico",3.60%,3.6
"Dorchester County, Maryland",5.40%,5.4
"Dorchester County, South Carolina",5.80%,5.8
"Dougherty County, Georgia",6.50%,6.5
"Douglas County, Colorado",5.50%,5.5
"Douglas County, Georgia",5.90%,5.9
"Douglas County, Illinois",6.80%,6.8
"Douglas County, Kansas",4.50%,4.5
"Douglas County, Minnesota",5.70%,5.7
"Douglas County, Missouri",5.40%,5.4
"Douglas County, Nebraska",7.10%,7.1
"Douglas County, Nevada",3.20%,3.2
"Douglas County, Oregon",4.80%,4.8
"Douglas County, South Dakota",8.10%,8.1
"Douglas County, Washington",6.30%,6.3
"Douglas County, Wisconsin",4.60%,4.6
"Drew County, Arkansas",5.80%,5.8
"Dubois County, Indiana",6.40%,6.4
"Dubuque County, Iowa",6%,6
"Duchesne County, Utah",8.40%,8.4
"Dukes County, Massachusetts",3.80%,3.8
"Dundy County, Nebraska",8.10%,8.1
"Dunklin County, Missouri",6.60%,6.6
"Dunn County, North Dakota",7%,7
"Dunn County, Wisconsin",4.90%,4.9
"DuPage County, Illinois",5.60%,5.6
"Duplin County, North Carolina",6.10%,6.1
"Durham County, North Carolina",6%,6
"Dutchess County, New York",4.50%,4.5
"Duval County, Florida",6.50%,6.5
"Duval County, Texas",6.70%,6.7
"Dyer County, Tennessee",6%,6
"Eagle County, Colorado",4.90%,4.9
"Early County, Georgia",6.10%,6.1
"East Baton Rouge Parish, Louisiana",6.20%,6.2
"East Carroll Parish, Louisiana",3.20%,3.2
"East Feliciana Parish, Louisiana",4.50%,4.5
"Eastland County, Texas",5.50%,5.5
"Eaton County, Michigan",5.20%,5.2
"Eau Claire County, Wisconsin",5.10%,5.1
"Echols County, Georgia",7.20%,7.2
"Ector County, Texas",8.70%,8.7
"Eddy County, New Mexico",7.20%,7.2
"Eddy County, North Dakota",6.50%,6.5
"Edgar County, Illinois",4.90%,4.9
"Edgecombe County, North Carolina",5.70%,5.7
"Edgefield County, South Carolina",3.60%,3.6
"Edmonson County, Kentucky",4.30%,4.3
"Edmunds County, South Dakota",7.60%,7.6
"Edwards County, Illinois",5.90%,5.9
"Edwards County, Kansas",5.80%,5.8
"Edwards County, Texas",3.30%,3.3
"Effingham County, Georgia",6.40%,6.4
"Effingham County, Illinois",6.50%,6.5
"El Dorado County, California",4.50%,4.5
"El Paso County, Colorado",6.30%,6.3
"El Paso County, Texas",6.90%,6.9
"Elbert County, Colorado",4.30%,4.3
"Elbert County, Georgia",5.30%,5.3
"Elk County, Kansas",4.70%,4.7
"Elk County, Pennsylvania",4.60%,4.6
"Elkhart County, Indiana",7.30%,7.3
"Elko County, Nevada",7%,7
"Elliott County, Kentucky",4.10%,4.1
"Ellis County, Kansas",5.30%,5.3
"Ellis County, Oklahoma",5.10%,5.1
"Ellis County, Texas",6.40%,6.4
"Ellsworth County, Kansas",4.50%,4.5
"Elmore County, Alabama",5.50%,5.5
"Elmore County, Idaho",7.90%,7.9
"Emanuel County, Georgia",6.90%,6.9
"Emery County, Utah",6%,6
"Emmet County, Iowa",4.20%,4.2
"Emmet County, Michigan",4.50%,4.5
"Emmons County, North Dakota",5.40%,5.4
"Emporia city, Virginia",5.30%,5.3
"Erath County, Texas",5.80%,5.8
"Erie County, New York",5.30%,5.3
"Erie County, Ohio",5.20%,5.2
"Erie County, Pennsylvania",5.30%,5.3
"Escambia County, Alabama",5.80%,5.8
"Escambia County, Florida",5.80%,5.8
"Esmeralda County, Nevada",2%,2
"Essex County, Massachusetts",5.40%,5.4
"Essex County, New Jersey",6.40%,6.4
"Essex County, New York",3.90%,3.9
"Essex County, Vermont",4.30%,4.3
"Essex County, Virginia",4.70%,4.7
"Estill County, Kentucky",5.10%,5.1
"Etowah County, Alabama",5.80%,5.8
"Eureka County, Nevada",6.50%,6.5
"Evangeline Parish, Louisiana",6.70%,6.7
"Evans County, Georgia",6%,6
"Fairbanks North Star Borough, Alaska",7.10%,7.1
"Fairfax city, Virginia",7.30%,7.3
"Fairfax County, Virginia",6%,6
"Fairfield County, Ohio",5.80%,5.8
"Fairfield County, South Carolina",4.60%,4.6
"Fajardo Municipio, Puerto Rico",3.70%,3.7
"Fall River County, South Dakota",4.60%,4.6
"Fallon County, Montana",6.20%,6.2
"Falls Church city, Virginia",4.80%,4.8
"Falls County, Texas",5%,5
"Fannin County, Georgia",4%,4
"Fannin County, Texas",5%,5
"Faribault County, Minnesota",5.20%,5.2
"Faulk County, South Dakota",5.70%,5.7
"Faulkner County, Arkansas",5.80%,5.8
"Fauquier County, Virginia",5.60%,5.6
"Fayette County, Alabama",5.20%,5.2
"Fayette County, Georgia",4.40%,4.4
"Fayette County, Illinois",5.70%,5.7
"Fayette County, Indiana",5.50%,5.5
"Fayette County, Iowa",5.80%,5.8
"Fayette County, Kentucky",5.70%,5.7
"Fayette County, Ohio",5.60%,5.6
"Fayette County, Pennsylvania",5%,5
"Fayette County, Tennessee",4.80%,4.8
"Fayette County, Texas",4.80%,4.8
"Fayette County, West Virginia",4.90%,4.9
"Fentress County, Tennessee",5.50%,5.5
"Fergus County, Montana",5%,5
"Ferry County, Washington",4.60%,4.6
"Fillmore County, Minnesota",5.90%,5.9
"Fillmore County, Nebraska",5.50%,5.5
"Finney County, Kansas",7.90%,7.9
"Fisher County, Texas",6.40%,6.4
"Flagler County, Florida",3.60%,3.6
"Flathead County, Montana",5.40%,5.4
"Fleming County, Kentucky",6.70%,6.7
"Florence County, South Carolina",5.80%,5.8
"Florence County, Wisconsin",3.80%,3.8
"Florida Municipio, Puerto Rico",3.70%,3.7
"Floyd County, Georgia",5.70%,5.7
"Floyd County, Indiana",5.60%,5.6
"Floyd County, Iowa",6.60%,6.6
"Floyd County, Kentucky",5.70%,5.7
"Floyd County, Texas",6.30%,6.3
"Floyd County, Virginia",4.30%,4.3
"Fluvanna County, Virginia",5.10%,5.1
"Foard County, Texas",4.10%,4.1
"Fond du Lac County, Wisconsin",5.10%,5.1
"Ford County, Illinois",5.70%,5.7
"Ford County, Kansas",8.40%,8.4
"Forest County, Pennsylvania",4%,4
"Forest County, Wisconsin",5.50%,5.5
"Forrest County, Mississippi",6.30%,6.3
"Forsyth County, Georgia",5.60%,5.6
"Forsyth County, North Carolina",5.70%,5.7
"Fort Bend County, Texas",6.30%,6.3
"Foster County, North Dakota",5.60%,5.6
"Fountain County, Indiana",5.90%,5.9
"Franklin city, Virginia",7.40%,7.4
"Franklin County, Alabama",7.20%,7.2
"Franklin County, Arkansas",5.20%,5.2
"Franklin County, Florida",3.60%,3.6
"Franklin County, Georgia",5.10%,5.1
"Franklin County, Idaho",7.10%,7.1
"Franklin County, Illinois",5.70%,5.7
"Franklin County, Indiana",5.90%,5.9
"Franklin County, Iowa",6.30%,6.3
"Franklin County, Kansas",5.30%,5.3
"Franklin County, Kentucky",5.50%,5.5
"Franklin County, Maine",4.50%,4.5
"Franklin County, Massachusetts",3.90%,3.9
"Franklin County, Mississippi",5.70%,5.7
"Franklin County, Missouri",5.70%,5.7
"Franklin County, Nebraska",5.20%,5.2
"Franklin County, New York",5.20%,5.2
"Franklin County, North Carolina",5.50%,5.5
"Franklin County, Ohio",6.70%,6.7
"Franklin County, Pennsylvania",5.60%,5.6
"Franklin County, Tennessee",4.90%,4.9
"Franklin County, Texas",7.30%,7.3
"Franklin County, Vermont",5.50%,5.5
"Franklin County, Virginia",4.30%,4.3
"Franklin County, Washington",8.40%,8.4
"Franklin Parish, Louisiana",6.70%,6.7
"Frederick County, Maryland",5.80%,5.8
"Frederick County, Virginia",5.70%,5.7
"Fredericksburg city, Virginia",6.10%,6.1
"Freeborn County, Minnesota",5.50%,5.5
"Freestone County, Texas",5.30%,5.3
"Fremont County, Colorado",4.10%,4.1
"Fremont County, Idaho",6%,6
"Fremont County, Iowa",4.90%,4.9
"Fremont County, Wyoming",6.20%,6.2
"Fresno County, California",7.20%,7.2
"Frio County, Texas",6.10%,6.1
"Frontier County, Nebraska",4.80%,4.8
"Fulton County, Arkansas",5.10%,5.1
"Fulton County, Georgia",5.50%,5.5
"Fulton County, Illinois",5%,5
"Fulton County, Indiana",6.10%,6.1
"Fulton County, Kentucky",5.10%,5.1
"Fulton County, New York",4.90%,4.9
"Fulton County, Ohio",5.70%,5.7
"Fulton County, Pennsylvania",4.80%,4.8
"Furnas County, Nebraska",5.70%,5.7
"Gadsden County, Florida",5.80%,5.8
"Gage County, Nebraska",5.50%,5.5
"Gaines County, Texas",10.10%,10.1
"Galax city, Virginia",6.90%,6.9
"Gallatin County, Illinois",4.50%,4.5
"Gallatin County, Kentucky",5.40%,5.4
"Gallatin County, Montana",4.90%,4.9
"Gallia County, Ohio",6.30%,6.3
"Galveston County, Texas",5.90%,5.9
"Garden County, Nebraska",4.20%,4.2
"Garfield County, Colorado",6.40%,6.4
"Garfield County, Montana",7.10%,7.1
"Garfield County, Nebraska",3.40%,3.4
"Garfield County, Oklahoma",6.80%,6.8
"Garfield County, Utah",5.60%,5.6
"Garfield County, Washington",4.70%,4.7
"Garland County, Arkansas",5.20%,5.2
"Garrard County, Kentucky",5.20%,5.2
"Garrett County, Maryland",4.90%,4.9
"Garvin County, Oklahoma",6%,6
"Garza County, Texas",2.90%,2.9
"Gasconade County, Missouri",5.20%,5.2
"Gaston County, North Carolina",5.70%,5.7
"Gates County, North Carolina",3.30%,3.3
"Geary County, Kansas",11.60%,11.6
"Geauga County, Ohio",5.20%,5.2
"Gem County, Idaho",5.20%,5.2
"Genesee County, Michigan",5.70%,5.7
"Genesee County, New York",5.20%,5.2
"Geneva County, Alabama",5.40%,5.4
"Gentry County, Missouri",6.80%,6.8
"George County, Mississippi",7.70%,7.7
"Georgetown County, South Carolina",4.20%,4.2
"Gibson County, Indiana",6.10%,6.1
"Gibson County, Tennessee",5.90%,5.9
"Gila County, Arizona",4.70%,4.7
"Gilchrist County, Florida",5.20%,5.2
"Giles County, Tennessee",5.60%,5.6
"Giles County, Virginia",4.90%,4.9
"Gillespie County, Texas",4.70%,4.7
"Gilliam County, Oregon",2.40%,2.4
"Gilmer County, Georgia",5%,5
"Gilmer County, West Virginia",3.90%,3.9
"Gilpin County, Colorado",3.40%,3.4
"Glacier County, Montana",8%,8
"Glades County, Florida",4.70%,4.7
"Gladwin County, Michigan",5.20%,5.2
"Glascock County, Georgia",4.90%,4.9
"Glasscock County, Texas",7.10%,7.1
"Glenn County, California",7.30%,7.3
"Gloucester County, New Jersey",5%,5
"Gloucester County, Virginia",4.80%,4.8
"Glynn County, Georgia",5.30%,5.3
"Gogebic County, Michigan",3.90%,3.9
"Golden Valley County, Montana",3.70%,3.7
"Golden Valley County, North Dakota",6.70%,6.7
"Goliad County, Texas",3.50%,3.5
"Gonzales County, Texas",7.10%,7.1
"Goochland County, Virginia",3.60%,3.6
"Goodhue County, Minnesota",5.50%,5.5
"Gooding County, Idaho",6.10%,6.1
"Gordon County, Georgia",5.80%,5.8
"Goshen County, Wyoming",6%,6
"Gosper County, Nebraska",3.80%,3.8
"Gove County, Kansas",7.30%,7.3
"Grady County, Georgia",6.20%,6.2
"Grady County, Oklahoma",5.40%,5.4
"Grafton County, New Hampshire",3.90%,3.9
"Graham County, Arizona",6.60%,6.6
"Graham County, Kansas",4.30%,4.3
"Graham County, North Carolina",3.90%,3.9
"Grainger County, Tennessee",4.60%,4.6
"Grand County, Colorado",4.10%,4.1
"Grand County, Utah",4.10%,4.1
"Grand Forks County, North Dakota",6.40%,6.4
"Grand Isle County, Vermont",4.30%,4.3
"Grand Traverse County, Michigan",4.80%,4.8
"Granite County, Montana",5.20%,5.2
"Grant County, Arkansas",5.20%,5.2
"Grant County, Indiana",5.80%,5.8
"Grant County, Kansas",7.20%,7.2
"Grant County, Kentucky",7.10%,7.1
"Grant County, Minnesota",5.40%,5.4
"Grant County, Nebraska",5.70%,5.7
"Grant County, New Mexico",4.50%,4.5
"Grant County, North Dakota",4.90%,4.9
"Grant County, Oklahoma",6.10%,6.1
"Grant County, Oregon",4.30%,4.3
"Grant County, South Dakota",5.50%,5.5
"Grant County, Washington",7.30%,7.3
"Grant County, West Virginia",5.40%,5.4
"Grant County, Wisconsin",5.60%,5.6
"Grant Parish, Louisiana",5.40%,5.4
"Granville County, North Carolina",5%,5
"Gratiot County, Michigan",4.80%,4.8
"Graves County, Kentucky",6.70%,6.7
"Gray County, Kansas",7%,7
"Gray County, Texas",6.30%,6.3
"Grays Harbor County, Washington",4.80%,4.8
"Grayson County, Kentucky",6.40%,6.4
"Grayson County, Texas",6.10%,6.1
"Grayson County, Virginia",3.80%,3.8
"Greater Bridgeport Planning Region, Connecticut",5.30%,5.3
"Greeley County, Kansas",6.80%,6.8
"Greeley County, Nebraska",6.50%,6.5
"Green County, Kentucky",5.90%,5.9
"Green County, Wisconsin",5.20%,5.2
"Green Lake County, Wisconsin",5.50%,5.5
"Greenbrier County, West Virginia",5.30%,5.3
"Greene County, Alabama",7.10%,7.1
"Greene County, Arkansas",6.20%,6.2
"Greene County, Georgia",4.40%,4.4
"Greene County, Illinois",5.10%,5.1
"Greene County, Indiana",5.30%,5.3
"Greene County, Iowa",5.50%,5.5
"Greene County, Mississippi",5.10%,5.1
"Greene County, Missouri",5.70%,5.7
"Greene County, New York",4.30%,4.3
"Greene County, North Carolina",4.80%,4.8
"Greene County, Ohio",5.40%,5.4
"Greene County, Pennsylvania",4.90%,4.9
"Greene County, Tennessee",4.60%,4.6
"Greene County, Virginia",5.60%,5.6
"Greenlee County, Arizona",7.30%,7.3
"Greensville County, Virginia",4.50%,4.5
"Greenup County, Kentucky",5%,5
"Greenville County, South Carolina",6%,6
"Greenwood County, Kansas",5%,5
"Greenwood County, South Carolina",5.70%,5.7
"Greer County, Oklahoma",5.90%,5.9
"Gregg County, Texas",6.60%,6.6
"Gregory County, South Dakota",6.50%,6.5
"Grenada County, Mississippi",6%,6
"Griggs County, North Dakota",5.20%,5.2
"Grimes County, Texas",5.40%,5.4
"Grundy County, Illinois",5.70%,5.7
"Grundy County, Iowa",5.70%,5.7
"Grundy County, Missouri",7.10%,7.1
"Grundy County, Tennessee",5.90%,5.9
"Guadalupe County, New Mexico",4%,4
"Guadalupe County, Texas",5.80%,5.8
"Guánica Municipio, Puerto Rico",3.80%,3.8
"Guayama Municipio, Puerto Rico",3.40%,3.4
"Guayanilla Municipio, Puerto Rico",3.60%,3.6
"Guaynabo Municipio, Puerto Rico",3.20%,3.2
"Guernsey County, Ohio",5.80%,5.8
"Guilford County, North Carolina",5.60%,5.6
"Gulf County, Florida",3.80%,3.8
"Gunnison County, Colorado",3.40%,3.4
"Gurabo Municipio, Puerto Rico",3.20%,3.2
"Guthrie County, Iowa",5%,5
"Gwinnett County, Georgia",6.20%,6.2
"Haakon County, South Dakota",5.50%,5.5
"Habersham County, Georgia",5.50%,5.5
"Haines Borough, Alaska",3.70%,3.7
"Hale County, Alabama",6.60%,6.6
"Hale County, Texas",6.20%,6.2
"Halifax County, North Carolina",5.40%,5.4
"Halifax County, Virginia",5%,5
"Hall County, Georgia",6.20%,6.2
"Hall County, Nebraska",7.40%,7.4
"Hall County, Texas",4.40%,4.4
"Hamblen County, Tennessee",6%,6
"Hamilton County, Florida",4.50%,4.5
"Hamilton County, Illinois",5.60%,5.6
"Hamilton County, Indiana",6%,6
"Hamilton County, Iowa",5.30%,5.3
"Hamilton County, Kansas",5.90%,5.9
"Hamilton County, Nebraska",6.30%,6.3
"Hamilton County, New York",3%,3
"Hamilton County, Ohio",6.30%,6.3
"Hamilton County, Tennessee",5.70%,5.7
"Hamilton County, Texas",5.10%,5.1
"Hamlin County, South Dakota",10.20%,10.2
"Hampden County, Massachusetts",5.30%,5.3
"Hampshire County, Massachusetts",3.30%,3.3
"Hampshire County, West Virginia",4.90%,4.9
"Hampton city, Virginia",6.10%,6.1
"Hampton County, South Carolina",5.30%,5.3
"Hancock County, Georgia",2%,2
"Hancock County, Illinois",5%,5
"Hancock County, Indiana",5.50%,5.5
"Hancock County, Iowa",5.60%,5.6
"Hancock County, Kentucky",5.90%,5.9
"Hancock County, Maine",4.10%,4.1
"Hancock County, Mississippi",5.10%,5.1
"Hancock County, Ohio",6.10%,6.1
"Hancock County, Tennessee",5.40%,5.4
"Hancock County, West Virginia",4.30%,4.3
"Hand County, South Dakota",5.70%,5.7
"Hanover County, Virginia",4.90%,4.9
"Hansford County, Texas",7.20%,7.2
"Hanson County, South Dakota",7.70%,7.7
"Haralson County, Georgia",6.30%,6.3
"Hardee County, Florida",6.30%,6.3
"Hardeman County, Tennessee",4.80%,4.8
"Hardeman County, Texas",5.10%,5.1
"Hardin County, Illinois",2.50%,2.5
"Hardin County, Iowa",4.40%,4.4
"Hardin County, Kentucky",6.40%,6.4
"Hardin County, Ohio",5.80%,5.8
"Hardin County, Tennessee",4.70%,4.7
"Hardin County, Texas",6.10%,6.1
"Harding County, New Mexico",5.10%,5.1
"Harding County, South Dakota",5.90%,5.9
"Hardy County, West Virginia",5.70%,5.7
"Harford County, Maryland",5.50%,5.5
"Harlan County, Kentucky",5.90%,5.9
"Harlan County, Nebraska",6.10%,6.1
"Harmon County, Oklahoma",5.20%,5.2
"Harnett County, North Carolina",7.10%,7.1
"Harney County, Oregon",4.70%,4.7
"Harper County, Kansas",6.20%,6.2
"Harper County, Oklahoma",6.10%,6.1
"Harris County, Georgia",4.90%,4.9
"Harris County, Texas",7%,7
"Harrison County, Indiana",5.40%,5.4
"Harrison County, Iowa",5.70%,5.7
"Harrison County, Kentucky",6.60%,6.6
"Harrison County, Mississippi",6.20%,6.2
"Harrison County, Missouri",6.10%,6.1
"Harrison County, Ohio",5%,5
"Harrison County, Texas",5.80%,5.8
"Harrison County, West Virginia",5.30%,5.3
"Harrisonburg city, Virginia",4.80%,4.8
"Hart County, Georgia",4.80%,4.8
"Hart County, Kentucky",6.60%,6.6
"Hartley County, Texas",5.40%,5.4
"Harvey County, Kansas",5.80%,5.8
"Haskell County, Kansas",7.20%,7.2
"Haskell County, Oklahoma",5.80%,5.8
"Haskell County, Texas",3.90%,3.9
"Hatillo Municipio, Puerto Rico",2.90%,2.9
"Hawaii County, Hawaii",5.50%,5.5
"Hawkins County, Tennessee",4.80%,4.8
"Hayes County, Nebraska",6.30%,6.3
"Hays County, Texas",5.90%,5.9
"Haywood County, North Carolina",4.40%,4.4
"Haywood County, Tennessee",5.30%,5.3
"Heard County, Georgia",5.50%,5.5
"Hemphill County, Texas",4.90%,4.9
"Hempstead County, Arkansas",5.60%,5.6
"Henderson County, Illinois",4.70%,4.7
"Henderson County, Kentucky",5.60%,5.6
"Henderson County, North Carolina",4.60%,4.6
"Henderson County, Tennessee",5.80%,5.8
"Henderson County, Texas",5.50%,5.5
"Hendricks County, Indiana",5.50%,5.5
"Hendry County, Florida",6.80%,6.8
"Hennepin County, Minnesota",6.10%,6.1
"Henrico County, Virginia",5.90%,5.9
"Henry County, Alabama",4.80%,4.8
"Henry County, Georgia",5.60%,5.6
"Henry County, Illinois",5.20%,5.2
"Henry County, Indiana",5%,5
"Henry County, Iowa",5.10%,5.1
"Henry County, Kentucky",5.70%,5.7
"Henry County, Missouri",5.80%,5.8
"Henry County, Ohio",5.80%,5.8
"Henry County, Tennessee",5%,5
"Henry County, Virginia",4.40%,4.4
"Herkimer County, New York",4.90%,4.9
"Hernando County, Florida",4.40%,4.4
"Hertford County, North Carolina",4.30%,4.3
"Hettinger County, North Dakota",6.30%,6.3
"Hickman County, Kentucky",4.40%,4.4
"Hickman County, Tennessee",5%,5
"Hickory County, Missouri",3.90%,3.9
"Hidalgo County, New Mexico",6.30%,6.3
"Hidalgo County, Texas",8.20%,8.2
"Highland County, Ohio",6.20%,6.2
"Highland County, Virginia",2.70%,2.7
"Highlands County, Florida",4.20%,4.2
"Hill County, Montana",8.50%,8.5
"Hill County, Texas",5.70%,5.7
"Hillsborough County, Florida",5.80%,5.8
"Hillsborough County, New Hampshire",5.10%,5.1
"Hillsdale County, Michigan",5.50%,5.5
"Hinds County, Mississippi",6.20%,6.2
"Hinsdale County, Colorado",2.50%,2.5
"Hitchcock County, Nebraska",6.80%,6.8
"Hocking County, Ohio",5.40%,5.4
